new,host,a,soa,ns,status_code,cdn,cdn-name,cname,aaaa,has_internal_ips,internal_ips
,demoresourceprovider-australiaeast-release-a.citrixworkspacesapi.net,,,,NOERROR,,,,,,
,directory.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-directory-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,gwweu.browser.cloud.com,23.97.218.66,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxsbweuprodnsha2.westeurope.cloudapp.azure.com,,,
,gwwus.browser.cloud.com,40.83.248.94,"ns1-02.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxsbwusprodnsha2.westus.cloudapp.azure.com,,,
,healthdataalertstore-direct-westeurope-release-a.citrixworkspacesapi.net,40.114.186.236,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-westeu-release-a-nt-healthdataalertstore.westeurope.cloudapp.azure.com,,,
,healthdatastore-westeurope-release-a.citrixworkspacesapi.net,52.157.249.208,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-healthdatastore-westeurope-release-a.trafficmanager.net, healthdatastore-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-healthdatastore.westeurope.cloudapp.azure.com",,,
,identity.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-identity-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,launch-release-a.browser.cloud.com,152.199.21.175,"ns1.kappacdn.net, noc.edgecast.com",,NOERROR,,,"launch-release-a.azureedge.net, launch-release-a.ec.azureedge.net, scdn110ba.wpc.29f97.kappacdn.net, sni1gl.wpc.kappacdn.net",2606:2800:233:1cb7:261b:1f9c:2074:3c,,
,launch-release-b.browser.cloud.com,152.199.21.175,"ns1.kappacdn.net, noc.edgecast.com",,NOERROR,,,"launch-release-b.azureedge.net, launch-release-b.ec.azureedge.net, scdn110a2.wpc.29f97.kappacdn.net, sni1gl.wpc.kappacdn.net",2606:2800:233:1cb7:261b:1f9c:2074:3c,,
,luidashboardapi-eastus-release-a.citrixworkspacesapi.net,20.81.94.66,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxwsp-luidashboardapi-eastus-release-a.trafficmanager.net, luidashboardapi-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt9-luidashboardapi.eastus.cloudapp.azure.com",,,
,mediastorage-eastus-release-a.citrixworkspacesapi.net,255.255.255.255,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,ctxwsp-eastus-release-a-nt-mediastorage.eastus.cloudapp.azure.com,,True,255.255.255.255
,messaging-eastus-release-a.citrixworkspacesapi.net,52.150.55.255,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-messaging-eastus-release-a.trafficmanager.net, messaging-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt-messaging.eastus.cloudapp.azure.com",,,
,messaging-eastus-release-b.citrixworkspacesapi.net,52.142.27.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-messaging-eastus-release-b.trafficmanager.net, messaging-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-messaging.eastus.cloudapp.azure.com",,,
,messaging-us.citrixworkspacesapi.net,40.90.246.186,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-releasesproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com",,,
,mockresourceprovider-direct-australiaeast-release-b.citrixworkspacesapi.net,255.255.255.255,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,ctxwsp-aueast-release-b-nt-mockresourceprovider.australiaeast.cloudapp.azure.com,,True,255.255.255.255
,notifications-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.118,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-notifications-australiaeast-release-a.trafficmanager.net, notifications-direct-australiaeast-release-a.citrixworkspacesapi.net, ctxwsp-aueast-release-a-nt-notifications.australiaeast.cloudapp.azure.com",,,
,notifications.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-notifications-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,onboarding-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.99,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-aueast-release-a-nt-onboarding.australiaeast.cloudapp.azure.com,,,
,onboarding-australiaeast-release-b.citrixworkspacesapi.net,40.82.220.23,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-aueast-release-b-nt-onboarding.australiaeast.cloudapp.azure.com,,,
,onboarding-eastus-release-a.citrixworkspacesapi.net,,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-eastus-release-a-nt-onboarding.eastus.cloudapp.azure.com,,,
,onboarding-eastus-release-b.citrixworkspacesapi.net,52.224.136.58,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-eastus-release-b-nt-onboarding.eastus.cloudapp.azure.com,,,
,onboarding-westeurope-release-a.citrixworkspacesapi.net,40.114.186.189,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-westeu-release-a-nt-onboarding.westeurope.cloudapp.azure.com,,,
,onboarding-westeurope-release-b.citrixworkspacesapi.net,40.74.4.225,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-westeu-release-b-nt-onboarding.westeurope.cloudapp.azure.com,,,
,onboardingapi-eastus-release-b.citrixworkspacesapi.net,52.224.136.194,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-onboardingapi-eastus-release-b.trafficmanager.net, onboardingapi-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-onboardingapi.eastus.cloudapp.azure.com",,,
,ordersapi-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.105,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-ordersapi-australiaeast-release-a.trafficmanager.net, ordersapi-direct-australiaeast-release-a.citrixworkspacesapi.net, ctxwsp-aueast-release-a-nt-ordersapi.australiaeast.cloudapp.azure.com",,,
,ordersapi-australiaeast-release-b.citrixworkspacesapi.net,40.82.219.18,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-ordersapi-australiaeast-release-b.trafficmanager.net, ordersapi-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-ordersapi.australiaeast.cloudapp.azure.com",,,
,ordersapi-westeurope-release-a.citrixworkspacesapi.net,40.114.185.245,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-ordersapi-westeurope-release-a.trafficmanager.net, ordersapi-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-ordersapi.westeurope.cloudapp.azure.com",,,
,ordersapi-westeurope-release-b.citrixworkspacesapi.net,40.74.1.205,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-ordersapi-westeurope-release-b.trafficmanager.net, ordersapi-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-ordersapi.westeurope.cloudapp.azure.com",,,
,partner-us.citrixworkspacesapi.net,40.90.246.186,"ns1-201.azure-dns.com, msnhst.microsoft.com","ns-122.awsdns-15.com, ns-1293.awsdns-33.org, ns-2030.awsdns-61.co.uk, ns-735.awsdns-27.net",NOERROR,True,azure,"ctxwsp-partner-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com",,,
,partner.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-06.azure-dns.com",,NOERROR,True,azure,"ctxwsp-partner-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
,poolprod-aps-4.citrixworkspacesapi.net,,,,NOERROR,,,,,,
,registry-australiaeast-release-b.citrixworkspacesapi.net,,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-registry-australiaeast-release-b.trafficmanager.net, registry-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-registry.australiaeast.cloudapp.azure.com",,,
,registry-direct-westeurope-release-b.citrixworkspacesapi.net,40.119.159.134,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-westeu-release-b-nt-registry.westeurope.cloudapp.azure.com,,,
,registry-eastus-release-a.citrixworkspacesapi.net,52.150.55.112,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-registry-eastus-release-a.trafficmanager.net, registry-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt-registry.eastus.cloudapp.azure.com",,,
,registry-eastus-release-b.citrixworkspacesapi.net,20.185.104.211,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-registry-eastus-release-b.trafficmanager.net, registry-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-registry.eastus.cloudapp.azure.com",,,
,registry-eu.citrixworkspacesapi.net,20.103.12.34,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxwsp-agwproxy-eu.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com",,,
,registry-westeurope-release-a.citrixworkspacesapi.net,40.114.186.118,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-registry-westeurope-release-a.trafficmanager.net, registry-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-registry.westeurope.cloudapp.azure.com",,,
,registry-westeurope-release-b.citrixworkspacesapi.net,40.119.159.134,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-registry-westeurope-release-b.trafficmanager.net, registry-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-registry.westeurope.cloudapp.azure.com",,,
,registry.citrixworkspacesapi.net,20.103.12.34,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxwsp-agwproxy-global.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com",,,
,resourceproviders-ap-s.citrixworkspacesapi.net,40.82.217.223,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
,resourceproviders-australiaeast-release-b.citrixworkspacesapi.net,20.53.76.94,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-australiaeast-release-b.trafficmanager.net, resourceproviders-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-resourceproviders.australiaeast.cloudapp.azure.com",,,
