input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_wildcard_certificate,webserver,tls_mismatched,tls_subject_org_
dashboard.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,cloudfront,443,https://dashboard.redoxengine.com:443,https,text/html,GET,18.66.147.5,/,-857189617,2600:9000:225e:d800:15:e87f:e300:93a1,Node.js,1,False,True,,True,,,
developer.redoxengine.com,Follow us on Twitter,200,80404,docs.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-30T04:07:31Z,2023-10-28T04:07:30Z,CN=docs.redoxengine.com,docs.redoxengine.com,docs.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f20df906133994bc40903ea06b733223,e9e315fea20e04c57d1164d77d6e29c1604feb54d1e9abf45e774810dd47ac6a,ctls,docs.redoxengine.com,,443,https://developer.redoxengine.com:443,https,text/html,GET,141.193.213.20,/,-1840324437,141.193.213.21,webpack,31,False,,https://docs.redoxengine.com,,GatsbyHosting,,
docs.redoxengine.com,Follow us on Twitter,200,80404,docs.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-30T04:07:31Z,2023-10-28T04:07:30Z,CN=docs.redoxengine.com,docs.redoxengine.com,docs.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f20df906133994bc40903ea06b733223,e9e315fea20e04c57d1164d77d6e29c1604feb54d1e9abf45e774810dd47ac6a,ctls,docs.redoxengine.com,fastly,443,https://docs.redoxengine.com:443,https,text/html,GET,199.232.194.22,/,-1634441245,2a04:4e42:4d::534,webpack,31,False,True,,,GatsbyHosting,,
eets.prod.redoxengine.com,,404,,eets.prod.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-12-02T23:59:59Z,CN=*.prod.redoxengine.com,*.prod.redoxengine.com,*.prod.redoxengine.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,07caa5736e02e6224ce9830b20a2238a,490f5cd8123aae1af171965288431c24e5fc0f33fdfbb9982a1737eb743707f5,ctls,eets.prod.redoxengine.com,,443,https://eets.prod.redoxengine.com:443,https,text/plain,GET,54.159.67.143,/,-1840324437,44.196.153.172,,1,False,,,True,awselb/2.0,,
explore.redoxengine.com,Redox Reporting Portal,200,6167,explore.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-15T05:24:44Z,2023-10-13T05:24:43Z,CN=explore.redoxengine.com,explore.redoxengine.com,explore.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c68dad008781deb4caf5a6aa3dab9919,bcb830024cba1cf872e935ada4a62017de5e4c0349ece44ac27ccac8d709e8ef,ctls,explore.redoxengine.com,,443,https://explore.redoxengine.com:443,https,text/html,GET,3.226.182.14,/,-774503197,54.237.159.171,Node.js,146,False,,,,Cowboy,,
gslink.redoxengine.com,404 Not Found,404,162,gslink.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,gslink.redoxengine.com,,443,https://gslink.redoxengine.com:443,https,text/html,GET,167.89.115.120,/,190856733,167.89.115.56,Nginx,8,False,,,True,nginx,True,
launch.gamma.redoxengine.com,Error,404,139,launch.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-07T18:19:26Z,2023-10-05T18:54:49Z,CN=launch.gamma.redoxengine.com,launch.gamma.redoxengine.com,launch.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9991819983829e42ab44d4198bdfa626,f9b696d07d3a34d221aeed33f8a940852b7095f1330d62306d1bb9dc593571fb,ctls,launch.gamma.redoxengine.com,google,443,https://launch.gamma.redoxengine.com:443,https,text/html,GET,34.107.204.9,/,1593207841,34.107.204.9,Node.js,11,False,True,,,,,
launch.redoxengine.com,Error,404,139,launch.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,launch.redoxengine.com,,443,https://launch.redoxengine.com:443,https,text/html,GET,52.202.205.253,/,1593207841,54.82.134.48,Node.js,11,False,,,True,,,
links.redoxengine.com,,204,,links.redoxengine.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-21T12:34:56Z,2023-09-19T12:34:55Z,CN=links.redoxengine.com,links.redoxengine.com,links.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,49608572d3fa19cb4484149515a729e5,b56be5d0d28bd96f6b5784503fba84eed0c37e2fc87ceed5cddf3bec10d7c58c,ctls,links.redoxengine.com,,443,https://links.redoxengine.com:443,https,,GET,52.32.113.107,/,-1840324437,44.239.85.252,HSTS,1,False,,,,,,
onboarding.redoxengine.com,Skilljar,200,71194,accounts.skilljar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-05-08T23:59:59Z,CN=*.skilljar.com,*.skilljar.com,course-platform.prod.skilljar.app,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c349fdab4017d8f8433eb2bd5e11ce8c,d302a20f63a7b7f610110475ef6e9fba0eca572bdace4df66fbe3043ae013463,ctls,accounts.skilljar.com,cloudfront,443,https://onboarding.redoxengine.com:443,https,text/html,GET,18.66.122.64,/,-821880299,18.66.122.120,gunicorn,747,False,True,https://accounts.skilljar.com/accounts/login/?t=2pz9igncu3v48&d=3ju1bgvbr857x&next=%2Fauth%2Fendpoint%2Flogin%2Fresult%3Fnext%3D%252F%26d%3D3ju1bgvbr857x,True,gunicorn,,
orb.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://orb.redoxengine.com:443,https,text/html,GET,54.82.134.48,/,-1840324437,54.224.53.224,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
redoxengine.com,EHR Integration and Healthcare Interoperability with Redox,200,105316,www.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=www.redoxengine.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.redoxengine.com,www.redoxengine.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cc3d8d2da8341e165462dfe8e3352b04,aa015a41a4e0afdc3d4e31ce46e5e81be3008dba5f16124eaff7075687384e8b,ctls,www.redoxengine.com,,443,https://redoxengine.com:443,https,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,Yoast SEO:20.8,987,False,,https://www.redoxengine.com/,,cloudflare,,"Cloudflare, Inc."
signatures.redoxengine.com,,200,45,signatures.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-23T21:30:30Z,2023-10-21T21:30:29Z,CN=signatures.redoxengine.com,signatures.redoxengine.com,signatures.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,166985340211f07d227157996f73bc94,f55147783aecd1d8493151cfea5c14f43e758156a16bc32bc2551631ab2e62f4,ctls,signatures.redoxengine.com,,443,https://signatures.redoxengine.com:443,https,text/plain,GET,54.147.27.151,/,1375805447,34.233.65.204,HSTS,1,False,,,,,,
sso.redoxengine.com,"Redox, Inc. - Sign In",200,17791,sso.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-24T18:44:18Z,2023-10-22T18:44:17Z,CN=sso.redoxengine.com,sso.redoxengine.com,sso.redoxengine.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5cf0469e252ba305da0f3c9c96ff5d54,eced2d7afc1e88271da550054d5f6939310d968baea6b80574a22eb9e20a5aa5,ctls,sso.redoxengine.com,,443,https://sso.redoxengine.com:443,https,text/html,GET,15.197.151.86,/,-599803935,3.33.152.248,Nginx,463,False,,,,nginx,,
status.redoxengine.com,Redox Engine Status,200,73574,status.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-19T14:37:41Z,2023-10-17T14:37:40Z,CN=eu.iwb-add-on-service.status.ricoh.com,eu.iwb-add-on-service.status.ricoh.com,status.zoom.us,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0ae81dc28e3574b1976ef06e4d7c9fcf,8b4d25e07cf21e9caa3ba6b06b64606136e796638194e767e7bb67d4fa76e90c,ctls,status.redoxengine.com,cloudfront,443,https://status.redoxengine.com:443,https,text/html,GET,18.66.97.53,/,-1840324437,18.66.97.128,HSTS,1828,False,True,,,AtlassianEdge,,
test-pointclickcare.redoxengine.com,Error,404,139,test-pointclickcare.redoxengine.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,02738e95dff65eed71e2850bd08fa056,c87a392db74c1fecbbf8606de2d950db39948b5c9729693271669e397911a31f,ctls,test-pointclickcare.redoxengine.com,,443,https://test-pointclickcare.redoxengine.com:443,https,text/html,GET,35.168.245.158,/,1593207841,52.21.162.99,Node.js,11,False,,,True,,,
