input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_expired,tls_mismatched,cdn_name,cdn,tls_wildcard_certificate
bootstrap.transferwise.com,Bootstrap · The world's most popular mobile-first and responsive front-end framework.,200,13417,,bootstrap.transferwise.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-29T04:23:58Z,2023-07-28T04:23:57Z,CN=bootstrap.transferwise.com,bootstrap.transferwise.com,,bootstrap.transferwise.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,76216e01e84f4d37afc0382affb5690e,e472ea0026acfdf6b883fedde9ae36c4f5af4b5b44943093097aede4df8de035,ctls,bootstrap.transferwise.com,80,http://bootstrap.transferwise.com:80,http,GitHub.com,text/html,GET,185.199.108.153,/,1317768510,https://bootstrap.transferwise.com/,2606:50c0:8003::153,Varnish,338,False,,,,,
brand.transferwise.com,Wise Design,200,46694,,wise.design,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T21:08:14Z,2023-07-01T21:08:13Z,CN=*.wise.design,*.wise.design,,wise.design,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,7eafd60e46efcbf1a82edb70a6dd413f,c2603adff51b1898f3e4a448d233dc230a23702772ed652155a467c573307bdd,ctls,wise.design,443,https://brand.transferwise.com:443,https,cloudflare,text/html,GET,198.49.23.145,/,-294231493,https://wise.design/,198.185.159.144,webpack,84,False,,,,,True
brand.wise.com,Wise Design,200,46694,,wise.design,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T21:08:14Z,2023-07-01T21:08:13Z,CN=*.wise.design,*.wise.design,,wise.design,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,7eafd60e46efcbf1a82edb70a6dd413f,c2603adff51b1898f3e4a448d233dc230a23702772ed652155a467c573307bdd,ctls,wise.design,443,https://brand.wise.com:443,https,cloudflare,text/html,GET,104.18.11.137,/,-294231493,https://wise.design/,2606:4700::6812:a89,webpack,84,False,,,cloudflare,True,True
card-form.transferwise.com,,403,16,,card-form.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=transferwise.com,transferwise.com,,*.transferwise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,b2813962ce42dbf2aa3c69f6871d350b,d6d50e4957a174a84508e64ff54b4cd5ac2ef3a6fc72f8432d7d1c0660f31f07,ctls,card-form.transferwise.com,443,https://card-form.transferwise.com:443,https,cloudflare,text/plain,GET,104.18.167.45,/,1253481126,,104.18.168.45,HTTP/3,1,False,,,cloudflare,True,True
document-store.transferwise.com,,403,243,,document-store.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,document-store.transferwise.com,443,https://document-store.transferwise.com:443,https,AmazonS3,application/xml,GET,52.222.250.114,/,1888217485,,52.222.250.190,Amazon Web Services,2,False,,True,cloudfront,True,True
gtm.transferwise.com,,400,,,gtm.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T22:52:01Z,2023-07-10T23:42:53Z,CN=gtm.transferwise.com,gtm.transferwise.com,,gtm.transferwise.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,aadd83a5fb3b7a2f02a1c88972c74204,51ae97a249a1ba986e2536d2a0729ceb2cc54e3e453638ff35e79708fa65942a,ctls,gtm.transferwise.com,443,https://gtm.transferwise.com:443,https,,,GET,216.239.32.21,/,-1840324437,,2001:4860:4802:34::15,Google Cloud CDN,1,False,,,,,
gtm.wise.com,,400,,,gtm.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:41:01Z,2023-07-03T11:25:08Z,CN=gtm.wise.com,gtm.wise.com,,gtm.wise.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ffb96f426d6681f577adda542e7f3706,0430290210cfc8c65cc3a080520a6d85085ab7aae07f61e92bf5ab1a1fbe58be,ctls,gtm.wise.com,443,https://gtm.wise.com:443,https,,,GET,216.239.34.21,/,-1840324437,,2001:4860:4802:34::15,Google Cloud CDN,1,False,,,,,
help.transferwise.com,Security check,403,7771,,help.transferwise.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-06T23:39:58Z,2023-08-04T23:39:57Z,CN=help.transferwise.com,help.transferwise.com,,help.transferwise.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0c54c85c4d19ebe1474496bfc27ed8a9,f1492c5650138026938a8bc63e363f1f0c124253943cd3361c5c1ff3e08a5f43,ctls,help.transferwise.com,443,https://help.transferwise.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,https://help.transferwise.com/hc/en-us,104.16.53.111,Cloudflare,103,False,,,cloudflare,True,
help.wise.com,"Hi, how can we help? | Wise Help Centre",200,74118,https://www.google.co.uk,wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,wise.com,443,https://help.wise.com:443,https,cloudflare,text/html,GET,104.18.17.28,/,-577088319,https://wise.com/help/,104.18.16.28,Linkedin Ads,5,False,,,cloudflare,True,True
https://w3.org,World Wide Web Consortium (W3C),200,32457,,www.w3.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2023-06-30T23:59:59Z,"CN=w3.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",w3.org,"Cloudflare, Inc.",*.w3.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8469e4fdaf04390a28421bf661eac92d,143a4caccbeec6d6e3cf93502c3a1838fa6f8ef5911b9784079ad8b89ff2ee25,ctls,www.w3.org,443,https://w3.org:443,https,cloudflare,text/html,GET,104.18.23.19,/,-15365615,https://www.w3.org/,2606:4700::6812:1713,HTTP/3,400,False,,,cloudflare,True,True
links.wise.com,Log in to Mandrill,200,2935,,links.wise.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-12-14T23:59:59Z,"CN=mandrillapp.com, O=The Rocket Science Group LLC, L=Atlanta, ST=Georgia, C=US",mandrillapp.com,The Rocket Science Group LLC,*.mandrillapp.com,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,cfaa09239e5a9df19711094b3a4f24c8,941925ec72042660ad13fd678b1217ba9de12cf370ad4ce1f669b21b99f8c445,ctls,links.wise.com,443,https://links.wise.com:443,https,nginx/1.12.2,text/html,GET,34.241.27.172,/,-248533138,https://links.wise.com/login/?referrer=%2F,54.78.186.219,PHP,58,False,,True,,,True
neptune.wise.com,Wise Design,200,46694,,wise.design,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T21:08:14Z,2023-07-01T21:08:13Z,CN=*.wise.design,*.wise.design,,wise.design,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,7eafd60e46efcbf1a82edb70a6dd413f,c2603adff51b1898f3e4a448d233dc230a23702772ed652155a467c573307bdd,ctls,wise.design,443,https://neptune.wise.com:443,https,cloudflare,text/html,GET,104.18.11.137,/,-294231493,https://wise.design/,2606:4700::6812:b89,webpack,84,False,,,cloudflare,True,True
newsroom.wise.com,Wise Newsroom,200,103065,,newsroom.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-07-28T23:59:59Z,CN=newsroom.wise.com,newsroom.wise.com,,newsroom.wise.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a39b29eea09176615049099f31a9ccf6,030ea491a6cb273b1e8d8aaa36618357c0b7b221c91f9a323b05a4a7100ab9cb,ctls,newsroom.wise.com,443,https://newsroom.wise.com:443,https,nginx,text/html,GET,18.66.112.17,/,1693537371,https://newsroom.wise.com/en-NAM/,2600:9000:2127:200:1e:2456:7180:93a1,Nginx,2743,False,,,cloudfront,True,
nextcloud.transferwise.com,Login – Nextcloud,200,16717,,partner-files.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,partner-files.wise.com,443,https://nextcloud.transferwise.com:443,https,cloudflare,text/html,GET,104.18.167.45,/,-1494127802,https://partner-files.wise.com/login,104.18.168.45,PHP,97,False,,,cloudflare,True,True
oc.transferwise.com,,403,16,,oc.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=transferwise.com,transferwise.com,,*.transferwise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,b2813962ce42dbf2aa3c69f6871d350b,d6d50e4957a174a84508e64ff54b4cd5ac2ef3a6fc72f8432d7d1c0660f31f07,ctls,oc.transferwise.com,443,https://oc.transferwise.com:443,https,cloudflare,text/plain,GET,104.18.168.45,/,1659100526,,104.18.167.45,HTTP/3,1,False,,,cloudflare,True,True
openbanking.transferwise.com,Error ・ Cloudflare Access,403,20907,,openbanking.transferwise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-05T13:37:13Z,2024-12-05T14:07:13Z,"CN=rIAkVbIn2xJbThhnuCW8S4, OU=0015800001041R6AAI, O=OpenBanking, C=GB",rIAkVbIn2xJbThhnuCW8S4,OpenBanking,openbanking.wise.com,"CN=OpenBanking Issuing CA, O=OpenBanking, C=GB",OpenBanking Issuing CA,OpenBanking,9485ea55bce4f9ab536ebef6b882d55e,4ddac1bdc6013cd6c02eadae9c99fb980d0355c9fb794a78a1b9225a41ed8ea3,ctls,openbanking.transferwise.com,443,https://openbanking.transferwise.com:443,https,cloudflare,text/html,GET,104.18.167.45,/,-1460454504,,104.18.168.45,HSTS,69,False,,,cloudflare,True,
partner-files.transferwise.com,Login – Nextcloud,200,13082,,partner-files.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,partner-files.wise.com,443,https://partner-files.transferwise.com:443,https,cloudflare,text/html,GET,104.18.168.45,/,182747671,https://partner-files.wise.com/login,104.18.167.45,PHP,77,False,,,cloudflare,True,True
paypay.wise.com,404 Not Found,404,145,,paypay.wise.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:58:53Z,2023-07-23T12:57:48Z,CN=wise.com,wise.com,,*.wise.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,19fe8071a0f6dd09a4e226e740a78230,63fc32d102483a8a7ad94cd6dc2e09c6c297e29120a3a1119567b94765d09c4d,ctls,paypay.wise.com,443,https://paypay.wise.com:443,https,cloudflare,text/html,GET,104.18.17.28,/,1859628395,,104.18.16.28,HTTP/3,14,False,,,cloudflare,True,True
