new,host,a,soa,status_code,cname,ns,cdn,cdn-name,caa,aaaa,mx,txt
,consul-us-utah-1.datadome.co,"34.106.193.245, 34.106.220.104, 34.106.40.52","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,
,d.digital.hermes.first-party-js.datadome.co,"13.32.121.23, 13.32.121.58, 13.32.121.56, 13.32.121.55","ns-58.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,d3hfoxv6i6m6my.cloudfront.net,"ns-1491.awsdns-58.org, ns-1938.awsdns-50.co.uk, ns-58.awsdns-07.com, ns-942.awsdns-53.net",True,cloudfront,,,,
,dashboard.datadome.co,"99.81.130.8, 52.215.59.25, 54.72.230.58","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,datadome.co,"13.249.9.20, 13.249.9.71, 13.249.9.15, 13.249.9.95","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",True,cloudfront,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",
,datadomeiis8.datadome.co,34.244.12.125,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,db.datadome.co,176.34.70.183,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"data-mysql-production.cqciz07pkn2b.eu-west-1.rds.amazonaws.com, ec2-176-34-70-183.eu-west-1.compute.amazonaws.com",,,,,,,
,demo.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,demo1.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,demo.datadome.co,,,,,,,
,dev-app.datadome.co,35.187.121.229,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,
,dev-corporate-website.datadome.co,"18.200.225.14, 54.74.98.76","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dev-customer-api.datadome.co,35.187.121.229,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,
,dev-db.datadome.co,54.220.160.238,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"data-mysql-staging.cqciz07pkn2b.eu-west-1.rds.amazonaws.com, ec2-54-220-160-238.eu-west-1.compute.amazonaws.com",,,,,,,
,dev-es-loadtest-lb-us-west-2.staging.datadome.co,52.38.188.139,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dev-es-loadtest-monitoring-us-west-2.staging.datadome.co,"35.161.53.144, 44.240.40.145","ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dev.datadome.co,"52.222.236.68, 52.222.236.16, 52.222.236.100, 52.222.236.107","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,
,dwt.soundcloud.com.first-party-js.datadome.co,"18.66.97.30, 18.66.97.24, 18.66.97.50, 18.66.97.108","ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,d1hcxlifzhxzha.cloudfront.net,"ns-1864.awsdns-41.co.uk, ns-1183.awsdns-19.org, ns-286.awsdns-35.com, ns-948.awsdns-54.net",True,cloudfront,,,,
,events.datadome.co,52.60.122.74,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"geoprox.datadome.co, api-ca-central-1.datadome.co",,,,,,,
,flink-gcp.datadome.co,"13.36.122.177, 13.38.148.57","ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,"ns-1060.awsdns-04.org, ns-1549.awsdns-01.co.uk, ns-500.awsdns-62.com, ns-576.awsdns-08.net",,,,,,
,flink-gcp.tooling.datadome.co,"35.180.70.165, 13.37.140.186","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,"ns-1069.awsdns-05.org, ns-1848.awsdns-39.co.uk, ns-489.awsdns-61.com, ns-875.awsdns-45.net",,,,,,
,flink-test-online.datadome.co,,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,flink.datadome.co,"13.36.122.177, 13.38.148.57","ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,,,,,,,
,flink.tooling.datadome.co,"13.37.140.186, 35.180.70.165","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,,,,,,,
,fusiondirectory.datadome.co,52.208.233.31,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,go.datadome.co,"63.32.243.74, 52.49.186.120, 54.76.134.204","ns-1483.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"datadome.eu1.opr1.com, eu1-cx.outplayhq.com",,,,,,,
,grafana.datadome.co,54.217.20.130,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,img.datadome.co,"108.138.51.3, 108.138.51.122, 108.138.51.105, 108.138.51.72, 205.251.194.27, 205.251.197.155, 205.251.199.102","ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d3tojpikvkktnx.cloudfront.net,"ns-1435.awsdns-51.org, ns-539.awsdns-03.net, ns-505.awsdns-63.com, ns-1894.awsdns-44.co.uk",True,cloudfront,,"2600:9000:2436:a200:16:4700:cb40:93a1, 2600:9000:2436:9000:16:4700:cb40:93a1, 2600:9000:2436:8800:16:4700:cb40:93a1, 2600:9000:2436:e200:16:4700:cb40:93a1, 2600:9000:2436:4e00:16:4700:cb40:93a1, 2600:9000:2436:c400:16:4700:cb40:93a1, 2600:9000:2436:6c00:16:4700:cb40:93a1, 2600:9000:2436:6600:16:4700:cb40:93a1, 2600:9000:5305:9b00::1",,
,img.mailing.datadome.co,"104.17.106.89, 104.17.105.89, 104.17.104.89, 104.17.103.89, 104.17.102.89","jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,img.mailin.fr,,True,cloudflare,"letsencrypt.org, globalsign.com, comodoca.com, digicert.com, entrust.net",,,
,img.newsletter.datadome.co,"104.17.103.89, 104.17.106.89, 104.17.105.89, 104.17.102.89, 104.17.104.89","jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,img.mailin.fr,,True,cloudflare,"digicert.com, globalsign.com, comodoca.com, letsencrypt.org, entrust.net",,,
,jk-test.sdbx-sre.datadome.co,"13.36.137.213, 15.236.161.141","ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,jk.datadome.co,52.31.59.50,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,js-cf.datadome.co,"108.157.229.101, 108.157.229.127, 108.157.229.46, 108.157.229.64","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,
,js.datadome.co,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,
,kibana.dev-es-loadtest-lb-us-west-2.staging.datadome.co,54.213.123.158,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,dev-es-loadtest-lb-us-west-2.staging.datadome.co,,,,,,,
,ldap.datadome.co,52.208.233.31,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,mail.datadome.co,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u3184672.wl173.sendgrid.net,,,,,,mx.sendgrid.net,v=spf1 ip4:149.72.175.95 ip4:149.72.177.170 ip4:168.245.72.240 -all
,mailing.datadome.co,212.146.220.142,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,mailing.datadome.co,v=spf1 include:spf.sendinblue.com include:20268571.spf03.hubspotemail.net mx -all
,metrics-v2.datadome.co,52.209.71.63,"dns-external-master.amazon.com, root.amazon.com",NOERROR,ec2-52-209-71-63.eu-west-1.compute.amazonaws.com,,,,,,,
,metrics.datadome.co,52.209.71.63,"dns-external-master.amazon.com, root.amazon.com",NOERROR,ec2-52-209-71-63.eu-west-1.compute.amazonaws.com,,,,,,,
,o1.mail.datadome.co,149.72.175.95,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,o3.mail.datadome.co,168.245.72.240,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,origin.datadome.co,99.81.153.83,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,package.datadome.co,34.243.206.89,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,preprod-customer-api.datadome.co,"52.214.160.230, 54.246.165.175, 52.212.196.144","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,preprod-dashboard.datadome.co,"52.214.160.230, 52.212.196.144, 54.246.165.175","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,preprod-package.datadome.co,54.74.53.214,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,prod-app.datadome.co,"54.72.230.58, 99.81.130.8, 52.215.59.25","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,prod.datadome.co,,"ns-1206.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1603.awsdns-08.co.uk, ns-1206.awsdns-22.org, ns-594.awsdns-10.net, ns-358.awsdns-44.com",,,,,,
,prometheus.datadome.co,51.159.23.130,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,prometheus.tooling.datadome.co,"52.49.63.24, 46.137.59.73","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,prom-20221007094447010400000002-1422252571.eu-west-1.elb.amazonaws.com,,,,,,,
,r.newsletter.datadome.co,"1.179.112.197, 1.179.112.196, 1.179.112.195","jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"r.mailin.fr, r1.mailin.fr",,,,"comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org",,,loaderio=39c99139bb61565a6b733da78ac0530a
,sdbx-engine.datadome.co,,"ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1346.awsdns-40.org, ns-1748.awsdns-26.co.uk, ns-203.awsdns-25.com, ns-754.awsdns-30.net",,,,,,
,sdbx-sre.datadome.co,,"ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1134.awsdns-13.org, ns-1878.awsdns-42.co.uk, ns-312.awsdns-39.com, ns-985.awsdns-59.net",,,,,,
,spy-backend.tooling.datadome.co,"52.47.164.223, 13.37.181.236","ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,p-spy-tooling-eu-west-3-lb-951603392.eu-west-3.elb.amazonaws.com,,,,,,,
,spy.tooling.datadome.co,"13.37.140.186, 35.180.70.165","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,,,,,,,
,staff.datadome.co,"52.215.59.25, 54.72.230.58, 99.81.130.8","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,staging.datadome.co,205.251.192.227,"ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1297.awsdns-34.org, ns-1616.awsdns-10.co.uk, ns-227.awsdns-28.com, ns-647.awsdns-16.net",,,,,,
,static.datadome.co,"65.9.66.126, 65.9.66.3, 65.9.66.109, 65.9.66.68","ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d3tojpikvkktnx.cloudfront.net,"ns-1894.awsdns-44.co.uk, ns-505.awsdns-63.com, ns-1435.awsdns-51.org, ns-539.awsdns-03.net",True,cloudfront,,"2600:9000:206f:a600:16:4700:cb40:93a1, 2600:9000:206f:5800:16:4700:cb40:93a1, 2600:9000:206f:a200:16:4700:cb40:93a1, 2600:9000:206f:8000:16:4700:cb40:93a1, 2600:9000:206f:f800:16:4700:cb40:93a1, 2600:9000:206f:ec00:16:4700:cb40:93a1, 2600:9000:206f:6400:16:4700:cb40:93a1, 2600:9000:206f:0:16:4700:cb40:93a1",,
,subscriptions.datadome.co,136.143.190.96,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,subscriptions.cs.zohohost.com,,,,,,,
,test.datadome.co,18.157.207.8,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,api-eu-central-1.datadome.co,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,testcdn.datadome.co,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d3mw842myx6k39.cloudfront.net,,,,,,,
,tooling.datadome.co,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1258.awsdns-29.org, ns-1740.awsdns-25.co.uk, ns-517.awsdns-00.net, ns-12.awsdns-01.com",,,,,,
,tr.datadome.co,"54.85.128.104, 18.235.9.115, 18.209.131.43","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,custom-tracking.salesloft.com,,,,"digicert.com, comodoca.com, letsencrypt.org, pki.goog",,,
,trail.datadome.co,51.254.243.65,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,custom.lemlist.com,,,,,,,
,validate-first-party-js.datadome.co,"52.212.34.127, 52.50.137.146","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,waf-unleash-poc.sdbx-sre.datadome.co,"18.65.39.22, 18.65.39.31, 18.65.39.41, 18.65.39.6","ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1134.awsdns-13.org, ns-1878.awsdns-42.co.uk, ns-312.awsdns-39.com, ns-985.awsdns-59.net",True,cloudfront,,,,
,www.dev-corporate-website.datadome.co,"54.74.98.76, 18.200.225.14","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,www.dev.datadome.co,"18.200.173.167, 34.242.18.120","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
