input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,final_url,tls_expired,csp_domains_,tls_subject_org_,tls_mismatched,tls_self_signed
079-v3-client.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://079-v3-client.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
0edf66c.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://0edf66c.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
1-1-5.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://1-1-5.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
1-83-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://1-83-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
10-dev-v3-lb.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://10-dev-v3-lb.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
101memberz.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://101memberz.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
102-1.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://102-1.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
104-53.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://104-53.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
107-27.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://107-27.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
10bb.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://10bb.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
12.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://12.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
12api.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://12api.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
12ebooks21.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://12ebooks21.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
13-15-4.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://13-15-4.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
136-7.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://136-7.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
13cdixc.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://13cdixc.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-183-30.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-183-30.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-202-7.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-202-7.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-211-30.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-211-30.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-56-96.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-56-96.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-62-14.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-62-14.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
155-9-73-45.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://155-9-73-45.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
16-72-90.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://16-72-90.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-112-46.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-112-46.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-112-98.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-112-98.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-116-18.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-116-18.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-117-45.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-117-45.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-117-66.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-117-66.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-119-3.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-119-3.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-119-67.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-119-67.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-119-97.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-119-97.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-121-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-121-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-121-24.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-121-24.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-121-8.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-121-8.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-122-59.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-122-59.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-122-98.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-122-98.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-124-49.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-124-49.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-126-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-126-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-126-54.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-126-54.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-121-126-67.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-121-126-67.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-58-96-58.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-58-96-58.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
17-58-99-23.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://17-58-99-23.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
176-64.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://176-64.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
178-119-59-88.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://178-119-59-88.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
19-7-2.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://19-7-2.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
2-0-0-2.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://2-0-0-2.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
2-71-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://2-71-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
2014.walla.co.il,וואלה סוגרים שנה,200,266488,2014.walla.co.il,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-25T00:00:00Z,2026-02-22T23:59:59Z,CN=*.walla.co.il,*.walla.co.il,walla.co.il,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0a3de18ec20e2ace02f0a937b0372246,7e06d91a74b2529e91aaae445ffd49599f5e50b5ce7a9b98525eb9f6cacb6b66,True,ctls,2014.walla.co.il,cloudfront,443,https://2014.walla.co.il,https,openresty/1.15.8.3,text/html,GET,143.204.215.112,/,-1893007629,/public/favicons/walla-main.ico,2600:9000:214f:c200:3:5580:6d40:93a1,React,417,False,True,nonerror,0,,,,,,
2020.walla.co.il,סיכום העשור  - וואלה סיכום העשור,200,308283,2020.walla.co.il,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-25T00:00:00Z,2026-02-22T23:59:59Z,CN=*.walla.co.il,*.walla.co.il,walla.co.il,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0a3de18ec20e2ace02f0a937b0372246,7e06d91a74b2529e91aaae445ffd49599f5e50b5ce7a9b98525eb9f6cacb6b66,True,ctls,2020.walla.co.il,cloudfront,443,https://2020.walla.co.il,https,openresty/1.15.8.3,text/html,GET,143.204.215.31,/,-1893007629,/public/favicons/walla-main.ico,2600:9000:214f:3a00:3:5580:6d40:93a1,React,479,False,True,error,0,,,,,,
205-185-202-37.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://205-185-202-37.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
22-02.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://22-02.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
22-5-7.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://22-5-7.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
23-18-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://23-18-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
23-2-5-6.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://23-2-5-6.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
253fwww.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://253fwww.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
285-67.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://285-67.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
2cdev2.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://2cdev2.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
2rt-uts6.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://2rt-uts6.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
3-9-4-8.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://3-9-4-8.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
307-4.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://307-4.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
310-3.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://310-3.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
324g24.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://324g24.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
338-2.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://338-2.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
357-9-92.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://357-9-92.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
357-97.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://357-97.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
39-3-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://39-3-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
393-0.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://393-0.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
3c1d.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://3c1d.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
3ca162d.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://3ca162d.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
3fno.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://3fno.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
409b09df.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://409b09df.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
417f.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://417f.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
42-5-8.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://42-5-8.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
