input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,final_url,cdn_name,cdn,tls_mismatched
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-22T08:22:04Z,2023-08-14T08:22:03Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3df7c651afd025915b29a633a5a6f54d,470969377a1566f4619fae8aaf41e2f7c1b28f51d0235e58bdcc1b0bbc9d0e70,True,ctls,ssl.gstatic.com,443,https://ssl.gstatic.com:443,https,sffe,text/html,GET,142.250.185.163,/,302920777,2a00:1450:4001:829::2003,12,False,,HTTP/3,,,,
img-acc.libelle.nl,,403,42,img-acc.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,img-acc.libelle.nl,443,https://img-acc.libelle.nl:443,https,,application/json,GET,2.23.209.36,/,768769774,2a02:26f0:480:25::1726:621c,1,False,,,,,,
img.libelle.nl,,403,42,img.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,img.libelle.nl,443,https://img.libelle.nl:443,https,,application/json,GET,104.126.37.154,/,768769774,2a02:26f0:1700:7::17d5:a1dc,1,False,,,,,,
jdc.libelle.nl,Invalid URL,400,208,jdc.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,jdc.libelle.nl,443,https://jdc.libelle.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.132,/,207748415,2a02:26f0:480:23::1726:628b,8,False,,,,,,
libelle.nl,DPG Media Privacy Gate,200,8843,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://libelle.nl:443,https,,text/html,GET,2.17.100.138,/,368131872,2a02:26f0:ab00::214:8e59,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
login.libelle.nl,Inlogpoging geblokkeerd,406,3323,login.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T00:03:41Z,2023-08-05T00:03:40Z,CN=login.libelle.nl,login.libelle.nl,,login.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,45b96865b16d22b12a4183962fbcada6,796ba3748b0b4c87289955898cd8f57b6188a1cd0ddc96e770de392a3c0acdf7,,ctls,login.libelle.nl,443,https://login.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.219,/,-108478197,2a02:26f0:ab00::5c7a:d708,1,False,,,,,,
login2.libelle.nl,Inlogpoging geblokkeerd,406,3322,login2.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,login2.libelle.nl,443,https://login2.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.185,/,587417078,2a02:26f0:ab00::214:8e73,1,False,,,,,,
mijn.libelle.nl,DPG Media Privacy Gate,200,8840,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://mijn.libelle.nl:443,https,,text/html,GET,2.17.100.138,/,459172252,2a02:26f0:ab00::214:8e73,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3A%2F%2Fmijn.libelle.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,
mobile-acc.libelle.nl,Access Denied,401,275,mobile-acc.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,mobile-acc.libelle.nl,443,https://mobile-acc.libelle.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.150,/,368131872,2a02:26f0:480:23::1726:62ac,10,False,https://depersgroep.report-uri.io/r/default/csp/enforce,HSTS,,,,
mobile.libelle.nl,DPG Media Privacy Gate,200,8843,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://mobile.libelle.nl:443,https,,text/html,GET,95.101.111.167,/,368131872,2a02:26f0:480:23::1726:62ac,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
msoid.libelle.nl,Sign in to your account,200,43693,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,443,https://msoid.libelle.nl:443,https,,text/html,GET,20.190.160.22,/,-1840324437,40.126.32.68,94,False,,HSTS,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638227378408611605.YmQ3M2YyMDEtNDRiMC00ZjM2LTg3M2ItOWZhNzI3NjNmMDEzNzFmZGFiOGItN2QyOS00MTUxLWJhMGItY2QxODA3YzcxMWQ5&ui_locales=en-US&mkt=en-US&state=fGW0qKFlLh0y-hU5RDUoZ6sdBnhTaG1cVwJrHTRqH_f5jMFhUpnxZy8pcEXmHEx522LjEtyF39JTnuA7U43c8PC5ovTTIfqIx4vygyF2KBsuUUl1sooPWPMt6lDpNC-ig89_xiK-Nyw5pLlE1nt3ROhgqWNWfVIBHYMN3T4xShga19mK0koI59lv9VDMjBeOgLgQ61ilGtI-9yArYKJE90jJ-LljQFp1KU5Qw0pmdTGyAJSZ5WqjV3nyr87pAPAW1BINOFjmUY4qzLTNjbmK3Q&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0,azure,True,
myaccount.libelle.nl,DPG Media Privacy Gate,200,8855,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://myaccount.libelle.nl:443,https,,text/html,GET,2.17.100.138,/,1359835608,2a02:26f0:ab00::214:8e59,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3A%2F%2Fmyaccount.libelle.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,
opzeggen.libelle.nl,DPG Media Privacy Gate,200,8856,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://opzeggen.libelle.nl:443,https,,text/html,GET,2.16.187.155,/,-318086011,2a02:26f0:ab00::214:8e42,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=gnz6tzrwbume34ba&callbackUrl=https://opzeggen.libelle.nl/,,,
service.libelle.nl,403 - Forbidden: Access is denied.,403,1233,service.libelle.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=*.dpgmm.nl,*.dpgmm.nl,,*.dpgmm.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,47aad03bd643159f319f939c4445a8c9,3db412f1d90903dd62cc5798550edeb953ef05df3e4448cf1fc9211d3776368f,True,ctls,service.libelle.nl,443,https://service.libelle.nl:443,https,Microsoft-IIS/8.5,text/html,GET,54.171.70.175,/,1631801191,54.246.181.105,30,False,,Windows Server,,,,True
sso.libelle.nl,,200,,sso.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-06-15T23:59:59Z,"CN=*.eu1.gigya.com, O=SAP SE, L=Walldorf, ST=Baden-Württemberg, C=DE",*.eu1.gigya.com,SAP SE,api.console.eu1-st4.cdc.cloud.sap,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eac7ca7784d13b6ce21614ebaaa909b9,883bdfdb305d30398711a8eac97e0a7702dfe4eac74810ea0a4a470bf0fda0f1,True,ctls,sso.libelle.nl,443,https://sso.libelle.nl:443,https,,text/html,GET,54.229.120.124,/,-1516177449,54.229.120.124,1,False,,,,,,True
temptation.libelle.nl,,403,243,temptation.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,temptation.libelle.nl,443,https://temptation.libelle.nl:443,https,AmazonS3,application/xml,GET,95.101.111.150,/,-577726799,2a02:26f0:480:23::1726:62ac,2,False,,HSTS,,,,
wijzigen.libelle.nl,DPG Media Privacy Gate,200,8856,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://wijzigen.libelle.nl:443,https,,text/html,GET,95.101.111.148,/,-318086011,2a02:26f0:480:23::1726:62a8,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=gnz6tzrwbume34ba&callbackUrl=https://wijzigen.libelle.nl/,,,
winkelen.libelle.nl,DPG Media Privacy Gate,200,8852,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://winkelen.libelle.nl:443,https,,text/html,GET,2.17.100.138,/,890379900,2a02:26f0:ab00::214:8e59,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3A%2F%2Fwinkelen.libelle.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,
wp.libelle.nl,Access Denied,401,263,wp.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,wp.libelle.nl,443,https://wp.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.138,/,-530395637,2a02:26f0:ab00::214:8e59,10,False,https://depersgroep.report-uri.io/r/default/csp/enforce,HSTS,,,,
www.libelle.nl,DPG Media Privacy Gate,200,8837,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://www.libelle.nl:443,https,,text/html,GET,95.101.111.150,/,368131872,2a02:26f0:480:23::1726:62aa,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
