input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,webserver,csp_domains_,tls_mismatched,final_url,tls_expired,tls_wildcard_certificate
adr.gtb.db.com,Deutsche Bank - Depositary Receipts,200,81242,adr.gtb.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-02-27T23:59:59Z,"CN=adr.gtb.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",adr.gtb.db.com,Deutsche Bank AG,www.adr.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,5cad33758d41b4fc05e653d4c7f62d02,dc6254869d948dc3d280361f4fb4eb2b087601ce245c4d53d4a92e5e13b0a1d9,ctls,adr.gtb.db.com,,443,https://adr.gtb.db.com:443,https,GET,160.83.69.92,/,-780928015,160.83.69.92,jQuery,1214,False,,text/html,Apache,,,,,
ahg.db.com,Home - Alfred Herrhausen Gesellschaft,200,97503,ahg.db.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-22T00:00:00Z,2024-02-21T23:59:59Z,"CN=ahg.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ahg.db.com,Deutsche Bank AG,herrhausen-gesellschaft.de,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,611bc9783bd847b16099b86659e4a781,d58db038a2d278c89a0980e3805978ff5064c7f7d17607758a60428627fc2563,ctls,ahg.db.com,,443,https://ahg.db.com:443,https,GET,2.17.100.217,/,1805268439,2a02:26f0:ab00::214:8e63,Java,1466,False,,text/html,Apache,,,,,
ais.db.com,Default page,200,366,ais.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-11T00:00:00Z,2024-02-13T23:59:59Z,"CN=ais.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ais.db.com,Deutsche Bank AG,ais.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,8938a7129b98109fc2a77cfecfd1c3d1,c39fd62267e0bb01e4c027858de9354acb6bf5527b84134b085b5854685b149b,ctls,ais.db.com,,443,https://ais.db.com:443,https,GET,160.83.8.69,/,-780928015,160.83.8.69,HSTS,19,False,,text/html,Apache,,,,,
am.australia.db.com,Home,200,71404,country.db.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=country.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",country.db.com,Deutsche Bank AG,taiwan.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,1cd474ede3459b10c4e57ce683b93bd5,9a20aed456ae3e97917b6bd73f6689420d0dfcd9ea24e31ca264d902a1b94a47,ctls,country.db.com,,443,https://am.australia.db.com:443,https,GET,202.21.225.16,/,1876809674,202.21.225.16,Java,1150,False,,text/html,Apache,,,https://country.db.com/australia/,,
ams-dev.developer.db.com,401 Unauthorized,401,381,ams-dev.developer.db.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=ams-prd.developer.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ams-prd.developer.db.com,Deutsche Bank AG,ams-dev.developer.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,077cd958ba17d33b244e22fd7c929c84,8bc560b3ec90e41d6b6fad630f62affbe84688a85055317366e2299a4bed4835,ctls,ams-dev.developer.db.com,cloudfront,443,https://ams-dev.developer.db.com:443,https,GET,13.224.189.57,/,-392200610,2600:9000:20eb:3c00:16:a72c:a080:93a1,HSTS,13,False,True,text/html,Apache,,,,,
ams-int.developer.db.com,401 Unauthorized,401,381,ams-int.developer.db.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=ams-prd.developer.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ams-prd.developer.db.com,Deutsche Bank AG,ams-dev.developer.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,077cd958ba17d33b244e22fd7c929c84,8bc560b3ec90e41d6b6fad630f62affbe84688a85055317366e2299a4bed4835,ctls,ams-int.developer.db.com,cloudfront,443,https://ams-int.developer.db.com:443,https,GET,99.86.4.90,/,-392200610,2600:9000:2057:200:a:6de0:5c0:93a1,HSTS,13,False,True,text/html,Apache,,,,,
ams-uat.developer.db.com,401 Unauthorized,401,381,ams-uat.developer.db.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=ams-prd.developer.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ams-prd.developer.db.com,Deutsche Bank AG,ams-dev.developer.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,077cd958ba17d33b244e22fd7c929c84,8bc560b3ec90e41d6b6fad630f62affbe84688a85055317366e2299a4bed4835,ctls,ams-uat.developer.db.com,cloudfront,443,https://ams-uat.developer.db.com:443,https,GET,143.204.215.98,/,-392200610,2600:9000:214f:1600:1f:db39:2000:93a1,HSTS,13,False,True,text/html,Apache,,,,,
ap-db-direct.egslb.db.com,Default page,200,366,ap-db-direct.egslb.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-01T00:00:00Z,2024-04-02T23:59:59Z,"CN=ap-db-direct.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",ap-db-direct.db.com,Deutsche Bank AG,staging.ext.ap-db-direct.intranet.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,fdc3331067cbf2948fed33cb2008082a,553188b2f35b13b1546daccae038beb5ee39544638cc3db32add97856ae7c89d,ctls,ap-db-direct.egslb.db.com,,443,https://ap-db-direct.egslb.db.com:443,https,GET,160.83.59.92,/,-448706520,160.83.59.92,HSTS,19,False,,text/html,Apache,,True,,,
ap.db.com,Home,200,70661,country.db.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=country.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",country.db.com,Deutsche Bank AG,taiwan.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,1cd474ede3459b10c4e57ce683b93bd5,9a20aed456ae3e97917b6bd73f6689420d0dfcd9ea24e31ca264d902a1b94a47,ctls,country.db.com,,443,https://ap.db.com:443,https,GET,160.83.8.40,/,1150241757,160.83.8.40,Java,957,False,,text/html,Apache,,,https://country.db.com/asia-pacific/?language_id=1&kid=asiapacific.redirect-en.shortcut,,
api-b1.demo.autobahnfx.db.com,Error 400 Bad Request,400,407,api-b1.demo.autobahnfx.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-16T23:59:59Z,"CN=demo-ext-b1-uk.demo.autobahnfx.gm.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",demo-ext-b1-uk.demo.autobahnfx.gm.db.com,Deutsche Bank AG,demo-ext-b9-uk.extuat.autobahnfx.gm.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,35fc0a5abadb5ad18f3ebc7a3bb7fa91,56d20c9286add2327598e29d3328ce1c401416e5679879bf1027bdd1cfa7676c,ctls,api-b1.demo.autobahnfx.db.com,,443,https://api-b1.demo.autobahnfx.db.com:443,https,GET,160.83.58.30,/,-1667268318,160.83.58.30,HSTS,12,False,,text/html,,,,,,
api-b1.extuat.autobahnfx.db.com,Error 400 Bad Request,400,407,api-b1.extuat.autobahnfx.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-16T23:59:59Z,"CN=demo-ext-b1-uk.demo.autobahnfx.gm.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",demo-ext-b1-uk.demo.autobahnfx.gm.db.com,Deutsche Bank AG,demo-ext-b9-uk.extuat.autobahnfx.gm.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,35fc0a5abadb5ad18f3ebc7a3bb7fa91,56d20c9286add2327598e29d3328ce1c401416e5679879bf1027bdd1cfa7676c,ctls,api-b1.extuat.autobahnfx.db.com,,443,https://api-b1.extuat.autobahnfx.db.com:443,https,GET,160.83.58.28,/,-1667268318,160.83.58.28,HSTS,12,False,,text/html,,,,,,
api-p1.demo.autobahnfx.db.com,Error 400 Bad Request,400,407,api-p1.demo.autobahnfx.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-16T23:59:59Z,"CN=demo-ext-a1-uk.demo.autobahnfx.gm.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",demo-ext-a1-uk.demo.autobahnfx.gm.db.com,Deutsche Bank AG,demo-ext-a9-uk.extuat.autobahnfx.gm.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,df97741cb76b09ec12dedb2a9fc45fc7,f10b8779fab63d144fd0abf8fd644681e9aa67c88f6143a93d8905d25571dd06,ctls,api-p1.demo.autobahnfx.db.com,,443,https://api-p1.demo.autobahnfx.db.com:443,https,GET,160.83.56.130,/,-1667268318,160.83.56.130,HSTS,12,False,,text/html,,,,,,
api-p1.extuat.autobahnfx.db.com,Error 400 Bad Request,400,407,api-p1.extuat.autobahnfx.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-16T23:59:59Z,"CN=demo-ext-a1-uk.demo.autobahnfx.gm.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",demo-ext-a1-uk.demo.autobahnfx.gm.db.com,Deutsche Bank AG,demo-ext-a9-uk.extuat.autobahnfx.gm.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,df97741cb76b09ec12dedb2a9fc45fc7,f10b8779fab63d144fd0abf8fd644681e9aa67c88f6143a93d8905d25571dd06,ctls,api-p1.extuat.autobahnfx.db.com,,443,https://api-p1.extuat.autobahnfx.db.com:443,https,GET,160.83.56.158,/,-1667268318,160.83.56.158,HSTS,12,False,,text/html,,,,,,
