new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,symlsse01extweb.rabobank.com,85.119.16.191,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,sympdrsbc01.rabobank.com,203.41.132.138,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,syppdrsbc01.rabobank.com,203.41.138.13,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,sys.pcf-t01-we.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,tcf-pdac-a.bi-web.rabobank.com,"13.107.213.45, 13.107.246.45","acc-x192-frontdoor.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,"2620:1ec:4f:1::45, 2620:1ec:4e:1::45",,,,,,,,
,tcf-pdac.rabobank.com,"13.107.213.40, 13.107.246.40","prd-x192-frontdoor.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0012.t-0009.t-msedge.net, part-0012.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:bdf::40, 2620:1ec:46::40",,,,,,,,
,telewerkportaal.rabobank.nl,145.72.120.6,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,test.acorn.rabobank.com,20.234.167.148,acorn-test.azure.rabo.cloud,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,"ns1-04.azure-dns.com, ns2-04.azure-dns.net, ns3-04.azure-dns.org, ns4-04.azure-dns.info",,,,
,time2grow.rabobank.nl,"213.214.123.34, 96.7.49.67, 23.61.199.64, 193.108.91.191, 184.26.160.64, 95.101.36.65, 95.100.175.66",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,2a02:26f0:67::42,"v=spf1 ip4:213.214.103.13 include:rabobank.nl -all, nVh8d7vOsCmghH0DXblhejTY2+JVWzVK2gsEp0mpXw2RQwwZ29w88E0LBFJaWVVf1BWYpzmrEbYNRXpYyOueDg==",,,"a7-64.akam.net, a12-64.akam.net, a3-67.akam.net, a18-65.akam.net, a20-66.akam.net, a1-191.akam.net",,,,
,trace.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,trackingapi.cloudbr.rabobank.com,191.233.28.160,appgtw-prd-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
