input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_self_signed,csp_domains_,final_url
cdn-01-origin.steampowered.com,,200,45,cdn-01-origin.steampowered.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-02-09T00:36:53Z,2032-02-07T00:36:53Z,"CN=cdnlb.steamserver.net, O=Valve Corp, L=Bellevue, ST=Washington, C=US",cdnlb.steamserver.net,Valve Corp,,"CN=cdnlb.steamserver.net, O=Valve Corp, L=Bellevue, ST=Washington, C=US",cdnlb.steamserver.net,Valve Corp,44cb4a20155029f2e7c82f233ef931b4,d635c492e29666d7d952d4ab546878e0adf24a1e1c4e35703beff7af7dc54f33,,ctls,cdn-01-origin.steampowered.com,443,https://cdn-01-origin.steampowered.com:443,https,nginx,text/html,GET,208.78.165.154,/,-1974639669,192.69.97.5,Nginx,7,False,,,True,,
cdn-01.steampowered.com,,200,45,cdn-01.steampowered.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-02-09T00:36:53Z,2032-02-07T00:36:53Z,"CN=cdnlb.steamserver.net, O=Valve Corp, L=Bellevue, ST=Washington, C=US",cdnlb.steamserver.net,Valve Corp,,"CN=cdnlb.steamserver.net, O=Valve Corp, L=Bellevue, ST=Washington, C=US",cdnlb.steamserver.net,Valve Corp,44cb4a20155029f2e7c82f233ef931b4,d635c492e29666d7d952d4ab546878e0adf24a1e1c4e35703beff7af7dc54f33,,ctls,cdn-01.steampowered.com,443,https://cdn-01.steampowered.com:443,https,nginx,text/html,GET,192.69.97.5,/,-1974639669,208.78.167.26,Nginx,7,False,,,True,,
cdn.dota2.com,,200,45,cdn.dota2.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-03T00:00:00Z,2024-03-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6d73d5d93390a9a18f18d88ea5086a8b,be1b5a54cc5df88f1c4fed178b55773d765603be14f34e7680546b4f99330afe,,ctls,cdn.dota2.com,443,https://cdn.dota2.com:443,https,cloudflare,text/html,GET,172.64.150.199,/,-1974639669,104.18.37.57,Cloudflare,7,False,cloudflare,True,,,
cdn.steamcommunity.com,Access Denied,403,272,cdn.steamcommunity.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn.steamcommunity.com,443,https://cdn.steamcommunity.com:443,https,AkamaiGHost,text/html,GET,95.101.54.195,/,2125331150,2.16.202.113,,10,False,,,,,
cdn.steampowered.com,Welcome to Steam,200,539273,cdn.steampowered.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn.steampowered.com,443,https://cdn.steampowered.com:443,https,nginx,text/html,GET,184.24.77.145,/,2125331150,184.24.77.171,Nginx,3202,False,,,,https://www.gstatic.com,
cdn.store.steampowered.com,Access Denied,403,279,cdn.store.steampowered.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn.store.steampowered.com,443,https://cdn.store.steampowered.com:443,https,AkamaiGHost,text/html,GET,23.53.42.10,/,2125331150,23.53.41.250,,10,False,,,,,
cdn4.steampowered.com,Service Unavailable,503,269,cdn4.steampowered.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn4.steampowered.com,443,https://cdn4.steampowered.com:443,https,AkamaiGHost,text/html,GET,23.213.161.17,/,-1603402983,23.213.161.6,,9,False,,,,,
cdn4.store.steampowered.com,Welcome to Steam,200,545956,cdn4.store.steampowered.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn4.store.steampowered.com,443,https://cdn4.store.steampowered.com:443,https,nginx,text/html,GET,2.19.126.86,/,2125331150,2.19.126.78,Nginx,3216,False,,,,https://steamloopback.host,
ckhanda.new.blog.counter-strike.net,Counter-Strike: Global Offensive,200,57654,blog.counter-strike.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T16:33:27Z,2023-06-16T16:33:26Z,CN=tls.automattic.com,tls.automattic.com,,www.thisistemporary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eaaf56cfaefe20a9d933527d34bb1db7,43a2f010dfef1f21041b79ed31a53e55fd56d043435433c01b5e07e46ff3894b,,ctls,blog.counter-strike.net,443,https://ckhanda.new.blog.counter-strike.net:443,https,nginx,text/html,GET,192.0.78.24,/,1274734426,192.0.78.25,WordPress.com,1165,False,,,,,https://blog.counter-strike.net/
cm1-dfw1.cm.steampowered.com,404 Not Found,404,92,cm1-dfw1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-dfw1.cm.steampowered.com,443,https://cm1-dfw1.cm.steampowered.com:443,https,,text/html,GET,155.133.253.34,/,-754270322,155.133.253.34,,8,False,,,,,
cm1-eze1.cm.steampowered.com,404 Not Found,404,92,cm1-eze1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-eze1.cm.steampowered.com,443,https://cm1-eze1.cm.steampowered.com:443,https,,text/html,GET,155.133.255.100,/,-754270322,155.133.255.100,,8,False,,,,,
cm1-lax1.cm.steampowered.com,404 Not Found,404,92,cm1-lax1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-lax1.cm.steampowered.com,443,https://cm1-lax1.cm.steampowered.com:443,https,,text/html,GET,162.254.195.66,/,-754270322,162.254.195.66,,8,False,,,,,
cm1-lhr1.cm.steampowered.com,404 Not Found,404,92,cm1-lhr1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-lhr1.cm.steampowered.com,443,https://cm1-lhr1.cm.steampowered.com:443,https,,text/html,GET,162.254.196.67,/,-754270322,162.254.196.67,,8,False,,,,,
cm1-lim1.cm.steampowered.com,404 Not Found,404,92,cm1-lim1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-lim1.cm.steampowered.com,443,https://cm1-lim1.cm.steampowered.com:443,https,,text/html,GET,190.217.33.68,/,-754270322,190.217.33.68,,8,False,,,,,
cm1-ord1.cm.steampowered.com,404 Not Found,404,92,cm1-ord1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-ord1.cm.steampowered.com,443,https://cm1-ord1.cm.steampowered.com:443,https,,text/html,GET,162.254.193.102,/,-754270322,162.254.193.102,,8,False,,,,,
cm1-scl1.cm.steampowered.com,404 Not Found,404,92,cm1-scl1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-scl1.cm.steampowered.com,443,https://cm1-scl1.cm.steampowered.com:443,https,,text/html,GET,155.133.249.196,/,-754270322,155.133.249.196,,8,False,,,,,
cm1-sea1.cm.steampowered.com,404 Not Found,404,92,cm1-sea1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-sea1.cm.steampowered.com,443,https://cm1-sea1.cm.steampowered.com:443,https,,text/html,GET,205.196.6.214,/,-754270322,205.196.6.214,,8,False,,,,,
cm1-sto2.cm.steampowered.com,404 Not Found,404,92,cm1-sto2.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-sto2.cm.steampowered.com,443,https://cm1-sto2.cm.steampowered.com:443,https,,text/html,GET,155.133.252.39,/,-754270322,155.133.252.39,,8,False,,,,,
cm1-tyo1.cm.steampowered.com,404 Not Found,404,92,cm1-tyo1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-tyo1.cm.steampowered.com,443,https://cm1-tyo1.cm.steampowered.com:443,https,,text/html,GET,155.133.245.36,/,-754270322,155.133.245.36,,8,False,,,,,
cm1-tyo2.cm.steampowered.com,404 Not Found,404,92,cm1-tyo2.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-tyo2.cm.steampowered.com,443,https://cm1-tyo2.cm.steampowered.com:443,https,,text/html,GET,155.133.239.20,/,-754270322,155.133.239.20,,8,False,,,,,
cm1-vie1.cm.steampowered.com,404 Not Found,404,92,cm1-vie1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm1-vie1.cm.steampowered.com,443,https://cm1-vie1.cm.steampowered.com:443,https,,text/html,GET,146.66.155.38,/,-754270322,146.66.155.38,,8,False,,,,,
cm2-atl1.cm.steampowered.com,404 Not Found,404,92,cm2-atl1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm2-atl1.cm.steampowered.com,443,https://cm2-atl1.cm.steampowered.com:443,https,,text/html,GET,162.254.199.181,/,-754270322,162.254.199.181,,8,False,,,,,
cm2-fra1.cm.steampowered.com,404 Not Found,404,92,cm2-fra1.cm.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-12T00:00:00Z,2023-07-12T23:59:59Z,"CN=*.steamserver.net, O=Valve Corp., L=Bellevue, ST=Washington, C=US",*.steamserver.net,Valve Corp.,*.steamcontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,97838f2cbe1341fefff520cbfb9d37cb,75f194b60b1af9a78d6e9819a6bf0f2b58203e6b02e104b145301312d02b4f64,True,ctls,cm2-fra1.cm.steampowered.com,443,https://cm2-fra1.cm.steampowered.com:443,https,,text/html,GET,162.254.197.54,/,-754270322,162.254.197.54,,8,False,,,,,
