new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,has_internal_ips,internal_ips,ns,txt,mx,caa
[x],app-snapshot-public.aws-eu.staging.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.65.119.94, 10.65.51.102, 10.65.153.39",,,,internal-9809394b-appsnapshotpublic-b427-1996865700.eu-west-1.elb.amazonaws.com,True,"10.65.119.94, 10.65.51.102, 10.65.153.39",,,,
[x],app-snapshot-public.az-eu.production.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,10.129.64.100,,,,,True,10.129.64.100,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-production-northeurope,external-dns/resource=ingress/app-snapshot-public/app-snapshot-public",,
[x],app-snapshot-public.az-us.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,10.138.68.193,,,,,True,10.138.68.193,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-staging-eastus2,external-dns/resource=ingress/app-snapshot-public/app-snapshot-public",,
[x],app-snapshot-public.eastus2.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,10.138.68.193,,,,,True,10.138.68.193,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-staging-eastus2,external-dns/resource=ingress/app-snapshot-public/app-snapshot-public",,
[x],app-snapshot-public.eu-west-1.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.209.48.79, 52.210.216.73, 52.49.50.188",,,,4179f5a0-appsnapshotpublic-b427-665589860.eu-west-1.elb.amazonaws.com,,,,,,
[x],app-snapshot-public.eu-west-1.dev.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.177.255, 10.66.44.151, 10.66.72.182",,,,internal-k8s-appsnaps-appsnaps-2202936234-2050744422.eu-west-1.elb.amazonaws.com,True,"10.66.177.255, 10.66.44.151, 10.66.72.182",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-dev-eu-west-1,external-dns/resource=ingress/app-snapshot-public/app-snapshot-public",,
[x],app-snapshot-public.eu-west-1.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.49.50.188, 52.209.48.79, 52.210.216.73",,,,4179f5a0-appsnapshotpublic-b427-665589860.eu-west-1.elb.amazonaws.com,,,,,,
[x],app-snapshot-public.eu-west-1.staging.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.65.119.94, 10.65.153.39, 10.65.51.102",,,,internal-9809394b-appsnapshotpublic-b427-1996865700.eu-west-1.elb.amazonaws.com,True,"10.65.119.94, 10.65.153.39, 10.65.51.102",,,,
[x],app.contentsquare.com,"ns-1673.awsdns-17.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.32.145.64, 13.32.145.17, 13.32.145.62, 13.32.145.29","2600:9000:20e1:be00:14:5db7:2680:93a1, 2600:9000:20e1:ea00:14:5db7:2680:93a1, 2600:9000:20e1:8800:14:5db7:2680:93a1, 2600:9000:20e1:2c00:14:5db7:2680:93a1, 2600:9000:20e1:4000:14:5db7:2680:93a1, 2600:9000:20e1:5e00:14:5db7:2680:93a1, 2600:9000:20e1:3c00:14:5db7:2680:93a1, 2600:9000:20e1:2800:14:5db7:2680:93a1",True,cloudfront,dzsfm1zde8u56.cloudfront.net,,,"ns-1259.awsdns-29.org, ns-1673.awsdns-17.co.uk, ns-184.awsdns-23.com, ns-785.awsdns-34.net",,,
[x],assets.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.74.107, 10.66.178.250, 10.66.46.129",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.74.107, 10.66.178.250, 10.66.46.129",,,,
[x],authentication.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.16.180.112, 54.72.3.2, 52.214.196.108",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,,,
[x],autorecorder.contentsquare.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"34.226.59.28, 52.55.17.150",,,,autorecorder-contentsquare-https-1157673143.us-east-1.elb.amazonaws.com,,,,,,
[x],aws-eu.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],benchmark-dev-eu.beta.contentsquare.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"54.194.54.201, 63.32.193.188, 52.31.46.155",,,,d-n7vrbnamk9.execute-api.eu-west-1.amazonaws.com,,,,,,
[x],benchmark-dev-us.beta.contentsquare.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.157.142.114, 52.44.130.74, 52.200.245.207",,,,d-jfmfhhsd6d.execute-api.us-east-1.amazonaws.com,,,,,,
[x],blog.contentsquare.com,"jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.227, 199.60.103.29","2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,,"2640385.group35.sites.hubspot.net, group35.sites.hscoscdn30.net",,,,,,
[x],brand.contentsquare.com,"jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.227, 199.60.103.29","2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,,"2640385.group35.sites.hubspot.net, group35.sites.hscoscdn30.net",,,,,,
[x],chatamart-dev-eu.beta.contentsquare.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"52.213.194.104, 52.215.61.205, 34.249.29.197",,,,d-5drs0c44bi.execute-api.eu-west-1.amazonaws.com,,,,,,
[x],chatamart-dev-us.beta.contentsquare.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.226.57.90, 52.204.225.93, 54.210.243.228",,,,d-bke9igjjq0.execute-api.us-east-1.amazonaws.com,,,,,,
[x],chatamart-eu.beta.contentsquare.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,"52.51.235.62, 52.31.130.138, 99.81.108.200",,,,d-s799lk48xg.execute-api.eu-west-1.amazonaws.com,,,,,,
[x],chatamart-us.beta.contentsquare.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.204.225.93, 54.226.57.90, 54.210.243.228",,,,d-x5841wxbu6.execute-api.us-east-1.amazonaws.com,,,,,,
[x],community.contentsquare.com,,NOERROR,"52.222.214.52, 52.222.214.31, 52.222.214.46, 52.222.214.43","2600:9000:223d:fc00:1f:5b3a:7bc0:93a1, 2600:9000:223d:6600:1f:5b3a:7bc0:93a1, 2600:9000:223d:4400:1f:5b3a:7bc0:93a1, 2600:9000:223d:8200:1f:5b3a:7bc0:93a1, 2600:9000:223d:9000:1f:5b3a:7bc0:93a1, 2600:9000:223d:c200:1f:5b3a:7bc0:93a1, 2600:9000:223d:9400:1f:5b3a:7bc0:93a1, 2600:9000:223d:a000:1f:5b3a:7bc0:93a1",True,cloudfront,"contentsquare-en-community.insided.com, dt7dxqbzq1c6n.cloudfront.net",,,,,,
[x],console.contentsquare.com,"ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.18, 52.222.236.116, 52.222.236.15, 52.222.236.129","2600:9000:223e:4000:8:f3fc:6c80:93a1, 2600:9000:223e:d200:8:f3fc:6c80:93a1, 2600:9000:223e:2400:8:f3fc:6c80:93a1, 2600:9000:223e:5e00:8:f3fc:6c80:93a1, 2600:9000:223e:e400:8:f3fc:6c80:93a1, 2600:9000:223e:c600:8:f3fc:6c80:93a1, 2600:9000:223e:4400:8:f3fc:6c80:93a1, 2600:9000:223e:ae00:8:f3fc:6c80:93a1",True,cloudfront,d1r3d02pihrm42.cloudfront.net,,,"ns-33.awsdns-04.com, ns-854.awsdns-42.net, ns-1337.awsdns-39.org, ns-1669.awsdns-16.co.uk",,,
[x],content.contentsquare.com,"cory.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.19.241.93, 104.19.240.93",,True,cloudflare,app.bubble.io,,,,,,
[x],contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"141.193.213.10, 141.193.213.11",,,,,,,"aiden.ns.cloudflare.com, candy.ns.cloudflare.com","pendo-domain-verification=1D6F5BA8-FE11-4318-8FE1-72CFCF15C56F, sophos-domain-verification=30c48c093bb6a5d063832760858ee1e369455021bb2d4b9709d204d49b5c030c, v=spf1 ip4:208.117.49.186 ip4:5.61.115.80/28 ip4:167.89.73.35 include:_spf.google.com include:_spf.salesforce.com include:amazonses.com include:2640385.spf04.hubspotemail.net include:mail.zendesk.com include:_spf.sidetrade.net include:smtp-out.ivalua.fr -, all, EF6D3FE2F2, HmN7uRTj=2d89876a3f4545f04b472ef9acfb9c87, MS=ms26096917, apple-domain-verification=rMcXdIrQMfqu8Pzx, atlassian-domain-verification=PhFr7m+NL66maSfKMnRb1Rp8vhGVbDLPyYPLSDZHPjabIXsfpOtGHQLoNBKzRoZ6, docker-verification=c6aac1e6-e593-4b62-879c-a36b6bd73bba, docusign=9df67376-ec77-47f3-bff7-33448c3414d3, docusign=e5762b5b-4d6a-4b59-9fbc-ef8f2d6df225, google-site-verification=4Jvtwdq6f-dBuib8TqlvdN0DmvIYRR_OcjNJMpmb8aI, google-site-verification=_m_yjvkndvWyowxevOdDn6xIgyDCDUns4mb2e2QhFLc, google-site-verification=dog4ffa9P9V754I6ABLm2zki5E07Ht2ajlkzGNxq0_s, google-site-verification=hKMf0itiWcqxfbZp_SeZU1J-Hl-BZezEFAQXPCjBrz0, google-site-verification=oMlNghasZdHH7ZmMshiCtOBb7IORWiG5Oq0LZqdelVs, google-site-verification=pT4U2WFivgzJ2WLgf-YImmCP3eENOJ5qMG8Ej8fKBk4, k=rsa; t=s; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDPtW5iwpXVPiH5FzJ7Nrl8USzuY9zqqzjE0D1r04xDN6qwziDnmgcFNNfMewVKN2D1O+2J9N14hRprzByFwfQW76yojh54Xu3uSbQ3JP0A7k8o8GutRF8zbFUA8n0ZH2y0cIEjMliXY4W4LwPA7m4q0ObmvSjhd63O9d8z1XkUBwIDAQAB, onetrust-domain-verification=2ec4cecd5a87465cb2d21180d6d9772e","alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com",
[x],cs-app-cs-live-merchandising.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],cs-control-tower.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],cs-explore-dev.beta.contentsquare.com,"ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,"18.65.39.110, 18.65.39.72, 18.65.39.96, 18.65.39.41",,True,cloudfront,,,,,,,
[x],cs-live-merchandising.contentsquare.com,"ns-2024.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.224.222.33, 13.224.222.26, 13.224.222.11, 13.224.222.87","2600:9000:2171:1a00:14:30f7:2940:93a1, 2600:9000:2171:e800:14:30f7:2940:93a1, 2600:9000:2171:ac00:14:30f7:2940:93a1, 2600:9000:2171:b800:14:30f7:2940:93a1, 2600:9000:2171:8e00:14:30f7:2940:93a1, 2600:9000:2171:f200:14:30f7:2940:93a1, 2600:9000:2171:a00:14:30f7:2940:93a1, 2600:9000:2171:9e00:14:30f7:2940:93a1",True,cloudfront,d8krv6ncc7zqd.cloudfront.net,,,"ns-1402.awsdns-47.org, ns-185.awsdns-23.com, ns-2024.awsdns-61.co.uk, ns-1022.awsdns-63.net",,,
[x],csd.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.152.29, 104.21.56.135","2606:4700:3031::6815:3887, 2606:4700:3034::ac43:981d",True,cloudflare,,,,,,,
[x],csquad.contentsquare.com,"jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.29, 199.60.103.227","2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,,"2640385.group35.sites.hubspot.net, group35.sites.hscoscdn30.net",,,,,,
[x],csquad.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.46.129, 10.66.178.250, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.46.129, 10.66.178.250, 10.66.74.107",,,,
[x],csx.beta.contentsquare.com,"ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.79, 18.66.122.66, 18.66.122.8, 18.66.122.24",,True,cloudfront,,,,,,,
[x],decisionboard-staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],demo-fsi.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],dl.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],engineering.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.21.56.135, 172.67.152.29","2606:4700:3031::6815:3887, 2606:4700:3034::ac43:981d",True,cloudflare,,,,,,,
[x],enrichment-api-staging.af.contentsquare.com,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,10.138.8.251,,,,,True,10.138.8.251,,"\""heritage=external-dns,external-dns/owner=external-dns-private-aks-papin-staging-eastus2,external-dns/resource=ingress/capi/capi\""",,
[x],enrichment-api-staging.ba.contentsquare.com,"ns-687.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,"10.65.117.222, 10.65.153.214, 10.65.51.24",,,,,True,"10.65.117.222, 10.65.153.214, 10.65.51.24",,"heritage=external-dns,external-dns/owner=external-dns-private-zidane-staging-eu-west-1,external-dns/resource=ingress/capi/capi",,
[x],enrichment-api.aa.contentsquare.com,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,20.191.43.109,,True,azure,,,,,"\""heritage=external-dns,external-dns/owner=external-dns-private-aks-papin-production-northeurope,external-dns/resource=ingress/capi/capi\""",,
[x],enrichment-api.af.contentsquare.com,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,20.72.122.61,,,,,,,,"\""heritage=external-dns,external-dns/owner=external-dns-private-aks-papin-production-eastus2,external-dns/resource=ingress/capi/capi\""",,
[x],enrichment-api.bf.contentsquare.com,"ns-31.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,"34.232.34.138, 34.199.100.251, 3.232.34.14",,,,,,,,"heritage=external-dns,external-dns/owner=external-dns-private-zidane-production-us-east-1,external-dns/resource=ingress/capi/capi",,
[x],eu-west-1.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],eu-west-1.dev.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],eu-west-1.production.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],eu-west-1.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],experience.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],explore.contentsquare.com,"ns-1821.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.166.22.86, 34.206.123.46, 52.1.224.104, 52.70.171.84",,,,alb-contentsquare.pathfactory.com,,,,,,
[x],externalapi-staging.contentsquare.com,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.65.155.88, 10.65.50.214, 10.65.119.176",,,,traefik-v3-zidane-staging-dbb6679d5d861fed.elb.eu-west-1.amazonaws.com,True,"10.65.155.88, 10.65.50.214, 10.65.119.176",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-staging-eu-west-1,external-dns/resource=ingress/app-services/gateway-external",,
[x],externalapi.aws-eu.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.16.180.112, 54.72.3.2, 52.214.196.108",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,,,
[x],externalapi.az-eu.production.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.191.43.109,,True,azure,,,,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-production-northeurope,external-dns/resource=ingress/app-services/gateway-external-external",,
[x],externalapi.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.16.180.112, 54.72.3.2, 52.214.196.108",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,,,
[x],externalapi.eu-west-1.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"54.72.3.2, 52.214.196.108, 52.16.180.112",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,,,
[x],externalapi.eu-west-1.staging.contentsquare.com,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.65.155.88, 10.65.50.214, 10.65.119.176",,,,traefik-v3-zidane-staging-dbb6679d5d861fed.elb.eu-west-1.amazonaws.com,True,"10.65.155.88, 10.65.50.214, 10.65.119.176",,,,
[x],files.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],foundation.contentsquare.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"141.193.213.11, 141.193.213.10",,,,wp.wpenginepowered.com,,,,,,
[x],frontends-dev.contentsquare.com,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,traefik-v3-zidane-dev-6a2e4161c3989a7e.elb.eu-west-1.amazonaws.com,,,,,,
