input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,tls_mismatched,final_url
assets.getmoneytree.com,,403,243,assets.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-05T00:00:00Z,2024-06-03T23:59:59Z,"CN=getmoneytree.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",getmoneytree.com,getmoneytree.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cef2d2f68de24434ba1d27ff2d0cf3a5,a1defa7a2d1c5ec978df94219b5645d7a3e7334793f3d3c8d196e8b162f50d02,True,ctls,assets.getmoneytree.com,cloudflare,443,https://assets.getmoneytree.com:443,https,cloudflare,application/xml,GET,188.114.96.3,/,1487665095,2a06:98c1:3121::3,HTTP/3,2,False,True,"Cloudflare, Inc.",,,
assets.moneytree.jp,,403,243,assets.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-03-24T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8d24a66407e0ee1f0e9cc2b357ae7a7c,40ab55aa2acc0d7d239e3d20c117223416ebab79a2377fafc78d46541e900ec2,True,ctls,assets.moneytree.jp,cloudfront,443,https://assets.moneytree.jp:443,https,AmazonS3,application/xml,GET,18.66.112.40,/,652566637,2600:9000:223f:3c00:1c:68f5:7000:93a1,Amazon Web Services,2,False,True,,,,
bam.nr-data.net,,404,2,bam.nr-data.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.nr-data.net, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.nr-data.net,nr-data.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f18c89bd942bf5fa0e43b69e1682be8a,34ffa5499509d896c902d083216c95d314faee049e2cf6183a38b98d57c91a07,True,ctls,bam.nr-data.net,,443,https://bam.nr-data.net:443,https,,application/json,GET,162.247.243.29,/,-1206076886,162.247.243.29,,1,False,,"New Relic, Inc.",,,
business-staging.getmoneytree.com,Moneytree Business - staging,200,475,business-staging.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-05T00:00:00Z,2024-06-03T23:59:59Z,"CN=getmoneytree.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",getmoneytree.com,getmoneytree.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cef2d2f68de24434ba1d27ff2d0cf3a5,a1defa7a2d1c5ec978df94219b5645d7a3e7334793f3d3c8d196e8b162f50d02,True,ctls,business-staging.getmoneytree.com,cloudflare,443,https://business-staging.getmoneytree.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,-1656373574,2a06:98c1:3120::3,Varnish,16,False,True,"Cloudflare, Inc.",,,
categorizer-staging.moneytree.jp,The page you were looking for doesn't exist (404),404,1564,categorizer-staging.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-11-05T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c6ed3bec315a1992849bca53ee67b1c,23ae0401b5eef720ce0678d7cb709b59ef21eefdf57c8afb618024013de37a61,True,ctls,categorizer-staging.moneytree.jp,cloudfront,443,https://categorizer-staging.moneytree.jp:443,https,,text/html,GET,108.138.7.44,/,-1840324437,108.138.7.80,Amazon Web Services,68,False,True,,,,
categorizer.moneytree.jp,The page you were looking for doesn't exist (404),404,1564,categorizer.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-03-24T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8d24a66407e0ee1f0e9cc2b357ae7a7c,40ab55aa2acc0d7d239e3d20c117223416ebab79a2377fafc78d46541e900ec2,True,ctls,categorizer.moneytree.jp,cloudfront,443,https://categorizer.moneytree.jp:443,https,,text/html,GET,18.66.112.40,/,-1840324437,18.66.112.127,Amazon Web Services,68,False,True,,,,
csv-uploader.getmoneytree.com,403 Forbidden,403,454,csv-uploader.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-05T00:00:00Z,2024-06-03T23:59:59Z,"CN=getmoneytree.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",getmoneytree.com,getmoneytree.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cef2d2f68de24434ba1d27ff2d0cf3a5,a1defa7a2d1c5ec978df94219b5645d7a3e7334793f3d3c8d196e8b162f50d02,True,ctls,csv-uploader.getmoneytree.com,cloudflare,443,https://csv-uploader.getmoneytree.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,-1346677519,2a06:98c1:3120::3,HTTP/3,19,False,True,"Cloudflare, Inc.",,,
dashboard.getmoneytree.com,Moneytree Control Center,200,1193,dashboard.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-05T00:00:00Z,2024-06-03T23:59:59Z,"CN=getmoneytree.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",getmoneytree.com,getmoneytree.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cef2d2f68de24434ba1d27ff2d0cf3a5,a1defa7a2d1c5ec978df94219b5645d7a3e7334793f3d3c8d196e8b162f50d02,True,ctls,dashboard.getmoneytree.com,cloudflare,443,https://dashboard.getmoneytree.com:443,https,cloudflare,text/html,GET,188.114.97.3,/,-1976910650,2a06:98c1:3121::3,HTTP/3,28,False,True,"Cloudflare, Inc.",,,
docs.link.getmoneytree.com,Moneytree LINK製品・技術概要,200,407243,docs.link.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T00:00:00Z,2024-06-13T23:59:59Z,"CN=docs.link.getmoneytree.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",docs.link.getmoneytree.com,docs.link.getmoneytree.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",661be727554235b3e0cfa22f685abe3f,107c12cad5d857ca0b1ac06a38ea1f5c40372056897d5b806c5993d62b9f5dbd,,ctls,docs.link.getmoneytree.com,cloudflare,443,https://docs.link.getmoneytree.com:443,https,cloudflare,text/html,GET,104.18.210.56,/,-1972962719,2606:4700::6812:d338,Heroku,550,False,True,"Cloudflare, Inc.",,,https://docs.link.getmoneytree.com/docs
faq.getmoneytree.com,よくあるご質問,200,25143,faq.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T10:40:28Z,2023-08-24T10:40:27Z,CN=faq.getmoneytree.com,faq.getmoneytree.com,faq.getmoneytree.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,6c636b7fa9cc24fd592631eda97f5146,11c0a6293d80608de07b3bedbc6976caf7388d3e406d4171e16141fc3adca459,,ctls,faq.getmoneytree.com,,443,https://faq.getmoneytree.com:443,https,cloudflare,text/html,GET,199.60.103.30,/,-1063161385,2606:2c40::c73c:67e2,HubSpot CMS Hub,706,False,,,,,
gocashless.getmoneytree.com,Moneytree,200,56032,getmoneytree.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T14:11:48Z,2023-09-26T14:11:47Z,CN=getmoneytree.com,getmoneytree.com,getmoneytree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e10c5956f34f3969d72b93da6a3aed9,e2ed44e473624b19531f0d4c727b7cf60edd99789bfad01d25706d126da05db1,,ctls,getmoneytree.com,cloudflare,443,https://gocashless.getmoneytree.com:443,https,,text/html,GET,188.114.96.3,/,1404484237,2a06:98c1:3120::3,Webflow,1040,False,True,,,,https://getmoneytree.com/
https://sentry.io/api/1524901,Sign In | Sentry,200,19138,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,google,443,https://sentry.io:443/api/1524901,https,nginx,text/html,GET,35.188.42.15,/api/1524901,-1840324437,35.188.42.15,Python,527,False,True,Sentry,aui-cdn.atlassian.com,,https://sentry.io/auth/login/
https://sentry.io/api/1524901/,Sign In | Sentry,200,19138,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,google,443,https://sentry.io:443/api/1524901/,https,nginx,text/html,GET,35.188.42.15,/api/1524901/,-1840324437,35.188.42.15,Python,527,False,True,Sentry,pendo-static-5634074999128064.storage.googleapis.com,,https://sentry.io/auth/login/
institutions-staging.moneytree.jp,Moneytree 対応金融機関およびサービス一覧,200,1002445,institutions-staging.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-11-05T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c6ed3bec315a1992849bca53ee67b1c,23ae0401b5eef720ce0678d7cb709b59ef21eefdf57c8afb618024013de37a61,True,ctls,institutions-staging.moneytree.jp,cloudfront,443,https://institutions-staging.moneytree.jp:443,https,AmazonS3,text/html,GET,18.66.122.89,/,-859943130,2600:9000:2250:c400:13:1d12:c880:93a1,Amazon Web Services,1,False,True,,,,
institutions.moneytree.jp,Moneytree 対応金融機関およびサービス一覧,200,1030605,institutions.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-03-24T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8d24a66407e0ee1f0e9cc2b357ae7a7c,40ab55aa2acc0d7d239e3d20c117223416ebab79a2377fafc78d46541e900ec2,True,ctls,institutions.moneytree.jp,cloudfront,443,https://institutions.moneytree.jp:443,https,AmazonS3,text/html,GET,13.225.78.114,/,-216549634,2600:9000:21f3:3600:b:ca01:2500:93a1,Amazon Web Services,1,False,True,,,,
jp-api-staging.getmoneytree.com,Moneytree,200,29903,jp-api-staging.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-10T23:59:59Z,CN=*.getmoneytree.com,*.getmoneytree.com,*.getmoneytree.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b0dda9e67160870feb2120812a2f62ab,5a19ff97fea6230861f09a8f8b8c0ddccba929febd81a632dd7f9d82127d2b5b,True,ctls,jp-api-staging.getmoneytree.com,cloudfront,443,https://jp-api-staging.getmoneytree.com:443,https,,text/html,GET,65.9.66.117,/,-1840324437,2600:9000:206f:3000:3:cd17:13c0:93a1,Ruby on Rails,80,False,True,,https://*,,https://jp-api-staging.getmoneytree.com/guests/sign_in
jp-api.getmoneytree.com,Moneytree,200,29903,jp-api.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.getmoneytree.com,*.getmoneytree.com,getmoneytree.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d2a5f398e506298633fb989a8854f705,c65f5e15efa6f9d7151aef7a0f3a84398ebbcf0534145abad2da2e8dca172bdd,True,ctls,jp-api.getmoneytree.com,cloudfront,443,https://jp-api.getmoneytree.com:443,https,,text/html,GET,18.66.112.25,/,-1840324437,18.66.112.8,Ruby on Rails,80,False,True,,https://*,,https://jp-api.getmoneytree.com/guests/sign_in
jp-direct-production.moneytree.jp,Moneytree,200,29903,jp-direct-production.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T23:53:40Z,2023-10-04T23:53:39Z,CN=jp-direct-production.moneytree.jp,jp-direct-production.moneytree.jp,jp-direct-production.moneytree.jp,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd9500aa449dbc0751063d35ea55b46a,2ce0efc037997ea0e72e39217a62bad6ccf8677d8ef9b1a98260f2cee59970b4,,ctls,jp-direct-production.moneytree.jp,,443,https://jp-direct-production.moneytree.jp:443,https,,text/html,GET,13.114.78.160,/,-1840324437,3.113.202.249,Ruby on Rails,80,False,,,https://*,,https://jp-direct-production.moneytree.jp/guests/sign_in
jp-direct-staging.moneytree.jp,Moneytree,200,29937,jp-api-staging.getmoneytree.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-10T23:59:59Z,CN=*.getmoneytree.com,*.getmoneytree.com,*.getmoneytree.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b0dda9e67160870feb2120812a2f62ab,5a19ff97fea6230861f09a8f8b8c0ddccba929febd81a632dd7f9d82127d2b5b,True,ctls,jp-api-staging.getmoneytree.com,cloudflare,443,https://jp-direct-staging.moneytree.jp:443,https,,text/html,GET,104.22.27.204,/,-1840324437,2606:4700:10::6816:1acc,Ruby on Rails,81,False,True,,https://*,,https://jp-api-staging.getmoneytree.com/guests/sign_in
jpck1.moneytree.jp,,404,1,jpck1.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-05T23:25:27Z,2023-10-03T23:25:26Z,CN=jpck1.moneytree.jp,jpck1.moneytree.jp,jpck1.moneytree.jp,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e4d8c542249d8428e3ad4b8e4d57539,fa2583a1992e8a8ffb4738058880e02f52ef1de5e1637918abdbfb2bd1de38df,,ctls,jpck1.moneytree.jp,,443,https://jpck1.moneytree.jp:443,https,,text/html,GET,52.193.94.141,/,-1662783523,35.74.216.238,HSTS,2,False,,,,,
jpck2.moneytree.jp,,404,1,jpck2.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-05T23:35:31Z,2023-10-03T23:35:30Z,CN=jpck2.moneytree.jp,jpck2.moneytree.jp,jpck2.moneytree.jp,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1646bc4c99242df602e44c114f5fb5fa,4ca7232cead58af40a03b3fa5857c4e70b02bc7534505074c8a5cd5f9a49be5a,,ctls,jpck2.moneytree.jp,,443,https://jpck2.moneytree.jp:443,https,,text/html,GET,54.250.142.178,/,-1662783523,18.178.40.82,HSTS,2,False,,,,,
js-agent.newrelic.com,,403,243,js-agent.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T21:45:59Z,2024-05-14T21:45:58Z,CN=js-agent.newrelic.com,js-agent.newrelic.com,js-agent.newrelic.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,35b4a439d18d86cd47e25f1a3d5f395a,9d0fc0c11d074cab210985f552a207cfae67f241f5bc36ff2be96769a7fbff7c,,ctls,js-agent.newrelic.com,fastly,443,https://js-agent.newrelic.com:443,https,AmazonS3,application/xml,GET,151.101.2.137,/,1345970523,151.101.194.137,Varnish,2,False,True,,,,
js.intercomcdn.com,,403,275,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.3,/,1301644097,18.66.147.49,HTTP/3,2,False,True,,,,
link.moneytree.jp,LINK Redirect｜Moneytree,200,30864,getmoneytree.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T14:11:48Z,2023-09-26T14:11:47Z,CN=getmoneytree.com,getmoneytree.com,getmoneytree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e10c5956f34f3969d72b93da6a3aed9,e2ed44e473624b19531f0d4c727b7cf60edd99789bfad01d25706d126da05db1,,ctls,getmoneytree.com,,443,https://link.moneytree.jp:443,https,,text/html,GET,199.60.103.30,/,-1063161385,2606:2c40::c73c:67e2,Webflow,1042,False,,,,,https://getmoneytree.com/link-r
metrics.moneytree.jp,ERROR: The request could not be satisfied,502,960,metrics.moneytree.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-03-24T23:59:59Z,CN=*.moneytree.jp,*.moneytree.jp,*.moneytree.jp,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8d24a66407e0ee1f0e9cc2b357ae7a7c,40ab55aa2acc0d7d239e3d20c117223416ebab79a2377fafc78d46541e900ec2,True,ctls,metrics.moneytree.jp,cloudfront,443,https://metrics.moneytree.jp:443,https,CloudFront,text/html,GET,13.32.99.55,/,-916477050,2600:9000:2251:f400:1f:a9ae:8840:93a1,Amazon Web Services,20,False,True,,,,
moneytree.jp,Moneytree,200,56032,getmoneytree.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T14:11:48Z,2023-09-26T14:11:47Z,CN=getmoneytree.com,getmoneytree.com,getmoneytree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e10c5956f34f3969d72b93da6a3aed9,e2ed44e473624b19531f0d4c727b7cf60edd99789bfad01d25706d126da05db1,,ctls,getmoneytree.com,cloudflare,443,https://moneytree.jp:443,https,,text/html,GET,104.22.27.204,/,1186260323,2606:4700:10::6816:1acc,Webflow,1040,False,True,,,,https://getmoneytree.com/
