new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,caa
,spss.vlerick.com,193.190.150.59,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,sslvpn.vlerick.com,193.190.150.62,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,sspr.vlerick.com,193.190.150.56,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,static.vlerick.com,"34.141.48.9, 34.141.103.251",vlerick-static.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,"2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",,,,
,tbconnect.uat.vlerick.com,193.190.150.41,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,test.vlerick.com,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,testredirect.vlerick.com,193.190.150.59,www.vlerick.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,
,tools.vlerick.com,31.193.179.99,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,trackingplf.vlerick.com,"3.220.57.224, 52.20.78.240, 54.91.59.199, 3.232.242.170",sheltered-quail-lrqhlejishqg2zlcozp5b8by.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,uat-edu.vlerick.com,193.190.150.56,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uat-enjoychange.vlerick.com,193.190.150.57,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uat-public.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uat-recruitment.vlerick.com,193.190.150.56,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uat-servicedesk.vlerick.com,193.190.150.56,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uat-sso.vlerick.com,193.190.150.78,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,uatonlinemba.vlerick.com,35.187.168.7,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,True,google,,,,,
,vcse01.vlerick.com,193.190.150.67,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,view.email.vlerick.com,161.71.84.185,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,
,viper.test.vlerick.com,193.190.150.54,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,viper.uat.vlerick.com,193.190.150.45,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,vlerick-tv-media.vlerick.com,193.190.150.81,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,vlerick.test.vlerick.com,193.190.150.54,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,vlerick.uat.vlerick.com,193.190.150.45,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,vqt.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,web03.vlerick.com,193.190.150.51,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,webform.vlerick.com,35.244.166.160,vlerick.jotform.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,webmail.vlerick.com,"20.190.159.64, 20.190.159.68, 20.190.159.73, 20.190.159.75, 40.126.31.67, 40.126.31.69, 40.126.31.73, 20.190.159.4","login.microsoftonline.com, login.mso.msidentity.com, ak.privatelink.msidentity.com, www.tm.ak.prd.aadg.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,
,www-dev.vlerick.com,"34.159.132.250, 34.141.55.250",vlerick-dev.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",,,,
,www-tst.vlerick.com,"34.141.28.239, 34.159.132.250",vlerick-tst.netlify.app,,NOERROR,,,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",,,,
,www.vlerick.com,"35.198.80.163, 34.159.58.69",vlerick-prd.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",,,,
