input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,tls_self_signed
blog.htc.com,HTC BLOG,200,52277,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://blog.htc.com:443,https,nginx,text/html,GET,23.11.206.42,/,-2079913460,23.11.206.42,Nginx,1013,False,HTC Corporation,True,https://www.htc.com/blog/,,,,https:,,
careers.htc.com,HTC Global Careers,200,33840,careers.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,careers.htc.com,443,https://careers.htc.com:443,https,,text/html,GET,23.37.37.162,/,1543228025,23.37.37.162,PHP,456,False,HTC Corporation,,https://careers.htc.com/career/HTC-global/,,,,,,
careservices.htc.com,,403,75,careservices.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,careservices.htc.com,443,https://careservices.htc.com:443,https,,text/html,GET,23.201.250.189,/,-297782484,2a02:26f0:3400:2b8::1e5e,,3,False,HTC Corporation,,,,,,,,
cdc.htc.com,Error,403,74,cdc.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,cdc.htc.com,443,https://cdc.htc.com:443,https,WildFly/8,text/html,GET,219.87.71.33,/,-1463124301,219.87.71.33,,1,False,HTC Corporation,True,,,,,,,
channelpos.htc.com,HTC Channel POS System - Logon,200,4201,channelpos.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,channelpos.htc.com,443,https://channelpos.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Microsoft ASP.NET:4.0.30319,99,False,HTC Corporation,,https://channelpos.htc.com/Account/Logon?ReturnUrl=%2f,,,,,,
cl60.htc.com,Service Unavailable,503,269,cl60.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,cl60.htc.com,443,https://cl60.htc.com:443,https,AkamaiGHost,text/html,GET,23.201.250.189,/,1085195715,23.201.250.189,,9,False,HTC Corporation,,,,,,,,
cota-chin.htc.com,Error,403,74,cota-chin.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,cota-chin.htc.com,443,https://cota-chin.htc.com:443,https,WildFly/8,text/html,GET,114.30.34.42,/,-1463124301,114.30.34.42,,1,False,HTC Corporation,True,,,,,,,
deputyportal.htc.com,,200,49,deputyportal.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,deputyportal.htc.com,443,https://deputyportal.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,-990128430,23.37.37.162,Envoy,1,False,HTC Corporation,,,,,,,,
dl.htc.com,,200,158,dl.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,dl.htc.com,443,https://dl.htc.com:443,https,AmazonS3,text/html,GET,143.204.215.41,/,1491535076,143.204.215.112,Amazon Web Services,9,False,HTC Corporation,True,,,cloudfront,True,,True,
dl2.htc.com,,200,,dl2.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,dl2.htc.com,443,https://dl2.htc.com:443,https,GlassFish Server Open Source Edition 3.0.1,text/html,GET,23.201.250.189,/,-1840324437,23.201.250.189,Java Servlet:3.0,1,False,HTC Corporation,,,,,,,,
dl4.htc.com,403 - Forbidden: Access is denied.,403,1233,dl4.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,dl4.htc.com,443,https://dl4.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,23.37.37.162,/,1543228025,23.37.37.162,Windows Server,30,False,HTC Corporation,,,,,,,,
dl7.htc.com,,200,,dl7.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,dl7.htc.com,443,https://dl7.htc.com:443,https,GlassFish Server Open Source Edition 3.0.1,text/html,GET,2.16.164.49,/,-1840324437,2.16.164.120,Java Servlet:3.0,1,False,"Akamai Technologies, Inc.",True,,True,,,,,
e2e-asia.htc.com,HTC smart mobility,200,17394,e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,e2e-asia.htc.com,443,https://e2e-asia.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,1631801191,23.201.250.189,Nginx,417,False,HTC Corporation,,https://e2e-asia.htc.com/HTCPLogin.aspx?ReturnUrl=%2f,,,,,,
e2e.asia.htc.com,,200,653,e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,e2e.asia.htc.com,443,https://e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
e2e.htc.com,HTC smart mobility,200,17388,,,,,,,,,,,,,,,,,,80,http://e2e.htc.com:80,http,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,417,False,,,http://e2e.htc.com/HTCPLogin.aspx?ReturnUrl=%2f,,,,,,
e2easiaws1.htc.com,,200,248,e2easiaws1.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,e2easiaws1.htc.com,443,https://e2easiaws1.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,11,False,HTC Corporation,,https://e2easiaws1.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,,,,,,
e2ews1.htc.com,,200,248,e2ews1.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,e2ews1.htc.com,443,https://e2ews1.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,11,False,HTC Corporation,,https://e2ews1.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,,,,,,
eaw.htc.com,,200,51,eaw.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,eaw.htc.com,443,https://eaw.htc.com:443,https,Apache-Coyote/1.1,text/html,GET,122.147.173.178,/,1543228025,122.147.173.178,Java,3,False,HTC Corporation,True,,,,,,,
edge.htc.com,,200,31,edge.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-03-06T10:21:38Z,2039-12-31T23:59:59Z,CN=edge.htc.com,edge.htc.com,,CN=OsceEdgeRoot,OsceEdgeRoot,,9243f7dd5b3ff5194b8dba1302ba58e4,928233988d0ce6b0371d402f49a872c23e38f02d2c38764f1a9609f85a68bc29,ctls,edge.htc.com,443,https://edge.htc.com:443,https,Microsoft-IIS/10.0,text/html,GET,175.98.157.230,/,1631801191,175.98.157.230,Windows Server,1,False,,,,,,,,,True
endusertraining.htc.com,Index,200,6358,endusertraining.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,endusertraining.htc.com,80,http://endusertraining.htc.com:80,http,istio-envoy,text/html,GET,2.17.100.170,/,1543228025,2a02:26f0:ab00::5c7a:d76a,jQuery,129,False,HTC Corporation,True,https://endusertraining.htc.com/,,,,,,
engage.htc.com,Invalid URL,400,209,engage.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,engage.htc.com,443,https://engage.htc.com:443,https,AkamaiGHost,text/html,GET,2.16.164.129,/,-1354473317,2.16.164.128,,8,False,"Akamai Technologies, Inc.",True,,True,,,,,
epqcs-prd.htc.com,Access Denied,403,271,epqcs-prd.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,epqcs-prd.htc.com,443,https://epqcs-prd.htc.com:443,https,AkamaiGHost,text/html,GET,23.201.250.189,/,-1624357426,23.201.250.189,,10,False,HTC Corporation,,,,,,,,
esports.htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://esports.htc.com:443,https,nginx,text/html,GET,2.17.100.161,/,-1284429856,2.17.100.170,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,,,https:,,
facade1-e2e-asia.htc.com,,500,75,facade1-e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade1-e2e-asia.htc.com,443,https://facade1-e2e-asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1825611437,23.37.37.162,Nginx,1,False,HTC Corporation,,,,,,,,
facade1-e2e.htc.com,,500,75,facade1-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,facade1-e2e.htc.com,443,https://facade1-e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1825611437,23.37.37.162,Nginx,1,False,HTC Corporation,,,,,,,,
