new,host,soa,status_code,cdn,cdn-name,a,ns,cname,aaaa,mx,txt,has_internal_ips,internal_ips
,mobile-api.cryptology.com,"ns-610.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"13.225.78.6, 13.225.78.91, 13.225.78.94, 13.225.78.37","ns-1442.awsdns-52.org, ns-1955.awsdns-52.co.uk, ns-456.awsdns-57.com, ns-610.awsdns-12.net",dnqhyjumsgha6.cloudfront.net,"2600:9000:21f3:7a00:e:9b03:df80:93a1, 2600:9000:21f3:c200:e:9b03:df80:93a1, 2600:9000:21f3:5000:e:9b03:df80:93a1, 2600:9000:21f3:e600:e:9b03:df80:93a1, 2600:9000:21f3:4000:e:9b03:df80:93a1, 2600:9000:21f3:7800:e:9b03:df80:93a1, 2600:9000:21f3:4200:e:9b03:df80:93a1, 2600:9000:21f3:0:e:9b03:df80:93a1",,,,
,octopus-dev-ws.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,octopus-dev-ws.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::ac43:13e9, 2606:4700:10::6814:f07f",,,,
,octopus-prod-ws.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 104.20.239.127, 172.67.19.233",,octopus-prod-ws.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f",,,,
,octopus-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,octopus-sandbox.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9",,,,
,octopus-staging-ws.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,octopus-staging-ws.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9",,,,
,octopus.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 104.20.239.127, 172.67.19.233",,octopus.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f",,,,
,otc-pe-api-partner.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.239.127, 104.20.240.127, 172.67.19.233",,otc-pe-api-partner.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::ac43:13e9, 2606:4700:10::6814:f07f",,,,
,ovpn.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,185.150.117.222,,,,,,,
,payments-dev-otc-pe-api-client.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"172.67.19.233, 104.20.240.127, 104.20.239.127",,payments-dev-otc-pe-api-client.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:f07f, 2606:4700:10::6814:ef7f, 2606:4700:10::ac43:13e9",,,,
,payments-dev-otc-pe-api-partner.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"172.67.19.233, 104.20.239.127, 104.20.240.127",,payments-dev-otc-pe-api-partner.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9",,,,
,payments-staging-otc-pe-api-client.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,payments-staging-otc-pe-api-client.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f",,,,
,payments-staging-otc-pe-api-partner.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"104.20.240.127, 104.20.239.127, 172.67.19.233",,payments-staging-otc-pe-api-partner.cryptology.com.cdn.cloudflare.net,"2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f",,,,
,promo.cryptology.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,104.160.64.15,,squeeze.gr8.com,,,,,
,pypi.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"108.138.17.46, 108.138.17.3, 108.138.17.9, 108.138.17.105",,,,,,,
,s.cryptology.com,"ns-407.awsdns-50.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1331.awsdns-38.org, ns-1994.awsdns-57.co.uk, ns-407.awsdns-50.com, ns-841.awsdns-41.net",,,,,,
,sandbox.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"108.138.7.23, 108.138.7.97, 108.138.7.16, 108.138.7.38",,,,,,,
,sentry-dev.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sentry-prod.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,23.88.113.47,,,,,,,
,sentry.dev.cryptology.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,116.203.222.152,,,,,,,
,spot-api-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"172.67.19.233, 104.20.239.127, 104.20.240.127",,spot-api-sandbox.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:ef7f, 2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9",,,,
,sse-staging.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"172.67.19.233, 104.20.239.127, 104.20.240.127",,sse-staging.cryptology.com.cdn.cloudflare.net,"2606:4700:10::6814:f07f, 2606:4700:10::ac43:13e9, 2606:4700:10::6814:ef7f",,,,
,staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"143.204.98.75, 143.204.98.118, 143.204.98.109, 143.204.98.7","ns-1798.awsdns-32.co.uk, ns-297.awsdns-37.com, ns-520.awsdns-01.net, ns-1058.awsdns-04.org",,,,,,
,static.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
,validator.prod.cryptology.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,3.68.161.59,,,,,,,
,www.blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,True,google,34.90.77.219,,,,,,,
,www.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"13.225.142.41, 13.225.142.27, 13.225.142.8, 13.225.142.48","ns-1126.awsdns-12.org, ns-200.awsdns-25.com, ns-2027.awsdns-61.co.uk, ns-778.awsdns-33.net",cryptology.com,,"aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","MS=5083C5DFF86B9357B0D64DC029C6B8F2C9659C1A, amazonses:kHLGZm3XPV8wqktD1veoL2jMUPRUmz3vEd+OwEQuI28=, atlassian-domain-verification=IVHABiB7ZwZw7iBXovtYdNhkVfu8SLjNWOCMuF3QExT8jvcEfPOPWyQmghyq5YRb, facebook-domain-verification=v9cfgkmdvbljq7pfp6itly7oz1t1vs, firebase=cryptology-prod, google-site-verification=3oEaZGj0_-AFx3CCzx_AqKC5EcarLkGL0HpKpQgiUvk, google-site-verification=FEoJmCLznpQbkUicqk4P1A0kAf9BTQ0aVHfI0q0aXAE, v=spf1 include:_spf.google.com include:amazonses.com include:sendgrid.net  ~all, yandex-verification: 5ed181218bc19114",,
,www.git.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,94.130.140.227,"ns-1126.awsdns-12.org, ns-200.awsdns-25.com, ns-2027.awsdns-61.co.uk, ns-778.awsdns-33.net",git.cryptology.com,,,,,
