input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,tech_,cdn,tls_mismatched,final_url,tls_subject_org_
press.pubg.com,OK,200,172,,,,,,,,,,,,,,,,,,80,http://press.pubg.com:80,http,text/html,GET,20.93.158.232,/,1631801191,20.93.158.232,12,False,,,Microsoft-IIS/10.0,Windows Server,,,,
project-thai.pubg.com,PUBG: BATTLEGROUNDS,200,948305,www.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,www.pubg.com,443,https://project-thai.pubg.com:443,https,text/html,GET,3.128.164.200,/,-750305237,18.216.43.185,111,False,True,,,YouTube,,,https://www.pubg.com/en,
pubg.com,PUBG: BATTLEGROUNDS,200,948305,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubg.com,443,https://pubg.com:443,https,text/html,GET,65.9.66.5,/,-1023740657,65.9.66.58,111,False,True,cloudfront,,YouTube,True,,https://pubg.com/en,
pubgesports.com,PUBG ESPORTS,200,334778,pubgesports.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubgesports.com,443,https://pubgesports.com:443,https,text/html,GET,18.66.112.92,/,-1646073087,18.66.112.33,81,False,True,cloudfront,,Vue.js,True,,https://pubgesports.com/en,
ru-store.battlegrounds.pubg.com,403 Forbidden,403,140,ru-store.battlegrounds.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T08:47:19Z,2023-09-04T08:47:18Z,CN=ru-store.battlegrounds.pubg.com,ru-store.battlegrounds.pubg.com,ru-store.battlegrounds.pubg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,57cb91f4ce89fe25273bc9b6124d0b2c,42e35303d4748c820e3cf33c27e2496d2c779a246c26e32798a67dc8709b6137,ctls,ru-store.battlegrounds.pubg.com,443,https://ru-store.battlegrounds.pubg.com:443,https,text/html,GET,104.198.200.255,/,-271230522,104.198.200.255,9,False,,google,nginx,Nginx,True,,,
ru-store.newstate.pubg.com,403 Forbidden,403,140,ru-store.newstate.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T08:45:11Z,2023-08-12T08:45:10Z,CN=ru-store.newstate.pubg.com,ru-store.newstate.pubg.com,ru-store.newstate.pubg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0c146dc3ed4927651c5552e204aa788c,3423324f3bc972327d4582243d05c8af5161f9db1f85521c6346031e21784201,ctls,ru-store.newstate.pubg.com,443,https://ru-store.newstate.pubg.com:443,https,text/html,GET,104.198.200.255,/,-271230522,104.198.200.255,9,False,,google,nginx,Nginx,True,,,
sanhok.pubg.com,Welcome to Sanhok | PUBG,200,41465,sanhok.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=*.playbattlegrounds.com,*.playbattlegrounds.com,*.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a1a9b56f41db76bd08fe42191f331c44,aaec985f5aa4b99d982a1775c0f4d8478403c4728b11cbb76c128c83c5228509,ctls,sanhok.pubg.com,443,https://sanhok.pubg.com:443,https,text/html,GET,18.66.112.79,/,-2051895019,2600:9000:223f:a400:3:97ee:20c0:93a1,906,False,True,cloudfront,AmazonS3,Google Tag Manager,True,True,,
stadiasupport.pubg.com,Security check,403,8418,stadiasupport.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-01T23:39:12Z,2023-08-30T23:39:11Z,CN=support.pubg.com,support.pubg.com,xboxsupport.pubg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91fe41bcbc14e36dc5c3dc1a76048fbd,9793aedd99a9bad9719dfae9899533953fd866d61e8010cccc93a184834365ce,ctls,stadiasupport.pubg.com,443,https://stadiasupport.pubg.com:443,https,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,104,False,,cloudflare,cloudflare,Cloudflare,True,,https://stadiasupport.pubg.com/hc/en-us/restricted?return_to=https%3A%2F%2Fstadiasupport.pubg.com%2Fhc&locale=en-us,
staticassets.pubg.com,,403,243,staticassets.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=*.pubg.com,*.pubg.com,pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae68fe2b04cebd728b5d0c611e15d594,336a89d59f3d9383ddb42d8a8e1c350cc2a0b990d86c7958879ab18f9962db6d,ctls,staticassets.pubg.com,443,https://staticassets.pubg.com:443,https,application/xml,GET,18.172.153.112,/,589827551,2600:9000:206f:cc00:e:dab4:4f00:93a1,2,False,True,cloudfront,AmazonS3,Amazon Web Services,True,,,
store.emea.battlegrounds.pubg.com,PUBG: BATTLEGROUNDS,200,948305,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,ctls,pubg.com,443,https://store.emea.battlegrounds.pubg.com:443,https,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,111,False,True,,,YouTube,,,https://pubg.com:443/en,
