new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,caa,ns
[x],accc-asm.weekday.com,23.215.21.246,,"accc-www.weekday.com, accc-www.weekday.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-cll.monki.com,23.201.245.74,,"accc-cll.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-cll.stories.com,23.201.245.74,,"accc-cll.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-cll.weekday.com,23.196.245.78,,"accc-cll.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-www.cos.com,104.87.161.34,,"accc-www.cosstores.com, accc-www.cosstores.com.edgekey.net, e4511.b.akamaiedge.net",,NOERROR,,,,,,
[x],accc-www.monki.com,23.206.108.169,,"accc-www.monki.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-www.stories.com,23.6.75.142,,"accc-www.stories.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-www.weekday.com,23.215.21.246,,"accc-www.weekday.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-asm.arket.com,72.246.174.74,"2a02:26f0:c900:290::119f, 2a02:26f0:c900:288::119f","accq-www.arket.com, accq-www.arket.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-asm.monki.com,23.222.37.176,"2a02:26f0:fe00:383::119f, 2a02:26f0:fe00:381::119f","accq-www.monki.com, accq-www.monki.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-asm.stories.com,23.36.232.152,"2a02:26f0:b80:288::119f, 2a02:26f0:b80:29f::119f","accq-www.stories.com, accq-www.stories.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-asm.weekday.com,23.222.37.176,"2a02:26f0:7100:89f::119f, 2a02:26f0:7100:8a0::119f","accq-www.weekday.com, accq-www.weekday.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-cll.arket.com,23.222.40.232,,"accq-cll.arket.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-cll.stories.com,23.201.245.74,,"accq-cll.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-www.cos.com,184.30.134.70,"2a02:26f0:3500:887::119f, 2a02:26f0:3500:88f::119f","accq-www.cosstores.com, accq-www.cosstores.com.edgekey.net, e4511.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],accq-www.monki.com,23.215.21.246,"2a02:26f0:1700:682::119f, 2a02:26f0:1700:696::119f","accq-www.monki.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accq-www.weekday.com,23.67.137.202,"2a02:26f0:3500:887::119f, 2a02:26f0:3500:88f::119f","accq-www.weekday.com.edgekey.net, e4511.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],accv-cll.arket.com,23.222.40.232,,"accv-cll.arket.com.edgekey.net, e6367.b.akamaiedge.net",,NOERROR,,,,,,
[x],accv-cll.monki.com,104.78.190.242,,"accv-cll.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-cll.stories.com,23.201.245.74,,"accv-cll.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-cll.weekday.com,23.42.195.166,,"accv-cll.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-www.arket.com,23.222.37.176,,"accv-www.arket.com.edgekey.net, e4511.b.akamaiedge.net",,NOERROR,,,,,,
[x],accv-www.cos.com,"23.0.174.131, 23.0.174.137","2a02:26f0:b80:b::212:3d21, 2a02:26f0:b80:b::212:3d09","accv-www.cos.com.edgekey.net, e93166.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-www.monki.com,23.222.37.176,,"accv-www.monki.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-www.stories.com,23.222.37.176,,"accv-www.stories.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accv-www.weekday.com,23.53.61.124,,"accv-www.weekday.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],admin.afound.com,"13.107.237.40, 13.107.238.40","2620:1ec:4e:1::40, 2620:1ec:4f:1::40","prod-global-afd-afound-onlinestore.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, part-0012.t-0009.fdv2-t-msedge.net",,NOERROR,,,,,,
[x],admin1.mobile.hm.com,115.30.23.76,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],ae.hm.com,"104.18.26.240, 104.18.27.240","2606:4700::6812:1bf0, 2606:4700::6812:1af0",ae.hm.com.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,
[x],afound.com,"2.16.238.7, 2.16.238.21",,,"a1-139.akam.net, hostmaster.hm.com",NOERROR,,,"v=spf1 include:spf.protection.outlook.com include:_spf.anpdm.com include:spf.sendinblue.com -all, atlassian-domain-verification=rXgVxegDgh2fm4nQaoSlS90nXn0F6BYiJPHz4hjMlzVu2I0+kSuZP0TnhjyUSZGp, miro-verification=7e57f2ba206246ac73e8e5f133b1e5b5c477f95b, Sendinblue-code:dffe599f8569a863a9693ac60fb716d6, ATbHFvSMXz7CshVwzXzVYy+zQsC4sdrPjTbzJnuDk+wZ/OuH4AtjNZkI+sPULlJbmo3Qg4QVSuTpgb0a47mBqQ==, facebook-domain-verification=awkd1ff4jx5jeidoba6ltiqczuc1zs, google-site-verification=HkUIBSYZRke_R6Z0fMNApZHtDwMXbLZDhun9h5tZ4go, 7icQdDdq8robPY7QEWdk6yVPIHGoyUy1UOsZLN2h16uv7nnZ/hyDViSmo2+mi6OKSgkzOqPjxSJZy69bBVM23Q==, MS=ms83454595, adobe-idp-site-verification=fb3882aad17cca79cfe00d87b9b36ffbea51ffd7644337f81e65811e54e26c3d",,,
[x],agency.hm.com,23.48.15.238,"2a02:26f0:3500:289::6ae, 2a02:26f0:3500:291::6ae",,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],akamaistage.hm.com,194.103.63.72,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],akamaistage2.hm.com,194.103.63.74,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],akamaistage3.hm.com,194.103.63.117,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],amp.hm.com,23.218.65.73,,"amp.hm.com.edgekey.net, e1710.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],amsterdam.weekday.com,87.237.210.150,,,,NOERROR,,,,,,
[x],anonymous.supplierportal.hm.com,194.103.63.20,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],anywhere.hm.com,54.144.128.85,,,,NOERROR,,,,,,
[x],apa-www.arket.com,23.222.40.232,,"apa-www.arket.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apa-www.monki.com,104.88.24.24,,"apa-www.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apa-www.stories.com,104.88.24.24,,"apa-www.stories.com.edgekey.net, e6367.b.akamaiedge.net",,NOERROR,,,,,,
[x],apc-www.weekday.com,23.201.245.74,,"apc-www.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apd-www.arket.com,104.81.214.180,"2a02:26f0:d8:1087::18df, 2a02:26f0:d8:1080::18df","apd-www.arket.com.edgekey.net, e6367.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apd-www.stories.com,104.81.214.180,,"apd-www.stories.com.edgekey.net, e6367.dscb.akamaiedge.net",,NOERROR,,,,,,
[x],apd-www.weekday.com,23.201.245.74,"2a02:26f0:1700:195::18df, 2a02:26f0:1700:181::18df","apd-www.weekday.com.edgekey.net, e6367.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apd2-www.arket.com,104.81.214.180,,"apd2-www.arket.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apd2-www.monki.com,,,"apd2-www.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apd2-www.weekday.com,23.196.245.78,,"apd2-www.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],api-goep.hm.com,23.218.146.30,,"api-goep.hm.com.edgekey.net, e1710.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],api-influencers.stories.com,"52.9.112.122, 52.8.106.246",,api7.creatoriq.com,"ns-991.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api.hm.com,23.48.15.238,"2a02:26f0:1700:180::6ae, 2a02:26f0:1700:1b8::6ae","api.hm.com.edgekey.net, e1710.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apl-www.arket.com,23.42.195.166,,"apl-www.arket.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apl-www.monki.com,23.42.195.166,,"apl-www.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apl-www.stories.com,23.222.40.232,,"apl-www.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apl-www.weekday.com,23.201.245.74,,"apl-www.weekday.com.edgekey.net, e6367.b.akamaiedge.net",,NOERROR,,,,,,
[x],app-dev.arket.com,"13.107.238.40, 13.107.237.40","2620:1ec:4e:1::40, 2620:1ec:4f:1::40","slapifd-dev.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, part-0012.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
[x],app-dev.weekday.com,"13.107.238.45, 13.107.237.45","2620:1ec:4f:1::45, 2620:1ec:4e:1::45","slapifd-dev.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
[x],app.monki.com,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","slapifd-prd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
[x],app.weekday.com,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","slapifd-prd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
[x],app2.hm.com,2.22.40.71,,"app2.hm.com.edgekey.net, e2712.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apq-www.monki.com,23.201.245.74,,"apq-www.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apq-www.stories.com,23.201.245.74,,"apq-www.stories.com.edgekey.net, e6367.b.akamaiedge.net",,NOERROR,,,,,,
[x],apt-www.arket.com,23.196.245.78,,"apt-www.arket.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apt-www.monki.com,23.201.245.74,,"apt-www.monki.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apt-www.stories.com,23.201.245.74,,"apt-www.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apt-www.weekday.com,104.81.214.180,,"apt-www.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apv-www.monki.com,104.81.214.180,,"apv-www.monki.com.edgekey.net, e6367.b.akamaiedge.net",,NOERROR,,,,,,
[x],apv-www.stories.com,23.222.40.232,,"apv-www.stories.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],apv-www.weekday.com,23.218.119.223,,"apv-www.weekday.com.edgekey.net, e6367.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],arket.com,23.208.149.244,,,"a1-139.akam.net, hostmaster.hm.com",NOERROR,,,,,,
[x],asm.arket.com,23.222.49.110,"2a02:26f0:7100:8af::2ef0, 2a02:26f0:7100:88d::2ef0","www.arket.com, www.arket.com.edgekey.net, e12016.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],asm.hm.com,104.103.64.89,"2001:2030:21:182::a98, 2001:2030:21:188::a98, 2001:2030:21:1ac::a98, 2001:2030:21:1ad::a98, 2001:2030:21:1ab::a98","www2.hm.com, www2.hm.com.edgekey.net, e2712.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],asm.stories.com,23.210.123.55,"2a02:26f0:3500:893::2ef0, 2a02:26f0:3500:88e::2ef0","www.stories.com, www.stories.com.edgekey.net, e12016.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],assets.arket.com,152.199.21.175,,"asset-dreamcatcher-arket-prod.azureedge.net, asset-dreamcatcher-arket-prod.ec.azureedge.net, scdn1b565.wpc.b74e2.nucdn.net, sni1gl.wpc.nucdn.net","ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,,,,,,
[x],assets.hm.com,152.199.21.175,2606:2800:233:1cb7:261b:1f9c:2074:3c,"asset-dreamcatcher-prod.azureedge.net, asset-dreamcatcher-prod.ec.azureedge.net, scdn12611.wpc.b74e2.nucdn.net, sni1gl.wpc.nucdn.net",,NOERROR,,,,,,
[x],assets.monki.com,152.199.21.175,2606:2800:233:1cb7:261b:1f9c:2074:3c,"asset-dreamcatcher-monki-prod.azureedge.net, asset-dreamcatcher-monki-prod.ec.azureedge.net, scdn1b55b.wpc.b74e2.nucdn.net, sni1gl.wpc.nucdn.net","ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,,,,,,
[x],assets.stories.com,152.199.21.175,2606:2800:233:1cb7:261b:1f9c:2074:3c,"asset-dreamcatcher-stories-prod.azureedge.net, asset-dreamcatcher-stories-prod.ec.azureedge.net, scdn1b563.wpc.b74e2.nucdn.net, sni1gl.wpc.nucdn.net","ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,,,,,,
[x],assets.weekday.com,152.199.21.175,2606:2800:233:1cb7:261b:1f9c:2074:3c,"asset-dreamcatcher-weekday-prod.azureedge.net, asset-dreamcatcher-weekday-prod.ec.azureedge.net, scdn1b561.wpc.b74e2.nucdn.net, sni1gl.wpc.nucdn.net",,NOERROR,,,,,,
[x],at.supplierprofile.hm.com,104.87.187.96,"2a02:26f0:d200:48e::6ae, 2a02:26f0:d200:495::6ae","quarantined.hm.com.edgekey.net, e1710.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],atest-pss.hm.com,51.124.225.147,,fb04549b-415a-43ae-a8f6-44fe820f5321.cloudapp.net,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
[x],auth2.hm.com,193.234.233.61,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.afound.com,185.134.16.45,,autodiscover.hm.com,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.arket.com,185.134.16.45,,autodiscover.hm.com,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.cos.com,185.134.16.45,,autodiscover.hm.com,,NOERROR,,,,,,
[x],autodiscover.cs.hm.com,185.134.16.45,,autodiscover.hm.com,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.hm.com,185.134.16.45,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.monki.com,185.134.16.45,,autodiscover.hm.com,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.owa.hm.com,185.134.16.46,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscover.stories.com,185.134.16.45,,autodiscover.hm.com,,NOERROR,,,,,,
[x],autodiscover.weekday.com,185.134.16.45,,autodiscover.hm.com,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autodiscovertestmove.hm.com,194.103.63.183,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],autoemail.cos.com,192.243.228.1,,,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],beta.monki.com,23.206.108.73,,"beta.monki.com.edgekey.net, e987.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],beta.stories.com,23.206.108.73,,"beta.stories.com.edgekey.net, e987.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],beta.weekday.com,23.218.130.226,,"beta.weekday.com.edgekey.net, e987.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],beyondtherainbow.hm.com,2.17.180.99,"2a02:26f0:3500:88a::6ae, 2a02:26f0:3500:896::6ae",,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],blueprint.hm.com,137.117.150.233,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,True,azure,,,,
[x],c.hm.com,194.103.63.115,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],campaigns.hm.com,194.103.63.102,,,,NOERROR,,,,,,
[x],career.cos.com,23.52.147.106,2600:1408:9000:783::716,"career.cos.com.edgekey.net, e1814.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],careers.arket.com,23.208.149.244,,"p11.com.edgekey.net, e987.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cbc.hm.com,52.166.90.114,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,True,azure,,,,
[x],cceap001.hm.com,193.234.233.102,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],cdn.monki.com,23.52.85.89,,"cdn.hm.com.edgekey.net, e1710.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],centric.hm.com,35.241.44.2,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,True,google,,,,
[x],checkout.afound.com,"13.107.237.44, 13.107.238.44","2620:1ec:4e:1::44, 2620:1ec:4f:1::44","prod-global-afd-afound-onlinestore.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,
[x],cicd-asm.arket.com,23.222.37.176,"2a02:26f0:c900:290::119f, 2a02:26f0:c900:288::119f","cicd-asm.arket.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cicd-asm.monki.com,72.247.68.99,"2600:1408:9000:793::119f, 2600:1408:9000:79f::119f","cicd-asm.monki.com.edgekey.net, e4511.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],cicd-asm.stories.com,23.36.232.152,"2a02:26f0:3500:887::119f, 2a02:26f0:3500:88f::119f","cicd-asm.stories.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cicd-asm.weekday.com,72.246.174.74,"2a02:26f0:c900:290::119f, 2a02:26f0:c900:288::119f","cicd-asm.weekday.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cicd-www.stories.com,23.53.61.124,"2001:2030:21:1b1::119f, 2001:2030:21:192::119f","cicd-www.stories.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cicd-www.weekday.com,23.53.61.124,"2001:2030:21:1b1::119f, 2001:2030:21:192::119f","cicd-www.weekday.com.edgekey.net, e4511.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cinfprxnprci01.hm.com,20.86.114.16,,,"a1-139.akam.net, postmaster.hm.com",NOERROR,,,,,,
[x],clickandmeet-eu.hm.com,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","slapifd-prd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,NOERROR,,,,,,
[x],clickandmeet.arket.com,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","clickandmeet.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,NOERROR,,,,,,
