input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,tls_mismatched,tls_expired,tls_self_signed,cdn_name,cdn,csp_domains_,final_url
acc-www.cos.com,Error,403,177,acc-www.cos.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T13:06:54Z,2023-07-16T13:06:53Z,CN=dev2-www.cos.com,dev2-www.cos.com,,sytt-www.cos.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0b3ab20c29efd012d35e140ac071bcbf,ffc3946e76731eafbe847ba80f67533343d3208c6facc32780cb4d6c05458c5c,ctls,acc-www.cos.com,443,https://acc-www.cos.com:443,https,AkamaiGHost,text/html,GET,104.126.37.152,/,-1439331452,2a02:26f0:1700:11::b856:6787,,5,False,,,,,,,,
acc.aemcomm.hm.com,Invalid URL,400,209,acc.aemcomm.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-24T00:00:00Z,2023-08-26T23:59:59Z,"CN=acc.aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",acc.aemcomm.hm.com,H & M Hennes & Mauritz AB,aemcomm.hm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,36f15b214b669ab5ff0e387d9830dbb8,398175bf633e408a68d2797fb0738f8e12313fd417392b786db94017de8a9a63,ctls,acc.aemcomm.hm.com,443,https://acc.aemcomm.hm.com:443,https,AkamaiGHost,text/html,GET,23.32.238.33,/,374519170,2a02:26f0:3500:12::1730:17a5,,8,False,,,,,,,,
acc.social.afound.com,,200,2866,acc.social.afound.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-02-24T23:59:59Z,"CN=www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",www.cosstores.com,H & M Hennes & Mauritz AB,www.weekday.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,74b6a50ef8fd6ce356b1d87326b52b41,41aa8c4d852cc719f0e304a5dbeeefc9fd83425d6342b20a509f6789d0bb39ec,ctls,acc.social.afound.com,443,https://acc.social.afound.com:443,https,Apache,text/html,GET,23.208.149.244,/,220991166,2a02:26f0:480:bb7::3db,Azure,89,False,,,,,,,,
acc.social.arket.com,,200,2921,acc.social.arket.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-02-24T23:59:59Z,"CN=www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",www.cosstores.com,H & M Hennes & Mauritz AB,www.weekday.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,74b6a50ef8fd6ce356b1d87326b52b41,41aa8c4d852cc719f0e304a5dbeeefc9fd83425d6342b20a509f6789d0bb39ec,ctls,acc.social.arket.com,443,https://acc.social.arket.com:443,https,Apache,text/html,GET,23.208.149.244,/,220991166,2a02:26f0:1700:1a7::3db,Azure,89,False,,,,,,,,
acc.social.hm.com,,200,2936,acc.social.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-02-24T23:59:59Z,"CN=www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",www.cosstores.com,H & M Hennes & Mauritz AB,www.weekday.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,74b6a50ef8fd6ce356b1d87326b52b41,41aa8c4d852cc719f0e304a5dbeeefc9fd83425d6342b20a509f6789d0bb39ec,ctls,acc.social.hm.com,443,https://acc.social.hm.com:443,https,Apache,text/html,GET,23.208.149.244,/,220991166,2a02:26f0:480:bb7::3db,Azure,89,False,,,,,,,,
acc.social.stories.com,,200,2896,acc.social.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-02-24T23:59:59Z,"CN=www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",www.cosstores.com,H & M Hennes & Mauritz AB,www.weekday.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,74b6a50ef8fd6ce356b1d87326b52b41,41aa8c4d852cc719f0e304a5dbeeefc9fd83425d6342b20a509f6789d0bb39ec,ctls,acc.social.stories.com,443,https://acc.social.stories.com:443,https,Apache,text/html,GET,23.208.149.244,/,220991166,2a02:26f0:480:bb7::3db,Azure,89,False,,,,,,,,
accc-asm.arket.com,Error,403,176,accc-asm.arket.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-asm.arket.com,443,https://accc-asm.arket.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,966859379,23.215.21.246,,5,False,,,,,,,,
accc-asm.monki.com,Error,403,176,accc-asm.monki.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-asm.monki.com,443,https://accc-asm.monki.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-1378075302,23.215.21.246,,5,False,,,,,,,,
accc-asm.weekday.com,Error,403,176,accc-asm.weekday.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-asm.weekday.com,443,https://accc-asm.weekday.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-564219728,23.215.21.246,,5,False,,,,,,,,
accc-cll.monki.com,Access Denied,403,271,accc-cll.monki.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=apq-www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",apq-www.cosstores.com,H & M Hennes & Mauritz AB,sytt-cll.arket.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9396ae7ace745d05676c96beaa95b386,86b476f68b06e06077be88cd99ba7ea8e31616ae1c2d6d8a953b1191a60dd475,ctls,accc-cll.monki.com,443,https://accc-cll.monki.com:443,https,AkamaiGHost,text/html,GET,23.201.245.74,/,-1530451873,23.201.245.74,,10,False,,,,,,,,
accc-cll.stories.com,Access Denied,403,273,accc-cll.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=apq-www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",apq-www.cosstores.com,H & M Hennes & Mauritz AB,sytt-cll.arket.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9396ae7ace745d05676c96beaa95b386,86b476f68b06e06077be88cd99ba7ea8e31616ae1c2d6d8a953b1191a60dd475,ctls,accc-cll.stories.com,443,https://accc-cll.stories.com:443,https,AkamaiGHost,text/html,GET,23.201.245.74,/,-1810334518,23.201.245.74,,10,False,,,,,,,,
accc-cll.weekday.com,Access Denied,403,273,accc-cll.weekday.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=apq-www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",apq-www.cosstores.com,H & M Hennes & Mauritz AB,sytt-cll.arket.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9396ae7ace745d05676c96beaa95b386,86b476f68b06e06077be88cd99ba7ea8e31616ae1c2d6d8a953b1191a60dd475,ctls,accc-cll.weekday.com,443,https://accc-cll.weekday.com:443,https,AkamaiGHost,text/html,GET,23.201.245.74,/,1731471190,23.201.245.74,,10,False,,,,,,,,
accc-www.cos.com,Error,403,176,accc-www.cos.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-www.cos.com,443,https://accc-www.cos.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-658901766,23.215.21.246,,5,False,,,,,,,,
accc-www.monki.com,Error,403,176,accc-www.monki.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-www.monki.com,443,https://accc-www.monki.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,1688675054,23.215.21.246,,5,False,,,,,,,,
accc-www.stories.com,Error,403,176,accc-www.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-www.stories.com,443,https://accc-www.stories.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-346665858,23.215.21.246,,5,False,,,,,,,,
accc-www.weekday.com,Error,403,176,accc-www.weekday.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accc-www.weekday.com,443,https://accc-www.weekday.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-557033063,23.215.21.246,,5,False,,,,,,,,
accq-asm.arket.com,Error,403,177,accq-asm.arket.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accq-asm.arket.com,443,https://accq-asm.arket.com:443,https,AkamaiGHost,text/html,GET,23.36.232.152,/,368038416,2a02:26f0:3500:887::119f,,5,False,,,,,,,,
accq-asm.monki.com,Error,403,176,accq-asm.monki.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accq-asm.monki.com,443,https://accq-asm.monki.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-1016623217,2a02:26f0:480:5ac::119f,,5,False,,,,,,,,
accq-asm.stories.com,Error,403,176,accq-asm.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accq-asm.stories.com,443,https://accq-asm.stories.com:443,https,AkamaiGHost,text/html,GET,23.215.21.246,/,-149246396,2a02:26f0:480:5ac::119f,,5,False,,,,,,,,
accq-asm.weekday.com,Error,403,177,accq-asm.weekday.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=aemcomm.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",aemcomm.hm.com,H & M Hennes & Mauritz AB,acc.blob.social.hmgroup.tech,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,015cfa37b25108e7bbf549f07ac28a6c,39aaba068487e652b3ab9830cf185fa2faeb694dc86eaf4760a3024f53dd5f49,ctls,accq-asm.weekday.com,443,https://accq-asm.weekday.com:443,https,AkamaiGHost,text/html,GET,23.36.232.152,/,-1080307186,2a02:26f0:3500:887::119f,,5,False,,,,,,,,
accq-cll.arket.com,Access Denied,403,271,accq-cll.arket.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=apq-www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",apq-www.cosstores.com,H & M Hennes & Mauritz AB,sytt-cll.arket.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9396ae7ace745d05676c96beaa95b386,86b476f68b06e06077be88cd99ba7ea8e31616ae1c2d6d8a953b1191a60dd475,ctls,accq-cll.arket.com,443,https://accq-cll.arket.com:443,https,AkamaiGHost,text/html,GET,23.201.245.74,/,609762502,23.201.245.74,,10,False,,,,,,,,
accq-cll.stories.com,Access Denied,403,273,accq-cll.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=apq-www.cosstores.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",apq-www.cosstores.com,H & M Hennes & Mauritz AB,sytt-cll.arket.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9396ae7ace745d05676c96beaa95b386,86b476f68b06e06077be88cd99ba7ea8e31616ae1c2d6d8a953b1191a60dd475,ctls,accq-cll.stories.com,443,https://accq-cll.stories.com:443,https,AkamaiGHost,text/html,GET,23.201.245.74,/,-967696846,23.201.245.74,,10,False,,,,,,,,
