input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,tls_wildcard_certificate,tls_subject_org_,final_url
design.glassdoor.com,Security | Glassdoor,403,53883,design.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,design.glassdoor.com,cloudflare,443,https://design.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-412157317,104.17.91.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",
employers-api.glassdoor.com,Security | Glassdoor,403,53925,employers-api.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,employers-api.glassdoor.com,cloudflare,80,http://employers-api.glassdoor.com:80,http,cloudflare,text/html,GET,104.17.90.51,/,-504747901,104.17.91.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://employers-api.glassdoor.com/
employers.glassdoor.com,Security | Glassdoor,403,53827,www.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,www.glassdoor.com,cloudflare,443,https://employers.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,1091231659,104.17.90.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://www.glassdoor.com/employers/
empmarketing.glassdoor.com,Security | Glassdoor,403,53816,empmarketing.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,empmarketing.glassdoor.com,cloudflare,443,https://empmarketing.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-742449968,104.17.91.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",
events.glassdoor.com,Security | Glassdoor,403,54035,www.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,www.glassdoor.com,cloudflare,443,https://events.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-974918074,104.17.90.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://www.glassdoor.com/employers/events/
feeds.glassdoor.com,,403,243,feeds.glassdoor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,feeds.glassdoor.com,,443,https://feeds.glassdoor.com:443,https,AmazonS3,application/xml,GET,54.231.203.129,/,-1949173180,52.217.36.244,Amazon Web Services,2,False,,,True,,
fr.glassdoor.com,Security | Glassdoor,403,53847,www.glassdoor.fr,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,glassdoor.fr,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed9f0c14f87ed815ff0dceda0fddaee4,fa6863c5bcee587922b43c0ccf1e3756259f6b8cd8fb54329e70dd42407f6903,ctls,www.glassdoor.fr,cloudflare,80,http://fr.glassdoor.com:80,http,cloudflare,text/html,GET,104.17.91.51,/,395862135,104.17.90.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://www.glassdoor.fr/?src=gd-domain-redirect
glassdoor.com,Security | Glassdoor,403,53860,www.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,www.glassdoor.com,cloudflare,443,https://glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,2016394774,104.17.90.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://www.glassdoor.com/
gsnlink.glassdoor.com,404 Not Found,404,564,gsnlink.glassdoor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,gsnlink.glassdoor.com,,443,https://gsnlink.glassdoor.com:443,https,nginx,text/html,GET,167.89.123.54,/,1506877856,167.89.123.124,Nginx,14,False,,,True,,
ie.glassdoor.com,Security | Glassdoor,403,53920,www.glassdoor.ie,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",374aa68ccf516cccf1df160383e222de,d93459a4d5e4344b9602bda1d4a3274f1b618b3d0e332ca4f3d4146103c0c47c,ctls,www.glassdoor.ie,cloudflare,443,https://ie.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,390362524,104.17.90.51,HTTP/3,181,False,True,,True,"Cloudflare, Inc.",https://www.glassdoor.ie/?src=gd-domain-redirect
