input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,tech_,cdn,tls_subject_org_,final_url
https://internal.joinforma.com/,Forma ISP,200,698,443,https://internal.joinforma.com:443,https,UploadServer,text/html,GET,34.107.254.48,/,-1864864711,34.107.254.48,1,False,https://firestore.googleapis.com,internal.joinforma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-16T00:00:00Z,2024-02-15T23:59:59Z,CN=*.joinforma.com,*.joinforma.com,joinforma.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,e6d2f71b108934b3619cd824d1ead982,fa61216d0d3ab25c7231576b583bda4e9ea62ff6ac615563d41dd31cb624d472,True,ctls,internal.joinforma.com,google,HTTP/3,True,,
https://internal.staging.joinforma.com/,Forma ISP,200,698,443,https://internal.staging.joinforma.com:443,https,UploadServer,text/html,GET,34.98.74.7,/,-1864864711,34.98.74.7,1,False,https://production.plaid.com,internal.staging.joinforma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-16T00:00:00Z,2024-02-15T23:59:59Z,CN=*.staging.joinforma.com,*.staging.joinforma.com,staging.joinforma.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,40bdf194eec96a8d9f99a848e404b6aa,dd07614c246077ebbc847435564ea7b2d16fcab42a3938109d2ca93e2b143bf5,True,ctls,internal.staging.joinforma.com,google,HTTP/3,True,,
https://joinforma.us.auth0.com,Auth0: Secure access for everyone. But not just anyone.,200,223968,443,https://joinforma.us.auth0.com:443,https,cloudflare,text/html,GET,104.16.83.103,/,-738705486,2606:4700::6810:5267,1024,False,,auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-24T00:00:00Z,2024-07-22T23:59:59Z,"CN=auth0.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",auth0.com,auth0.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c7a11374282d7ebb28cf108c78fd481d,91986d855cbef15e1fa676436c545cd29016dca6699fa51866fadebb719bca00,,ctls,auth0.com,cloudflare,HTTP/3,True,"Cloudflare, Inc.",https://auth0.com
https://joinforma.zendesk.com,Security check,403,6643,443,https://joinforma.zendesk.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,32,False,,support.joinforma.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-11T23:38:26Z,2023-10-09T23:38:25Z,CN=support.joinforma.com,support.joinforma.com,support.joinforma.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,036be86ba37152fe2af37da3d6b6e448,e166933520fd36325c28bee22a60233da55c051ea8bd4a8bb80b888e7aaff735,,ctls,support.joinforma.com,cloudflare,Cloudflare,True,,https://support.joinforma.com/hc/en-us
https://js.intercomcdn.com,,403,243,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.5,/,-926010327,18.66.147.3,2,False,,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,HTTP/3,True,,
https://js.stripe.com,,404,243,443,https://js.stripe.com:443,https,Cloudfront,application/xml,GET,99.86.4.76,/,1188024647,99.86.4.122,2,False,,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-21T00:00:00Z,2023-11-16T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,15d600ab60b503cb918c23649d7c4c97,234a9b016547f865c31f46fbf75b08558a1229a7a58e8ae2ab8c7f0f44189057,,ctls,js.stripe.com,cloudfront,HTTP/3,True,"Stripe, Inc",
https://js.stripe.com/,,404,56,443,https://js.stripe.com:443,https,Varnish,text/html,GET,99.86.4.76,/,1188024647,99.86.4.122,1,False,,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-21T00:00:00Z,2023-11-16T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,15d600ab60b503cb918c23649d7c4c97,234a9b016547f865c31f46fbf75b08558a1229a7a58e8ae2ab8c7f0f44189057,,ctls,js.stripe.com,cloudfront,Varnish,True,"Stripe, Inc",
https://m.stripe.com,Stripe Privacy Center,200,381235,443,https://m.stripe.com:443,https,nginx,text/html,GET,44.234.224.147,/,1494302000,35.81.191.94,12953,False,https://app.contentful.com,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-28T00:00:00Z,2023-09-30T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,c57ad0b99b9156dcafc8c222ec129d37,c6a0ce087bbb2f5a715a2783a822bfd1f1fd5ce3a6e7310947a9b9aa6b5d4749,,ctls,stripe.com,,Stimulus,,"Stripe, Inc",https://stripe.com/de/legal/privacy-center
https://m.stripe.network,,403,243,443,https://m.stripe.network:443,https,Fastly,application/xml,GET,151.101.0.176,/,-581935929,2600:9000:2057:c000:19:7d10:bd80:93a1,2,False,,m.stripe.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-21T00:00:00Z,2023-11-16T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,15d600ab60b503cb918c23649d7c4c97,234a9b016547f865c31f46fbf75b08558a1229a7a58e8ae2ab8c7f0f44189057,,ctls,m.stripe.network,fastly,Varnish,True,"Stripe, Inc",
https://o1106460.ingest.sentry.io,,404,14,443,https://o1106460.ingest.sentry.io:443,https,nginx,text/plain,GET,34.120.195.249,/,870045881,34.120.195.249,2,False,,o1106460.ingest.sentry.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=ingest.sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",ingest.sentry.io,*.ingest.sentry.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09f7eca5b74f3bef8c24850fb5c66b66,1e34a43142ffa0bfd23f2a2609ecb8833f8e1745c9248506817c563d2e97219c,True,ctls,o1106460.ingest.sentry.io,google,Nginx,True,Sentry,
https://o1106460.ingest.sentry.io/api/6592353/security/?sentry_key=fd82f98719624ff0b02fc48ade14550f&sentry_environment=production,,405,,443,https://o1106460.ingest.sentry.io:443/api/6592353/security/?sentry_key=fd82f98719624ff0b02fc48ade14550f&sentry_environment=production,https,nginx,,GET,34.120.195.249,/api/6592353/security/?sentry_key=fd82f98719624ff0b02fc48ade14550f&sentry_environment=production,870045881,34.120.195.249,1,False,,o1106460.ingest.sentry.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=ingest.sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",ingest.sentry.io,*.ingest.sentry.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09f7eca5b74f3bef8c24850fb5c66b66,1e34a43142ffa0bfd23f2a2609ecb8833f8e1745c9248506817c563d2e97219c,True,ctls,o1106460.ingest.sentry.io,google,Nginx,True,Sentry,
https://production.plaid.com,Plaid API,200,1912,443,https://production.plaid.com:443,https,nginx,text/html,GET,52.2.54.53,/,-562435116,52.70.90.198,40,False,,production.plaid.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-25T00:00:00Z,2024-06-24T23:59:59Z,"CN=production.plaid.com, O=Plaid Inc, L=San Francisco, ST=California, C=US, serialNumber=5185168, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",production.plaid.com,production2.plaid.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,b485ec7a873550d20a910a7baf80627b,82f63a1a53498726050348c83fffaa0f9c90ffdca5f4cb96aee715c4480d3dba,,ctls,production.plaid.com,,Nginx,,Plaid Inc,
https://r.stripe.com,Stripe | Online-Bezahldienst und weltweiter Zahlungsdienstleister,200,1129391,443,https://r.stripe.com:443,https,nginx,text/html,GET,54.187.119.242,/,1494302000,54.186.23.98,32453,False,https://app.contentful.com,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-28T00:00:00Z,2023-09-30T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,c57ad0b99b9156dcafc8c222ec129d37,c6a0ce087bbb2f5a715a2783a822bfd1f1fd5ce3a6e7310947a9b9aa6b5d4749,,ctls,stripe.com,,Nginx,,"Stripe, Inc",https://stripe.com/de
https://res.cloudinary.com,,404,,443,https://res.cloudinary.com:443,https,Cloudinary,image/gif,GET,151.101.65.137,/,-624805968,2a04:4e42:600::393,1,False,,res.cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T09:59:03Z,2024-06-22T11:52:01Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1fbb8ee8bd4291a13f642c60c66a6797,96f85bb7eb751e4af247da3d302cf2f965c17254a021e6d15c74eb89963a4617,True,ctls,res.cloudinary.com,fastly,HSTS,True,Cloudinary Ltd,
