input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,cdn_name,cdn,final_url,csp_domains_
ca.shop.bbc.com,"BBC Shop
– BBC Shop Canada",200,484965,ca.shop.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T01:30:23Z,2023-06-16T01:30:22Z,CN=ca.shop.bbc.com,ca.shop.bbc.com,ca.shop.bbc.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c70c74636b182d63031b8444ed25d0a,506c049376a79446908ac412c2029253535ac8792929451d9be4f7dcdae313e1,ctls,ca.shop.bbc.com,443,https://ca.shop.bbc.com:443,https,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,15654,False,,,,cloudflare,Shopify,,,,
click.bbcgoodfood.bbc.com,403 - Forbidden: Access is denied.,403,1233,,,,,,,,,,,,,,,,,,80,http://click.bbcgoodfood.bbc.com:80,http,text/html,GET,68.232.203.70,/,1631801191,68.232.203.70,30,False,,,,,HSTS,,,,
click.crmdev.bbc.com,403 - Forbidden: Access is denied.,403,1233,click.crmdev.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-27T23:59:59Z,"CN=origin-click.s6.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",origin-click.s6.exacttarget.com,origin-click.s6.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a883ef2ee73cb0e865df93a268c0e559,354b67d3e764060fb1a89fc2f3904c09b2e12b1d8fccbbf607ce5679c323f96d,ctls,click.crmdev.bbc.com,443,https://click.crmdev.bbc.com:443,https,text/html,GET,68.232.203.70,/,1631801191,68.232.203.70,30,False,True,"Salesforce.com, Inc.",,,HSTS,,,,
click.storeuk.bbc.com,403 - Forbidden: Access is denied.,403,1233,click.storeuk.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-27T23:59:59Z,"CN=origin-click.s6.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",origin-click.s6.exacttarget.com,origin-click.s6.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a883ef2ee73cb0e865df93a268c0e559,354b67d3e764060fb1a89fc2f3904c09b2e12b1d8fccbbf607ce5679c323f96d,ctls,click.storeuk.bbc.com,443,https://click.storeuk.bbc.com:443,https,text/html,GET,68.232.203.70,/,1631801191,68.232.203.70,30,False,True,"Salesforce.com, Inc.",,,HSTS,,,,
click.topgear.bbc.com,403 - Forbidden: Access is denied.,403,1233,,,,,,,,,,,,,,,,,,80,http://click.topgear.bbc.com:80,http,text/html,GET,68.232.203.70,/,1631801191,68.232.203.70,30,False,,,,,HSTS,,,,
comments.int.api.bbc.com,,404,126,comments.int.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-20T06:26:10Z,2024-01-21T06:26:09Z,"CN=comments.test.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",comments.test.api.bbc.co.uk,reportugc.stage.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,db635f9223012fb96c5a81c7ae109ec1,938e95ccf8d5912e42f28d1b707e3e084cd39c8a01bdcd34870a8ffde158d3a7,ctls,comments.int.api.bbc.com,443,https://comments.int.api.bbc.com:443,https,application/json,GET,52.213.166.206,/,-764091936,34.255.228.127,1,False,True,BRITISH BROADCASTING CORPORATION,,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,OpenSSL:1.0.2k,,,,
consent.api.bbc.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://consent.api.bbc.com:80,http,text/html,GET,143.204.215.103,/,1150221624,143.204.215.101,20,False,,,,CloudFront,Amazon Web Services,cloudfront,True,,
consent.stage.api.bbc.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://consent.stage.api.bbc.com:80,http,text/html,GET,65.9.95.71,/,-231796515,65.9.95.123,20,False,,,,CloudFront,Amazon Web Services,cloudfront,True,,
cookie-oven.api.bbc.com,,403,42,cookie-oven.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T07:51:02Z,2024-01-17T07:51:01Z,"CN=cookie-oven.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",cookie-oven.api.bbc.co.uk,cookie-oven.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,205911318bc983d928f8242c93db4200,c9ce50c4bc8e59d10ee407c78f84d1469e802b64f960cbc3efed70e2bd903536,ctls,cookie-oven.api.bbc.com,443,https://cookie-oven.api.bbc.com:443,https,application/json,GET,65.9.95.55,/,768769774,65.9.95.38,1,False,,BRITISH BROADCASTING CORPORATION,,,Amazon Web Services,cloudfront,True,,
discussions.api.bbc.com,,404,140,discussions.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-25T14:01:02Z,2023-12-27T14:01:01Z,"CN=discussions.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",discussions.api.bbc.co.uk,discussions.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,2811f5b0dd43f33d93d2e117ab29aaba,20c37b54b8ca5aa0a24d934ab22543b2f07e6a868e95b3f825087e1ae546b7ba,ctls,discussions.api.bbc.com,443,https://discussions.api.bbc.com:443,https,application/json,GET,137.116.226.106,/,-933165797,137.116.226.106,5,False,,BRITISH BROADCASTING CORPORATION,,,,azure,True,,
