new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips,caa
,cloud6.sandbox.bbc.com,192.168.193.10,,"ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,192.168.193.10,
,cloud7.sandbox.bbc.com,192.168.193.22,,"ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1158.awsdns-16.org, ns-181.awsdns-22.com, ns-1830.awsdns-36.co.uk, ns-568.awsdns-07.net",,True,192.168.193.22,
,comments.api.bbc.com,"3.248.172.43, 34.251.88.90, 34.248.157.166","comments.e5f3e20bd9808636.xhst.bbci.co.uk, live-comm-componen-r8ofi8o7ydqv-1125177688.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,comments.int.api.bbc.com,52.209.4.227,"comments.int.8a6c003eea4a00ec.xhst.bbci.co.uk, int-comme-componen-1s51n7bqp89y4-1684449327.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,comments.test.api.bbc.com,52.30.185.89,"comments.test.8a6c003eea4a00ec.xhst.bbci.co.uk, test-comm-componen-11pyl0wt9en1y-347324407.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,confluencev1db2-corp.bbcgoodfood.bbc.com,,,,NOERROR,,,,,,,,,
,consent.api.bbc.com,"52.222.139.94, 52.222.139.88, 52.222.139.104, 52.222.139.93",cdn-1786.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,
,consent.stage.api.bbc.com,"52.222.139.93, 52.222.139.94, 52.222.139.88, 52.222.139.104",cdn-1786.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,
,consent.test.api.bbc.com,"143.204.215.108, 143.204.215.101, 143.204.215.70, 143.204.215.103",cdn-1786.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,
,cookie-oven.api.bbc.com,"108.138.17.61, 108.138.17.120, 108.138.17.50, 108.138.17.41",d2wmwflzszhlnq.cloudfront.net,"ns-842.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-1537.awsdns-00.co.uk, ns-299.awsdns-37.com, ns-842.awsdns-41.net, ns-1491.awsdns-58.org",,,,
,cookie-oven.test.api.bbc.com,,d2wmwflzszhlnq.cloudfront.net,"ns-842.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-1491.awsdns-58.org, ns-1537.awsdns-00.co.uk, ns-299.awsdns-37.com, ns-842.awsdns-41.net",,,,
,crmdev.bbc.com,198.245.82.46,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,inbound-reply.s6.exacttarget.com,"ns1.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com, ns3.exacttarget.com","v=spf1 include:cust-spf.exacttarget.com -all, spf2.0/pra include:cust-senderid.exacttarget.com -all",,,
,ddns0.bbc.com,148.163.199.129,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,2607:f740:e04e:8::1,,,,,,,,
,ddns1.bbc.com,148.163.199.193,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,2607:f740:e04e:c::1,,,,,,,,
,dev.shop.bbc.com,23.227.38.74,"bbc-shops-dev.myshopify.com, shops.myshopify.com","ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,,,,,,,"digicert.com, globalsign.com, letsencrypt.org"
,developer.bbc.com,"52.48.6.31, 34.251.100.10","developer-portal.live.tools.bbc.co.uk, ui.developer-portal.live.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-deve-componen-1sngjtmxb6nni-621084007.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,dialin.dev.bbc.com,212.58.230.167,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,discussions.test.api.bbc.com,23.101.59.188,discussions-test.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,True,azure,,,,,,
,dns0.bbc.com,198.51.44.73,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,2620:4d:4000:6259:7:9:0:3,,,,,,,,
,dns1.bbc.com,198.51.45.73,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,2a00:edc0:6259:7:9::4,,,,,,,,
,drawsp.uktv.bbc.com,,,,NOERROR,,,,,,,,,
,einstein.api.bbc.com,34.252.80.49,einstein.a9193e8608fd0153.xhst.bbci.co.uk,"ns-14.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,email.bbc.com,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,inbound-reply.s6.exacttarget.com,"ns2.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com","v=spf1 include:cust-spf.exacttarget.com -all, spf2.0/pra include:cust-senderid.exacttarget.com -all",,,
,email.shop.bbc.com,"104.17.217.1, 104.17.218.1","links.getblueshift.com, links.getblueshift.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6811:d901, 2606:4700::6811:da01",True,cloudflare,,,,,,
,emp.bbc.com,2.17.190.51,"emp.bbci.co.uk.edgekey.net, e3891.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:e8:2a3::f33, 2a02:26f0:e8:2a8::f33, 2a02:26f0:e8:280::f33, 2a02:26f0:e8:296::f33, 2a02:26f0:e8:288::f33",,,,,,,,
,emp.stage.bbc.com,23.212.201.29,"emp.stage.bbci.co.uk.edgekey.net, e3914.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100:29e::f4a, 2a02:26f0:3100:294::f4a",,,,,,,,
,emp.test.bbc.com,184.24.167.11,"emp.test.bbci.co.uk.edgekey.net, e3914.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:fe00:39c::f4a, 2a02:26f0:fe00:387::f4a",,,,,,,,
,events.bbc.com,"66.231.91.222, 66.231.94.222",,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,inbound-reply.s6.exacttarget.com,"ns3.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com","v=spf1 include:cust-spf.exacttarget.com -all, spf2.0/pra include:cust-senderid.exacttarget.com -all",,,
,external.bbc.com,,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,extra.bbc.com,"13.225.78.108, 13.225.78.4, 13.225.78.47, 13.225.78.79",d38w6xmb1jrt6n.cloudfront.net,"ns-1486.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-39.awsdns-04.com, ns-613.awsdns-12.net, ns-1486.awsdns-57.org, ns-1551.awsdns-01.co.uk",,,,
