input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_wildcard_certificate,content_type,tls_mismatched,tls_subject_org_,favicon,csp_domains_,final_url
api-dash-search-production.mapbox.com,,401,74,api-dash-search-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-dash-search-production.mapbox.com,,443,https://api-dash-search-production.mapbox.com,https,awselb/2.0,GET,52.30.23.72,/,/favicon.ico,54.76.54.170,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-bike-production-internal.mapbox.com,,401,75,api-directions-bike-production-internal.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-bike-production-internal.mapbox.com,,443,https://api-directions-bike-production-internal.mapbox.com,https,awselb/2.0,GET,54.155.73.212,/,/favicon.ico,54.78.112.156,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-bike-production.mapbox.com,,401,75,api-directions-bike-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-bike-production.mapbox.com,,443,https://api-directions-bike-production.mapbox.com,https,awselb/2.0,GET,54.76.227.68,/,/favicon.ico,54.78.112.156,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-car-production-internal.mapbox.com,,401,75,api-directions-car-production-internal.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-car-production-internal.mapbox.com,,443,https://api-directions-car-production-internal.mapbox.com,https,awselb/2.0,GET,52.30.143.237,/,/favicon.ico,54.74.219.217,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-car-production.mapbox.com,,401,75,api-directions-car-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-car-production.mapbox.com,,443,https://api-directions-car-production.mapbox.com,https,awselb/2.0,GET,52.30.143.237,/,/favicon.ico,54.77.152.151,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-mini-production.mapbox.com,,200,2,api-directions-mini-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,api-directions-mini-production.mapbox.com,,443,https://api-directions-mini-production.mapbox.com,https,,GET,34.232.114.122,/,/favicon.ico,3.209.90.138,,1,False,,nonerror,0,True,text/plain,,,,,
api-directions-traf-production-internal.mapbox.com,,401,75,api-directions-traf-production-internal.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-traf-production-internal.mapbox.com,,443,https://api-directions-traf-production-internal.mapbox.com,https,awselb/2.0,GET,52.214.64.113,/,/favicon.ico,54.72.227.134,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-traf-production.mapbox.com,,401,75,api-directions-traf-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-traf-production.mapbox.com,,443,https://api-directions-traf-production.mapbox.com,https,awselb/2.0,GET,52.214.64.113,/,/favicon.ico,54.72.227.134,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-walk-production-internal.mapbox.com,,401,75,api-directions-walk-production-internal.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-walk-production-internal.mapbox.com,,443,https://api-directions-walk-production-internal.mapbox.com,https,awselb/2.0,GET,52.213.219.58,/,/favicon.ico,52.17.228.17,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-directions-walk-production.mapbox.com,,401,75,api-directions-walk-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-directions-walk-production.mapbox.com,,443,https://api-directions-walk-production.mapbox.com,https,awselb/2.0,GET,52.213.219.58,/,/favicon.ico,52.17.228.17,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-eu-to-fix-production.mapbox.com,,401,75,api-eu-to-fix-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-eu-to-fix-production.mapbox.com,,443,https://api-eu-to-fix-production.mapbox.com,https,awselb/2.0,GET,34.241.66.95,/,/favicon.ico,52.18.147.41,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-events-production.mapbox.com,,401,93,api-events-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-03-11T00:00:00Z,2025-03-19T23:59:59Z,"CN=events.mapbox.com, O=Mapbox Inc., L=Washington, ST=District of Columbia, C=US",events.mapbox.com,events.mapbox.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,13c69384b72c93b45c2ff3bd59e6f8a4,bcab56340fc35c3211afc407d964359313b786785bd2d0ce27ba8ad09e05298c,ctls,api-events-production.mapbox.com,,443,https://api-events-production.mapbox.com,https,awselb/2.0,GET,54.75.145.107,/,/favicon.ico,34.249.167.177,Amazon Web Services,1,False,,nonerror,0,,application/json,True,Mapbox Inc.,,,
api-geocoder-production.mapbox.com,,401,75,api-geocoder-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-geocoder-production.mapbox.com,,443,https://api-geocoder-production.mapbox.com,https,awselb/2.0,GET,52.210.202.55,/,/favicon.ico,34.243.163.33,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-gl-image-production.mapbox.com,,401,75,api-gl-image-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,487bc2c2694ce7ef65f1f1b9022660bd,8a6aa457a3bfd5b78fa7e1ba28b8e6100d1876f75c770d5f54d7758bcc9351e2,ctls,api-gl-image-production.mapbox.com,,443,https://api-gl-image-production.mapbox.com,https,awselb/2.0,GET,18.223.139.18,/,/favicon.ico,18.218.110.224,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-gl-production-weighted.mapbox.com,,401,75,api-gl-production-weighted.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-gl-production-weighted.mapbox.com,,443,https://api-gl-production-weighted.mapbox.com,https,awselb/2.0,GET,52.17.84.197,/,/favicon.ico,52.49.227.175,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-gl-production.mapbox.com,,401,75,api-gl-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-gl-production.mapbox.com,,443,https://api-gl-production.mapbox.com,https,awselb/2.0,GET,52.17.84.197,/,/favicon.ico,52.49.227.175,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-identity-production.mapbox.com,,403,42,api-identity-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-13T00:00:00Z,2025-06-11T23:59:59Z,CN=api-identity-production.mapbox.com,api-identity-production.mapbox.com,api-identity-production.mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,c8b2546c4630add704f78559d00ff0ec,67338e125c1e1aaf5f68dff2c3fc341aec959ac3b3acb0a25fdc5a07193170fa,ctls,api-identity-production.mapbox.com,cloudfront,443,https://api-identity-production.mapbox.com,https,,GET,108.138.7.27,/,/favicon.ico,108.138.7.119,Amazon Web Services,1,False,True,nonerror,0,,application/json,,,,,
api-identity-staging.mapbox.com,,403,42,api-identity-staging.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-28T00:00:00Z,2025-10-27T23:59:59Z,CN=api-identity-staging.mapbox.com,api-identity-staging.mapbox.com,api-identity-staging.mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,ab2804cb57647005ec77a2409f36e546,ffbb27f785421680f7c85cd740de80b7ceac732a5175c098cf0be3122d49ecdb,ctls,api-identity-staging.mapbox.com,,443,https://api-identity-staging.mapbox.com,https,,GET,3.167.227.72,/,/favicon.ico,3.167.227.103,Amazon Web Services,1,False,,nonerror,0,,application/json,,,,,
api-jp-production.mapbox.com,,401,75,api-jp-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,c6992838923b295c476d2ca95bfa5ea0,7601688b379996f52942544244a2f546124ca8badbcca902d6ec81014477eef0,ctls,api-jp-production.mapbox.com,,443,https://api-jp-production.mapbox.com,https,awselb/2.0,GET,50.112.94.131,/,/favicon.ico,54.188.227.44,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-jp-search-loadtest.mapbox.com,,401,75,api-jp-search-loadtest.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,487bc2c2694ce7ef65f1f1b9022660bd,8a6aa457a3bfd5b78fa7e1ba28b8e6100d1876f75c770d5f54d7758bcc9351e2,ctls,api-jp-search-loadtest.mapbox.com,,443,https://api-jp-search-loadtest.mapbox.com,https,awselb/2.0,GET,18.217.135.198,/,/favicon.ico,3.133.15.238,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-map-mender-production.mapbox.com,,200,32,api-map-mender-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,api-map-mender-production.mapbox.com,,443,https://api-map-mender-production.mapbox.com,https,,GET,44.216.92.2,/,/favicon.ico,44.198.97.254,HSTS,1,False,,nonerror,0,True,application/json,,,,,
api-markers-production.mapbox.com,,401,75,api-markers-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,api-markers-production.mapbox.com,,443,https://api-markers-production.mapbox.com,https,awselb/2.0,GET,44.194.195.43,/,/favicon.ico,23.20.106.87,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-navgptvoice-production.mapbox.com,,401,75,api-navgptvoice-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,api-navgptvoice-production.mapbox.com,,443,https://api-navgptvoice-production.mapbox.com,https,awselb/2.0,GET,3.228.254.10,/,/favicon.ico,54.243.187.99,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-offline-production.mapbox.com,,401,75,api-offline-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-offline-production.mapbox.com,,443,https://api-offline-production.mapbox.com,https,awselb/2.0,GET,54.220.61.212,/,/favicon.ico,63.32.235.152,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-poi-jp-prod.mapbox.com,,401,75,api-poi-jp-prod.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,c6992838923b295c476d2ca95bfa5ea0,7601688b379996f52942544244a2f546124ca8badbcca902d6ec81014477eef0,ctls,api-poi-jp-prod.mapbox.com,,443,https://api-poi-jp-prod.mapbox.com,https,awselb/2.0,GET,34.216.194.143,/,/favicon.ico,44.238.32.22,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-poi-search-loadtest.mapbox.com,,401,75,api-poi-search-loadtest.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,487bc2c2694ce7ef65f1f1b9022660bd,8a6aa457a3bfd5b78fa7e1ba28b8e6100d1876f75c770d5f54d7758bcc9351e2,ctls,api-poi-search-loadtest.mapbox.com,,443,https://api-poi-search-loadtest.mapbox.com,https,awselb/2.0,GET,18.220.17.70,/,/favicon.ico,3.147.117.45,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-poi-search-production.mapbox.com,,401,75,api-poi-search-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-poi-search-production.mapbox.com,,443,https://api-poi-search-production.mapbox.com,https,awselb/2.0,GET,54.171.28.248,/,/favicon.ico,108.128.23.5,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-profanity-proxy-production.mapbox.com,,200,15,api-profanity-proxy-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,api-profanity-proxy-production.mapbox.com,,443,https://api-profanity-proxy-production.mapbox.com,https,,GET,35.171.240.110,/,/favicon.ico,52.70.45.224,Node.js,1,False,,nonerror,0,True,application/json,,,,,
