new,host,a,soa,status_code,txt,cname,cdn,cdn-name,mx,ns,aaaa,caa,has_internal_ips,internal_ips
[x],testing.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],tiles.mapbox.com,,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,mapbox.b.ssl.fastly.net,True,fastly,,,,,,
[x],to-fix-backend.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],undefined.tiles.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],usw16.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],vision.mapbox.com,"13.224.103.69, 13.224.103.3, 13.224.103.60, 13.224.103.45","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],vpnacc-db2-corp.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],wb2.live.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],www.blog.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],www.mapbox.com,146.75.120.143,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,mapbox.b.ssl.fastly.net,True,fastly,,,,,,
[x],www.snap.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],www2.mapbox.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d1erv85sa75fze.cloudfront.net,,,,,,,,
[x],ygdrbk-accounts.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
