new,host,ttl,a,soa,status_code,aaaa,txt,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx
[x],057-9-6-5.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],06-41.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],06-8-20.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],09-cloudfront.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],099-v3-client.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],1-78-0.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],116-6-2.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],13fc.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],14tb.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],15-3-4-1.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],15-66-7.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],152-38.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],155-9-199-18.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],155-9-199-98.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
