input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_subject_an_,tls_wildcard_certificate,final_url
search.tiktokv.com,404 Not Found,404,146,,443,https://search.tiktokv.com:443,https,nginx,text/html,GET,95.101.111.157,/,1494302000,95.101.111.146,Nginx,8,False,,search.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,ctls,search.tiktokv.com,tiktokv.com,True,
sorry.intergamma.cloud,Service niet beschikbaar,503,42888,cloudfront,443,https://sorry.intergamma.cloud:443,https,AmazonS3,text/html,GET,52.222.236.54,/,94732814,52.222.236.74,Bootstrap:5.1.3,41,False,True,sorry.intergamma.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=sorry.intergamma.cloud,sorry.intergamma.cloud,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a0c3b8241f85ba1232007785fe5a6649,5f9daa562055be5870e38dceb92aa554a7d07b1eaa53c94cd60528c197058c3f,ctls,sorry.intergamma.cloud,sorry.intergamma.cloud,,
squadra.acc.restintergamma.nl,,404,23,,443,https://squadra.acc.restintergamma.nl:443,https,,application/json,GET,3.248.4.133,/,631524574,34.250.232.76,,1,False,,squadra.acc.restintergamma.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-02-13T00:00:00Z,2023-12-14T23:59:59Z,CN=squadra.acc.restintergamma.nl,squadra.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9958ba3b421b73f0b96a0fdfc0f0ae03,eecff3627b3b32a15adeb09549880f38d7838bdd71535f1d1c302384eb74e515,ctls,squadra.acc.restintergamma.nl,squadra.acc.restintergamma.nl,,
squadra.restintergamma.nl,,404,23,,443,https://squadra.restintergamma.nl:443,https,,application/json,GET,54.77.244.131,/,631524574,52.211.90.245,,1,False,,squadra.restintergamma.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-02-14T00:00:00Z,2023-12-15T23:59:59Z,CN=squadra.restintergamma.nl,squadra.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,135fbe81c6e07f4c70bdbb0b9e4a93aa,3e56d85b1180e29e2b1f723559e33a875d4af1992414e004e2a21abdea2e12cd,ctls,squadra.restintergamma.nl,squadra.restintergamma.nl,,
supplier.acc.restintergamma.nl,,403,23,cloudfront,80,http://supplier.acc.restintergamma.nl:80,http,,application/json,GET,18.66.97.102,/,968070783,18.66.97.68,Amazon Web Services,1,False,True,supplier.acc.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-04T00:00:00Z,2024-05-01T23:59:59Z,CN=supplier.acc.restintergamma.nl,supplier.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a2c34f09de534319c0528138d1d9710,5f705e538bb28940d495ee0ff71f8913c7015fc09196c605d0301712144c672d,ctls,supplier.acc.restintergamma.nl,supplier.acc.restintergamma.nl,,https://supplier.acc.restintergamma.nl/
supplier.restintergamma.nl,,403,23,cloudfront,80,http://supplier.restintergamma.nl:80,http,,application/json,GET,18.66.147.18,/,968070783,18.66.147.101,Amazon Web Services,1,False,True,supplier.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-04T00:00:00Z,2024-05-01T23:59:59Z,CN=supplier.restintergamma.nl,supplier.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5ad34fc33baa126bc16673f31df1c47f,95c1300a895653b8b2ddce4b8d7a1a755ccb801162ab597a8cc6263e478ea6c8,ctls,supplier.restintergamma.nl,supplier.restintergamma.nl,,https://supplier.restintergamma.nl/
testrest.restintergamma.nl,403 Forbidden,403,520,,443,https://testrest.restintergamma.nl:443,https,awselb/2.0,text/html,GET,54.72.174.128,/,2095155567,34.251.36.159,,13,False,,testrest.restintergamma.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-02-10T00:00:00Z,2023-07-21T23:59:59Z,CN=rest.intergamma.nl,rest.intergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b82eb1b02d397a4d771b8aa8925d645a,32387ba84f89573e3432a07851fac78ef47b5dd9d1d4132682c10c5a197bd76e,ctls,testrest.restintergamma.nl,acceptatie.rest.intergamma.nl,,
webmail.karweioutletstore.nl,,200,44,,443,https://webmail.karweioutletstore.nl:443,https,Apache/2,text/html,GET,109.70.1.110,/,-1812417198,109.70.1.110,Apache:2,2,False,,webmail.karweioutletstore.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,True,2012-03-13T12:27:41Z,2039-07-29T12:27:41Z,"emailAddress=webmaster@localhost, CN=localhost, OU=none, O=none, L=Sometown, ST=Someprovince, C=US, emailAddress=webmaster@localhost",localhost,none,"emailAddress=webmaster@localhost, CN=localhost, OU=none, O=none, L=Sometown, ST=Someprovince, C=US, emailAddress=webmaster@localhost",localhost,none,73325b49b97b85ae1cd692dc64043e34,1ad4d772cb49b571697a00d4087a0362a49f00a2d472fe9804c89890d202adba,ctls,webmail.karweioutletstore.nl,,,
werkenbijgamma.be,Homepage | Intergamma Bouwmarkten,200,44750,,443,https://werkenbijgamma.be:443,https,nginx,text/html,GET,162.55.172.130,/,609834349,2a01:4f8:c010:973c::1,YouTube,821,False,,www.werkenbijgamma.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-14T00:00:00Z,2024-04-13T23:59:59Z,CN=werkenbijgamma.be,werkenbijgamma.be,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,fb4fd8ff52606aa28522846ef32ea9eb,c853a56903d5fc98cc27a069c987d3e3e964c0ab4e4f0748ecbcd9271b181f83,ctls,www.werkenbijgamma.be,www.werkenbijgamma.be,,https://www.werkenbijgamma.be/
werkenbijkarwei.nl,Kom werken bij Karwei. Bekijk de vacatures | Karwei Bouwmarkten,200,45055,,443,https://werkenbijkarwei.nl:443,https,nginx,text/html,GET,162.55.172.130,/,-554875649,2a01:4f8:c010:973c::1,Nginx,709,False,,www.werkenbijkarwei.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-14T00:00:00Z,2023-12-14T23:59:59Z,CN=werkenbijkarwei.nl,werkenbijkarwei.nl,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,29e8e84be64110863f340bd99abf1766,c3a359cdcf82f1b2b760e5fb47f78d8b9399f2b825b8fd472f1dd178b1de72ee,ctls,www.werkenbijkarwei.nl,www.werkenbijkarwei.nl,,https://www.werkenbijkarwei.nl/
www.werkenbijgamma.nl,GAMMA. Jouw klus? | GAMMA,200,47468,,443,https://www.werkenbijgamma.nl:443,https,nginx,text/html,GET,162.55.172.130,/,-1756914841,2a01:4f8:c010:973c::1,YouTube,902,False,,www.werkenbijgamma.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-14T00:00:00Z,2023-12-14T23:59:59Z,CN=werkenbijgamma.nl,werkenbijgamma.nl,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,52a70b6c434cdf0d27e7928cf65f6f78,1a8d2679d703e1ee5a0ad4b69ff96161ca7aa3b0c6ceed470323f0627cc9d621,ctls,www.werkenbijgamma.nl,www.werkenbijgamma.nl,,
www.werkenbijkarwei.nl,Kom werken bij Karwei. Bekijk de vacatures | Karwei Bouwmarkten,200,45055,,443,https://www.werkenbijkarwei.nl:443,https,nginx,text/html,GET,162.55.172.130,/,-554875649,2a01:4f8:c010:973c::1,Nginx,709,False,,www.werkenbijkarwei.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-11-14T00:00:00Z,2023-12-14T23:59:59Z,CN=werkenbijkarwei.nl,werkenbijkarwei.nl,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,29e8e84be64110863f340bd99abf1766,c3a359cdcf82f1b2b760e5fb47f78d8b9399f2b825b8fd472f1dd178b1de72ee,ctls,www.werkenbijkarwei.nl,www.werkenbijkarwei.nl,,
