new,host,ttl,soa,status_code,aaaa,a,cname,mx,txt,ns
,maximumcdn-nl4.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,maximumcdn-nl5.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,maximumsites.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,maxkey.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,mcdonalds-sec.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,mcdonalds.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,mdmserver.maximum.nl,1112,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,migration-director01-sec.maximum.nl,1090,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,migration-director01.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,migration-director02.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,misc.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,monsterboard.belastingdienst.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,nat.maximum.nl,295,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,217.119.4.61,,,,
,nieuw-sollicitanten-defensie.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,nlvpn.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,nodejs.maximum.nl,300,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,ns1.maximum.nl,300,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,2a02:29b0:1013:1::4:133,217.119.4.133,,,,
,ns2.maximum.nl,300,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,2a02:29b0:1013:1::4:134,217.119.4.134,,,,
,objectstore-proxy.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,ouessant.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,packagist.maximum.nl,1800,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,pdf.maximum.nl,1137,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,politie.maximum.nl,300,"{'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'maximum.nl', 'ns': 'graham.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337268753, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,217.119.4.63,,,,
