new,host,ttl,cname,soa,status_code,a,aaaa,ns,cdn,cdn-name,txt,caa
[x],auth-sre-01.pingone.com,3600,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"44.241.84.41, 52.11.201.206, 3.130.152.31, 3.129.185.94, 3.17.229.99, 44.240.2.215",,,,,,
[x],auth-sre-728215373873.pingone.com,86400,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"44.240.2.215, 44.241.84.41, 3.17.229.99, 3.129.185.94, 3.130.152.31, 52.11.201.206",,,,,,
[x],auth-sre-us-east-2-01.pingone.com,46896,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"44.241.84.41, 52.11.201.206, 3.17.229.99, 44.240.2.215, 3.129.185.94, 3.130.152.31",,,,,,
[x],auth-sre-us-east-2-728215373873.pingone.com,86400,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"44.240.2.215, 3.130.152.31, 52.11.201.206, 3.17.229.99, 3.129.185.94, 44.241.84.41",,,,,,
[x],auth-sre-us-east-2-728215373873.sre-idaas.pingone.com,900,,"{'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'sre-idaas.pingone.com', 'ns': 'ns-627.awsdns-14.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,
[x],auth-sre-us-east-2.pingone.com,1800,d3gzg8wemmh4ya.cloudfront.net,"{'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}",NOERROR,,,,,,,
[x],auth-sre.pingone.com,1800,d2a2265i8rqt7r.cloudfront.net,"{'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}",NOERROR,,,,,,,
[x],auth-staging.pingone.com,60,d2v9mbna2r6au2.cloudfront.net,"{'name': 'd2v9mbna2r6au2.cloudfront.net', 'ns': 'ns-314.awsdns-39.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2v9mbna2r6au2.cloudfront.net', 'ns': 'ns-314.awsdns-39.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2v9mbna2r6au2.cloudfront.net', 'ns': 'ns-314.awsdns-39.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"52.85.49.54, 52.85.49.108, 52.85.49.100, 52.85.49.57","2600:9000:24f3:8600:1d:e3c7:d680:93a1, 2600:9000:24f3:3c00:1d:e3c7:d680:93a1, 2600:9000:24f3:e000:1d:e3c7:d680:93a1, 2600:9000:24f3:4800:1d:e3c7:d680:93a1, 2600:9000:24f3:f000:1d:e3c7:d680:93a1, 2600:9000:24f3:4c00:1d:e3c7:d680:93a1, 2600:9000:24f3:c400:1d:e3c7:d680:93a1, 2600:9000:24f3:e200:1d:e3c7:d680:93a1","ns-1326.awsdns-37.org, ns-1993.awsdns-57.co.uk, ns-906.awsdns-49.net, ns-314.awsdns-39.com",True,cloudfront,,
[x],auth-test.pingone.com,60,d3hccsesnwzpvj.cloudfront.net,"{'name': 'd3hccsesnwzpvj.cloudfront.net', 'ns': 'ns-329.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3hccsesnwzpvj.cloudfront.net', 'ns': 'ns-329.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3hccsesnwzpvj.cloudfront.net', 'ns': 'ns-329.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"52.222.236.31, 52.222.236.129, 52.222.236.128, 52.222.236.57","2600:9000:223e:4a00:1e:82e2:6fc0:93a1, 2600:9000:223e:4e00:1e:82e2:6fc0:93a1, 2600:9000:223e:6a00:1e:82e2:6fc0:93a1, 2600:9000:223e:6c00:1e:82e2:6fc0:93a1, 2600:9000:223e:b800:1e:82e2:6fc0:93a1, 2600:9000:223e:e600:1e:82e2:6fc0:93a1, 2600:9000:223e:e800:1e:82e2:6fc0:93a1, 2600:9000:223e:1000:1e:82e2:6fc0:93a1","ns-1492.awsdns-58.org, ns-2025.awsdns-61.co.uk, ns-329.awsdns-41.com, ns-757.awsdns-30.net",True,cloudfront,,
[x],auth.pingidentity.covideo.pingone.com,86400,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"3.17.229.99, 3.129.185.94, 44.240.2.215, 52.11.201.206, 44.241.84.41, 3.130.152.31",,,,,,
[x],auth.pingone.com,60,d3vol3lyj0eg62.cloudfront.net,"{'name': 'd3vol3lyj0eg62.cloudfront.net', 'ns': 'ns-604.awsdns-11.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3vol3lyj0eg62.cloudfront.net', 'ns': 'ns-604.awsdns-11.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"13.225.78.119, 13.225.78.110, 13.225.78.117, 13.225.78.109",,"ns-1059.awsdns-04.org, ns-1852.awsdns-39.co.uk, ns-234.awsdns-29.com, ns-604.awsdns-11.net",True,cloudfront,,
[x],authall.idaas.pingone.com,300,,"{'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,3.132.246.79,,,,,,
[x],authall.ort-idaas.pingone.com,300,,"{'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'ort-idaas.pingone.com', 'ns': 'ns-30.awsdns-03.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,3.133.55.31,,,,,,
[x],authall.test-idaas.pingone.com,60,,"{'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'test-idaas.pingone.com', 'ns': 'ns-1673.awsdns-17.co.uk', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,3.18.122.145,,,,,,
[x],authenticator-api-staging.pingone.com,60,d1vdg3p778wmwq.cloudfront.net,"{'name': 'd1vdg3p778wmwq.cloudfront.net', 'ns': 'ns-1847.awsdns-38.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vdg3p778wmwq.cloudfront.net', 'ns': 'ns-1847.awsdns-38.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vdg3p778wmwq.cloudfront.net', 'ns': 'ns-1847.awsdns-38.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vdg3p778wmwq.cloudfront.net', 'ns': 'ns-1847.awsdns-38.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"2600:9000:225e:7c00:a:a7db:fe80:93a1, 2600:9000:225e:9000:a:a7db:fe80:93a1, 2600:9000:225e:c800:a:a7db:fe80:93a1, 2600:9000:225e:f400:a:a7db:fe80:93a1, 2600:9000:225e:fa00:a:a7db:fe80:93a1, 2600:9000:225e:2600:a:a7db:fe80:93a1, 2600:9000:225e:2c00:a:a7db:fe80:93a1, 2600:9000:225e:5e00:a:a7db:fe80:93a1","ns-1199.awsdns-21.org, ns-168.awsdns-21.com, ns-1847.awsdns-38.co.uk, ns-525.awsdns-01.net",True,cloudfront,,
[x],authenticator.pingone.com,1800,authall.idaas.pingone.com,"{'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'idaas.pingone.com', 'ns': 'ns-1290.awsdns-33.org', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 1, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,3.133.0.14,,,,,,
[x],autilityponeocovid19.sa.pingone.com,57528,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"44.241.84.41, 44.240.2.215, 3.130.152.31, 3.129.185.94, 3.17.229.99, 52.11.201.206",,,,,,
[x],awsdashboard.ort-admin.pingone.com,300,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,,
[x],awsdashboard.pingone.com,86400,,"{'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020012001, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}, {'name': 'pingone.com', 'ns': 'ns0.dnsmadeeasy.com', 'mailbox': 'hostmaster.pingidentity.com', 'serial': 2020013170, 'refresh': 14400, 'retry': 3600, 'expire': 1209600, 'minttl': 300}",NOERROR,"52.11.201.206, 3.130.152.31, 44.240.2.215, 3.17.229.99, 3.129.185.94, 44.241.84.41",,,,,,
