input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,tls_mismatched,final_url
beta-payments.makemytrip.com,,503,,beta-payments.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,beta-payments.makemytrip.com,443,https://beta-payments.makemytrip.com:443,https,awselb/2.0,text/plain,GET,23.38.98.217,/,-1840324437,2a02:26f0:480:c::210:f19c,1,False,,,
beta-test.makemytrip.com,"MakeMyTrip - #1 Travel Website 50% OFF on Hotels, Flights & Holiday",200,170803,beta-test.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,beta-test.makemytrip.com,443,https://beta-test.makemytrip.com:443,https,nginx/1.20.1,text/html,GET,23.53.43.18,/,-624484477,2a02:26f0:480:c::210:f19c,91,False,Nginx:1.20.1,,
bus.makemytrip.com,MakeMyTrip,200,172210,bus.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,bus.makemytrip.com,443,https://bus.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.43.18,/,-390024863,2a02:26f0:480:c::210:f19d,477,False,,,
bustickets.makemytrip.com,MakeMyTrip,200,172210,www.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,www.makemytrip.com,443,https://bustickets.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,15.206.38.10,/,-390024863,13.127.12.20,477,False,,,https://www.makemytrip.com/bus-tickets/
c-securepay.makemytrip.com,403 Forbidden,403,318,c-securepay.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=m-securepay.makemytrip.com, O=MAKEMYTRIP (INDIA) PRIVATE LIMITED, L=Gurugram, ST=Haryana, C=IN, serialNumber=090846, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",m-securepay.makemytrip.com,MAKEMYTRIP (INDIA) PRIVATE LIMITED,c-securepay.makemytrip.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,397a71671389a40be071fe32f6ba8cc3,a3c8790f0d38c18e83e46b7f3ec03bca6aa4812f04d4be7cf64d3db34188e61b,,ctls,c-securepay.makemytrip.com,443,https://c-securepay.makemytrip.com:443,https,Apache,text/html,GET,104.102.20.169,/,-780928015,2a02:26f0:480:9a2::86e,10,False,Apache,,
cabs-internal.makemytrip.com,MakeMyTrip,200,172210,cabs-internal.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cabs-internal.makemytrip.com,443,https://cabs-internal.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.42.242,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
carrental.makemytrip.com,MakeMyTrip,200,172210,carrental.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,carrental.makemytrip.com,443,https://carrental.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.43.18,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
cbother.makemytrip.com,MakeMyTrip,200,172210,cbother.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cbother.makemytrip.com,443,https://cbother.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,2.17.100.184,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
cheapfares-others.makemytrip.com,MakeMyTrip,200,172210,cheapfares-others.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cheapfares-others.makemytrip.com,443,https://cheapfares-others.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.38.98.208,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
cheapfaresindia.makemytrip.com,MakeMyTrip,200,172210,cheapfaresindia.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cheapfaresindia.makemytrip.com,443,https://cheapfaresindia.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.43.18,/,-892028430,2a02:26f0:480:c::210:f19c,477,False,,,
click.makemytrip.com,Leadsquared - Page Not Found,200,3823,click.makemytrip.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-07-31T23:59:59Z,CN=*.leadsquared.com,*.leadsquared.com,,*.leadsquared.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d68231fb00a00716da5e207622c83bc6,997818da4bd1ad42071b34ca1a1fdb72e423c4de9a3027363408ba45f1e409dc,True,ctls,click.makemytrip.com,443,https://click.makemytrip.com:443,https,Microsoft-IIS/10.0,text/html,GET,13.232.44.107,/,1631801191,13.127.100.135,84,False,Windows Server,True,
connect.makemytrip.com,,404,,connect.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,connect.makemytrip.com,443,https://connect.makemytrip.com:443,https,,,GET,23.38.98.217,/,-1840324437,2a02:26f0:480:c::210:f19d,1,False,,,
consentmgmt.makemytrip.com,MakeMyTrip,200,172210,consentmgmt.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,consentmgmt.makemytrip.com,443,https://consentmgmt.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.38.98.217,/,-390024863,2a02:26f0:480:c::210:f19d,477,False,,,
cp3o.makemytrip.com,,404,,cp3o.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cp3o.makemytrip.com,443,https://cp3o.makemytrip.com:443,https,,,GET,23.53.42.242,/,-1840324437,2a02:26f0:480:c::210:f19d,1,False,,,
cpay.makemytrip.com,403 Forbidden,403,318,cpay.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cpay.makemytrip.com,443,https://cpay.makemytrip.com:443,https,Apache,text/html,GET,23.53.42.242,/,-780928015,2a02:26f0:480:c::210:f19c,10,False,Apache,,
cruiseservice.makemytrip.com,MakeMyTrip,200,172210,cruiseservice.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,cruiseservice.makemytrip.com,443,https://cruiseservice.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.38.98.208,/,945414502,2a02:26f0:480:c::210:f19d,477,False,,,
customer-experience.makemytrip.com,Access Denied,403,288,customer-experience.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,customer-experience.makemytrip.com,443,https://customer-experience.makemytrip.com:443,https,AkamaiGHost,text/html,GET,23.38.98.208,/,1690854541,2a02:26f0:480:c::210:f19d,10,False,,,
experiences.makemytrip.com,"MakeMyTrip - Activities, Attractions and Things To Do",200,37128,experiences.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,experiences.makemytrip.com,443,https://experiences.makemytrip.com:443,https,nginx/1.20.1,text/html,GET,23.53.43.18,/,-125700536,2a02:26f0:480:c::210:f19c,456,False,Nginx:1.20.1,,
flights-cb.makemytrip.com,MakeMyTrip,200,172210,flights-cb.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,flights-cb.makemytrip.com,443,https://flights-cb.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.38.98.208,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
flights-meta.makemytrip.com,MakeMyTrip,200,172210,flights-meta.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,flights-meta.makemytrip.com,443,https://flights-meta.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.42.242,/,-390024863,2a02:26f0:480:c::210:f19c,477,False,,,
flyfish.makemytrip.com,MakeMyTrip,200,172210,flyfish.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,flyfish.makemytrip.com,443,https://flyfish.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.42.242,/,-390024863,2a02:26f0:480:c::210:f19d,477,False,,,
gc.makemytrip.com,MakeMyTrip,200,172210,gc.makemytrip.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.makemytrip.com, O=Makemytrip (India) Pvt Ltd., L=GURUGRAM, ST=Haryana, C=IN",*.makemytrip.com,Makemytrip (India) Pvt Ltd.,makemytrip.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d21b5b581f7032ccfa847832a9ac437,d1e4887e30d8fc0851f820aa13141e357fdefdbf864e65e8d8ac2b12a16637e1,True,ctls,gc.makemytrip.com,443,https://gc.makemytrip.com:443,https,AkamaiNetStorage,text/html,GET,23.53.43.18,/,-390024863,2a02:26f0:480:c::210:f19d,477,False,,,
