input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,final_url
bhall.duckduckgo.com,Sign in to your account,200,38681,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://bhall.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPRjpswEHy%2Fr0C8E8BACFYSKU1UNdK1FyW5PvSl2thLzirY1Da969%2BfTXJNTmpTJIS0npmdHS9TA23T0UVvn%2BQWf%2FZo7F0QvLSNNHQ4moW9llSBEYZKaNFQy%2Bhu8fmeklFCO62sYqoJ35Fuc8AY1FYo6Unr1SxcPT58xxJJVSBJxzw98LKAMaSHjFc1J5Mi4ZAnSQJQVwUpeTlhbFxVZVmwjBWkgHQ89lpfURsnOwtdl0HbmB7X0liQ1hUTkkVJGZFin2Q0T2mWf%2FOolRtZSLAD88naztA4btRRyFErmFZG1VbJRkgcMdXGJZlMKgJJlHOoojxN8%2BhQpGlUkLosELMDy3jsQyBefHPO54OQXMjj7WAOJ5Chn%2Fb7TbR52O29xOItrqWSpm9R71D%2FEgwft%2FcXv73B6OSZ9%2ByHf49qsAvMxOHcyQTB1LuiQyh6%2Fl9iixY4WIin8TXvotTRL26C9WqjGsF%2BD3X%2FfFS6BfvvQdNROlQEj%2BoBSntpOmSiFsjDPzKLplHPS41gcRZa3WMYxO%2Ban5cV%2BbC6LhuLLzZYqrYDLYy%2FS3wBZs%2BzX%2Ba%2Fhi8bt4tbrOc315VR5nGuvHGfZ6W5v1VkrvdegzOvtD2H9Ffxk%2Bv4hu353dvx9X84fwU%3D&RelayState=yZu838aIsSQrcS3qnhmkU7qblCpv6Fex27GsiwYu
blog.duckduckgo.com,Spread Privacy,200,55617,,spreadprivacy.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-02T23:59:59Z,"CN=spreadprivacy.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",spreadprivacy.com,"Duck Duck Go, Inc.",eun.spreadprivacy.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f4dfb8ed32ecaf67595484ee2d131b4b,8789503b5f306fcff447319fc2e8286f719ee69d9b45dcd7fe5e4ff4bfb34448,,ctls,spreadprivacy.com,443,https://blog.duckduckgo.com:443,https,nginx/1.20.2,text/html,GET,40.114.177.156,/,-929748202,40.114.177.156,Node.js,1081,False,,azure,True,https://spreadprivacy.com
brs-jpereira1.duckduckgo.com,Sign in to your account,200,38593,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://brs-jpereira1.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdb9owFH3vr4jyHhLngyQWIDHQNKRuRUD7sJfJ2NfUWmJntrOyf1870EGllVmKI13fc%2B65x9cTQ9qmw%2FPePssN%2FOrB2LsgOLaNNHg4moa9llgRIwyWpAWDLcXb%2Bdd7nI4S3GllFVVN%2BA50G0OMAW2Fkh60Wk7D5ePDj4rXvEaoopxxRFiaEVahghYkq6DiGU%2BqLNlXSZ2M3cbHdbnPipLkdJyXJMsr7rmeQBtHOw1dlYHbmB5W0lgirQsmaRYlZZQWuyTDOcJZ%2Ft1nLV3LQhI7IJ%2Bt7QyO40YdhBy1gmplFLdKNkLCiKo2LtOqqlOSRDkjdZQjlEf7AqGoSHlZAGR7mrHYm5B68vXZn09CMiEPt43Zn5IM%2FrLbraP1w3bnKeZvdi2UNH0Legv6t6DwuLm%2F6O0NRCfNrKc%2F%2FXdQg1xCTRzOHE0QTLwqPJiiZ%2F8FtmAJI5bEk%2Fgad2Hq8DfXwWq5Vo2gf4a4X5%2BVbon9uFE0QkNEsIgPqbiXpgMquAAW%2FqWZN416WWggFqah1T2EQfyu%2BHlYgQ2j67yxcLTBQrUd0cL4u4Qjofbc%2B6X%2F6%2FRF42ZxA3x2c1wppj7Phdfu96I087cK1NXeaeLEK23PJv2T%2FKQ6viF7dvd2fP0OZ68%3D&RelayState=7dV9ekQKsEURX5IgcWww0ggvNoHw18hD3agte53a
cbolin.duckduckgo.com,Sign in to your account,200,38680,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://cbolin.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdi9swEHy%2FX2H87tiS7XyIJJAmlAauvZD4%2BtCXIkurnKgtuZLcS%2F99JSdHctCmAmFY7czOzq7nlrZNR1a9e1F7%2BNmDdQ9RdGobZcnwtIh7o4imVlqiaAuWOEYOq8%2BPBI8y0hntNNNN%2FA50H0OtBeOkVgG03SzizfPT9zEAqguKx6IuYYZKzqdcFCAwxbTMKIwR5pMSSgRlxgXDLBdjMS1RXtTTjI554PoKxnraReyrDNzW9rBV1lHlfDDDeZJNElxWWU4KRPLiW8ja%2BJalom5AvjjXWZKmjT5KNWolM9pq4bRqpIIR0206wdPpDNMsKTidJQVCRVKXCCUlFl4f5DXLeRpMwIF8d%2FHng1RcquN9Y%2BpzkiWfqmqX7J4OVaBYvdm11sr2LZgDmF%2BSwfP%2B8aq3t5CcNfOe%2FQj3qAe5lNk0XnqaKJoHVWQwxSz%2FC2zBUU4dTefpLe7K1JEvvoPtZqcbyX4P8XA%2BatNS9%2B9G0QgNEckTMaSSXtkOmBQShimez6pp9OvaAHWwiJ3pIY7Sd8Uvywp8WF3vjYOTi9a67aiRNswSTpS5S%2B%2FX%2Fm%2FT143fxT2I5d11ZYSFPB%2Fe%2Bc%2BrNjxMFZivXRnqxWvjLib9lfysOr0je%2Fnw9nz7Hy7%2FAA%3D%3D&RelayState=5jErgiSVi79PBtepmUHMVbscLQq8aJJrsWYlYyjD
cclarke.duckduckgo.com,Sign in to your account,200,38681,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://cclarke.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPRbtowFH3vV0R5D4mTGBMLkBhoGlK3RkD7sJfJODfUWmJntrOyv68d6KDSyixZlq7vOffc4%2BupYW3T0UVvn%2BUGfvVg7F0QHNtGGjpczcJeS6qYEYZK1oKhltPt4us9TUcJ7bSyiqsmfAe6jWHGgLZCSQ9ar2bh6vHhB0Mc1TjlOUlIscdZkhOYcJzVfsE%2BJznBRT5OxihJcMEQIEY4hzHBNSsITj3XE2jjaGehqzJwG9PDWhrLpHXBJM2ihEQp3iUZzRHN8u8%2Ba%2BVaFpLZAflsbWdoHDfqIOSoFVwro2qrZCMkjLhqY5JOJkXKkiivWBHlCOXRHiMU4bQmGCDb86yKvQmDpPLszychKyEPt43Zn5IM%2FbLblVH5sN15isWbXUslTd%2BC3oL%2BLTg8bu4vensD0Ulz1fOffh%2FUIJdxE4dzRxMEU6%2BKDqbo%2BX%2BBLVhWMcviaXyNuzB19JvrYL0qVSP4nyHu12elW2Y%2FbhSN0BARVVQPqbSXpgMuagFV%2BJdm0TTqZamBWZiFVvcQBvG74udhhWoYXeeNhaMNlqrtmBbGvyUcGbfn3i%2F9X6cvGzeLG6jnN8eVU%2B7zXLh0x4vSlX9V4K72TjMnXml7Numf5CfV8Q3Z87u36%2Bt%2FOH8F&RelayState=fO3u5mZ4eEQPPi2C8DUZv7WayZyKQOspN4pVupIh
chat.duckduckgo.com,Mattermost,200,3132,cdn.rudderlabs.com/,chat.duckduckgo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,chat.duckduckgo.com,443,https://chat.duckduckgo.com:443,https,,text/html,GET,20.81.5.168,/,1950479670,20.81.5.168,,1,False,,,,
chatgpt.duckduckgo.com,Sign in to your account,200,38760,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://chatgpt.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPRjpswEHy%2Fr0C8E7CBQqwkUpqoaqRrL0pyfehLtZglZxVsapve9e9rk1yTk9oUCSGNd2Znx8vMQNf2bDnYJ7nDHwMaexcEL10rDRuP5uGgJVNghGESOjTMcrZffrpndJKwXiuruGrDN6TbHDAGtRVKetJmPQ%2FXjw%2Ff0iajVdLUWV6SquRY8CwpPEQAm6zCvJxOgVbFFFICWUkp5DTJindJwquMA%2FFaX1AbJzsPXZdR25gBN9JYkNaBCU2jpIhofkhSlhGWpl991dqNLCTYkflkbW9YHLfqKOSkE1wroxqrZCskTrjq4oKW5ZRCEmU1TKOMkCyqckKinDZFjphWPK1jHwL14ttzPu%2BFrIU83g6mOhUZ9vFw2Ebbh%2F3BSyxf41opaYYO9R71T8HxcXd%2F8TsYjE6e64F%2F9%2B9RjXaBmzhcOJkgmHlXbAxFL%2F5L7NBCDRbiWXzNuyj17LObYLPeqlbwXyPunw9Kd2D%2FPSiZkBERddSMpWyQpkcuGoF1%2BEdm2bbqeaURLM5DqwcMg%2FhN8%2FOyYj2ursvG4osNVqrrQQvj7xJfgNvz7Jf5r8tXrdvFHTaLm%2BvKGfd1Dt66z7PStb9V5K73QYMzr7Q9h%2FRX8ZPr%2BIbtxd3r8fV%2FuPgN&RelayState=kgu8T4Wvg8XA88RX0SLNMiwsBbdBUvHU7Jzpd7FE
chrome.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,chrome.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,chrome.duckduckgo.com,443,https://chrome.duckduckgo.com:443,https,nginx,text/html,GET,52.142.124.215,/,-1750099437,52.142.124.215,React,95,False,,azure,True,
daffy.duckduckgo.com,Not Found,404,1101,,daffy.duckduckgo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,daffy.duckduckgo.com,443,https://daffy.duckduckgo.com:443,https,Duo/1.0,text/html,GET,40.88.50.215,/,-986201618,40.88.50.215,,38,False,,azure,True,
dave.duckduckgo.com,Sign in to your account,200,38701,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://dave.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdj9owEHy%2FXxHlPeTTJFiAREFVka49BLl76Eu1cRbOamKnttOj%2F%2F7swBVO6lFLlqX1zuzseD3V0DYdXfTmWWzxV4%2Fa3HnesW2EpsPVzO%2BVoBI011RAi5oaRneLr%2Fc0GUW0U9JIJhv%2FHeg2BrRGZbgUDrRezfzV48MPkiZjAixOGY6hwByBYF4RQmKss4plkBXpeJIXWFUTBnaNkyKJSA4YYZXG6LieUGlLO%2FNtlYFb6x7XQhsQxgajJA2iPEhIGaU0i2mafXdZK9syF2AG5LMxnaZh2MgDF6OWMyW13BspGi5wxGQb5klRTBKIgqyGSZDFcRZUJI4DkuxzgphWLK1DZ0LiyDdnfz5xUXNxuG1MdUrS9EtZboLNw650FIs3u5ZS6L5FtUP1mzN83N5f9PYag5Pmumc%2F3T7IQS4wHfpzS%2BN5U6eKDqao%2BX%2BBLRqowUA4Da9xF6aOfrMdrFcb2XD2Z4i79VmqFszHjcajeIjwOtgPqbQXukPG9xxr%2Fy%2FNomnky1IhGJz5RvXoe%2BG74udhxXoYXeuNwaPxlrLtQHHt3hKPwMy590v%2F1%2BnLxs7iFvfzm%2BPKKHN5Nryxx4tUtXtVZLZ2qcCKl8qcTfon%2BUl1eEP2%2FO7t%2Bvofzl8B&RelayState=3lnTxEsp6dpe9tiNFhgsgQ70fTXTUtonziy0A50R
dbp.duckduckgo.com,403 Forbidden,403,146,,dbp.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T15:51:34Z,2023-10-04T15:51:33Z,CN=dbp.duckduckgo.com,dbp.duckduckgo.com,,dbp.duckduckgo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b9916e798f40bae313a6170c1a06fb67,55f671c75065e7a94f0ac5cf6850763f79a97c05c914206f88c7db1dac9b3651,,ctls,dbp.duckduckgo.com,443,https://dbp.duckduckgo.com:443,https,nginx,text/html,GET,20.99.229.0,/,1494302000,20.99.229.0,Nginx,8,False,,,,
deep.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://*.duckduckgo.com,deep.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,deep.duckduckgo.com,443,https://deep.duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1750099437,40.114.177.156,React,95,False,,azure,True,
dev-sync-use.duckduckgo.com,500 Internal Server Error,500,170,https://ngrok-free.app/,dev-sync-use.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-16T00:00:00Z,2024-06-21T23:59:59Z,"CN=dev-sync-use.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",dev-sync-use.duckduckgo.com,"Duck Duck Go, Inc.",dev-sync-use.duckduckgo.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d90153b11d9712a29e0c5dedcc243421,e4f9937e0156d82c8fb534b8541b771bbd920770be20d72968fbaedbf2775bb3,,ctls,dev-sync-use.duckduckgo.com,443,https://dev-sync-use.duckduckgo.com:443,https,nginx,text/html,GET,52.149.246.113,/,-1750099437,52.149.246.113,Nginx,8,False,,azure,True,
dub.duckduckgo.com,Initiating SAML single sign-on,200,9095,dub.duckduckgo.com/assets-cdn/worker/,dub.duckduckgo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,dub.duckduckgo.com,443,https://dub.duckduckgo.com:443,https,GitHub.com,text/html,GET,20.85.176.32,/,1848946384,20.85.176.32,HSTS,54,False,,,,https://dub.duckduckgo.com/login
duckduckbot.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,duckduckbot.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,duckduckbot.duckduckgo.com,443,https://duckduckbot.duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1750099437,40.114.177.156,React,95,False,,azure,True,
duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,duckduckgo.com,443,https://duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1750099437,40.114.177.156,React,95,False,,azure,True,
email.duckduckgo.com,,200,,,email.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T04:08:42Z,2023-08-06T04:08:41Z,CN=quack.duckduckgo.com,quack.duckduckgo.com,,quack.duckduckgo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62a125f723714d37d7293fd37c96bc20,7e09595bb2ee5a692813697feb4ff04708dd23212b145babde29a1f95d83e66e,,ctls,email.duckduckgo.com,443,https://email.duckduckgo.com:443,https,nginx,text/html,GET,52.146.152.248,/,-1750099437,52.146.152.248,Nginx,1,False,True,azure,True,
emaildev.duckduckgo.com,,200,,,emaildev.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T04:01:31Z,2023-08-06T04:01:30Z,CN=quackdev.duckduckgo.com,quackdev.duckduckgo.com,,quackdev.duckduckgo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,344add687b6dc17803578aef8dc52459,6b492563eaa63b960f0b379f1cbf17794b8ccc5942bfa17f91f509ebb557e5fb,,ctls,emaildev.duckduckgo.com,443,https://emaildev.duckduckgo.com:443,https,nginx,text/html,GET,52.151.207.250,/,-1750099437,52.151.207.250,Nginx,1,False,True,azure,True,
eric.duckduckgo.com,Sign in to your account,200,38630,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://eric.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPBjpswEL3vVyDuBIMhgJVEShNVjbTtRkm2h14qYw9Zq2BT23S3f782yTZZqU0tIaPxvDdvnsczQ7u2J8vBPskd%2FBzA2LsgeOlaach4NA8HLYmiRhgiaQeGWEb2y8%2F3JJ0g0mtlFVNt%2BA50G0ONAW2Fkh60Wc%2FD9ePDd6gx4jXPc56WVcOzEkOSYoQLVlW4cT9lU%2BEpnaK8LuscVdMClYhBmudlQacZ9lxfQRtHOw9dlZHbmAE20lgqrQuiFEeoiNL8gDDJEoLzbz5r7VoWktoR%2BWRtb0gct%2Boo5KQTTCujGqtkKyRMmOriIi3LKqUoyjitoixJsqjOkyTK06bIAXDNMI%2B9Cakn3579%2BSAkF%2FJ425j6lGTIp8NhG20f9gdPsXyza6WkGTrQe9C%2FBIPH3f1F72AgOmnmA%2Fvhv6Ma5VJm4nDhaIJg5lWR0RS9%2BC%2BwA0s5tTSexde4C1NPvrgONuutagX7Pcb9%2Bqh0R%2B2%2FG00myRgRPGrGVDJI0wMTjQAe%2FqFZtq16XmmgFuah1QOEQfyu%2BHlYgY%2Bj67yx8GKDlep6qoXxdwkvlNlz75f%2Br9NXrZvFHTSLm%2BPKCPN5Lrx127PS3N8qMFf7oKkTr7Q9m%2FRX8pPq%2BIbsxd3b8fU7XLwC&RelayState=1eFW4kFZGxFUoFeCzOhO4Uzw8xGwaji3vGhmysHk
