input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_,tls_mismatched
ir.casper.com,The Best Bed for Better Sleep  | Casper®,200,1965310,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,True,ctls,legacy.casper.com,fastly,443,https://ir.casper.com:443,https,,text/html,GET,151.101.65.131,/,1456915341,151.101.193.131,Varnish,815,False,True,,https://legacy.casper.com/m/,,
legacy.casper.com,The Best Bed for Better Sleep  | Casper®,200,1965310,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,True,ctls,legacy.casper.com,fastly,443,https://legacy.casper.com:443,https,,text/html,GET,151.101.129.131,/,-1239800835,151.101.65.131,Varnish,815,False,True,,https://legacy.casper.com/m/,,
magasins.casper.com,Passez dans un magasin Casper,200,139754,magasins.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=magasins.casper.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magasins.casper.com,magasins.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",80e67f87829525cf86f06b14f2d28dbb,f5e00949e10c9f3abe0e320447a611585f31ac6f0845b431c196864330992240,,ctls,magasins.casper.com,cloudflare,443,https://magasins.casper.com:443,https,cloudflare,text/html,GET,104.18.112.52,/,-1910277539,2606:4700::6812:7434,HTTP/3,1,False,True,"Cloudflare, Inc.",,,
mi.casper.com,Movable Ink Domain,200,79,mi.casper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T23:06:31Z,2023-09-08T23:06:30Z,CN=mi.casper.com,mi.casper.com,mi.casper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,beb34eee14c7009b9002a396e86706b4,3b58d9fe4a5bc56314aa14832a637f252590258c26b4b7a07d08f6067e685686,,ctls,mi.casper.com,,443,https://mi.casper.com:443,https,,text/html,GET,52.54.95.203,/,-1542678720,52.54.95.203,,1,False,,,,,
mulesoft.casper.com,403 Forbidden,403,118,mulesoft.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,2023-08-08T23:59:59Z,"CN=mulesoft.casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",mulesoft.casper.com,internal-mulesoft.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,45f38efa3851119c7e7341eb942ad6c4,907a30021cb3fcba71df7c0ebf050ea8fb5beeb02ccb1db709b1266a9095c195,,ctls,mulesoft.casper.com,,443,https://mulesoft.casper.com:443,https,,text/html,GET,52.2.88.122,/,1828833911,34.198.125.211,HSTS,7,False,,Casper Sleep Inc.,,,
new.casper.com,The Best Bed for Better Sleep | Casper,200,150561,casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",casper.com,www.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ebe9ff833e72f61bf2dd9e8f6668b489,4828e11371e16f123bd41594c8031477ee966c3db80df2e063983e169b6bed3d,,ctls,casper.com,cloudflare,443,https://new.casper.com:443,https,cloudflare,text/html,GET,104.17.224.52,/,1299828188,2606:4700::6811:e134,Salesforce Commerce Cloud,2942,False,True,Casper Sleep Inc.,https://casper.com/,,
operator.casper.tools,,403,10,operator.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,operator.casper.tools,,443,https://operator.casper.tools:443,https,Cowboy,,GET,107.21.30.188,/,1391058259,34.239.75.222,HSTS,2,False,,,,,
ops.casper.tools,,403,23,ops.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,ops.casper.tools,cloudfront,443,https://ops.casper.tools:443,https,,application/json,GET,13.32.121.47,/,968070783,13.32.121.80,Amazon Web Services,1,False,True,,,,
pages.mail.casper.com,403 - Forbidden: Access is denied.,403,1233,pages.mail.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=pages.mail.casper.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",pages.mail.casper.com,pages.mail.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4b8cd482deec2b0a5937a4e67d2c6ce7,675be1b0166c45a4d56a49d297eaabe14cb9f119800aaf89bc2bdb559a7fd2d1,,ctls,pages.mail.casper.com,,443,https://pages.mail.casper.com:443,https,,text/html,GET,13.111.164.222,/,-207424980,13.111.164.222,,30,False,,"SALESFORCE.COM, INC.",,,
pm-bounces.casper.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.casper.com:80,http,nginx/1.25.1,text/html,GET,3.20.135.122,/,-1457628171,18.118.245.208,Nginx:1.25.1,85,False,,,,,
pos-api.casper.tools,,403,42,pos-api.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,pos-api.casper.tools,cloudfront,443,https://pos-api.casper.tools:443,https,,application/json,GET,18.155.129.80,/,768769774,18.155.129.12,Amazon Web Services,1,False,True,,,,
pos2.casper.tools,ERROR: The request could not be satisfied,403,919,pos2.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,pos2.casper.tools,cloudfront,443,https://pos2.casper.tools:443,https,CloudFront,text/html,GET,13.224.189.15,/,234294792,13.224.189.54,Amazon Web Services,20,False,True,,,,
privacy.casper.com,Privacy Center,200,2539,privacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=privacy.casper.com,privacy.casper.com,privacy.casper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8640bea15e56b7c256a5912a5c617de0,6a4e301523529579ee41d7de08912c7983baef0f68434a4d69d35f0768601286,,ctls,privacy.casper.com,,443,https://privacy.casper.com:443,https,nginx,text/html,GET,3.222.180.61,/,697575247,54.88.179.190,Nginx,1,False,,,,fonts.googleapis.com,
quietrooms.casper.com,The Best Bed for Better Sleep  | Casper®,200,1965310,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,True,ctls,legacy.casper.com,fastly,443,https://quietrooms.casper.com:443,https,,text/html,GET,151.101.1.131,/,1456915341,151.101.65.131,Varnish,815,False,True,,https://legacy.casper.com/m/,,
research.casper.com,GetFeedback: Customer Experience Platform,200,357893,www.getfeedback.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-15T23:59:59Z,CN=getfeedback-cx.com,getfeedback-cx.com,*.staging.usabilla.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9b144e45fafa436fa211b39044566812,db3270de30666da11370b3c0f9627b1e9861a8b99aba46f0664247afffabc042,True,ctls,www.getfeedback.com,cloudflare,443,https://research.casper.com:443,https,nginx,text/html,GET,104.17.225.52,/,-1840324437,2606:4700::6811:e034,Nginx,124,False,True,,https://www.getfeedback.com/en/,https://*.sharepoint.com,
reststop.casper.com,The Best Bed for Better Sleep  | Casper®,200,1965310,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,True,ctls,legacy.casper.com,fastly,443,https://reststop.casper.com:443,https,,text/html,GET,151.101.66.49,/,1456915341,151.101.194.49,Varnish,815,False,True,,https://legacy.casper.com/m/,,
rts.casper.tools,Casper - Sign In,200,18774,casper.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,casper.okta.com,,443,https://rts.casper.tools:443,https,nginx,text/html,GET,34.236.65.193,/,1738184885,3.229.219.153,Nginx,482,False,,"Okta, Inc.",https://casper.okta.com/login/login.htm?fromURI=%2Fapp%2Fcasper_rtsokta_1%2FexkqjsgwekjzreJsH4x6%2Fsso%2Fsaml%3FSAMLRequest%3DjVPBjpswEP0Vbj4RWBJo1gqR0kTVptq2KKE99BI5ZrLrDdisZ2jYfn0NIW0ObdQT0vi9N%252B%252FNDDMUVVnzRUPPegOvDSB5C0SwpIxeGo1NBXYL9oeS8HXzmLJnohp5EFjCkRRYgx2RMSUGjSNh0MkFwqkxb%252BW0lBad0B%252FaQDFHEiNpqkDU9VDbOcWuvLsLoD2%252BvuDTCY4vPy18xIdJmwSIpldn3nqVsl0STeNEHqQ%252FPkym%252FiQOpS%252Bi%252B6l%252FH4dxkezvwn0ycVDEBtYaSWhKWRRGYz9850dhHkY8HvN4%252Bp15mTVkpCnfK10o%252FZSyxmpuBCrkWlSAnCTfLj498mgU8v0ZhPwhzzM%252F%252B7LNmffNBe9DOgDz2qrUyDunt5XEZcrXlPo2px6ssvmsQ%252FM%252Bnp3%252Fz04qIFEIErPgmjk7r%252F%252Bz67ReZaZU8s1blKU5LS0IgpSRbYB5H4ytBN321lVU4R96KCcrNCrQxIJLk%252BG8oOiPzd0WQUve0lS1sAq7%252BUErJF2yXaOWpZvWBg7zmwOVXHY4V87c52Rs0a0WpGuZd3ZqY2mI%252F1fx89s%252FjP5%252Bvf5V5r8A,*.oktacdn.com,
spa.casper.com,The Best Bed for Better Sleep  | Casper®,200,1987641,spa.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,True,ctls,spa.casper.com,cloudflare,443,https://spa.casper.com:443,https,cloudflare,text/html,GET,104.17.224.52,/,-1239800835,2606:4700::6811:e134,HTTP/3,774,False,True,"Cloudflare, Inc.",,,
