input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,final_url,tls_wildcard_certificate,tls_mismatched,csp_domains_,tls_subject_org_,tls_expired
api.skypixel.com,The world's biggest drone photo and video sharing platform | SkyPixel.com,200,10993,api.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,ctls,api.skypixel.com,,443,https://api.skypixel.com:443,https,,GET,47.254.56.245,/,-1082549427,47.254.56.245,,71,False,,text/html,,True,,https://mimo.skypixel.com,,
app-service.skypixel.com,The world's biggest drone photo and video sharing platform | SkyPixel.com,200,10985,app-service.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,ctls,app-service.skypixel.com,,80,http://app-service.skypixel.com:80,http,,GET,47.254.56.245,/,-1082549427,47.254.56.245,,71,False,,text/html,https://app-service.skypixel.com/,True,,https://app-h5.dji.com,,
asset1.djicdn.com,,403,243,,,,,,,,,,,,,,,,,,cloudfront,80,http://asset1.djicdn.com:80,http,AmazonS3,GET,143.204.215.113,/,-1390225574,143.204.215.67,Amazon Web Services,2,False,True,application/xml,,,,,,
asset2.djicdn.com,,403,243,asset2.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,asset2.djicdn.com,cloudfront,443,https://asset2.djicdn.com:443,https,AmazonS3,GET,18.66.97.77,/,691983559,18.66.97.27,Amazon Web Services,2,False,True,application/xml,,True,,,,
asset4.djicdn.com,,403,275,asset4.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,asset4.djicdn.com,cloudfront,443,https://asset4.djicdn.com:443,https,AmazonS3,GET,13.225.78.123,/,-1155349189,13.225.78.31,Amazon Web Services,2,False,True,application/xml,,True,,,,
asset5.djicdn.com,,403,263,asset5.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,asset5.djicdn.com,cloudfront,443,https://asset5.djicdn.com:443,https,AmazonS3,GET,65.9.95.101,/,-2136166927,65.9.95.29,Amazon Web Services,2,False,True,application/xml,,True,,,,
assets.djicdn.com,,403,243,,,,,,,,,,,,,,,,,,cloudfront,80,http://assets.djicdn.com:80,http,AmazonS3,GET,143.204.215.67,/,-660275645,143.204.215.113,Amazon Web Services,2,False,True,application/xml,,,,,,
bbs.dji.com,大疆社区官方论坛,200,125972,bbs.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,bbs.dji.com,,443,https://bbs.dji.com:443,https,Tengine,GET,114.80.179.231,/,-342272319,114.80.179.213,Tengine,2491,False,,text/html,https://bbs.dji.com/forum.php?mobile=yes,True,,www.google.com.hk,,
bbs.robomaster.com,RoboMaster论坛,200,60207,bbs.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,bbs.robomaster.com,,443,https://bbs.robomaster.com:443,https,Tengine,GET,79.133.177.225,/,1078035768,79.133.177.228,Tengine,1030,False,,text/html,https://bbs.robomaster.com/portal.php,True,,https://csp.djicdn.com/_/http-sec-report,,
bbs33.djicdn.com,403 Forbidden,403,238,bbs33.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,bbs33.djicdn.com,,443,https://bbs33.djicdn.com:443,https,Tengine,GET,101.226.27.238,/,-342272319,101.226.27.240,Tengine,8,False,,text/html,,True,,,,
bbs55.djicdn.com,403 Forbidden,403,238,bbs55.djicdn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,bbs55.djicdn.com,,443,https://bbs55.djicdn.com:443,https,Tengine,GET,101.226.27.237,/,,101.226.27.238,Tengine,8,False,,text/html,,True,,,,
bj.djiservice.org,,404,58,bj.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-18T23:59:59Z,CN=*.abcdbszf.com,*.abcdbszf.com,abcdbszf.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,954b5ad1b8b664f68d4208bd16f0a045,2876ddd072884cfdad4f091ee2e0c430e3ae79512f056bfcd60bc90f120c437b,ctls,bj.djiservice.org,,443,https://bj.djiservice.org:443,https,nw,GET,44.195.188.40,/,-1644060773,54.204.165.29,,2,False,,application/json,,True,True,,,
career.djicdn.com,,403,243,career.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,career.djicdn.com,cloudfront,80,http://career.djicdn.com:80,http,AmazonS3,GET,52.222.236.123,/,-1022251226,52.222.236.78,Amazon Web Services,2,False,True,application/xml,https://career.djicdn.com/,True,,,,
cdn-hz-live.robomaster.com,403 Forbidden,403,238,,,,,,,,,,,,,,,,,,,80,http://cdn-hz-live.robomaster.com:80,http,Tengine,GET,101.226.26.135,/,-1587870286,101.226.26.136,Tengine,8,False,,text/html,,,,,,
cdn-hz-staging.robomaster.com,RoboMaster Event System,200,27395,cdn-hz-staging.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,cdn-hz-staging.robomaster.com,,443,https://cdn-hz-staging.robomaster.com:443,https,Tengine,GET,101.226.27.237,/,,101.226.27.236,Tengine,3,False,,text/html,,True,,,,
cdn-hz.robomaster.com,,404,297,cdn-hz.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,cdn-hz.robomaster.com,,443,https://cdn-hz.robomaster.com:443,https,Tengine,GET,101.226.28.186,/,-940686596,101.226.28.187,Tengine,10,False,,application/xml,,True,,,,
cdn-usa-assets.skypixel.com,The world's biggest drone photo and video sharing platform | SkyPixel.com,200,10985,,,,,,,,,,,,,,,,,,,80,http://cdn-usa-assets.skypixel.com:80,http,Tengine,GET,163.181.92.228,/,-1082549427,163.181.92.227,Tengine,71,False,,text/html,,,,https://mimo.skypixel.com,,
cdn.djivideos.com,视频中心-管理后台,200,722,cdn.djivideos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:13:14Z,2024-04-11T12:33:32Z,CN=*.djivideos.com,*.djivideos.com,djivideos.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bafb806982940be9e9a61e830f1f404a,46504b2459679749835b32ba04f7eedbb27c05c392286d3ee75708b42cd76486,ctls,cdn.djivideos.com,,443,https://cdn.djivideos.com:443,https,Tengine,GET,163.181.56.168,/,-877102171,163.181.92.228,Tengine,1,False,,text/html,,True,,,,
cn-ag2.dji.com,,200,1208,agms.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,agms.dji.com,,443,https://cn-ag2.dji.com:443,https,Tengine,GET,114.55.105.185,/,-88258409,114.55.105.185,Tengine,5,False,,text/html,https://agms.dji.com/,True,,,,
cn-test-sp.skypixel.com,,403,118,cn-test-sp.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,ctls,cn-test-sp.skypixel.com,,443,https://cn-test-sp.skypixel.com:443,https,,GET,101.37.224.44,/,1829662823,101.37.224.44,,2,False,,application/json,,True,,,,
cn-videos.dji.net,,403,288,cn-videos.dji.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-13T07:12:10Z,2024-04-11T11:31:29Z,CN=*.dji.net,*.dji.net,dji.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",eb3da33bc2fa1882cac8ba42c8978339,29eb109b158db4383090716f414321b1b42ee785faac8df0cf70b7b4373cdaf8,ctls,cn-videos.dji.net,,443,https://cn-videos.dji.net:443,https,Tengine,GET,101.226.27.237,/,,101.226.27.233,Tengine,9,False,,application/xml,,True,,,,
cnblog.skypixel.com,天空之城™ 官方博客 | http://www.skypixel.com/,200,29956,cnblog.skypixel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,ctls,cnblog.skypixel.com,,443,https://cnblog.skypixel.com:443,https,Tengine,GET,180.163.40.35,/,566218143,180.163.40.36,WordPress:5.0.18,666,False,,text/html,,True,,stats.g.doubleclick.net,,
code.ionicframework.com,Ionic Framework CDN,200,9055,code.ionicframework.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=ionicframework.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",ionicframework.com,ionicframework.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dd878e474963068066d369baaf1eac28,4a98d06ad91aaa969edd6b5962716b9140df9a7e8565eb580e0d556a60fd6887,ctls,code.ionicframework.com,cloudflare,443,https://code.ionicframework.com:443,https,cloudflare,GET,172.67.69.29,/,-1698328762,2606:4700:20::ac43:451d,Varnish,315,False,True,text/html,,True,,,"Cloudflare, Inc.",
college.djicdn.com,,403,307,college.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,college.djicdn.com,,443,https://college.djicdn.com:443,https,Tengine,GET,79.133.177.229,/,956851765,79.133.177.232,Tengine,9,False,,application/xml,,True,,,,
crm-robot.djicdn.com,,403,243,crm-robot.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,crm-robot.djicdn.com,,80,http://crm-robot.djicdn.com:80,http,Tengine,GET,101.226.26.137,/,-1975923678,101.226.26.140,Tengine,2,False,,application/xml,https://crm-robot.djicdn.com/,True,,,,
