input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn,csp_domains_
id.dokobit.com,Dokobit Identity Gateway,200,801,id.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,id.dokobit.com,443,https://id.dokobit.com:443,https,nginx,text/html,GET,13.50.69.178,/,2001955903,16.170.14.74,Nginx,15,False,,,,
mail.dokobit.com,Sign in - Google Accounts,200,1339,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,80,http://mail.dokobit.com:80,http,GSE,text/html,GET,142.250.185.179,/,1814867326,2a00:1450:4001:811::2013,OpenGSE,32,False,https://www.google.com/a/dokobit.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,,,url=https://www.google.com/accounts/AccountChooser?hd=dokobit.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm
my-sandbox.dokobit.com,Log in – Self-service,200,5769,my-sandbox.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,my-sandbox.dokobit.com,443,https://my-sandbox.dokobit.com:443,https,nginx,text/html,GET,13.50.58.139,/,-224557487,13.48.60.113,Nginx,79,False,https://my-sandbox.dokobit.com/login,,,
my.dokobit.com,Log in – Self-service,200,5761,my.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,my.dokobit.com,443,https://my.dokobit.com:443,https,nginx,text/html,GET,13.51.76.54,/,-224557487,13.51.82.124,Nginx,79,False,https://my.dokobit.com/login,,,
pagalba.dokobit.com,Dokobit | Pagalba,200,21135,pagalba.dokobit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-12T16:27:19Z,2023-09-10T16:27:18Z,CN=pagalba.dokobit.com,pagalba.dokobit.com,,pagalba.dokobit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6b0cb219a2f57a7f1e95fd345239560d,64737e58a597755a22e92000c07f1af7c46d4338efe6fe52cf28f7194dff9c32,,ctls,pagalba.dokobit.com,443,https://pagalba.dokobit.com:443,https,openresty,text/html,GET,52.7.251.102,/,-1530239662,52.205.28.216,Scala,536,False,,,,
support.dokobit.com,Dokobit | Support,200,23230,support.dokobit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-12T16:27:14Z,2023-09-10T16:27:13Z,CN=support.dokobit.com,support.dokobit.com,,support.dokobit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,749c121205331cbacd0ac4012b887215,6ad981b2a9eb2ce59d7cb4f4d3e27e3ed69aa02b32daa43e601cb1f139e5e412,,ctls,support.dokobit.com,443,https://support.dokobit.com:443,https,openresty,text/html,GET,54.196.182.16,/,-1530239662,52.7.251.102,Scala,572,False,,,,
testbe.dokobit.com,Dokobit,200,206781,testbe.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,testbe.dokobit.com,443,https://testbe.dokobit.com:443,https,nginx,text/html,GET,13.48.60.113,/,-224557487,13.50.227.171,Stimulus,1030,False,https://testbe.dokobit.com/login,,,
uptime.dokobit.com,Pingdom Public Reports Overview,200,8790,uptime.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T09:14:27Z,2023-10-08T10:08:20Z,CN=uptime.dokobit.com,uptime.dokobit.com,,uptime.dokobit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d09c58327f56d5d2d73dd378fd91d714,af6d0b32c0a75b68a5d72a7535718f785b34703c45f0c30cca0b25a72b1d1b64,,ctls,uptime.dokobit.com,443,https://uptime.dokobit.com:443,https,nginx,text/html,GET,34.111.81.71,/,429579677,34.111.81.71,Nginx,245,False,,google,True,
ws.dokobit.com,Dokobit WS API documentation,200,2810321,ws.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,ws.dokobit.com,443,https://ws.dokobit.com:443,https,nginx,text/html,GET,13.50.88.166,/,-224557487,16.171.101.84,Nginx,27425,False,,,,
www.dokobit.com,Electronic document signing as an everyday service | Dokobit,200,38320,www.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-19T16:29:18Z,2023-11-25T22:59:00Z,"serialNumber=301549834, CN=dokobit.com, O=Dokobit\, UAB, C=LT, jurisdictionCountry=LT, businessCategory=Private Organization, L=Vilnius, postalCode=11341, jurisdictionCountry=LT, businessCategory=Private Organization",dokobit.com,"Dokobit, UAB",www.dokobit.com,"CN=Buypass Class 3 CA 2, O=Buypass AS-983163327, C=NO",Buypass Class 3 CA 2,Buypass AS-983163327,725c44e7a1b369fe97c557d3b9e23827,62cc7b7bedfaaf46744fdbaf0640b236bf94de16a9a9c0d6d4221ae2cbef19de,,ctls,www.dokobit.com,443,https://www.dokobit.com:443,https,nginx,text/html,GET,16.170.6.147,/,1494302000,16.171.125.50,Nginx,497,False,,,,
