new,host,ttl,a,ns,txt,caa,status_code,has_internal_ips,internal_ips
[x],hostmaster.careers.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.cdn.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,True,127.0.0.4
[x],hostmaster.cloud.tu-chemniz.de,522,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.cms.tu-chemniz.de,372,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,True,127.0.0.4
[x],hostmaster.content.tu-chemniz.de,2835,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.corp.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.dashboard.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],hostmaster.data.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],hostmaster.developers.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,True,127.0.0.4
[x],hostmaster.faq.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.final.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.hostmaster.hostmaster.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.hostmaster.hostmaster.www.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],hostmaster.hostmaster.tu-chemniz.de,600,127.0.0.4,,,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.hostmaster.www.tu-chemniz.de,600,127.0.0.4,,,,NOERROR,True,127.0.0.4
[x],hostmaster.image.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.lab.tu-chemniz.de,1916,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.ldap.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,True,127.0.0.4
[x],hostmaster.log.tu-chemniz.de,581,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.logs.tu-chemniz.de,3600,,,v=spf1 -all,,NOERROR,,
[x],hostmaster.media.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.mssql.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.mta-sts.tu-chemniz.de,522,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.my.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.netlify.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,True,127.0.0.4
[x],hostmaster.oauth2.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.prometheus.tu-chemniz.de,600,127.0.0.4,,,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.qa.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],hostmaster.review.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],hostmaster.role.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.shopify.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.stats.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,True,127.0.0.4
[x],hostmaster.storage.tu-chemniz.de,3600,"13.248.158.159, 76.223.21.9","ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.v1.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.v2.tu-chemniz.de,424,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.web.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],hostmaster.wp.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],hostmaster.www.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.www2.tu-chemniz.de,535,127.0.0.4,,v=spf1 -all,,NOERROR,True,127.0.0.4
[x],https-en-m-wikipedia-org-96.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],idsru-idsru-portal-counter.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],iheartcoldplay.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],info.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],intstatus.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ioccgcg1.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ipv4-c146-lhr004-ix.dict.tu-chemniz.de,600,104.247.82.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],jpmm3.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],k8s.tu-chemniz.de,526,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],kr-48.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],lap.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ldap.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],local.tu-chemniz.de,278,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],log.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],logs.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],mach131-87-127-17.tu-chemniz.de,278,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],mail.tu-chemniz.de,514,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],manager.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],market.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],media-developer.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],media.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],miembros-networksvn.tu-chemniz.de,512,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],mitsubishi-zephyr-2.tu-chemniz.de,600,185.53.178.54,,,,NOERROR,,
[x],monitor.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],mso-catdb-e2e-s2.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],mssql.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],mta-sts.cms.tu-chemniz.de,600,185.53.178.54,,,,NOERROR,,
[x],mta-sts.tu-chemniz.de,3600,"13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],musicaparaguayaletras.www.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],my.tu-chemniz.de,510,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],my857.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],mysql.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],netlify.dict.tu-chemniz.de,600,104.247.82.54,,,,NOERROR,,
[x],ns024.tu-chemniz.de,600,76.223.21.9,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ns05.dict.tu-chemniz.de,600,13.248.158.159,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ns070.tu-chemniz.de,600,76.223.21.9,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],ns123.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ns146.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],ns172.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ns176.tu-chemniz.de,600,76.223.21.9,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ns31.arlocallbacks-qa.tu-chemniz.de,600,13.248.158.159,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],ns33.mail.tu-chemniz.de,600,13.248.158.159,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],ns35.drupal.tu-chemniz.de,267,13.248.158.159,,,letsencrypt.org,NOERROR,,
[x],ns35.emap.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],ns41.arlocallbacks-qa.tu-chemniz.de,600,13.248.158.159,,,letsencrypt.org,NOERROR,,
[x],ns41.emap.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ns41.gsp78-bm23-s20.tu-chemniz.de,600,13.248.158.159,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ns41.mail.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],ns41.www.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],om-devwww.hostmaster.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],origin.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],p01-smtp.emap.tu-chemniz.de,3600,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],p23-fmipmail.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],payment.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],pod-000-1056-02.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],production272.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],prometheus.tu-chemniz.de,60,195.46.39.1,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],proxy.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],psp-sys.emap.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],public.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],retail-training-videos.mach131-87-127-17.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],review.tu-chemniz.de,515,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],s1.tu-chemniz.de,600,104.247.82.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],s3.tu-chemniz.de,506,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],service.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],shop.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],stage.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],staging.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],stats.tu-chemniz.de,1961,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],storage.tu-chemniz.de,493,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],stripe.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],studio-4.local.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
