new,host,ttl,aaaa,soa,status_code,a,cname,ns,caa,txt
,bloggersideas.smartmockups.com,1800,,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,bundle.smartmockups.com,927,2a02:2b88:1:4::38,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,demo.smartmockups.com,593,2a02:2b88:1:4::38,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,dev-api.smartmockups.com,300,,"{'name': 'd2lmme9ioe8x9q.cloudfront.net', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2lmme9ioe8x9q.cloudfront.net', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2lmme9ioe8x9q.cloudfront.net', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"18.245.199.4, 18.245.199.89, 18.245.199.128, 18.245.199.88",d2lmme9ioe8x9q.cloudfront.net,"ns-1051.awsdns-03.org, ns-1619.awsdns-10.co.uk, ns-190.awsdns-23.com, ns-933.awsdns-52.net",,
,e.smartmockups.com,1800,2a02:2b88:1:4::38,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,enstinemuki.smartmockups.com,1800,,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,ftp.smartmockups.com,1094,2a02:2b88:1:4::38,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,help.smartmockups.com,300,,"{'name': 'helpscoutdocs.com', 'ns': 'ns-1428.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'helpscoutdocs.com', 'ns': 'ns-1428.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'helpscoutdocs.com', 'ns': 'ns-1428.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'helpscoutdocs.com', 'ns': 'ns-1428.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'helpscoutdocs.com', 'ns': 'ns-1428.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"54.204.201.233, 52.86.116.71, 52.4.146.208",smartmockups.helpscoutdocs.com,,letsencrypt.org,
,images-mockups-dev.smartmockups.com,300,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.43.33, 172.64.144.223",,,,
,images-mockups-private.smartmockups.com,300,"2606:4700:4400::ac40:90df, 2606:4700:4400::6812:2b21","{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"172.64.144.223, 104.18.43.33",,,,
,images-mockups.smartmockups.com,300,"2606:4700:4400::6812:2b21, 2606:4700:4400::ac40:90df","{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"172.64.144.223, 104.18.43.33",,,,
,images-public.smartmockups.com,300,,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.43.33, 172.64.144.223",,,,
,images.smartmockups.com,1800,2a02:2b88:1:4::38,"{'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'smartmockups.com', 'ns': 'daisy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350024833, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
