input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_
blog.staging.coda.io,,404,68,https://*.api.sanity.io,staging.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-08-06T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e94fa9ca452267b9184c38d5e23051b6,a1999d474f721746b5ead56e32a748bbc5edcdb3aeb8b8f2445cc12335ba2125,True,ctls,staging.coda.io,cloudfront,443,https://blog.staging.coda.io:443,https,CloudFront,application/json,GET,99.86.4.85,/,-1840324437,https://staging.coda.io/blog,99.86.4.121,Sanity,1,False,True,,
build-links.coda.io,404 Not Found,404,150,,build-links.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2024-07-06T23:59:59Z,CN=build-links.coda.io,build-links.coda.io,build-links.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2ed91b765393b3893207a38ea43a6a4d,b4257a6cc8f54a25ebacf8633e75e5f88f5ca748a334b286185f0c91837df364,,ctls,build-links.coda.io,cloudfront,443,https://build-links.coda.io:443,https,msys-http,text/plain,GET,108.156.60.38,/,-1840324437,,108.156.60.18,HTTP/3,8,False,True,,
cdn.coda.io,,403,243,,cdn.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-18T23:59:59Z,CN=cdn.coda.io,cdn.coda.io,cdn.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c9be594f0f590c5597a104b033f5daf,0e0046e565bd59cc2351da618d0c9e7161c1dedf3bddfa577c8743110fe89ab0,,ctls,cdn.coda.io,cloudfront,443,https://cdn.coda.io:443,https,AmazonS3,application/xml,GET,52.222.139.78,/,-1840324437,,52.222.139.77,HTTP/3,2,False,True,,
coda.io,"The doc for everyone, replace dozens of apps - Coda",200,167529,https://fonts.gstatic.com,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-08-10T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ba620e03a8f0233b6d69e302190c44d6,a837a9f09bef3b29f74807d679f1d31464dfaedb1982005a598563716c671311,True,ctls,coda.io,cloudfront,443,https://coda.io:443,https,CloudFront,text/html,GET,108.156.60.23,/,-1840324437,,108.156.60.41,YouTube,110,False,True,,
email.gh-mail.coda.io,,404,19,,email.gh-mail.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,,ctls,email.gh-mail.coda.io,google,443,https://email.gh-mail.coda.io:443,https,,text/plain,GET,34.102.239.211,/,-138391155,,34.102.239.211,,2,False,True,True,
github-bot.dev-infra.coda.io,Error,404,139,,github-bot.dev-infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=dev-infra.coda.io,dev-infra.coda.io,*.dev-infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f43ac29f496f3772372c33e9e342d74c,1c8f7cee07d3185899751c503ab6106eee655e7b620060836ce744908c6459a8,True,ctls,github-bot.dev-infra.coda.io,,443,https://github-bot.dev-infra.coda.io:443,https,,text/html,GET,44.240.131.131,/,1593207841,,34.218.179.245,Node.js,11,False,,,
go.coda.io,GoLinks® | Knowledge Discovery & Link Management Platform,200,161340,https://connect.facebook.net/,www.golinks.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-09T14:29:35Z,2023-12-11T14:29:35Z,CN=*.golinks.io,*.golinks.io,golinks.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4a672ebbd04c01350b5b0884618d3373,a74793a9e7d3baf5b7c480634462b4369466fa6db0175314ad97eb82b501c312,True,ctls,www.golinks.io,,443,https://go.coda.io:443,https,Apache,text/html,GET,52.72.13.96,/,1151692879,https://www.golinks.io/,52.72.13.96,Linkedin Ads,2831,False,,,
hello.coda.io,,204,,,hello.coda.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-04T12:05:18Z,2023-10-02T12:05:17Z,CN=hello.coda.io,hello.coda.io,hello.coda.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,51eae2920b5a28b3c3edd97275f26103,0bfd371562ecccaad9db4dd4da3d00e696c347629c656c5eef9a68091fed3f99,,ctls,hello.coda.io,,443,https://hello.coda.io:443,https,,,GET,34.210.52.172,/,-1840324437,,44.241.46.203,HSTS,1,False,,,
help.coda.io,Coda Help Center,200,50684,https://*.intercom.io,help.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-22T23:59:59Z,CN=help.coda.io,help.coda.io,help.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e5dbbf4e2f47501b8d738795d9dd1933,dbfbfb52bea55387bca6bc63e78f721a156ebf2c6dcc50a7d7f7b4b9efdc35f3,,ctls,help.coda.io,cloudfront,443,https://help.coda.io:443,https,nginx,text/html,GET,18.65.39.39,/,-1840324437,https://help.coda.io/en/,18.65.39.49,Nginx,27,False,True,,
https://accounts.google.com,Sign in - Google Accounts,200,579042,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.185.237,/,708578229,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=AeDOFXiO852XIXFG6m72qDnHgi_f2x0jCrFlbhur9mDMePhwKoUbrd26laEMwXPKLcBk72x3Wgrdsg&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S2131551630%3A1690910580585447,2a00:1450:4001:827::200d,HTTP/3,76,False,,,
https://api-iam.intercom.io,Making Internet Business Personal | Intercom,200,941414,nexus-long-poller-test.intercom.io,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://api-iam.intercom.io:443,https,nginx,text/html,GET,44.193.135.177,/,-1840324437,https://www.intercom.com/,54.159.251.179,React,12,False,,,
https://api.rollbar.com,,200,70,,api.rollbar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-11-16T23:59:59Z,"CN=api.rollbar.com, O=Rollbar\, Inc., L=San Francisco, ST=California, C=US",api.rollbar.com,api.rollbar.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,060c7c5c47a2fc42fe6a97e71b0c4b77,e8ab7d21619d366737d81bf134f0daefc4690c4ae5b7dd1282e4f42fd8138570,,ctls,api.rollbar.com,google,443,https://api.rollbar.com:443,https,nginx/1.17.9,text/html,GET,35.201.81.77,/,-674532093,,35.201.81.77,Nginx:1.17.9,1,False,True,,"Rollbar, Inc."
https://api.sprig.com,Sprig | User Insights Platform for Teams Building Better Product Experiences,200,2471024,https://js.na.chilipiper.com,sprig.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-05-29T23:59:59Z,CN=sprig.com,sprig.com,www.sprig.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8e3627babd6ee7c110590005bfdb5510,1f24ee890cc1f9ea072e04077960ef296df7ff712d8e19233e785960cbe06168,,ctls,sprig.com,,443,https://api.sprig.com:443,https,istio-envoy,text/html,GET,3.228.185.195,/,1593207841,https://sprig.com,52.86.181.185,webpack,8,False,,,
https://api.statsig.com,,404,63,*.statsig.com,api.statsig.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-09T21:39:20Z,2023-09-07T21:39:19Z,CN=statsig.com,statsig.com,www.statsig.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1db6cda561a7be46b67e3258f21b6172,e3423b447b348d1df3f7d20e8089b96bc4b9c4c45b5e8b05b454a7a6f5bf27a8,,ctls,api.statsig.com,,443,https://api.statsig.com:443,https,istio-envoy,application/json,GET,20.93.28.56,/,-1793755213,,20.93.28.56,Envoy,1,False,,,
https://api.stripe.com,,404,361,,api.stripe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T00:00:00Z,2023-09-30T23:59:59Z,"CN=api.stripe.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api.stripe.com,api.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,914de4d3a6dd2c515965b4dac6d60935,eae9a9c06d882889526eb741fe8ee5300862fc4ab0b2602a4511cc0d28601cb9,,ctls,api.stripe.com,,443,https://api.stripe.com:443,https,nginx,application/json,GET,34.241.54.72,/,-2122229022,,34.240.123.193,Nginx,7,False,,,"Stripe, Inc"
https://api.trello.com,Manage Your Team’s Projects From Anywhere | Trello,200,362163,,trello.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=*.trello.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.trello.com,trello.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,390fb034cf64875533eddfe5c1c479d9,723466946447f305db5a1a41a89cd1863f033cf9d1fe2dccc7544f79bce5e909,True,ctls,trello.com,,443,https://api.trello.com:443,https,AtlassianEdge,text/html,GET,185.166.143.25,/,1365604607,https://trello.com/,185.166.143.24,React,980,False,,,Atlassian Pty Ltd
https://app.clearbit.com,Clearbit,200,2529,https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js,app.clearbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-14T23:59:59Z,CN=clearbit.com,clearbit.com,*.clearbit.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,691b8239ef234d3d00b3be5b1bec3b8c,7b8fb924cabe308adaa86ad2a43a6edda5219c438e6f10614f4413cdcde401ae,True,ctls,app.clearbit.com,,443,https://app.clearbit.com:443,https,envoy,text/html,GET,18.158.205.16,/,995906987,,3.127.196.46,HSTS,1,False,,,
https://app.getsentry.com,Application Performance Monitoring & Error Tracking Software | Sentry,200,326646,sentry-blog.storage.googleapis.com,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,google,443,https://app.getsentry.com:443,https,nginx,text/html,GET,34.96.102.34,/,-1840324437,https://sentry.io/welcome/,35.188.42.15,webpack,59,False,True,,Sentry
https://baconipsum.com,Bacon Ipsum - A Meatier Lorem Ipsum Generator,200,27132,,baconipsum.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-01T01:18:33Z,2023-09-29T01:18:32Z,CN=baconipsum.com,baconipsum.com,baconipsum.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0c59d18cc68f6c989ff4b2292d723b88,aba8289fb5694f3268165362571553ec02c7bdd7e948d4d4229e926a859bc81a,,ctls,baconipsum.com,,443,https://baconipsum.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,162.243.9.212,/,814114052,,162.243.9.212,Yoast SEO:20.12,279,False,,,
https://cdn.coda.io,,403,243,,cdn.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-18T23:59:59Z,CN=cdn.coda.io,cdn.coda.io,cdn.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c9be594f0f590c5597a104b033f5daf,0e0046e565bd59cc2351da618d0c9e7161c1dedf3bddfa577c8743110fe89ab0,,ctls,cdn.coda.io,cloudfront,443,https://cdn.coda.io:443,https,AmazonS3,application/xml,GET,52.222.139.78,/,-1840324437,,52.222.139.77,HTTP/3,2,False,True,,
https://cdn.cookielaw.org,,400,351,,cdn.cookielaw.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=cookielaw.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cookielaw.org,*.cookielaw.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",37ab0e71043c8086e3dd0c243ddc96a0,5d2949ef89a4f8bcb4cd2993b031af4344263b2d584da9f9139d2aae7c6cbed2,True,ctls,cdn.cookielaw.org,cloudflare,443,https://cdn.cookielaw.org:443,https,cloudflare,application/xml,GET,104.18.170.114,/,-458948672,,2606:4700::6812:aa72,HSTS,3,False,True,,"Cloudflare, Inc."
https://cdn.iframe.ly,Your external media embeds - Iframely,200,7189,,cdn.iframe.ly,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-21T23:59:59Z,CN=*.iframe.ly,*.iframe.ly,*.iframe.ly,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f73c5d14a4c7ffbb84681f6a02479a5,c16f42525b86a1e4290f46786a7590242ae78c5c177fed54a98f8ce01c84b30d,True,ctls,cdn.iframe.ly,cloudfront,443,https://cdn.iframe.ly:443,https,nginx,text/html,GET,108.138.7.69,/,-1927739536,https://cdn.iframe.ly/consents,108.138.7.117,Nginx,89,False,True,,
https://cdn.linkedin.oribi.io,,404,,,cdn.linkedin.oribi.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-07-07T23:59:59Z,CN=linkedin.oribi.io,linkedin.oribi.io,*.linkedin.oribi.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cdc578939f23599f797e6575d23766de,a80ed43e15105aed06ad6f074c9894812cf9690fc5289521adfe65e64a7b3eb4,True,ctls,cdn.linkedin.oribi.io,cloudfront,443,https://cdn.linkedin.oribi.io:443,https,awselb/2.0,text/plain,GET,52.222.139.95,/,-1840324437,,2600:9000:2204:6c00:2:53b2:240:93a1,Amazon Web Services,1,False,True,,
https://cdn.sanity.io,,200,19,,cdn.sanity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-04T00:00:00Z,2023-11-04T23:59:59Z,CN=*.sanity.io,*.sanity.io,sanity.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,f8833b428a56bcdf6bf6679021ec3b06,c1c02a033870d3f7a92f1393befb62fc873512d018528e3ad1c1b21559a56e5c,True,ctls,cdn.sanity.io,google,443,https://cdn.sanity.io:443,https,,application/json,GET,35.190.70.79,/,-1739153069,,35.190.70.79,Varnish,1,False,True,,
https://cdn.sprig.com,ERROR: The request could not be satisfied,502,951,,cdn.sprig.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-14T23:59:59Z,CN=api.sprig.com,api.sprig.com,app.sprig.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a71e5a853f912e066114efcd30eb0e7a,915194f383e77d5f4fb6e632fe679c4011bd3998c9c76f1fe3a5ae4d08952d76,,ctls,cdn.sprig.com,cloudfront,443,https://cdn.sprig.com:443,https,CloudFront,text/html,GET,143.204.215.38,/,757008602,,143.204.215.83,Amazon Web Services,20,False,True,,
https://coda-us-west-2-staging-blobs-upload.s3-accelerate.amazonaws.com,,403,243,,coda-us-west-2-staging-blobs-upload.s3-accelerate.amazonaws.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-11T23:59:59Z,CN=*.s3-accelerate.amazonaws.com,*.s3-accelerate.amazonaws.com,*.cf-ofp-eu-west-3c.s3-accelerate.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,642d4642b125c2fede731d7d9cfc8c1b,72340188b464aac10ef9449aacc77d17fee570afc1a8fa756bd5a13478b83933,True,ctls,coda-us-west-2-staging-blobs-upload.s3-accelerate.amazonaws.com,cloudfront,443,https://coda-us-west-2-staging-blobs-upload.s3-accelerate.amazonaws.com:443,https,AmazonS3,application/xml,GET,65.9.68.138,/,131907148,,65.9.68.138,Amazon Web Services,2,False,True,,
