input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
dmh.aws.atg.se,,200,,dmh.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-05-07T23:59:59Z,CN=dmh.aws.atg.se,dmh.aws.atg.se,dmh.aws.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,896753a2d2e4bdbc8cb933a9a568a803,9848b6f17c7b51da56ccbc055c4d41733525b205ce43fc39d71e87ebf188f3ef,ctls,dmh.aws.atg.se,cloudfront,443,https://dmh.aws.atg.se:443,https,Apache,text/html,GET,99.86.4.117,/,-1840324437,2600:9000:2190:d800:b:43b8:2400:93a1,Apache,1,False,True,,,
egr10.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://egr10.dev.atg.se:80,http,Server,text/html,GET,143.204.215.6,/,1000918285,143.204.215.2,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
email.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://email.dev.atg.se:443,https,Server,text/html,GET,13.249.9.19,/,1005409213,13.249.9.53,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
examplesdns.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://examplesdns.dev.atg.se:443,https,Server,text/html,GET,65.9.95.116,/,607742861,65.9.95.58,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
gcpmediaconfig-helpdesk.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://gcpmediaconfig-helpdesk.dev.atg.se:443,https,Server,text/html,GET,143.204.215.2,/,746723203,143.204.215.79,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
h-135-207-102-13.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://h-135-207-102-13.dev.atg.se:80,http,Server,text/html,GET,143.204.215.2,/,-1015367893,143.204.215.79,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
h-135-207-102-45.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://h-135-207-102-45.dev.atg.se:443,https,Server,text/html,GET,65.9.95.111,/,-1108059002,65.9.95.58,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
h-135-207-220-45.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://h-135-207-220-45.dev.atg.se:80,http,Server,text/html,GET,143.204.215.79,/,-2124536843,143.204.215.2,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
h-135-207-61-77.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://h-135-207-61-77.dev.atg.se:80,http,Server,text/html,GET,143.204.215.79,/,-757226200,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
images.atg.se,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://images.atg.se:80,http,CloudFront,text/html,GET,65.9.66.109,/,-110599667,2600:9000:2127:ba00:0:a8b7:d980:93a1,Amazon Web Services,20,False,True,,,
internallogstemp-storage.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://internallogstemp-storage.dev.atg.se:80,http,Server,text/html,GET,13.249.9.53,/,-343713,13.249.9.19,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
ipv4-c088-tpa001-ix.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://ipv4-c088-tpa001-ix.dev.atg.se:443,https,Server,text/html,GET,13.249.9.53,/,-763282802,13.249.9.19,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
linkedinlearning.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://linkedinlearning.dev.atg.se:80,http,Server,text/html,GET,143.204.215.79,/,874295249,143.204.215.51,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
login.atg.se,,404,89,login.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,ctls,login.atg.se,,80,http://login.atg.se:80,http,,application/json,GET,195.198.34.21,/,1989253166,195.198.34.21,,1,False,,True,https://login.atg.se/,AB Trav och Galopp
m.news.atg.se,404,404,217,,,,,,,,,,,,,,,,,,,80,http://m.news.atg.se:80,http,Apache,text/html,GET,34.254.59.209,/,-771924771,52.48.233.46,Apache,12,False,,,,
macromedia.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://macromedia.dev.atg.se:443,https,Server,text/html,GET,18.165.183.58,/,90976040,18.165.183.110,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
mitukids.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://mitukids.dev.atg.se:80,http,Server,text/html,GET,65.9.95.116,/,352978423,65.9.95.111,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
mmf.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://mmf.dev.atg.se:80,http,Server,text/html,GET,143.204.215.51,/,500293107,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
