new,host,a,mx,soa,ns,txt,status_code,aaaa,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa
,10jahre.gulp.ch,"52.16.150.197, 52.48.213.67, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,administrator.branch.gulp.de,"172.31.14.22, 172.31.40.203",,"ns-1048.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,"172.31.14.22, 172.31.40.203",,,
,argocd.dev.gulp.de,"54.78.78.134, 52.210.134.254, 54.75.22.66",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,atrust.extern.gulp.de,188.174.236.210,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,atrust.intern.gulp.de,10.0.0.125,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.0.0.125,,,
,autodiscover.gulp.de,"40.99.150.8, 40.99.150.104, 40.99.150.120, 52.98.152.248",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,NOERROR,"2603:1026:c0d:c31::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:82f::8, 2603:1026:c0d:c1d::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
,basic.dev.gulp.de,172.31.46.163,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,172.31.46.163,,,
,basic.prod.gulp.de,10.10.43.192,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.10.43.192,,,
,bastion.prod.gulp.de,34.245.176.132,,"dns-external-master.amazon.com, root.amazon.com",,,NOERROR,,ec2-34-245-176-132.eu-west-1.compute.amazonaws.com,,,,,
,cc.gulp.de,159.255.168.131,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,click.reply.gulp.de,13.111.168.233,,"ns-376.awsdns-47.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,cloud.reply.gulp.ch,128.245.18.71,,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,cloud.reply.gulp.de,13.111.167.253,,"ns-376.awsdns-47.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,cog-cmn-svcs-fs.gulp.ch,"54.195.118.103, 52.16.150.197, 52.48.213.67",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com","ns-1126.awsdns-12.org, ns-1669.awsdns-16.co.uk, ns-457.awsdns-57.com, ns-818.awsdns-38.net",,NOERROR,,www.gulp.ch,,,,,
,config-uploadsweb-i.gulp.ch,"52.16.150.197, 52.48.213.67, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,corporate.gulp.de,,,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,dashboard.dev.gulp.de,,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1488.awsdns-58.org, ns-1722.awsdns-23.co.uk, ns-37.awsdns-04.com, ns-869.awsdns-44.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external-sso",NOERROR,,,,,,,
,dashboard.stage.gulp.de,"34.253.77.238, 63.34.131.228, 54.216.156.180",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,demo-ch.gulp.de,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.de,,,,,
,dev.gulp.ch,,,"ns-1560.awsdns-03.co.uk, awsdns-hostmaster.amazon.com","ns-1436.awsdns-51.org, ns-1560.awsdns-03.co.uk, ns-844.awsdns-41.net, ns-135.awsdns-16.com",,NOERROR,,,,,,,
,dev.gulp.de,"34.252.47.251, 54.78.209.123, 52.208.209.171","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1488.awsdns-58.org, ns-1722.awsdns-23.co.uk, ns-37.awsdns-04.com, ns-869.awsdns-44.net",google-site-verification=2gX1eKU1Wtd3s4wmh5NtuC5g87SVWRMDVsQMDBBFAWM,NOERROR,,,,,,,
,dew.dev.gulp.de,"52.218.52.18, 52.218.45.116, 52.218.28.84, 52.218.120.4, 52.218.37.196, 52.218.92.124, 52.218.40.196, 52.92.36.140",,"ns-873.awsdns-45.net, awsdns-hostmaster.amazon.com","ns-1199.awsdns-21.org, ns-1606.awsdns-08.co.uk, ns-414.awsdns-51.com, ns-873.awsdns-45.net",7e48ceab88c72d090b82f738de225bae,NOERROR,,"gulp-dev-public.s3-website-eu-west-1.amazonaws.com, s3-website-eu-west-1.amazonaws.com",,,,,
,dex.dev.gulp.de,"52.210.134.254, 54.75.22.66, 54.78.78.134",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,dex.prod.gulp.de,"52.215.139.3, 34.252.31.227, 54.229.214.64",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,direct.gulp.de,"199.60.103.2, 199.60.103.254",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:67fe, 2606:2c40::c73c:6702","direkt.gulp.de, 3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,direkt.stage.gulp.de,"34.249.75.229, 52.30.52.254, 34.250.101.249",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,www.stage.gulp.de,,,,,
,elastic-proxy.dev.gulp.de,172.31.22.104,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,proxy.dev.gulp.de,True,172.31.22.104,,,
,elastic-proxy.prod.gulp.de,"63.35.146.235, 52.49.48.201, 52.208.249.194",,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,tf-common-public-alb-prod-921478397.eu-west-1.elb.amazonaws.com,,,,,
,enterpriseenrollment.gulp.de,13.74.111.192,,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com",,,True,azure,
,erfolg.gulp.de,"54.195.118.103, 52.48.213.67, 52.16.150.197",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.de,,,,,
,es.dev.gulp.de,"52.210.134.254, 54.75.22.66, 54.78.78.134",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/elastic/ingress-external-es",NOERROR,,,,,,,
,es.stage.gulp.de,"34.253.77.238, 54.216.156.180, 63.34.131.228",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/elastic/ingress-internal-es",NOERROR,,,,,,,
,experts.gulp.de,"199.60.103.254, 199.60.103.2",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:67fe, 2606:2c40::c73c:6702","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,frontend-cache-api.dev.gulp.de,"65.9.66.59, 65.9.66.5, 65.9.66.6, 65.9.66.43",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,cloudfront,
,frontend-cache-api.prod.gulp.de,"13.227.219.108, 13.227.219.113, 13.227.219.40, 13.227.219.47",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,cloudfront,
,gateway.gulp.de,188.174.236.218,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,2001:a60:925f::3,,,,,,
,google.gulp.de,64.233.162.121,,"ns1.google.com, dns-admin.google.com",,,NOERROR,2a00:1450:4010:c0f::79,ghs.googlehosted.com,,,,,
,grafana-test.dev.gulp.de,,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1488.awsdns-58.org, ns-1722.awsdns-23.co.uk, ns-37.awsdns-04.com, ns-869.awsdns-44.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,grafana-test.prod.gulp.de,"54.229.214.64, 34.252.31.227, 52.215.139.3",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,grafana.dev.gulp.de,"172.31.79.163, 172.31.81.215, 172.31.2.113",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1488.awsdns-58.org, ns-1722.awsdns-23.co.uk, ns-37.awsdns-04.com, ns-869.awsdns-44.net",,NOERROR,,,True,"172.31.79.163, 172.31.81.215, 172.31.2.113",,,
,grafana.prod.gulp.de,"10.10.12.204, 10.10.13.154, 10.10.11.23",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com","ns-1465.awsdns-55.org, ns-1736.awsdns-25.co.uk, ns-62.awsdns-07.com, ns-780.awsdns-33.net",,NOERROR,,,True,"10.10.12.204, 10.10.13.154, 10.10.11.23",,,
,gtas2.direct.gulp.ch,"54.195.118.103, 52.48.213.67, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,gulp.de,"52.48.213.67, 54.195.118.103, 52.16.150.197","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-365.awsdns-45.com, ns-928.awsdns-52.net, ns-1106.awsdns-10.org, ns-1783.awsdns-30.co.uk","google-site-verification=NUdlFeObc8ZiFHaPgiojFpOj2uTuI4jbpVLxqfSOtII, google-site-verification=eHSSXSnQZpkVwiw4Fe9-B3djurlpyxpNY0N8D60enN4, onetrust-domain-verification=2343fc560cb148f3907bb550cc40f9a1, v=spf1 ip4:188.174.236.208/28 ip4:185.75.168.80 ip4:87.106.186.33 ip4:212.25.15.196 ip4:159.255.168.120 , ip4:94.199.88.0/22 ip4:82.135.18.0/23 ip4:62.245.148.0/26 ip4:62.134.45.32/28 ip4:94.199.92.0/23 ip4:185.93.140.0/23 ip4:103.196.252.0/22 ip4:185.215.216.0/26 ip4:207.126.138.0/22 ip4:199.204.13.32/29 , ip4:62.204.93.131 ip4:207.244.98.227 ip4:83.149.98.72 ip4:81.17.56.1 ip4:83.149.98.73 ip4:13.88.226.191 ip4:40.115.66.46 ip4:13.94.232.90 ip4:191.238.213.99 ip4:51.13.102.144 , include:_spf.google.com include:_spf.salesforce.com include:spf.gulp.4hr.de include:amazonses.com include:spf.de.umantis.com , include:spf.crsend.com -all, MS=ms96450527, apple-domain-verification=YoDgkd0jk6wkMAip",NOERROR,,,,,,,
,gulp1-api.dev.gulp.de,172.31.22.104,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,proxy.dev.gulp.de,True,172.31.22.104,,,
,gulp1-api.stage.gulp.de,172.31.22.104,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,proxy.dev.gulp.de,True,172.31.22.104,,,
,gw.virtru.dev.gulp.de,54.77.72.85,,"ns-1785.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,h-135-207-170-206.gulp.ch,,,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,image.reply.gulp.de,"23.64.12.8, 23.64.12.24",,"n0dscx.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:d8::1740:c89, 2a02:26f0:d8::1740:c88","akamai-san130.exacttarget.com.edgekey.net, e87229.dscx.akamaiedge.net",,,,,
,info.gulp.de,"199.60.103.254, 199.60.103.2",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,internals3auth-cache-lbclients.10jahre.gulp.ch,"52.16.150.197, 52.48.213.67, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,ipv4-c065-stl001-ix.mta-sts.gulp.ch,"52.48.213.67, 54.195.118.103, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,jenkins-chef-dummy-100-12.10jahre.gulp.ch,"52.48.213.67, 54.195.118.103, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,jenkins.dev.gulp.de,"54.78.78.134, 54.75.22.66, 52.210.134.254",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,jenkins.stage.gulp.de,"34.253.77.238, 63.34.131.228, 54.216.156.180",,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,kibana.prod.gulp.de,"52.215.139.3, 54.229.214.64, 34.252.31.227",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,lab.gulp.de,199.36.158.100,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,localhost.gulp.ch,127.0.0.1,,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,127.0.0.1,,,
,localhost.gulp.de,127.0.0.1,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-1106.awsdns-10.org, ns-1783.awsdns-30.co.uk, ns-365.awsdns-45.com, ns-928.awsdns-52.net",,NOERROR,,,True,127.0.0.1,,,
,log-old.prod.gulp.de,10.10.13.157,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com","ns-1465.awsdns-55.org, ns-1736.awsdns-25.co.uk, ns-62.awsdns-07.com, ns-780.awsdns-33.net",,NOERROR,,log.prod.gulp.de,True,10.10.13.157,,,
,log.prod.gulp.de,10.10.13.157,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.10.13.157,,,
,lyncdiscover.gulp.de,52.112.192.14,,"admin.nsatc.net, dns.level3.net",,,NOERROR,2603:1027:0:48::21,webdir.online.lync.com,,,,,
,mail-out.gulp.de,,,"ns1.m-online.net, hostmaster.m-net.de",,,NOERROR,,bulkmail.m-online.net,,,,,
,mail.gulp.de,62.245.150.229,,"ns1.m-online.net, hostmaster.m-net.de",,31e752d7b6737ac4f9140493305d9fe17018a73a2387984a0617ad56d643f5a6,NOERROR,,mail.mnet-online.de,,,,,"letsencrypt.org, certum.pl, sectigo.com"
,matomo.gulp.de,,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,monitoring.prod.gulp.de,10.10.3.119,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.10.3.119,,,
,msp.gulp.de,"199.60.103.2, 199.60.103.254",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,mta-sts.gulp.de,"143.204.98.95, 143.204.98.71, 143.204.98.38, 143.204.98.88",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,cloudfront,
,mysql.dev.gulp.de,172.31.33.247,,"ns-572.awsdns-07.net, awsdns-hostmaster.amazon.com",,,NOERROR,,mysql-recovery.c6lcbwuzihaq.eu-west-1.rds.amazonaws.com,True,172.31.33.247,,,
,nat.prod.gulp.de,10.10.1.175,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.10.1.175,,,
,news.gulp.ch,"52.16.150.197, 54.195.118.103, 52.48.213.67",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,news.gulp.de,217.175.192.11,,"ns10.digicertdns.com, dns.digicertdns.com",,,NOERROR,,suite11.emarsys.net,,,,,
,nexus-docker.dev.gulp.de,"54.78.78.134, 52.210.134.254, 54.75.22.66",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,nexus.dev.gulp.de,"52.210.134.254, 54.75.22.66, 54.78.78.134",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/ingress-external",NOERROR,,,,,,,
,nexus.prod.gulp.de,"10.10.11.23, 10.10.12.204, 10.10.13.154",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,"10.10.11.23, 10.10.12.204, 10.10.13.154",,,
,oauth.stage.gulp.de,10.102.248.50,,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,10.102.248.50,,,
,oracle.dev.gulp.de,172.31.11.162,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,172.31.11.162,,,
,owncloud.dev.gulp.de,"108.128.129.96, 3.250.250.230, 54.194.48.249",,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,owncloud-2017990434.eu-west-1.elb.amazonaws.com,,,,,
,pages.reply.gulp.de,13.111.18.25,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,pages.virt.s10.exacttarget.com,,,,,
,portal.gulp.de,188.174.236.218,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,prod.gulp.ch,,,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com","ns-393.awsdns-49.com, ns-1016.awsdns-63.net, ns-1390.awsdns-45.org, ns-1736.awsdns-25.co.uk",,NOERROR,,,,,,,
,prod.gulp.de,,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,prometheus.dev.gulp.de,"172.31.81.215, 172.31.79.163, 172.31.2.113",,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,"172.31.81.215, 172.31.79.163, 172.31.2.113",,,
,proxy.dev.gulp.de,172.31.22.104,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,172.31.22.104,,,
,rai.5.chrai.gulp.ch,"52.16.150.197, 54.195.118.103, 52.48.213.67",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,rai.gulp.ch,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,rc2-static.mta-sts.gulp.ch,"52.48.213.67, 52.16.150.197, 54.195.118.103",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
,recruitingjobs.gulp.de,88.198.22.168,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-1106.awsdns-10.org, ns-1783.awsdns-30.co.uk, ns-365.awsdns-45.com, ns-928.awsdns-52.net",,NOERROR,,,,,,,
,redis.dev.gulp.de,172.31.35.115,,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com","ns-108.awsdns-13.com, ns-1439.awsdns-51.org, ns-1905.awsdns-46.co.uk, ns-738.awsdns-28.net",,NOERROR,,"tf-dev-redis.4pxqse.ng.0001.euw1.cache.amazonaws.com, tf-dev-redis-001.4pxqse.0001.euw1.cache.amazonaws.com",True,172.31.35.115,,,
,redis.prod.gulp.de,10.10.13.238,,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",,,NOERROR,,"tf-prod-redis.ysev9n.ng.0001.euw1.cache.amazonaws.com, tf-prod-redis-001.ysev9n.0001.euw1.cache.amazonaws.com",True,10.10.13.238,,,
,reply.gulp.ch,13.111.18.27,reply.s10.exacttarget.com,"ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com","ns-1293.awsdns-33.org, ns-1549.awsdns-01.co.uk, ns-158.awsdns-19.com, ns-956.awsdns-55.net",v=spf1 include:cust-spf.exacttarget.com include:emsmtp.com include:emarsys.net ~all,NOERROR,,,,,,,
,reply.gulp.de,13.111.18.27,reply.s10.exacttarget.com,"ns-376.awsdns-47.com, awsdns-hostmaster.amazon.com","ns-1485.awsdns-57.org, ns-1742.awsdns-25.co.uk, ns-376.awsdns-47.com, ns-636.awsdns-15.net",v=spf1 include:cust-spf.exacttarget.com include:emsmtp.com include:emarsys.net ~all,NOERROR,,,,,,,
,rss.gulp.de,"52.218.53.132, 52.92.36.28, 52.92.32.76, 52.218.117.164, 52.218.117.220, 52.218.28.188, 52.218.37.84, 52.218.30.180",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,salesjobs.gulp.de,88.198.22.168,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,search.stage.gulp.de,172.31.33.242,,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,l4-cl-1.stage.gulp.de,True,172.31.33.242,,,
,service-desk.gulp.de,"199.60.103.254, 199.60.103.2",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,smtp.prod.gulp.de,10.10.1.175,,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,nat.prod.gulp.de,True,10.10.1.175,,,
,smtp.stage.gulp.de,,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",,,NOERROR,,"smtp.dev.gulp.de, services.dev.gulp.de",,,,,
,stage.gulp.ch,"52.30.52.254, 34.250.101.249, 34.249.75.229",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com","ns-1350.awsdns-40.org, ns-2038.awsdns-62.co.uk, ns-63.awsdns-07.com, ns-657.awsdns-18.net","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/frontend-cache/frontend-cache-ingress-aws",NOERROR,,,,,,,
,stage.gulp.de,34.251.168.53,,"ns-1741.awsdns-25.co.uk, awsdns-hostmaster.amazon.com","ns-318.awsdns-39.com, ns-539.awsdns-03.net, ns-1408.awsdns-48.org, ns-1741.awsdns-25.co.uk",,NOERROR,,,,,,,
,support.gulp.de,212.144.254.43,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,survey.gulp.de,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns-360.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-1929.awsdns-49.co.uk, ns-360.awsdns-45.com, ns-612.awsdns-12.net, ns-1510.awsdns-60.org",v=spf1 include:_spf.google.com include:spf.flowmailer.net -all,NOERROR,,,,,,,
,talentmanagement.gulp.de,"52.16.150.197, 52.48.213.67, 54.195.118.103",,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.de,,,,,
,tendertracker.gulp.de,"199.60.103.2, 199.60.103.254",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","3832373.group23.sites.hubspot.net, group23.sites.hscoscdn20.net",,,,,
,test.gulp.ch,,,"ns-964.awsdns-56.net, awsdns-hostmaster.amazon.com","ns-1220.awsdns-24.org, ns-1642.awsdns-13.co.uk, ns-319.awsdns-39.com, ns-964.awsdns-56.net",,NOERROR,,,,,,,
