new,host,ttl,a,aaaa,mx,soa,ns,status_code,has_internal_ips,internal_ips
[x],portal-us-stagelocal.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stagemail.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stagemysql.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stagewww.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],shop.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],www.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
,accounts.companyhub.com,300,"104.26.11.212, 172.67.68.213, 104.26.10.212","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,"{'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,
,api.companyhub.com,300,"172.67.68.213, 104.26.10.212, 104.26.11.212","2606:4700:20::681a:ad4, 2606:4700:20::681a:bd4, 2606:4700:20::ac43:44d5",,"{'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,
,app.companyhub.com,300,"104.26.10.212, 104.26.11.212, 172.67.68.213","2606:4700:20::681a:bd4, 2606:4700:20::681a:ad4, 2606:4700:20::ac43:44d5",,"{'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,
,demo.companyhub.com,300,"172.67.68.213, 104.26.11.212, 104.26.10.212","2606:4700:20::ac43:44d5, 2606:4700:20::681a:ad4, 2606:4700:20::681a:bd4",,"{'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,
