new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa,txt,has_internal_ips,internal_ips,ns,mx
,api-staging.services.fireeye.com,"143.204.215.125, 143.204.215.50, 143.204.215.56, 143.204.215.61",,"ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,api-stg.my.fireeye.com,"52.32.196.21, 35.160.109.219, 44.228.190.237",,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,d-rxgdiotip0.execute-api.us-west-2.amazonaws.com,,,,,,
,api-test.intelligence.fireeye.com,"162.159.240.125, 162.159.241.125","2606:4700:300b::a29f:f07d, 2606:4700:300b::a29f:f17d","jade.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,api.intelligence.mandiant.com,,,,,,
,api.ca.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,api.eu.feconnect.fireeye.com,,,"ns-1446.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,api.eu.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,api.feconnect.fireeye.com,,,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,api.intelligence.fireeye.com,162.159.246.125,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,api.my.fireeye.com,"34.214.67.3, 34.214.153.188, 44.240.149.206",,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,d-mqlkwnr3y0.execute-api.us-west-2.amazonaws.com,,,,,"ns-1153.awsdns-16.org, ns-1623.awsdns-10.co.uk, ns-508.awsdns-63.com, ns-793.awsdns-35.net",
,api.staging.feconnect.fireeye.com,"54.200.186.158, 52.36.219.78, 44.227.74.89",,"ns-1512.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=athena-stg01-external-dns,external-dns/resource=ingress/feconnect/athena-ais",,,,
,api.us.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,apitest.intelligence.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,apps.community.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,apps.connect.fireeye.com,204.93.79.191,,"ns-690.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,apps.fireeye-int.hosted.jivesoftware.com,,,,,,
,apps.fireeye.com,"54.201.47.158, 44.239.252.230, 52.36.18.183",,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"google-site-verification=fLuatMbx83wxEQsH73lytuQMaeUpIWIN2smE39KcYv0, v=spf1 include:amazonses.com ~all",,,"ns-195.awsdns-24.com, ns-931.awsdns-52.net, ns-1076.awsdns-06.org, ns-1820.awsdns-35.co.uk",
,apps.uat.community.fireeye.com,204.93.79.77,,"ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,apps.fireeye-ext.uat5.hosted.jivesoftware.com,,,,,,
,apps.uat.connect.fireeye.com,204.93.79.192,,"ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,apps.fireeye-int.uat5.hosted.jivesoftware.com,,,,,,
,apps.uat.internal.fireeye.com,204.93.79.192,,"ns-1199.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,apps.fireeye-int.uat5.hosted.jivesoftware.com,,,,,,
,arb.svpc.apps.fireeye.com,,,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1139.awsdns-14.org, ns-196.awsdns-24.com, ns-1963.awsdns-53.co.uk, ns-673.awsdns-20.net",
,arc.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,archie.access.dxb.selabs.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,argo.sre.apps.fireeye.com,"54.148.208.112, 44.228.175.75, 52.35.201.238",,"ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/devops/drone-ingress-ingress-nginx-controller",,,,
,argocd.sre.apps.fireeye.com,"54.148.208.112, 52.35.201.238, 44.228.175.75",,"ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/devops/drone-ingress-ingress-nginx-controller",,,,
,ars.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,artifactory.eng.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,artifactory.services.fireeye.com,54.144.128.85,,,NOERROR,,,,,,,,,
,ash.selabs.fireeye.com,,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,ast5.lms.sjc.training.fireeye.com,199.16.198.82,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ati-stage.fireeye.com,199.16.197.35,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ati.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,ati3.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,atiapi-stage.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-dev.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,auth-dev63.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-prod.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,auth-prod61.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-prod63.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-prod65.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-qa.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,auth-stage65.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-staging.faas.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth-staging.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,auth.faas.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,auth.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,autodiscover.fireeye.com,"52.96.88.72, 52.96.70.248, 52.96.111.8, 52.96.109.152","2603:1036:302:481e::8, 2603:1036:302:40d0::8, 2603:1036:302:415e::8, 2603:1036:302:4845::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
,av.fireeye.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,avsuite-qa.cloud.aws.apps.fireeye.com,"50.17.24.251, 52.86.128.80, 34.228.136.128",,"ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,avsuite-qa.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,avsuite.fireeye.com,162.159.246.125,2606:4700:300b::a29f:f67d,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
