new,host,ttl,a,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,cname,caa,txt,mx,aaaa
[x],adminschleprock.164-extraopssimplycomputermerchantsbuilds.delivery.indrive.com,892,,"{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],analytics.indrive.com,300,,"{'name': 'eu.bloomreach.co', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'eu.bloomreach.co', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'eu.bloomreach.co', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'eu.bloomreach.co', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,True,google,,,,custom-drv-shortener.eu.bloomreach.co,"symantec.com, letsencrypt.org, sectigo.com, amazonaws.com, trust-provider.com, ssl.com, entrust.net, telesec.de, digicert.com, amazon.com, geotrust.com, godaddy.com, thawte.com, globalsign.com, comodoca.com, pki.goog, amazontrust.com, awstrust.com",,,
[x],assets.delivery.indrive.com,286,,"{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],baiduspider-111-206-221-81.delivery.indrive.com,283,,"{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],before.payment-153-extraopssimplycomputermerchantsshopify.delivery.indrive.com,60,"52.222.214.70, 52.222.214.12, 52.222.214.83, 52.222.214.29","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],bpearce.153-extraopssimplycomputermerchantsbuilds-plugins.delivery.indrive.com,900,,"{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],career.153-extraopssimplycomputermerchants.delivery.indrive.com,60,"52.222.214.83, 52.222.214.70, 52.222.214.12, 52.222.214.29","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,"ns-1514.awsdns-61.org, ns-1583.awsdns-05.co.uk, ns-201.awsdns-25.com, ns-931.awsdns-52.net",,,,,,,
[x],cfg-6.api-shop-payment-153-extraopssimplycomputermerchants.delivery.indrive.com,40,"3.164.240.113, 3.164.240.36, 3.164.240.63, 3.164.240.126","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],cfg-koning.api-stats-153-extraopssimplycomputermerchants.delivery.indrive.com,60,"3.164.206.33, 3.164.206.81, 3.164.206.110, 3.164.206.107","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],cfg-theophilus.160-extraopssimplycomputermerchantsbuilds.delivery.indrive.com,36,"3.164.240.36, 3.164.240.126, 3.164.240.113, 3.164.240.63","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],cfg-tolfalas.161-extraopssimplycomputermerchantsbuilds.delivery.indrive.com,60,"52.222.214.29, 52.222.214.12, 52.222.214.70, 52.222.214.83","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
[x],cfg.maximum21.161-extraopssimplycomputermerchantsbuilds.delivery.indrive.com,60,"52.222.214.83, 52.222.214.12, 52.222.214.29, 52.222.214.70","{'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'delivery.indrive.com', 'ns': 'ns-931.awsdns-52.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,,,,,,,
