new,host,a,soa,status_code,ns,cname,cdn,cdn-name,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],academy.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],acceptatie-bin.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],acceptatieoceania.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-accessuk.labs.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-admin-wikiintegrationarchivecorp.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-apse1-weather-auth-prod.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-awsauth-antiviruspre.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-bucket-authteamregister.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-cdn-euw-meet-git.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-devenvdev.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-fc8-2.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-fms6.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-helpdesk-assets-postmanbackups-www-test.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-ssodatabasevpn.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-video-cms-miembros.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],access-wiki-redirectoceania-uat.labs.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accessapideploy.labs.coursera.org,"34.198.177.114, 52.206.185.208","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accessawsexamplesbackup.labs.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accessbucket-media.labs.coursera.org,"52.206.185.208, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
