input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,tls_self_signed,final_url
fs.aktia.fi,Not Found,404,315,,fs.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-03-05T23:59:59Z,"CN=fs.aktia.fi, O=Aktia Bank p.l.c, L=Helsinki, C=FI",fs.aktia.fi,aktia.fi,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2743bd9f0812b03e99e3447c9f8adfcb,766ed5b0b80170b3455bf015b97d4a2db9dce2fa8b82733ce6106d224b278062,ctls,fs.aktia.fi,azure,443,https://fs.aktia.fi:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,13.80.106.115,/,225052475,13.80.106.115,Microsoft HTTPAPI:2.0,7,False,True,,Aktia Bank p.l.c,,,
inttest.aktia.fi,,403,16,,inttest.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T19:28:32Z,2023-10-08T19:28:31Z,CN=inttest.aktia.fi,inttest.aktia.fi,inttest.aktia.fi,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e4925c0610a5ae7e773bcfbe02ce7caf,c5fa31bed0b3822e129f1652196e39828e93cb932b7f377db5393c8ce46e4913,ctls,inttest.aktia.fi,cloudflare,443,https://inttest.aktia.fi:443,https,cloudflare,text/plain,GET,104.16.212.134,/,1253481126,104.16.212.134,HTTP/3,1,False,True,,,,,
kirjaudu.aktia.fi,Aktia,200,5501,https://*.transmit.security,kirjaudu.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-24T00:00:00Z,2023-12-23T23:59:59Z,CN=kirjaudu.aktia.fi,kirjaudu.aktia.fi,kirjaudu.aktia.fi,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7fb29a09e586df9cf23b16f8d930ae70,40f5a450f0ec7bb59b87c3e313cd43fac22d0750bf67251f4f5733e5bf4cdf14,ctls,kirjaudu.aktia.fi,cloudfront,443,https://kirjaudu.aktia.fi:443,https,AmazonS3,text/html,GET,18.65.39.114,/,-1851491385,18.65.39.98,HSTS,18,False,True,,,,,
mobiili.aktia.fi,403 Forbidden,403,199,,mobiili.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-09-21T12:27:38Z,2023-08-15T12:52:11Z,"CN=Keski_GWC VPN Certificate, O=ngadm..kjdnhp",Keski_GWC VPN Certificate,,O=ngadm..kjdnhp,,ngadm..kjdnhp,5f89680fb8b0e65e22f31e25ed6790ad,afe5486b880e190fa63f05ed5deb2da60cf5cbd6cb8ede07683168e97c8fb438,ctls,mobiili.aktia.fi,,443,https://mobiili.aktia.fi:443,https,CPWS,text/html,GET,217.152.84.246,/,-993165615,217.152.84.246,HSTS,8,False,,True,ngadm..kjdnhp,,True,
mobile-gateway2.aktia.fi,,404,,,mobile-gateway2.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-02T23:59:59Z,CN=mobile-gateway2.aktia.fi,mobile-gateway2.aktia.fi,mobile-gateway2.aktia.fi,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5374817d68113f91f8c14001a1a92034,52b7308c113fa3074f60bb878ce9bbee5cbc998555679694c21fb3e2be35aaa0,ctls,mobile-gateway2.aktia.fi,,443,https://mobile-gateway2.aktia.fi:443,https,Web,,GET,3.127.133.123,/,-1840324437,18.195.193.73,,1,False,,,,,,
mydocuments.aktia.fi,,200,,https:,mydocuments.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=signingportal.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",signingportal.aktia.fi,mylink.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf3ac5bdb46c81601e256d631787f78c,a467273c36cfa7c44f82285707ad9450afcac80b89011fe2648ea70f0b6e7e92,ctls,mydocuments.aktia.fi,azure,443,https://mydocuments.aktia.fi:443,https,,,GET,137.117.175.14,/,1772087922,137.117.175.14,HSTS,1,False,True,,Aktia Bank Abp,,,
myforms.aktia.fi,,200,,https:,myforms.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=signingportal.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",signingportal.aktia.fi,mylink.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf3ac5bdb46c81601e256d631787f78c,a467273c36cfa7c44f82285707ad9450afcac80b89011fe2648ea70f0b6e7e92,ctls,myforms.aktia.fi,azure,443,https://myforms.aktia.fi:443,https,,,GET,137.117.175.14,/,1772087922,137.117.175.14,HSTS,1,False,True,,Aktia Bank Abp,,,
mylink.aktia.fi,,200,,,mylink.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=signingportal.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",signingportal.aktia.fi,mylink.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf3ac5bdb46c81601e256d631787f78c,a467273c36cfa7c44f82285707ad9450afcac80b89011fe2648ea70f0b6e7e92,ctls,mylink.aktia.fi,azure,80,http://mylink.aktia.fi:80,http,,,GET,13.69.68.2,/,-1840324437,13.69.68.2,HSTS,1,False,True,,Aktia Bank Abp,,,https://mylink.aktia.fi/
myresponse.aktia.fi,,200,,,myresponse.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=signingportal.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",signingportal.aktia.fi,mylink.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf3ac5bdb46c81601e256d631787f78c,a467273c36cfa7c44f82285707ad9450afcac80b89011fe2648ea70f0b6e7e92,ctls,myresponse.aktia.fi,azure,443,https://myresponse.aktia.fi:443,https,,,GET,137.117.175.14,/,1772087922,137.117.175.14,HSTS,1,False,True,,Aktia Bank Abp,,,
mysignatures.aktia.fi,,200,,https:,mysignatures.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=signingportal.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",signingportal.aktia.fi,mylink.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bf3ac5bdb46c81601e256d631787f78c,a467273c36cfa7c44f82285707ad9450afcac80b89011fe2648ea70f0b6e7e92,ctls,mysignatures.aktia.fi,azure,443,https://mysignatures.aktia.fi:443,https,,,GET,137.117.175.14,/,1772087922,137.117.175.14,HSTS,1,False,True,,Aktia Bank Abp,,,
signature.aktia.fi,,200,109,,signature.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-17T00:00:00Z,2023-08-17T23:59:59Z,"CN=signature.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI, serialNumber=2181702-8, businessCategory=Private Organization, jurisdictionCountry=FI, businessCategory=Private Organization, jurisdictionCountry=FI",signature.aktia.fi,signature.aktia.fi,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,9de66508e6f27d5588eec1ddcbe52759,8c5f19e8f16841920e8d17c096dd2f9c03281928ab193bbf6cfff130b6a99879,ctls,signature.aktia.fi,,443,https://signature.aktia.fi:443,https,Apache,text/html,GET,195.225.9.87,/,-1270699277,195.225.9.87,HSTS,8,False,,,Aktia Bank Abp,,,
sip.aktia.fi,,404,75,,sip.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,ctls,sip.aktia.fi,,443,https://sip.aktia.fi:443,https,RTC/7.0,text/plain,GET,52.112.196.46,/,-1489819152,2603:1027:0:48::20,HSTS,4,False,,True,Microsoft Corporation,True,,
syskirjaudu.aktia.fi,Sivua ei löytynyt - Aktia,403,6893,https://*.aktia.fi,syskirjaudu.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-24T00:00:00Z,2023-12-23T23:59:59Z,CN=syskirjaudu.aktia.fi,syskirjaudu.aktia.fi,syskirjaudu.aktia.fi,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cd7367b1c9098a3858e3c71792ab732f,c24cd03b15d095ea224939c4aea18f962fefba58f97809ad664bd46f0148299b,ctls,syskirjaudu.aktia.fi,cloudfront,443,https://syskirjaudu.aktia.fi:443,https,AmazonS3,text/html,GET,13.227.219.43,/,-405554573,13.227.219.47,HSTS,125,False,True,,,,,
systest.aktia.fi,,403,16,,systest.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T16:45:39Z,2023-10-08T16:45:38Z,CN=systest.aktia.fi,systest.aktia.fi,systest.aktia.fi,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3bc09753d76c1c98a488cd4d7b6894a0,1e9be779bdef64d52c2343e0a147f19a9fe51ef49052ca28c1aa0f69f6dc2322,ctls,systest.aktia.fi,cloudflare,443,https://systest.aktia.fi:443,https,cloudflare,text/plain,GET,104.16.212.134,/,1253481126,104.16.212.134,HTTP/3,1,False,True,,,,,
test.snowplow.aktia.fi,404 Not Found,404,232,,test.snowplow.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T00:00:00Z,2024-08-15T23:59:59Z,CN=test.snowplow.aktia.fi,test.snowplow.aktia.fi,test.snowplow.aktia.fi,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a82cf7be14a93cd24c66e0a5220e2881,24cac566d77e02625198ff450e13eb5a31dfdc9806e29e7c1ddfe8cce4e4ccb4,ctls,test.snowplow.aktia.fi,cloudfront,443,https://test.snowplow.aktia.fi:443,https,,text/html,GET,108.138.7.32,/,-986470109,108.138.7.12,Amazon Web Services,5,False,True,,,,,
toimitilat.aktia.fi,Etusivu - Aktia Toimitilat,200,50769,,toimitilat.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-03-05T23:59:59Z,"CN=toimitilat.aktia.fi, O=Aktia Bank p.l.c, L=Helsinki, C=FI",toimitilat.aktia.fi,toimitilat.aktia.fi,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5d4380266581314e07d26f6e33d484,a1f069d3bd2aca660bfdc6bb3fbd52d2e0a0705c8e89852234265f58eb671e68,ctls,toimitilat.aktia.fi,,443,https://toimitilat.aktia.fi:443,https,,text/html,GET,94.237.107.81,/,1494302000,94.237.107.81,Yoast SEO:20.12,341,False,,,Aktia Bank p.l.c,,,
wealth-api.aktia.fi,,503,62,,wealth-api.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-08-29T00:00:00Z,2023-09-05T23:59:59Z,"CN=wealth-api.aktia.fi, O=Aktia Bank p.l.c, L=Helsinki, C=FI",wealth-api.aktia.fi,wealth-api.aktia.fi,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,30d07bcb6b56ee155158d53836be0069,82205ec8bda025427e87ea2d3f6b46abc8238e6f8c452e4bc764d92ce3f73fa7,ctls,wealth-api.aktia.fi,,443,https://wealth-api.aktia.fi:443,https,,,GET,95.175.121.197,/,107704025,95.175.121.197,,1,False,,,Aktia Bank p.l.c,,,
www.aktia.fi,Henkilöasiakkaat,200,106767,,www.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-13T23:59:59Z,"CN=aktia.fi, O=Aktia Bank p.l.c, L=Helsinki, C=FI, serialNumber=2181702-8, businessCategory=Private Organization, jurisdictionCountry=FI, businessCategory=Private Organization, jurisdictionCountry=FI",aktia.fi,www.aktia.fi,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,77d81c0926a5717c2bb0646b5b9c234f,8e3fd96e09a25e017710bb057ada9f56066d48f063674b4b7a9aaaf098052904,ctls,www.aktia.fi,cloudflare,443,https://www.aktia.fi:443,https,cloudflare,text/html,GET,104.16.212.134,/,1505458210,104.16.212.134,HTTP/3,1443,False,True,,Aktia Bank p.l.c,,,
www.varainhoito.aktia.fi,Aktia Varainhoito - Etusivu,200,48020,,varainhoito.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,"CN=varainhoito.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",varainhoito.aktia.fi,www.varainhoito.aktia.fi,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4122e59d91a194f6d00647d9e452ea1c,fe72dbc52328ad0f0911607e8be02ceb0086571bb41081e8f9cc4eab523c59bc,ctls,varainhoito.aktia.fi,azure,443,https://www.varainhoito.aktia.fi:443,https,Apache,text/html,GET,104.47.142.213,/,-581178496,104.47.142.213,PHP,770,False,True,,Aktia Bank Abp,,,https://varainhoito.aktia.fi/
