new,host,a,soa,ns,txt,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips,mx
,grafana.aws.ovo.id,"18.66.122.101, 18.66.122.60, 18.66.122.51, 18.66.122.50","ns-148.awsdns-18.com, awsdns-hostmaster.amazon.com","ns-148.awsdns-18.com, ns-1890.awsdns-44.co.uk, ns-888.awsdns-47.net, ns-1407.awsdns-47.org",,NOERROR,True,cloudfront,"2600:9000:2334:de00:16:9b35:8dc0:93a1, 2600:9000:2334:a200:16:9b35:8dc0:93a1, 2600:9000:2334:d200:16:9b35:8dc0:93a1, 2600:9000:2334:f600:16:9b35:8dc0:93a1, 2600:9000:2334:6a00:16:9b35:8dc0:93a1, 2600:9000:2334:7800:16:9b35:8dc0:93a1, 2600:9000:2334:0:16:9b35:8dc0:93a1, 2600:9000:2334:2600:16:9b35:8dc0:93a1",dlgbvygjs6ed3.cloudfront.net,,,
,grafana.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com","ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,NOERROR,,,,,,,
,grafana.taralite.com,172.31.235.170,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,True,172.31.235.170,
,gtnvpn21.ovo.id,,"brenda.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,"gtnvpn21.ovo.id.cdn.cloudflare.net, 881382c286434b558bf530b348de4205.pacloudflare.com",,,
,gtnvpn22.ovo.id,172.65.242.53,"brenda.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,"gtnvpn22.ovo.id.cdn.cloudflare.net, deffacd77a714a01a976072f9b3a5461.pacloudflare.com",,,
,helpcenter.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,,helpcenter.ovo.id.cdn.cloudflare.net,,,
,homepage-dududev.ovo.id,54.169.0.154,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,images-loyalty.ovo.id,"52.222.236.121, 52.222.236.126, 52.222.236.118, 52.222.236.27","ns-1205.awsdns-22.org, awsdns-hostmaster.amazon.com","ns-1205.awsdns-22.org, ns-1779.awsdns-30.co.uk, ns-33.awsdns-04.com, ns-588.awsdns-09.net",,NOERROR,True,cloudfront,"2600:9000:223e:b400:7:3b7:87c0:93a1, 2600:9000:223e:6e00:7:3b7:87c0:93a1, 2600:9000:223e:2400:7:3b7:87c0:93a1, 2600:9000:223e:aa00:7:3b7:87c0:93a1, 2600:9000:223e:1600:7:3b7:87c0:93a1, 2600:9000:223e:da00:7:3b7:87c0:93a1, 2600:9000:223e:2a00:7:3b7:87c0:93a1, 2600:9000:223e:a800:7:3b7:87c0:93a1",d156daaijepnof.cloudfront.net,,,
,images.ovo.id,"52.222.236.20, 52.222.236.93, 52.222.236.43, 52.222.236.91","ns-1802.awsdns-33.co.uk, awsdns-hostmaster.amazon.com","ns-1011.awsdns-62.net, ns-1385.awsdns-45.org, ns-1802.awsdns-33.co.uk, ns-467.awsdns-58.com",,NOERROR,True,cloudfront,"2600:9000:223e:7400:11:e283:2dc0:93a1, 2600:9000:223e:da00:11:e283:2dc0:93a1, 2600:9000:223e:4e00:11:e283:2dc0:93a1, 2600:9000:223e:ee00:11:e283:2dc0:93a1, 2600:9000:223e:c00:11:e283:2dc0:93a1, 2600:9000:223e:3400:11:e283:2dc0:93a1, 2600:9000:223e:5a00:11:e283:2dc0:93a1, 2600:9000:223e:5000:11:e283:2dc0:93a1",d2hy1qbywvmq47.cloudfront.net,,,
,insurance.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",insurance.ovo.id.cdn.cloudflare.net,,,
,insurance.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,investment.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com","ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,NOERROR,True,cloudflare,,investment.ovo.id.cdn.cloudflare.net,,,
,ipa.aws.ovo.id,10.46.6.93,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.46.6.93,
,jenkins.taralite.com,149.129.242.210,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
,k8s-api.id03.ntt.ovo.id,10.81.12.10,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.81.12.10,
,kafka.taralite.com,149.129.217.29,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
,kibana.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,lender-api.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,lending.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,link.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",link.ovo.id.cdn.cloudflare.net,,,
,logs.dev.taralite.com,149.129.249.163,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
,mail238.hello.ovo.id,202.162.239.238,"ns-1946.awsdns-51.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,mail250.hello.ovo.id,202.162.250.150,"ns-1946.awsdns-51.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,maintenance.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",maintenance.ovo.id.cdn.cloudflare.net,,,
,marketing.ovo.id,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,v=spf1 include:sendgrid.net ~all,NOERROR,,,,u5821478.wl229.sendgrid.net,,,mx.sendgrid.net
,marketplace.ovo.id,10.50.72.39,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.50.72.39,
,nexus.taralite.com,192.168.0.59,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,True,192.168.0.59,
,o763.mail.ovo.id,149.72.230.195,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com","ns-1068.awsdns-05.org, ns-116.awsdns-14.com, ns-1705.awsdns-21.co.uk, ns-568.awsdns-07.net",,NOERROR,,,,,,,
,o764.mail.ovo.id,,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,o765.mail.ovo.id,149.72.231.168,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,o766.mail.ovo.id,149.72.234.51,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,opac.ovo.id,103.85.66.59,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,ovo-id.facebook.com,157.240.251.6,"a.ns.c10r.facebook.com, dns.facebook.com",,,NOERROR,,,2a03:2880:f083:6:face:b00c:0:2,"star.facebook.com, star.c10r.facebook.com",,,smtpin.vvv.facebook.com
,ovo-id.greenhouse.io,"3.93.90.216, 3.221.229.2, 54.235.120.123","ns-1313.awsdns-36.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,s3.recruiting.us.greenhouse.io,,,
,ovo-id.odoo.com,141.94.74.34,"ns0.odoo.com, admin.odoo.com",,,NOERROR,,,,,,,
,ovo.id,"104.17.58.20, 104.17.57.20","ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com","ns-752.awsdns-30.net, ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com","google-site-verification=nzIXh6OTuc6KTtdYbb0B4yGLGB9-hxepUhg9u5aPvzo, v=spf1 include:_spf.google.com include:mail.zendesk.com include:spf.mandrillapp.com include:_spfblocks.excellent.co.id include:_spf.ovo.id include:_spf_knowbe4.ovo.id ~all, Kt5QG5V0=8d6a1f22e6670f2b3e40e8e48655209b, apple-domain-verification=Ovl5Nech8DiYIq0y, atlassian-domain-verification=gsSRmDk2DMLG6bkudL81lBSaJ5oRd3m4GQ2X8pR88yBQ9yp1Nwd34IHxMQsUoBTa, docusign=a6afdcef-b22b-46b8-b32d-69f91d815699, google-site-verification=9XJS0MdLFlyYRLyMrHHJ4BsENrj-hf0h59qFW3I1mFE",NOERROR,True,cloudflare,,,,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com"
,panel.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,payment-api.taralite.com,"188.114.99.229, 188.114.98.229","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,,
,payment.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,pgc-horizongcsglb-001.ovo.id,34.120.183.23,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
,pillar.ovo.id,139.255.74.250,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,pos.ovo.id,139.255.74.211,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,prod-web.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,prometheus.ovo.id,139.255.74.249,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,prometheus.taralite.com,172.31.235.170,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,True,172.31.235.170,
,qa1.taralite.com,,"elliot.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=VWJNG3nP22JYhFzvWogilAvQgwExc8TYzgBPMF9Dtw4,NOERROR,,,,,,,
,risk-ui.aws.ovo.id,"108.157.214.99, 108.157.214.85, 108.157.214.80, 108.157.214.37","ns-148.awsdns-18.com, awsdns-hostmaster.amazon.com","ns-1890.awsdns-44.co.uk, ns-888.awsdns-47.net, ns-1407.awsdns-47.org, ns-148.awsdns-18.com",,NOERROR,True,cloudfront,"2600:9000:2250:9e00:16:9b35:8dc0:93a1, 2600:9000:2250:ea00:16:9b35:8dc0:93a1, 2600:9000:2250:3000:16:9b35:8dc0:93a1, 2600:9000:2250:c000:16:9b35:8dc0:93a1, 2600:9000:2250:4800:16:9b35:8dc0:93a1, 2600:9000:2250:6200:16:9b35:8dc0:93a1, 2600:9000:2250:e400:16:9b35:8dc0:93a1, 2600:9000:2250:4a00:16:9b35:8dc0:93a1",dlgbvygjs6ed3.cloudfront.net,,,
,risk-ui.cp6.ovo.id,34.107.250.177,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,,
,sandbox.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,settlement.ovo.id,"172.64.149.101, 104.18.38.155","chelsea.ns.cloudflare.com, dns.cloudflare.com","chelsea.ns.cloudflare.com, lennox.ns.cloudflare.com",,NOERROR,True,cloudflare,,,,,
,smtp-test.smtpcorp.ovo.id,34.101.124.209,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
,smtp01.smtpcorp.ovo.id,139.255.74.234,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,smtp02.smtpcorp.ovo.id,139.255.74.235,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,smtp04.smtpcorp.ovo.id,139.255.74.237,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,smtp05.smtpcorp.ovo.id,139.255.74.238,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,spring-gw-pub01.cp6.ovo.id,34.149.75.187,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,,
,spring-opac-glb01.cp6.ovo.id,34.110.133.157,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,True,google,,,,,
,spring7.sg.aws.ovo.id,10.46.48.122,"ns-1731.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.46.48.122,
,staging.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,stg-api.cp1.ovo.id,"104.18.37.155, 172.64.150.101","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9665, 2606:4700:4400::6812:259b",stg-api.cp1.ovo.id.cdn.cloudflare.net,,,
,stg-api.cp6.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9635, 2606:4700:4400::6812:25cb",stg-api.cp6.ovo.id.cdn.cloudflare.net,,,
