new,host,a,soa,status_code,ns,aaaa,txt,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ptr,caa
[x],154-80.amazon.com,204.177.154.80,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"ns2.p31.dynect.net, ns4.p31.dynect.net, ns1.p31.dynect.net, pdns6.ultradns.co.uk, ns3.p31.dynect.net, pdns1.ultradns.net",,,,,,,,,,
[x],160-241.amazon.com,,,NOERROR,,,,,,,,,,,
[x],160-90.amazon.com,,,NOERROR,,,,,,,,,,,
[x],161-5.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-156.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-180.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-30.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-60.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-74.amazon.com,,,NOERROR,,,,,,,,,,,
[x],163-88.amazon.com,,,NOERROR,,,,,,,,,,,
[x],164-193.amazon.com,,,NOERROR,,,,,,,,,,,
[x],165-127.amazon.com,,,NOERROR,,,,,,,,,,,
[x],165-131.amazon.com,,,NOERROR,,,,,,,,,,,
[x],165-211.amazon.com,,,NOERROR,,,,,,,,,,,
[x],165-69.amazon.com,,,NOERROR,,,,,,,,,,,
[x],166-42.amazon.com,,,NOERROR,,,,,,,,,,,
[x],167-55.amazon.com,,,NOERROR,,,,,,,,,,,
[x],171-149.amazon.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],171-92.amazon.com,,,NOERROR,,,,,,,,,,,
[x],172-26.amazon.com,,,NOERROR,,,,,,,,,,,
[x],173-9.amazon.com,,,NOERROR,,,,,,,,,,,
[x],174-177.amazon.com,,,NOERROR,,,,,,,,,,,
[x],174-191.amazon.com,,,NOERROR,,,,,,,,,,,
[x],174-233.amazon.com,,,NOERROR,,,,,,,,,,,
[x],175-11.amazon.com,207.171.175.11,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],175-134.amazon.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],175-228.amazon.com,,,NOERROR,,,,,,,,,,,
[x],176-236.amazon.com,,,NOERROR,,,,,,,,,,,
[x],177-2.amazon.com,,,NOERROR,,,,,,,,,,,
[x],178-28.amazon.com,,,NOERROR,,,,,,,,,,,
[x],178-59.amazon.com,,,NOERROR,,,,,,,,,,,
[x],178-74.amazon.com,207.171.178.74,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-75.amazon.com,207.171.178.75,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-77.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-78.amazon.com,207.171.178.78,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-82.amazon.com,207.171.178.82,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-84.amazon.com,207.171.178.84,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-85.amazon.com,207.171.178.85,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-86.amazon.com,207.171.178.86,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-87.amazon.com,207.171.178.87,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-88.amazon.com,207.171.178.88,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-89.amazon.com,207.171.178.89,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-90.amazon.com,207.171.178.90,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],178-92.amazon.com,207.171.178.92,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],179-184.amazon.com,,,NOERROR,,,,,,,,,,,
[x],179-201.amazon.com,,,NOERROR,,,,,,,,,,,
[x],185-246.amazon.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],185-58.amazon.com,,,NOERROR,,,,,,,,,,,
[x],185-66.amazon.com,,,NOERROR,,,,,,,,,,,
[x],188-135.amazon.com,,,NOERROR,,,,,,,,,,,
[x],189-109.amazon.com,,,NOERROR,,,,,,,,,,,
[x],189-127.amazon.com,,,NOERROR,,,,,,,,,,,
[x],189-28.amazon.com,,,NOERROR,,,,,,,,,,,
[x],191-1.amazon.com,,,NOERROR,,,,,,,,,,,
[x],191-214.amazon.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],191-56.amazon.com,,,NOERROR,,,,,,,,,,,
[x],191-96.amazon.com,,,NOERROR,,,,,,,,,,,
[x],196-105.amazon.com,,,NOERROR,,,,,,,,,,,
[x],196-135.amazon.com,54.144.128.85,,NOERROR,,,,,,,,,,,
[x],206-222.amazon.com,,,NOERROR,,,,,,,,,,,
[x],206-227.amazon.com,,,NOERROR,,,,,,,,,,,
[x],207-171-167-26.amazon.com,207.171.167.26,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-10.amazon.com,207.171.168.10,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-100.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-101.amazon.com,207.171.168.101,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-102.amazon.com,207.171.168.102,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-103.amazon.com,207.171.168.103,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-104.amazon.com,207.171.168.104,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-105.amazon.com,207.171.168.105,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-106.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-107.amazon.com,207.171.168.107,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-108.amazon.com,207.171.168.108,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-109.amazon.com,207.171.168.109,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-11.amazon.com,207.171.168.11,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"ns2.p31.dynect.net, ns4.p31.dynect.net, pdns6.ultradns.co.uk, pdns1.ultradns.net, ns3.p31.dynect.net, ns1.p31.dynect.net",,,,,,,,,,
[x],207-171-168-111.amazon.com,207.171.168.111,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-112.amazon.com,207.171.168.112,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-113.amazon.com,207.171.168.113,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-114.amazon.com,207.171.168.114,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-115.amazon.com,207.171.168.115,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-116.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-118.amazon.com,207.171.168.118,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-119.amazon.com,207.171.168.119,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-12.amazon.com,207.171.168.12,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-120.amazon.com,207.171.168.120,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-121.amazon.com,207.171.168.121,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-122.amazon.com,207.171.168.122,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-127.amazon.com,207.171.168.127,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-128.amazon.com,207.171.168.128,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-13.amazon.com,207.171.168.13,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-131.amazon.com,207.171.168.131,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-132.amazon.com,207.171.168.132,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-133.amazon.com,207.171.168.133,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-135.amazon.com,207.171.168.135,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-136.amazon.com,207.171.168.136,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-137.amazon.com,207.171.168.137,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-139.amazon.com,207.171.168.139,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-14.amazon.com,207.171.168.14,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-140.amazon.com,207.171.168.140,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-143.amazon.com,207.171.168.143,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-144.amazon.com,207.171.168.144,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-145.amazon.com,207.171.168.145,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-146.amazon.com,207.171.168.146,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-149.amazon.com,207.171.168.149,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-15.amazon.com,207.171.168.15,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-150.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-152.amazon.com,207.171.168.152,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-153.amazon.com,207.171.168.153,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-154.amazon.com,207.171.168.154,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-156.amazon.com,207.171.168.156,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-157.amazon.com,207.171.168.157,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-158.amazon.com,207.171.168.158,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-159.amazon.com,207.171.168.159,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-160.amazon.com,207.171.168.160,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-161.amazon.com,207.171.168.161,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-162.amazon.com,207.171.168.162,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-163.amazon.com,207.171.168.163,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-164.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-165.amazon.com,207.171.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-167.amazon.com,207.171.168.167,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-169.amazon.com,207.171.168.169,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-170.amazon.com,207.171.168.170,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-171.amazon.com,207.171.168.171,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-172.amazon.com,207.171.168.172,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-173.amazon.com,207.171.168.173,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-174.amazon.com,207.171.168.174,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-176.amazon.com,207.171.168.176,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-177.amazon.com,207.171.168.177,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-179.amazon.com,207.171.168.179,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-180.amazon.com,207.171.168.180,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-181.amazon.com,207.171.168.181,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-182.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-183.amazon.com,207.171.168.183,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-184.amazon.com,207.171.168.184,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-186.amazon.com,207.171.168.186,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-187.amazon.com,207.171.168.187,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-188.amazon.com,207.171.168.188,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-19.amazon.com,,,NOERROR,,,,,,,,,,,
[x],207-171-168-190.amazon.com,207.171.168.190,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-191.amazon.com,207.171.168.191,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-192.amazon.com,207.171.168.192,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-193.amazon.com,207.171.168.193,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-194.amazon.com,207.171.168.194,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-195.amazon.com,207.171.168.195,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-196.amazon.com,207.171.168.196,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-197.amazon.com,207.171.168.197,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-198.amazon.com,207.171.168.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-199.amazon.com,207.171.168.199,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-2.amazon.com,207.171.168.2,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-20.amazon.com,207.171.168.20,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-200.amazon.com,207.171.168.200,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-201.amazon.com,207.171.168.201,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-203.amazon.com,207.171.168.203,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-204.amazon.com,207.171.168.204,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-205.amazon.com,207.171.168.205,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-208.amazon.com,207.171.168.208,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-209.amazon.com,207.171.168.209,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-210.amazon.com,207.171.168.210,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-211.amazon.com,207.171.168.211,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-213.amazon.com,207.171.168.213,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-214.amazon.com,207.171.168.214,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-217.amazon.com,207.171.168.217,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-218.amazon.com,207.171.168.218,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-219.amazon.com,207.171.168.219,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-221.amazon.com,207.171.168.221,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-222.amazon.com,207.171.168.222,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-223.amazon.com,207.171.168.223,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-224.amazon.com,207.171.168.224,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-225.amazon.com,207.171.168.225,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-227.amazon.com,207.171.168.227,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-228.amazon.com,207.171.168.228,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-23.amazon.com,207.171.168.23,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-230.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-231.amazon.com,207.171.168.231,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-232.amazon.com,207.171.168.232,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-233.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-234.amazon.com,207.171.168.234,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-235.amazon.com,207.171.168.235,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-236.amazon.com,207.171.168.236,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-237.amazon.com,207.171.168.237,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-238.amazon.com,207.171.168.238,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-239.amazon.com,207.171.168.239,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-24.amazon.com,207.171.168.24,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-241.amazon.com,207.171.168.241,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-243.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-245.amazon.com,207.171.168.245,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-246.amazon.com,207.171.168.246,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-247.amazon.com,207.171.168.247,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-248.amazon.com,207.171.168.248,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-249.amazon.com,207.171.168.249,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-25.amazon.com,207.171.168.25,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-250.amazon.com,207.171.168.250,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-251.amazon.com,207.171.168.251,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-252.amazon.com,207.171.168.252,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-253.amazon.com,207.171.168.253,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-254.amazon.com,207.171.168.254,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-255.amazon.com,207.171.168.255,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-26.amazon.com,207.171.168.26,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-27.amazon.com,207.171.168.27,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-28.amazon.com,207.171.168.28,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-29.amazon.com,207.171.168.29,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-3.amazon.com,207.171.168.3,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-30.amazon.com,207.171.168.30,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-31.amazon.com,207.171.168.31,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-33.amazon.com,207.171.168.33,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-34.amazon.com,207.171.168.34,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-35.amazon.com,207.171.168.35,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-38.amazon.com,207.171.168.38,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-39.amazon.com,207.171.168.39,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-40.amazon.com,207.171.168.40,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-41.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-42.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-45.amazon.com,207.171.168.45,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-46.amazon.com,207.171.168.46,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-47.amazon.com,207.171.168.47,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-48.amazon.com,207.171.168.48,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-49.amazon.com,207.171.168.49,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"ns2.p31.dynect.net, ns4.p31.dynect.net, ns1.p31.dynect.net, pdns6.ultradns.co.uk, ns3.p31.dynect.net, pdns1.ultradns.net",,,,,,,,,,
[x],207-171-168-5.amazon.com,207.171.168.5,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],207-171-168-50.amazon.com,207.171.168.50,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"ns2.p31.dynect.net, ns4.p31.dynect.net, ns1.p31.dynect.net, pdns6.ultradns.co.uk, ns3.p31.dynect.net, pdns1.ultradns.net",,,,,,,,,,
[x],207-171-168-51.amazon.com,207.171.168.51,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
