new,host,ttl,a,soa,status_code,mx,aaaa,cname,txt,ns,caa
[x],business.researchgate.net,1800,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],c1.researchgate.net,1678,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
[x],c2.researchgate.net,1678,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
[x],c3.researchgate.net,1800,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
[x],explore.researchgate.net,300,"104.17.33.105, 104.17.32.105","{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700::6811:2069, 2606:4700::6811:2169",,,,
[x],feedback.researchgate.net,300,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700::6811:2069, 2606:4700::6811:2169",,,,
[x],fwww.researchgate.net,1800,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
[x],help.researchgate.net,50740,"104.16.53.111, 104.16.51.111","{'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,mail-pod-17.int.zendesk.com,,researchgatesupport.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=17",,
[x],i1.researchgate.net,118,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
[x],i2.researchgate.net,1800,,"{'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'researchgate.net', 'ns': 'marty.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347950671, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,mxlb.ispgateway.de,,,,,
