new,host,ttl,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt,caa,has_internal_ips,internal_ips
,log16-normal-alisg.tiktokv.com,596,"2.18.64.29, 2.18.64.30, 2.18.64.9, 2.18.64.31, 2.18.64.8, 2.18.64.15, 2.18.64.7, 2.18.64.26, 2.18.64.34","log16-normal-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412107, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412052, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log16-normal-c-useast1a.tiktokv.com,600,"23.50.131.153, 23.50.131.145, 23.50.131.157, 23.50.131.154, 23.50.131.147, 23.50.131.136, 23.50.131.142, 23.50.131.149, 23.50.131.152","log16-normal-c-useast1a.tiktokv.com.edgekey.net, e28622.api5.akamaiedge.net","{'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412093, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'api5.akamaiedge.net', 'ns': 'n0api5.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log16-normal-c-useast2a.tiktokv.com,600,"23.213.161.209, 23.213.161.219, 23.213.161.212, 23.213.161.205, 23.213.161.225, 23.213.161.215, 23.213.161.210, 23.213.161.221, 23.213.161.201","log16-normal-c-useast2a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412086, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log16-normal-useast1a.tiktokv.com,1402,"184.51.101.128, 184.51.101.14, 184.51.101.129, 184.51.101.15, 184.51.101.171, 184.51.101.161, 184.51.101.136, 184.51.101.135, 184.51.101.18","log16-normal-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412018, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412048, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412050, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412105, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412105, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log16-normal-useast2a.tiktokv.com,66,"2.21.79.24, 23.11.206.11, 23.11.206.19, 23.11.206.40, 23.11.206.51, 23.11.206.65, 23.11.206.81, 2.21.79.11, 2.21.79.17","log16-normal-useast2a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412105, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412098, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412105, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412064, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log16-platform-ycru.tiktokv.com,28,,"log16-platform-ycru.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412107, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412107, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412051, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412107, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log17-normal-alisg.tiktokv.com,1800,"23.3.13.130, 23.3.13.91","log17-normal-alisg.tiktokv.com.akamaized.net, a1766.b.akamai.net","{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412112, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412112, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log17-normal-useast1a.tiktokv.com,1800,"23.55.163.58, 23.55.163.45","log17-normal-useast1a.tiktokv.com.akamaized.net, a1728.b.akamai.net","{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log17-normal-useast2a.tiktokv.com,1800,"2.19.198.155, 2.19.198.123","log17-normal-useast2a.tiktokv.com.akamaized.net, a188.b.akamai.net","{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412106, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412107, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
,log19-applog-useast5.us.tiktokv.com,600,146.75.30.73,us.bytedance.map.fastly.net,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,True,fastly,,,,,,
,log19-normal-alisg.tiktokv.com,240,146.75.118.73,bytedance.map.fastly.net,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,True,fastly,,,,,,
,log19-normal-useast1a.tiktokv.com,1105,146.75.118.73,bytedance.map.fastly.net,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,True,fastly,,,,,,
,log19-normal-useast2a.tiktokv.com,1543,151.101.38.73,bytedance.map.fastly.net,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,True,fastly,,,,,,
,log22-normal-alisg.tiktokv.com,427,34.107.238.235,direct.quic-mix-proxy-gcpsg-v3.gcpsg.byteglb.com,"{'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}",,NOERROR,True,google,,,,,,
,log22-normal-useast1a.tiktokv.com,457,34.149.173.23,direct.quic-webcast-proxy-useast4-v3.useast4.byteglb.com,"{'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}",,NOERROR,True,google,,,,,,
,log22-normal-useast2a.tiktokv.com,566,,direct.quic-webcast-proxy-i18n-v3.useast2a.byteglb.com,"{'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 'byteglb.com', 'ns': 'ns1.volc-dns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2023010910, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}",,NOERROR,True,google,,,,,,
,log3-normal-c-alisg.tiktokv.com,1800,169.254.254.254,"log3-normal-c-alisg.tiktokv.com.w.kunlunsl.com, offline.specialcdnstatus.com","{'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}",,NOERROR,,,,,,,True,169.254.254.254
,log3-normal-c-useast1a.tiktokv.com,496,169.254.254.254,"log3-normal-c-useast1a.tiktokv.com.w.kunlunsl.com, offline.specialcdnstatus.com","{'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}, {'name': 'specialcdnstatus.com', 'ns': 'ns1.alibabadns.com', 'mailbox': 'hostmaster.alibabadns.com', 'serial': 2021040109, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 360}",,NOERROR,,,,,,,True,169.254.254.254
,log31-normal-alisg.tiktokv.com,466,71.18.73.0,"api39-va.gts.byteoversea.net, api.bytegeo-v.akadns.net, api.service.ist3a.g.byteoversea.net","{'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'g.byteoversea.net', 'ns': 'admin.g.byteoversea.net', 'mailbox': 'mail.g.byteoversea.net', 'serial': 2892787774, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}",,NOERROR,,,,,,,,
,log31-normal-useast2a.tiktokv.com,600,"147.160.190.227, 147.160.190.228",api39-va.gts.byteoversea.net,"{'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'gts.byteoversea.net', 'ns': 'ns.gts.byteoversea.net', 'mailbox': 'admin.gts.byteoversea.net', 'serial': 2024041800, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}",,NOERROR,,,,,,,,
,log53-normal-c-useast1a.tiktokv.com,1800,"116.206.136.78, 122.11.168.9, 58.27.5.110","bddynamic.edge.swiftserve.com, bytedancedyn.global.jns.swiftserve.com","{'name': 'bytedancedyn.global.jns.swiftserve.com', 'ns': 'j2nsns1.sys.swiftserve.com', 'mailbox': 'alerts.swiftserve.com', 'serial': 2411121147, 'refresh': 1800, 'retry': 3600, 'expire': 604800, 'minttl': 30}, {'name': 'bytedancedyn.global.jns.swiftserve.com', 'ns': 'j2nsns1.sys.swiftserve.com', 'mailbox': 'alerts.swiftserve.com', 'serial': 2411121147, 'refresh': 1800, 'retry': 3600, 'expire': 604800, 'minttl': 30}, {'name': 'bytedancedyn.global.jns.swiftserve.com', 'ns': 'j2nsns1.sys.swiftserve.com', 'mailbox': 'alerts.swiftserve.com', 'serial': 2411121147, 'refresh': 1800, 'retry': 3600, 'expire': 604800, 'minttl': 30}, {'name': 'bytedancedyn.global.jns.swiftserve.com', 'ns': 'j2nsns1.sys.swiftserve.com', 'mailbox': 'alerts.swiftserve.com', 'serial': 2411121147, 'refresh': 1800, 'retry': 3600, 'expire': 604800, 'minttl': 30}",,NOERROR,,,,,,,,
