new,host,a,soa,status_code,aaaa,cname,txt,has_internal_ips,internal_ips,mx,ns,cdn,cdn-name,caa
[x],385dts.fisglobal.com,156.55.119.156,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dt.fisglobal.com,156.55.119.169,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dt1.fisglobal.com,156.55.119.145,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dt2.fisglobal.com,156.55.119.146,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dt3.fisglobal.com,156.55.119.147,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dt4.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],461dts.fisglobal.com,156.55.119.149,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],500ba-uat.fisglobal.com,156.55.119.228,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],500ba.fisglobal.com,156.55.118.136,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],62753ba-uat.fisglobal.com,156.55.119.232,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],62753bi2.fisglobal.com,156.55.118.145,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],6670ba-uat.fisglobal.com,156.55.119.221,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],6670ba.fisglobal.com,156.55.118.124,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],6670bauat.fisglobal.com,156.55.118.128,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],6670bi.fisglobal.com,156.55.118.169,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-bbi-o.fisglobal.com,156.55.49.207,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-bbi-u.fisglobal.com,156.55.49.211,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-bbi.fisglobal.com,156.55.49.203,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-boui.fisglobal.com,156.55.49.197,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-d1banker.fisglobal.com,156.55.49.236,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-dr-boui.fisglobal.com,156.55.119.241,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-pdc2.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aaa-uat-boui.fisglobal.com,156.55.119.242,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],abc.fisglobal.com,104.73.229.73,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100:8aa::3b69, 2a02:26f0:7100:88d::3b69","abc.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],acbsaspapps300.fisglobal.com,156.55.149.230,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,q314052 - 2/13/2011,,,,,,,
[x],access1.au.fisglobal.com,,"ns1.au.fisglobal.com, hostmaster.fisglobal.com",NOERROR,,,,,,,,,,
[x],access2.au.fisglobal.com,63.141.161.18,"ns1.au.fisglobal.com, hostmaster.fisglobal.com",NOERROR,,,,,,,,,,
[x],adminisource-cardpro.fisglobal.com,206.71.17.240,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],adminisource-cardpro.staging.fisglobal.com,205.141.250.232,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aepp.au.fisglobal.com,216.189.247.4,"ns1.au.fisglobal.com, hostmaster.fisglobal.com",NOERROR,,,,,,,,,,
[x],aeqt.au.fisglobal.com,216.189.247.3,"ns1.au.fisglobal.com, hostmaster.fisglobal.com",NOERROR,,,,,,,,,,
[x],aexp-api-prod.fisglobal.com,156.55.115.229,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aioioca-ctx-intellimatchms.fisglobal.com,156.55.49.244,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aioioca-dr-ctx-intellimatchms.fisglobal.com,156.55.51.159,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aisecure.fisglobal.com,69.36.26.33,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aisecure2.fisglobal.com,12.6.9.241,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aka15209-tgtdsprelim.fisglobal.com,156.55.138.200,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aka15209-tgtprelim.fisglobal.com,156.55.138.99,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aka18901-www.fisglobal.com,156.55.138.18,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aka29480-mrssapp.fisglobal.com,156.55.134.88,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aka77793-login5.fisglobal.com,156.55.137.240,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],alertconsole.fisglobal.com,23.219.117.107,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:140a:c000:581::3b69, 2600:140a:c000:5a3::3b69","alertconsole.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],alertconsole.readiness.fisglobal.com,205.141.250.115,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],alertsadmin-dr.fisglobal.com,156.55.119.171,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],alertsadmin-dre.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],alertsadmin-rdy.fisglobal.com,156.55.119.106,,NOERROR,,,,,,,,,,
[x],aligne-energy.fisglobal.com,209.243.102.48,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],alpinesecurities.fisglobal.com,"23.213.161.219, 23.213.161.196","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"alpinesecurities.fisglobal.com.edgekey.net, e65213.a.akamaiedge.net",,,,,,,,
[x],altura-fiscd-margin-advisor.fisglobal.com,"96.16.54.186, 96.16.54.114","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::685e:64b0, 2a02:26f0:d8::685e:64a1","altura-fiscd-margin-advisor.fisglobal.com.edgekey.net, e73612.dsca.akamaiedge.net",,,,,,,,
[x],aly-pdc-csr-nat.fisglobal.com,156.55.118.104,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-pdc-histdb-nat.fisglobal.com,156.55.118.106,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-pdc-xpress-nat.fisglobal.com,156.55.118.103,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-prod-phostdb-nat.fisglobal.com,156.55.118.105,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-prod2-gft-nat.fisglobal.com,156.55.117.204,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-prod2-reporting-nat.fisglobal.com,156.55.117.207,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aly-prod2-xpress-nat.fisglobal.com,156.55.117.205,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],ambitcapitalmanager.fisglobal.com,147.249.130.243,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amex-mbp.fisglobal.com,156.55.50.40,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amex-ticketing.fisglobal.com,156.55.50.93,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amex-uat-ticketing.fisglobal.com,156.55.52.40,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexachrpt.fisglobal.com,156.55.52.79,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexachrptuat.fisglobal.com,156.55.51.154,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexcbis.fisglobal.com,156.55.52.77,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexcbisuat.fisglobal.com,156.55.51.152,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexpomuiuat.fisglobal.com,156.55.52.84,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexwires.fisglobal.com,156.55.52.78,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amexwiresuat.fisglobal.com,156.55.51.153,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amg.fisglobal.com,168.162.188.193,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],ampf-api-prod.fisglobal.com,156.55.115.186,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,site-156-55-115-186.fisglobal.com,,,,,,,,
[x],ams.fisglobal.com,23.67.129.166,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:59f::3b69, 2a02:26f0:480:5ad::3b69","ams.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],amx-uat-profileapp1-nat.fisglobal.com,156.55.117.158,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amxbatch-b2b.fisglobal.com,156.55.52.96,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],amxuatbatch-b2b.fisglobal.com,156.55.52.95,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],anywhere-connections-private.fisglobal.com,156.55.117.14,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],anywhere-connections.fisglobal.com,84.53.164.191,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"anywhere-connections.fisglobal.com.edgekey.net, e15209.a.akamaiedge.net",,,,,,,,
[x],ap-uat2.fisglobal.com,,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"ap-uat2.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],ap-uat3.fisglobal.com,104.102.53.67,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:59f::3b69, 2a02:26f0:480:5ad::3b69","ap-uat3.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],ap1-b2b-amh.fisglobal.com,170.132.41.51,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],ap4-b2b-amh.fisglobal.com,170.132.41.49,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],ap5-b2b-amh.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],ap6-b2b-amh.fisglobal.com,170.132.41.48,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aperia-source-nat-bdoc.fisglobal.com,156.55.115.88,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apex-fig.fisglobal.com,,,NOERROR,,,,,,,,,,
[x],apexathenedev.fisglobal.com,156.55.51.87,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apexathenelowercitrix.fisglobal.com,156.55.51.85,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apexatheneprodcitrix.fisglobal.com,156.55.84.47,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apexatheneuat.fisglobal.com,156.55.51.86,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apexpoc1-akamai.fisglobal.com,156.55.204.66,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],apexpoc1.fisglobal.com,147.249.16.31,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,apexpoccitrix.apex-fisglobal.com.akadns.net,,,,,,,,
[x],api-gw1-prod1.fisglobal.com,"104.126.37.137, 104.126.37.184","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:1700:11::b856:6787, 2a02:26f0:1700:11::b856:678b","api-gw1-prod1.fisglobal.com.edgekey.net, e94110.dsca.akamaiedge.net",,,,,,,,
[x],api-gw2-uat2.au.fisglobal.com,216.189.247.221,"ns1.au.fisglobal.com, hostmaster.fisglobal.com",NOERROR,,,,,,,,,,
[x],aps.dpp.gtm-uk.fisglobal.com,185.41.232.136,"gtm-cluster-ulw.fisglobal.com, hostmaster.cdv01-lwa01ma-enuk.fnfis.com, gtm-cluster-ule.fisglobal.com, hostmaster.cdv01-lea01ma-enuk.fnfis.com",NOERROR,,,,,,,,,,
[x],aps.preprod.dpp.gtm-uk.fisglobal.com,185.41.234.136,"gtm-cluster-ulw.fisglobal.com, hostmaster.cdv01-lwa01ma-enuk.fnfis.com, gtm-cluster-ule.fisglobal.com, hostmaster.cdv01-lea01ma-enuk.fnfis.com",NOERROR,,ws1.preprod.dpp.gtm-uk.fisglobal.com,,,,,,,,
[x],apt-enterprise.fisglobal.com,104.104.123.191,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"apt-enterprise.fisglobal.com.edgekey.net, e15209.a.akamaiedge.net",,,,,,,,
[x],apt2-enterprise.fisglobal.com,104.102.53.67,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"apt2-enterprise.fisglobal.com.edgekey.net, e15209.a.akamaiedge.net",,,,,,,,
[x],apt3-enterprise.fisglobal.com,213.212.118.102,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,tc2-apt-10.fisglobal.com,,,,,,,,
[x],apuat-arvest.fisglobal.com,23.221.250.203,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:286::3b69, 2a02:26f0:c900:28a::3b69","apuat-arvest.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],apuat-bankiowa.fisglobal.com,104.68.89.86,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:4700:192::3b69, 2a02:26f0:4700:184::3b69","apuat-bankiowa.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],apuat-firsttn.fisglobal.com,156.55.139.105,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,pdclnprp19.fisglobal.com,,,,,,,,
[x],apuat-fnbgranbury.fisglobal.com,69.192.79.127,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:b200:3b3::3b69, 2a02:26f0:b200:384::3b69","apuat-fnbgranbury.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],apuat-summit.fisglobal.com,104.102.53.67,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:5ad::3b69, 2a02:26f0:480:59f::3b69","apuat-summit.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],ask.fisglobal.com,,,NOERROR,,fisc.stackenterprise.co,,,,,,,,
[x],asp-test.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],asp-tsla.fisglobal.com,204.130.41.21,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],asp.fisglobal.com,204.130.41.25,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],asp025.fisglobal.com,,,NOERROR,,,,,,,,,,
[x],at10-b2b-amh.fisglobal.com,170.132.41.21,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],at11-b2b-amh.fisglobal.com,170.132.41.22,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],at12-b2b-amh.fisglobal.com,170.132.41.20,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],at13-b2b-amh.fisglobal.com,170.132.41.25,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],atb.lostest.fisglobal.com,205.141.250.249,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],atcodr.fisglobal.com,156.55.52.25,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],atcouat.fisglobal.com,156.55.52.24,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],athene-margin-advisor.fisglobal.com,104.87.170.239,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d200:480::3b69, 2a02:26f0:d200:488::3b69","athene-margin-advisor.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],ats.fisglobal.com,168.162.190.55,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aumam-fundstransferagencytest.fisglobal.com,"62.115.252.65, 80.239.137.169","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"aumam-fundstransferagencytest.fisglobal.com.edgekey.net, e107287.a.akamaiedge.net",,,,,,,,
[x],aumfp.fisglobal.com,216.189.247.2,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aumft.fisglobal.com,216.189.247.1,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],autodiscover.fisglobal.com,"52.97.135.104, 52.98.175.24, 52.98.242.248, 40.99.149.216","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:c29::8, 2603:1026:c0d:c2d::8, 2603:1026:c0d:81a::8, 2603:1026:c0d:c28::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],automation.fisglobal.com,10.0.66.159,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,True,10.0.66.159,,,,,
[x],auv2.fisglobal.com,59.167.36.178,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],auwebp.fisglobal.com,216.189.247.19,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],auwebt.fisglobal.com,216.189.247.18,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],avidxovauat.fisglobal.com,"96.16.54.147, 96.16.54.128","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"avidxovauat.fisglobal.com.edgekey.net, e103504.a.akamaiedge.net",,,,,,,,
[x],aw.fisglobal.com,199.200.24.186,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],aw1.fisglobal.com,199.200.24.186,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,aw.fisglobal.com,,,,,,,,
[x],axis1.hilltopuat.fisglobal.com,147.249.133.210,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],axis1dr.hilltop.fisglobal.com,147.249.90.53,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],axosclearing-admin-phx2.fisglobal.com,23.221.250.203,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"axosclearing-admin-phx2.fisglobal.com.edgekey.net, e15209.a.akamaiedge.net",,,,,,,,
[x],axosclearing-admin-uat-bdoc2.fisglobal.com,69.192.79.127,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:b200:3b3::3b69, 2a02:26f0:b200:384::3b69","axosclearing-admin-uat-bdoc2.fisglobal.com.edgekey.net, e15209.dsca.akamaiedge.net",,,,,,,,
[x],b2btest.gtm-uk.fisglobal.com,185.41.234.182,"gtm-cluster-ulw.fisglobal.com, hostmaster.cdv01-lwa01ma-enuk.fnfis.com",NOERROR,,,,,,,,,,
[x],bambu-api-prod1.fisglobal.com,156.55.117.241,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bambu-api-prod2.fisglobal.com,156.55.115.113,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bambu-api-uat.fisglobal.com,156.55.115.114,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bambu-ltc.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bambu-pdc.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bambuticketing-test.fisglobal.com,156.55.49.117,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bank-star-bso.olb.fisglobal.com,156.55.202.212,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bankofthewest-api-prod.fisglobal.com,156.55.115.198,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],bankview.fisglobal.com,,,NOERROR,,,,,,,,,,
[x],bar-etd-ws.fisglobal.com,168.162.188.183,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],barclays-api-prod.fisglobal.com,156.55.117.240,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],barclays-api-uat.fisglobal.com,156.55.115.110,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],barclays-fiscd-pm.fisglobal.com,168.162.189.208,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,vor1rcmcpbpap01.fisglobal.com,,,,,,,,
[x],barclays-ltc.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],barclays-prod.fisglobal.com,,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],barclays-sit-fiscd-pm.fisglobal.com,170.132.26.222,,NOERROR,,bdc8rcmcpbpap02.fisglobal.com,,,,,,,,
[x],barclays-uat-fiscd-pm.fisglobal.com,170.132.26.222,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,bdc8rcmcpbpap02.fisglobal.com,,,,,,,,
[x],basql01.fisglobal.com,156.55.119.87,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],basql02.fisglobal.com,156.55.119.88,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
[x],basql03.fisglobal.com,156.55.119.89,"a1-66.akam.net, admin.dnstinations.com",NOERROR,,,,,,,,,,
