input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,final_url
payment-api.starlingbank.com,,404,,payment-api.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,payment-api.starlingbank.com,443,https://payment-api.starlingbank.com:443,https,StarlingServer,,GET,52.51.208.16,/,-1840324437,34.241.93.6,OpenGSE,1,False,,,,
sar.starlingbank.com,400 No required SSL certificate was sent,400,632,sar.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,sar.starlingbank.com,443,https://sar.starlingbank.com:443,https,nginx,text/html,GET,34.243.192.173,/,1752500266,54.229.33.42,Nginx,15,False,,,,
settleup.starlingbank.com,Settle Up with Starling Bank,200,5803,settleup.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,settleup.starlingbank.com,443,https://settleup.starlingbank.com:443,https,,text/html,GET,54.216.93.191,/,211910849,52.211.70.208,HSTS,26,False,,,https://o37278.ingest.sentry.io,
staging.starlingbank.com,,401,12,staging.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,staging.starlingbank.com,443,https://staging.starlingbank.com:443,https,CloudFront,,GET,143.204.89.127,/,1788358917,2600:9000:2156:f800:1b:2418:4ac0:93a1,Amazon Web Services,1,False,cloudfront,True,,
starlingbank.github.io,Site not found · GitHub Pages,404,9115,starlingbank.github.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,starlingbank.github.io,443,https://starlingbank.github.io:443,https,GitHub.com,text/html,GET,185.199.110.153,/,1920503104,2606:50c0:8002::153,Varnish,80,False,,,,
starlingbank.typeform.com,Typeform: People-Friendly Forms and Surveys,200,454615,www.typeform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-29T23:59:59Z,CN=*.typeform.com,*.typeform.com,,typeform.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e1477c166714b5937c19a1b04935cd7,62c86491abbae2a2d7b0e004e4272e8e7702abd68f392842f77bcfe405929c25,True,ctls,www.typeform.com,443,https://starlingbank.typeform.com:443,https,istio-envoy,text/html,GET,104.18.22.9,/,-1256119894,104.18.23.9,Node.js,1041,False,cloudflare,True,*.google.com,https://www.typeform.com/
teamcity.starlingbank.com,400 No required SSL certificate was sent,400,230,teamcity.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,teamcity.starlingbank.com,443,https://teamcity.starlingbank.com:443,https,nginx,text/html,GET,34.251.123.122,/,272330885,54.73.81.234,Nginx,9,False,,,,
updates.starlingbank.com,404,404,5932,updates.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T12:03:50Z,2023-06-24T12:03:49Z,CN=updates.starlingbank.com,updates.starlingbank.com,,updates.starlingbank.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,1cb92456ba6192c641ade13d8f2280ac,544616ed03498c44141af628ccf866408463b95fdd6585ea1d35907afc901b5e,,ctls,updates.starlingbank.com,443,https://updates.starlingbank.com:443,https,cloudflare,text/html,GET,104.16.207.86,/,-370152621,104.16.206.86,HTTP/3,165,False,cloudflare,True,,
www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,172.217.16.142,/,302920777,2001:4860:4802:34::178,HTTP/3,1831,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
www.starlingbank.com,Starling Bank: Award-winning bank accounts,200,975169,www.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,www.starlingbank.com,443,https://www.starlingbank.com:443,https,AmazonS3,text/html,GET,13.227.219.71,/,-2051907227,2600:9000:206f:2a00:1c:4db3:1c40:93a1,webpack,26,False,cloudfront,True,,
