new,host,ttl,cname,soa,status_code,a,ns,mx,txt,caa,aaaa
[x],developer.starlingbank.com,300,prod-developer.jn3cx6xo36.net,"{'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,
[x],engine.starlingbank.com,300,,"{'name': 'starlingbank.com', 'ns': 'lily.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351036688, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'starlingbank.com', 'ns': 'lily.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351036688, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'starlingbank.com', 'ns': 'lily.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351036688, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'starlingbank.com', 'ns': 'lily.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351036688, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.57.73, 172.67.40.27, 104.22.56.73",,,,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5"
[x],engineering-admin.starlingbank.com,300,prod-kube-ep.prod-tooling.starlingbank.dev,"{'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"54.72.167.170, 54.195.174.96, 52.210.194.199",,,,,
[x],file.starlingbank.com,166,d3i1wgfl0ddjut.cloudfront.net,"{'name': 'd3i1wgfl0ddjut.cloudfront.net', 'ns': 'ns-494.awsdns-61.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3i1wgfl0ddjut.cloudfront.net', 'ns': 'ns-494.awsdns-61.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3i1wgfl0ddjut.cloudfront.net', 'ns': 'ns-494.awsdns-61.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3i1wgfl0ddjut.cloudfront.net', 'ns': 'ns-494.awsdns-61.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3i1wgfl0ddjut.cloudfront.net', 'ns': 'ns-494.awsdns-61.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"3.160.188.2, 3.160.188.24, 3.160.188.25, 3.160.188.118","ns-1092.awsdns-08.org, ns-1993.awsdns-57.co.uk, ns-494.awsdns-61.com, ns-960.awsdns-56.net",,,,
[x],gradle-cache.starlingbank.com,300,cache-proxy.prod-tooling.starlingbank.dev,"{'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"52.208.255.152, 63.34.107.70, 63.35.249.224","ns-1083.awsdns-07.org, ns-1678.awsdns-17.co.uk, ns-579.awsdns-08.net, ns-63.awsdns-07.com",,,,
[x],grafana.starlingbank.com,300,grafana.prod-tooling.starlingbank.dev,"{'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'prod-tooling.starlingbank.dev', 'ns': 'ns-63.awsdns-07.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,
[x],help.starlingbank.com,300,d13bx2xyzlxux2.cloudfront.net,"{'name': 'd13bx2xyzlxux2.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd13bx2xyzlxux2.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd13bx2xyzlxux2.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd13bx2xyzlxux2.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd13bx2xyzlxux2.cloudfront.net', 'ns': 'ns-1688.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"18.165.183.41, 18.165.183.48, 18.165.183.111, 18.165.183.12","ns-1185.awsdns-20.org, ns-1688.awsdns-19.co.uk, ns-275.awsdns-34.com, ns-783.awsdns-33.net",,,,
[x],international.starlingbank.com,300,d10jc9805f6len.cloudfront.net,"{'name': 'd10jc9805f6len.cloudfront.net', 'ns': 'ns-826.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd10jc9805f6len.cloudfront.net', 'ns': 'ns-826.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd10jc9805f6len.cloudfront.net', 'ns': 'ns-826.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd10jc9805f6len.cloudfront.net', 'ns': 'ns-826.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1424.awsdns-50.org, ns-1616.awsdns-10.co.uk, ns-429.awsdns-53.com, ns-826.awsdns-39.net",,,,"2600:9000:273b:4e00:1d:a955:37c0:93a1, 2600:9000:273b:9000:1d:a955:37c0:93a1, 2600:9000:273b:4600:1d:a955:37c0:93a1, 2600:9000:273b:9800:1d:a955:37c0:93a1, 2600:9000:273b:8800:1d:a955:37c0:93a1, 2600:9000:273b:800:1d:a955:37c0:93a1, 2600:9000:273b:9c00:1d:a955:37c0:93a1, 2600:9000:273b:e400:1d:a955:37c0:93a1"
[x],looker.starlingbank.com,300,looker.jn3cx6xo36.net,"{'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"18.203.147.192, 34.253.22.46, 52.48.151.171",,,,,
[x],media.starlingbank.com,300,d33xpivchwhfhj.cloudfront.net,"{'name': 'd33xpivchwhfhj.cloudfront.net', 'ns': 'ns-1690.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd33xpivchwhfhj.cloudfront.net', 'ns': 'ns-1690.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd33xpivchwhfhj.cloudfront.net', 'ns': 'ns-1690.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd33xpivchwhfhj.cloudfront.net', 'ns': 'ns-1690.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"3.164.68.82, 3.164.68.54, 3.164.68.67, 3.164.68.87","ns-1690.awsdns-19.co.uk, ns-321.awsdns-40.com, ns-895.awsdns-47.net, ns-1029.awsdns-00.org",,,,"2600:9000:278c:e400:19:927b:29c0:93a1, 2600:9000:278c:3c00:19:927b:29c0:93a1, 2600:9000:278c:a800:19:927b:29c0:93a1, 2600:9000:278c:4200:19:927b:29c0:93a1, 2600:9000:278c:e00:19:927b:29c0:93a1, 2600:9000:278c:b800:19:927b:29c0:93a1, 2600:9000:278c:d000:19:927b:29c0:93a1, 2600:9000:278c:d600:19:927b:29c0:93a1"
[x],oauth-sandbox.starlingbank.com,300,demo-oauth.possiblefs.com,"{'name': 'possiblefs.com', 'ns': 'ns-1004.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'possiblefs.com', 'ns': 'ns-1004.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'possiblefs.com', 'ns': 'ns-1004.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'possiblefs.com', 'ns': 'ns-1004.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"52.16.231.91, 52.209.202.29, 18.202.147.126",,,,,
[x],oauth.starlingbank.com,300,prod-oauth.jn3cx6xo36.net,"{'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jn3cx6xo36.net', 'ns': 'ns-1990.awsdns-56.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"108.128.187.213, 54.77.132.211, 63.35.131.18",,,,,
