input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_wildcard_certificate,tls_subject_org_,location
jira.first.org,Select Identity Provider - FIRST Issue Tracking,200,39481,jira.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-07T11:28:06Z,2023-10-05T11:28:05Z,CN=jira.first.org,jira.first.org,jira.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,360b7c00047d012f6421160ee4cbb013,c7b66c6628085008d29026e666d1fc4a5447b4d65e35107bd6563da183e4cd76,ctls,jira.first.org,,443,https://jira.first.org:443,https,nginx,text/html,GET,213.208.154.13,/,594015388,213.208.154.13,Nginx,370,False,,,https://jira.first.org/plugins/servlet/samlsso?redirectTo=%2F,,,
learn.first.org,FIRST.Org Learning Platform,200,35923,learn.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-23T21:33:18Z,2023-10-21T21:33:17Z,CN=learn.first.org,learn.first.org,learn.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a2b91a1d5eca3b57499b43a4b9d9a6e0,24201e72d6513591974e58270446fc7edd42760599d4d10bc9796c9695eff9c9,ctls,learn.first.org,fastly,443,https://learn.first.org:443,https,Apache,text/html,GET,151.101.1.91,/,-504286013,2a04:4e42:600::347,Varnish,763,False,True,https://*.ingest.sentry.io,,,,
lists.first.org,,200,2468,sso.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-18T09:00:57Z,2023-09-16T09:00:56Z,CN=sso.first.org,sso.first.org,sso.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f618d69cbe737ff7217daf8f2bf1e19e,0da26d5090f9cf875ed4993e08373c2fd35e50b20baf4634f0931535a701cbfa,ctls,sso.first.org,,443,https://lists.first.org:443,https,nginx,text/html,GET,213.208.154.11,/,295937114,213.208.154.11,Nginx,57,False,,https://api.first.org,https://sso.first.org/oxauth/error.htm,,,
members.first.org,Sign in to FIRST Services,200,18642,www.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-22T23:17:38Z,2023-09-20T23:17:37Z,CN=www.first.org,www.first.org,www.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2974666bed29f37d2d257c87297ec2a1,f147f6ed8d4bf05ec56b2a8722d61ce0b0e367180609a279d1fe2dc9f037c43f,ctls,www.first.org,,443,https://members.first.org:443,https,nginx,text/html,GET,213.208.154.14,/,333796592,213.208.154.14,Nginx,29,False,,https:,https://www.first.org/signin?error=496&url=/,,,
misp.first.org,Users - MISP,200,7220,misp.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-12T14:32:00Z,2023-09-10T14:31:59Z,CN=misp.first.org,misp.first.org,misp.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e618845e881507e390d6fcdbf7ce8e8e,95cac140e906b063e26321ef8e8986e23f5d22aa34df35798d3a2ba2f4e33e4a,ctls,misp.first.org,,443,https://misp.first.org:443,https,Apache,text/html,GET,213.208.154.3,/,-573620230,213.208.154.3,Stimulus,150,False,,https:,https://misp.first.org/users/login,,,
portal.first.org,Welcome to FIRST Portal,401,2735,portal.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-17T23:09:20Z,2023-10-15T23:09:19Z,CN=portal.first.org,portal.first.org,portal.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9915c941619bc9ac43c62edcf24da793,c70ff49437e699dd0fd539c2cd7ba8e043cc4ba5eeddf159ced84a74b0751f72,ctls,portal.first.org,,443,https://portal.first.org:443,https,nginx,text/html,GET,213.208.154.9,/,-1193240081,213.208.154.9,Nginx,5,False,,*.first.org,,,,
rt.first.org,496 Certificate Not Present,400,3723,rt.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-27T09:06:04Z,2023-09-25T09:06:03Z,CN=rt.first.org,rt.first.org,ticket.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c10d70c97932157d3a786336efc2c34,97531903118db7465dc7c36b7d80691880059dcd94698bc1aff79677df27c8bf,ctls,rt.first.org,,443,https://rt.first.org:443,https,nginx,text/html,GET,213.208.154.13,/,-141695100,213.208.154.13,Nginx,61,False,,,,,,
sso.first.org,Welcome to FIRST Portal,401,2735,portal.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-17T23:09:20Z,2023-10-15T23:09:19Z,CN=portal.first.org,portal.first.org,portal.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9915c941619bc9ac43c62edcf24da793,c70ff49437e699dd0fd539c2cd7ba8e043cc4ba5eeddf159ced84a74b0751f72,ctls,portal.first.org,,443,https://sso.first.org:443,https,nginx,text/html,GET,213.208.154.5,/,1015838390,213.208.154.5,Nginx,5,False,,*.first.org,https://portal.first.org,,,
stage.first.org,,200,2468,sso.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-18T09:00:57Z,2023-09-16T09:00:56Z,CN=sso.first.org,sso.first.org,sso.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f618d69cbe737ff7217daf8f2bf1e19e,0da26d5090f9cf875ed4993e08373c2fd35e50b20baf4634f0931535a701cbfa,ctls,sso.first.org,,443,https://stage.first.org:443,https,nginx,text/html,GET,213.208.154.14,/,295937114,213.208.154.14,Nginx,57,False,,https://api.first.org,https://sso.first.org/oxauth/error.htm,,,
ticket.first.org,,200,2468,sso.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-18T09:00:57Z,2023-09-16T09:00:56Z,CN=sso.first.org,sso.first.org,sso.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f618d69cbe737ff7217daf8f2bf1e19e,0da26d5090f9cf875ed4993e08373c2fd35e50b20baf4634f0931535a701cbfa,ctls,sso.first.org,,443,https://ticket.first.org:443,https,nginx,text/html,GET,213.208.154.13,/,295937114,213.208.154.13,Nginx,57,False,,*.first.org,https://sso.first.org/oxauth/error.htm,,,
www.first.org,FIRST - Improving Security Together,200,34170,www.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-22T23:17:38Z,2023-09-20T23:17:37Z,CN=www.first.org,www.first.org,www.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2974666bed29f37d2d257c87297ec2a1,f147f6ed8d4bf05ec56b2a8722d61ce0b0e367180609a279d1fe2dc9f037c43f,ctls,www.first.org,,443,https://www.first.org:443,https,nginx,text/html,GET,213.208.154.14,/,1015838390,213.208.154.14,Nginx,185,False,,https://api.first.org,,,,
