input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_mismatched,tls_expired,cdn_name,cdn,final_url
manuscript.trouw.nl,DPG Media Privacy Gate,200,8852,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://manuscript.trouw.nl:443,https,,text/html,GET,95.101.111.135,/,1214296485,2a02:26f0:480:23::1726:62a8,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3A%2F%2Fverhalen.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252Fvoynich
marketingactie.trouw.nl,DPG Media Branded Content -,200,16461,marketingactie.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,marketingactie.trouw.nl,443,https://marketingactie.trouw.nl:443,https,Apache,text/html,GET,2.16.187.9,/,-130212463,2a02:26f0:ab00::5c7a:d728,114,False,,Yoast SEO:19.12,,,,,
meer.trouw.nl,DPG Media Privacy Gate,200,8960,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://meer.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,-1501528903,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252ftr%252fnl%252f4464%252fReligie-filosofie%252findex.dhtml
messagent.trouw.nl,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://messagent.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,1776946380,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
mijnomgeving.trouw.nl,DPG Media Privacy Gate,200,8837,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://mijnomgeving.trouw.nl:443,https,,text/html,GET,2.16.187.9,/,-2074963750,2a02:26f0:ab00::214:8e4a,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38grtrhtdg4t8xq&callbackUrl=https%3A%2F%2Fmijnomgeving.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
mobile-acc.trouw.nl,Access Denied,401,272,mobile-acc.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,mobile-acc.trouw.nl,443,https://mobile-acc.trouw.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.141,/,224201287,2a02:26f0:480:23::1726:629f,10,False,https://depersgroep.report-uri.io/r/default/csp/enforce,HSTS,,,,,
mobile2.trouw.nl,DPG Media Privacy Gate,200,8818,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://mobile2.trouw.nl:443,https,,text/html,GET,2.16.187.9,/,224201287,2a02:26f0:ab00::214:8e4a,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
opzeggen.trouw.nl,DPG Media Privacy Gate,200,8829,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://opzeggen.trouw.nl:443,https,,text/html,GET,2.20.143.80,/,-318086011,2a02:26f0:480:23::1726:62aa,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=3m6ir0yffs9u8e7a&callbackUrl=https://opzeggen.trouw.nl/
prod.trouw.nl,Invalid URL,400,208,prod.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,prod.trouw.nl,443,https://prod.trouw.nl:443,https,AkamaiGHost,text/html,GET,2.16.187.9,/,275198288,2a02:26f0:ab00::214:8e4a,8,False,,,,,,,
rio.trouw.nl,DPG Media Privacy Gate,200,8852,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://rio.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,-467751606,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3A%2F%2Fverhalen.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252Frio2014
schrijf.trouw.nl,DPG Media Privacy Gate,200,8930,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://schrijf.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,-353152589,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252ftr%252fnl%252f4468%252fschrijf%252findex.dhtml
shop.trouw.nl,DPG Media Privacy Gate,400,6434,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://shop.trouw.nl:443,https,,text/html,GET,2.16.187.153,/,-271619365,2a02:26f0:ab00::5c7a:d70b,226,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=&callbackUrl=https%3A%2F%2Fshop.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
social.trouw.nl,,200,,social.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,social.trouw.nl,443,https://social.trouw.nl:443,https,,text/html,GET,52.31.157.92,/,-1516177449,52.31.157.92,1,False,,,,,,,
story.trouw.nl,DPG Media Branded Content -,200,16452,story.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-21T05:52:35Z,2023-07-20T05:52:34Z,CN=persgroep.be,persgroep.be,,www.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f9bd26b35278a3af418ebe0a92fb0bf7,108375b4a4f80baa3efc7d81599ff9b2b7c321fe77dbbc38e51fce8b28dd3ebd,,ctls,story.trouw.nl,443,https://story.trouw.nl:443,https,Apache,text/html,GET,95.101.111.159,/,-1493344753,2a02:26f0:480:23::1726:62a1,114,False,,Yoast SEO:19.12,,,,,
t.trouw.nl,,400,,t.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T05:45:07Z,2023-07-05T05:45:06Z,CN=t.trouw.nl,t.trouw.nl,,t.trouw.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba0a8fb95d92b9430da6e85348624abf,4a84d0a6ced33d6c726e0ab7ebb366093cdf156329d48c928ddadb686cba060d,,ctls,t.trouw.nl,443,https://t.trouw.nl:443,https,,,GET,23.213.161.12,/,-1840324437,2a02:26f0:3500:11::215:14c8,1,False,,,,,,,
temptation.trouw.nl,,403,243,temptation.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,temptation.trouw.nl,443,https://temptation.trouw.nl:443,https,AmazonS3,application/xml,GET,95.101.111.157,/,1785847853,2a02:26f0:3400::170b:ce33,2,False,,HSTS,,,,,
verhalen.trouw.nl,DPG Media Privacy Gate,200,8825,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://verhalen.trouw.nl:443,https,,text/html,GET,95.101.111.135,/,-855688948,2a02:26f0:480:23::1726:62a8,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3A%2F%2Fverhalen.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
wasteland.trouw.nl,DPG Media Privacy Gate,200,8858,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://wasteland.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,1242814077,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3A%2F%2Fverhalen.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252Fwasteland
web.trouw.nl,"You received emails from this domain, didn't you?",200,15468,web.trouw.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-17T13:30:58Z,2023-07-16T13:30:57Z,CN=web.trouw.nl,web.trouw.nl,,web.trouw.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4dda67ef82f88ce5aee9d23cab8f436c,d1d134ce6af7f0235dc10a78ab9d3e41e7831816c17d026e7ffa0a464df1589a,,ctls,web.trouw.nl,443,https://web.trouw.nl:443,https,nginx,text/html,GET,185.136.65.6,/,-1812417198,185.136.65.7,344,False,,Webflow,,,,,
webshop.trouw.nl,DPG Media Privacy Gate,200,8834,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://webshop.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,-371031726,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38grtrhtdg4t8xq&callbackUrl=https%3A%2F%2Fwebwinkel.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
webwinkel.trouw.nl,DPG Media Privacy Gate,200,8828,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://webwinkel.trouw.nl:443,https,,text/html,GET,95.101.111.157,/,-271619365,2a02:26f0:480:23::1726:629f,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38grtrhtdg4t8xq&callbackUrl=https%3A%2F%2Fwebwinkel.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
wedstrijd.trouw.nl,-,404,194,wedstrijd.trouw.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T12:44:31Z,2023-08-15T12:44:30Z,CN=wedstrijd.trouw.nl,wedstrijd.trouw.nl,,wedstrijd.trouw.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,20668202573c2f597ca775e56af8693a,1c4aa0354958974de882c38362a733c069743bf3bfb798d1ed391f89b0b9ea6d,,ctls,wedstrijd.trouw.nl,443,https://wedstrijd.trouw.nl:443,https,NCSA/1.4.2,text/html,GET,51.77.37.192,/,-1840324437,178.33.129.44,21,False,,HSTS,,,,,
wijzigen.trouw.nl,DPG Media Privacy Gate,200,8829,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://wijzigen.trouw.nl:443,https,,text/html,GET,2.16.187.155,/,-318086011,2a02:26f0:ab00::214:8e71,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=3m6ir0yffs9u8e7a&callbackUrl=https://wijzigen.trouw.nl/
winkel.trouw.nl,Web App - Unavailable,403,2342,winkel.trouw.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-05-14T15:46:03Z,2022-06-14T11:18:37Z,"CN=winkel.trouw.nl, OU=Domain Control Validated",winkel.trouw.nl,,www.winkel.trouw.nl,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4ff2a2f5f487472765e687c2f5993dac,cdf240acc7c19355eb3140da021fc1ac6ca057408806202faabe110bcb5a465b,,ctls,winkel.trouw.nl,443,https://winkel.trouw.nl:443,https,,text/html,GET,52.174.235.29,/,-1111039167,52.174.235.29,75,False,,,,True,azure,True,
www.trouw.nl,DPG Media Privacy Gate,200,8810,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://www.trouw.nl:443,https,,text/html,GET,95.101.111.141,/,224201287,2a02:26f0:480:23::1726:62ae,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
