input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
https://market-assets.strapi.io,,403,243,market-assets.strapi.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-24T23:59:59Z,CN=market-assets.strapi.io,market-assets.strapi.io,,market-assets.strapi.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,100a777701cc122b692ea5c22239cce0,815fb40501329c6a093cd53d341c8b3b12d7418b763a4b2b599490da3bff0e95,,ctls,market-assets.strapi.io,cloudfront,443,https://market-assets.strapi.io:443,https,AmazonS3,application/xml,GET,13.224.189.47,/,-283288257,2600:9000:20eb:8800:b:fa0a:3500:93a1,Amazon Web Services,2,False,True,,,
id.recordedfuture.com,Recorded Future Identity Provider,200,383,id.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,id.recordedfuture.com,cloudflare,443,https://id.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.7.66,/,-1683704064,104.18.6.66,HSTS,11,False,True,,,
imager.recordedfuture.com,Origin DNS error | imager.recordedfuture.com | Cloudflare,530,6226,imager.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,imager.recordedfuture.com,cloudflare,443,https://imager.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-1333719435,104.18.7.66,Cloudflare,93,False,True,,,
insiktgroup.recordedfuture.com,Security check,403,8056,support.recordedfuture.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-13T23:40:25Z,2023-09-11T23:40:24Z,CN=support.recordedfuture.com,support.recordedfuture.com,,support.recordedfuture.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8f2c9ddf6147b32a2f312223242b9e3b,084725f61399d1fff5941c13d0a89e67265d526a5dc0e794eefd2e3e1f0e944e,,ctls,support.recordedfuture.com,cloudflare,443,https://insiktgroup.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-2067536525,104.18.7.66,Cloudflare,104,False,True,,https://support.recordedfuture.com/hc/en-us/sections/115000618887,
learning.recordedfuture.com,Public Home Page,200,150676,university.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-11T23:59:59Z,CN=university.recordedfuture.com,university.recordedfuture.com,,university.recordedfuture.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24b125d4f45caba91c77e3b2c8107870,b2c882a906b16f99cd8f8cb364334c1a60576ab0d6f50c48774ff01d442d4ac6,,ctls,university.recordedfuture.com,cloudflare,443,https://learning.recordedfuture.com:443,https,gunicorn,text/html,GET,104.18.6.66,/,395206353,104.18.7.66,gunicorn,2122,False,True,https://*.force.com,https://university.recordedfuture.com/,
mail.recordedfuture.com,Sign in - Google Accounts,200,1367,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:22:10Z,2023-08-21T08:22:09Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f2bd4ee4f253f14a043bfb763b9bb802,eb5a312bc993b8f3d4a0157d94b96de55cd045397026970d42984b9ae6930ac6,,ctls,www.google.com,,80,http://mail.recordedfuture.com:80,http,GSE,text/html,GET,142.250.185.211,/,2095230003,2a00:1450:4001:812::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=recordedfuture.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm,https://www.google.com/a/recordedfuture.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,
partners.recordedfuture.com,,200,1440,recordedfuture.my.site.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T00:00:00Z,2024-03-26T23:59:59Z,"CN=prod.cdn.salesforce-experience.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",prod.cdn.salesforce-experience.com,"salesforce.com, inc.",*.sandbox.my.site.com,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,cbff9ef46b6f62e24d84e58321440f89,96d89df4025fbff2a3eb909bb3662c44ea9a04e4bbf68ba66bd536c8718c2594,True,ctls,recordedfuture.my.site.com,cloudflare,443,https://partners.recordedfuture.com:443,https,,text/html,GET,104.18.7.66,/,264422289,104.18.6.66,HSTS,47,False,True,,https://recordedfuture.my.site.com/partnerportal/s/,True
pgg391.info.recordedfuture.com,Trust & Safety Policies,200,101565,policy.hubspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-21T00:14:30Z,2023-08-19T00:14:29Z,CN=policy.hubspot.com,policy.hubspot.com,,policy.hubspot.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,af3d4c9fce578b0d014e028680fe38a6,f5a42f42320fbb732a115205017306548a66bb01b8163a8f5b78964cfad8e0f1,,ctls,policy.hubspot.com,,80,http://pgg391.info.recordedfuture.com:80,http,cloudflare,text/html,GET,54.174.63.87,/,-2078428639,54.174.63.87,HubSpot CMS Hub,1674,False,,,https://policy.hubspot.com/abuse-complaints,
preprod.cms.recordedfuture.com,,502,98,preprod.cms.recordedfuture.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-24T15:10:34Z,2023-09-22T15:10:33Z,CN=preprod.cms.recordedfuture.com,preprod.cms.recordedfuture.com,,www.test-t6dnbai-mhttn23wjolqa.us-4.platformsh.site,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,96642e6717053ca7ae32bfa3fa459e05,5dec9ba2927c3fc140c30c0466c6aceea24ed082bae214a63e452ac75a6c8e1d,,ctls,preprod.cms.recordedfuture.com,fastly,443,https://preprod.cms.recordedfuture.com:443,https,,application/json,GET,151.101.130.216,/,823091187,151.101.2.216,Varnish,1,False,True,,,
preprod.recordedfuture.com,,502,94,preprod.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,preprod.recordedfuture.com,cloudflare,443,https://preprod.recordedfuture.com:443,https,cloudflare,application/json,GET,104.18.7.66,/,2017289678,104.18.6.66,Varnish,1,False,True,,,
recordedfuture.com,Recorded Future: Securing Our World With Intelligence,200,192412,www.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,www.recordedfuture.com,cloudflare,443,https://recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-402506565,104.18.7.66,webpack,18,False,True,,https://www.recordedfuture.com/,
sandbox.recordedfuture.com,Recorded Future - Login,200,5399,id.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,id.recordedfuture.com,cloudflare,443,https://sandbox.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,961172713,104.18.7.66,HSTS,2,False,True,,https://id.recordedfuture.com/login?request_id=izFLjYifnn3k4Iqn4S90DbPO4BON_v6vTQlj-ujKuHHB_RQx2_ehKi2XwJhIVPRxxy6TA6XwSh9P9Y9ayurW-lTjnhZRQANVl3zzeBEIgkh0sU8TGbK0mCVkuGiApCNxZW9BWGvAxcGqc6oHzi9129ecJWmOeVa6l2J9b_1nRtUcSU5IHErxNk1Wjg5Em4nDKuyadjXQD7tmQkX0MsAMNZMRel_sANkw82rHx246OC1AxgX0LJGS-FZOFsnw2cb-hINHpnI1edfQFtSqt7c45pMWtJgomP_9iLC2oVMCOirGZqEuPR0eCjNzXqwpD1_e7mstbE_73nQmUwHHEgSdWeykGaWfEaUDnAU0xFwr2yjXGJchv6P_ChEY3_cNpsv3178EGNgECnTJo5D9TFkARuSMGjubAXZD5weq6fjvRf5w4V4wobfdb4ngTipq-NCDGqp2ld8_6BMwoKeOyQgi-_B2hq41HPJsvN9ukJIVrklvnO9CGZQjzTQk5mETG3N9k_ZrVzZ9AkbyYw_v2Nhx0Xf2dowT4txz8munCK5plsuZcOsLoUp594kchZr6ZXKZ9E4sxXXhHQp-pJ__rYLSuwFQylkpfB5EpkUtDKqf9ZMOC8gUMeF-7bzu_anSa27UMOn6KKBooB0j5tQZxO0NB4frKWC97p7bL5zoJTmeH2FpDSIMbq6XUdUlhf2Rdk4Ryl2pD9L60KLsEdbunHtVpg,
static.api.recordedfuture.com,Recorded Future API,200,4008,api.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,api.recordedfuture.com,cloudflare,443,https://static.api.recordedfuture.com:443,https,cloudflare,text/html,GET,162.159.128.62,/,-1991170078,2606:4700:7::a29f:813e,HSTS,127,False,True,https:,https://api.recordedfuture.com/index.html,
status.recordedfuture.com,Recorded Future Status,200,66380,status.recordedfuture.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T10:11:49Z,2023-08-14T10:11:48Z,CN=clstatus.irth.com,clstatus.irth.com,,www.cloudsuitestatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a43536363fe4ccf0d2ee50fea1070142,f425ca16c4ad9ab7d4e3124b1281198a60c0df0030a61bf83f4c20a3da3ce64d,,ctls,status.recordedfuture.com,,443,https://status.recordedfuture.com:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,1609,False,,,,
tempcms.therecord.media,Fastly error: unknown domain tempcms.therecord.media,500,274,tempcms.therecord.media,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",therecord.media,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",73eb905a6777f357be3744745b219551,32262f820a0498e48e112f075d1124376a79ce1ffa1a85ba462740b0a33ff8f4,True,ctls,tempcms.therecord.media,cloudflare,443,https://tempcms.therecord.media:443,https,cloudflare,text/html,GET,104.18.29.120,/,-569422864,2606:4700::6812:1d78,Varnish,8,False,True,,,
test.api.recordedfuture.com,Recorded Future API,200,4008,api.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,api.recordedfuture.com,cloudflare,443,https://test.api.recordedfuture.com:443,https,cloudflare,text/html,GET,162.159.128.62,/,-1991170078,2606:4700:7::a29f:803e,HSTS,127,False,True,fonts.gstatic.com,https://api.recordedfuture.com/index.html,
test.therecord.media,The Record from Recorded Future News,200,45870,test.therecord.media,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",therecord.media,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",73eb905a6777f357be3744745b219551,32262f820a0498e48e112f075d1124376a79ce1ffa1a85ba462740b0a33ff8f4,True,ctls,test.therecord.media,cloudflare,443,https://test.therecord.media:443,https,cloudflare,text/html,GET,104.18.29.120,/,-516421916,2606:4700::6812:1d78,webpack,20,False,True,,,
therecord.media,The Record from Recorded Future News,200,45870,therecord.media,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",therecord.media,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",73eb905a6777f357be3744745b219551,32262f820a0498e48e112f075d1124376a79ce1ffa1a85ba462740b0a33ff8f4,True,ctls,therecord.media,cloudflare,443,https://therecord.media:443,https,cloudflare,text/html,GET,104.18.28.120,/,-516421916,2606:4700::6812:1d78,webpack,20,False,True,,,
university.recordedfuture.com,Public Home Page,200,150676,university.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-11T23:59:59Z,CN=university.recordedfuture.com,university.recordedfuture.com,,university.recordedfuture.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24b125d4f45caba91c77e3b2c8107870,b2c882a906b16f99cd8f8cb364334c1a60576ab0d6f50c48774ff01d442d4ac6,,ctls,university.recordedfuture.com,cloudfront,443,https://university.recordedfuture.com:443,https,gunicorn,text/html,GET,18.66.122.117,/,311760191,18.66.122.27,gunicorn,2122,False,True,https://*.force.com,,
