new,host,a,cname,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name
[x],gsp48-kittyhawk-sg34.222.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
[x],h-135-207-254-76.222.mjrtheatres.com,,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
[x],h-135-207-31-97.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
[x],lenger.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
[x],lo0.tor4-34-pda.tp2.yahoo.com,124.108.102.33,,"hidden-master.yahoo.com, hostmaster.yahoo-inc.com",NOERROR,2406:2000:ec:e21::1,,,,,
[x],secure-edge-latest-shv-01-ort2.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
[x],snv-qae-net-4.sultan.kinepolis.fr,"23.76.204.146, 23.76.204.149",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a13-66.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net, a5-66.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
[x],tor336-400-pda.s3-website-us-east-1.kinepolis.fr,"2.16.238.23, 2.16.238.24",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:e::210:f105, 2a02:26f0:480:e::210:f113",kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a13-66.akam.net, a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a24-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],usersauthnew-temp-backup.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
[x],v2clients.dev.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,0-15-okta.webofknowledge.com.biblio.kinepolis.fr,"185.225.250.26, 185.225.250.74, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a, 2600:1401:2::43, 2600:1480:9000::43, 2600:1401:1::42, 2600:1480:9800::43",kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a4-67.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a6-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,0-4-okta.jisc.ac.uk.pugwash.lib.kinepolis.fr,"2.16.238.24, 2.16.238.23",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:3::210:ee8d, 2a02:26f0:480:3::210:ee94",,"a13-66.akam.net, a5-66.akam.net, a6-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all",,
,0-558.okta.com.employee-specialsurvey.kinepolis.ch,"23.55.161.155, 23.55.161.167",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a24-67.akam.net, a5-66.akam.net","v=spf1 include:spf.kinepolis.com -all, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,0-accounts.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
,0-aleagamingltd.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
,0-canalytics-okta-comeckpoint.tanalytics-okta-comomsonreuters.com.olinkserver.kinepolis.fr,"95.101.74.200, 95.101.74.196",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a1-67.akam.net, a4-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805",,
,0-checkpocom-okta.thomsonreuters.com.olinkserver.kinepolis.fr,"184.87.173.202, 184.87.173.194, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net, a13-66.akam.net, a6-66.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all",,
,0-checkpoint-okta.com.employee-specialsurvey.kinepolis.ch,"104.97.85.12, 104.97.85.27, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4733, 2600:1408:7400::17c7:4758, 2600:1401:2::43, 2600:1401:1::42",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,0-checkpoint.okta.com.employee-specialsurvey.kinepolis.ch,"23.32.238.72, 23.32.238.82",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,0-checkpoint.tho15-oktasonreuters.co15-okta.olinkserver.kinepolis.fr,"23.32.238.82, 23.32.238.72",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,0-checkpoint.thomsonreuters-github-okta.com.olinkserver.kinepolis.fr,"23.76.204.149, 23.76.204.146",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all",,
,0-checkpoint.thomsonreuters.15-okta-com.olinkserver.kinepolis.fr,"23.76.204.149, 23.76.204.146",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net","MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-checkpoint.thomsonreuters.analytics-okta-com.com.olinkserver.kinepolis.fr,"92.122.101.58, 92.122.101.26",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:fe00::5c7a:653a, 2a02:26f0:fe00::5c7a:651a",kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a1-67.akam.net, a13-66.akam.net, a24-67.akam.net, a4-67.akam.net, a5-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-checkpoint.thomsonreuters.com.com-okta-olinkserver.kinepolis.fr,"2.16.241.5, 2.16.241.19",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3100::1735:2950, 2a02:26f0:3100::1735:296a",kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a5-66.akam.net, a4-67.akam.net, a1-67.akam.net","v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-checkpoint.thomsonreuters.com.olinkserver.kinepolis.fr,"23.50.131.223, 23.50.131.219",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3b::5f64:9b49, 2a02:26f0:3b::5f64:9b52",kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a5-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-customimages.webofknowledge.com.biblio.kinepolis.fr,"23.53.40.122, 23.53.40.114",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ef39, 2a02:26f0:7100::1720:ef33",kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net, a24-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805",,
,0-customimages4-okta.com.employee-specialsurvey.kinepolis.ch,"23.53.40.114, 23.53.40.122",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:7100::1720:ef33, 2a02:26f0:7100::1720:ef39",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a24-67.akam.net, a13-66.akam.net, a6-66.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,0-d194ekacf8mn8t.17.okta.com.employee-specialsurvey3.kinepolis.ch,"88.221.132.82, 88.221.132.193",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:98::58dd:8452, 2a02:26f0:98::58dd:84c1",kinepolis-ch.mail.protection.outlook.com,"a24-67.akam.net, a1-67.akam.net, a6-66.akam.net, a13-66.akam.net, a4-67.akam.net, a5-66.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all",,
,0-d194ekacf8mn8t.cloudfront-4-okta.net.skyline.kinepolis.fr,"88.221.132.82, 88.221.132.193",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:4600::213:cce9, 2a02:26f0:4600::213:cd1a",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-global.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
,0-journalarchives.jisc.ac.uk-4-okta.pugwash.lib.kinepolis.fr,"23.32.238.72, 23.32.238.82",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a1-67.akam.net, a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a4-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all",,
,0-journalarchives.jisc.ac.uk.pugwash.lanalytics-okta-com.kinepolis.fr,,kinepolis.fr,,NOERROR,"2a02:26f0:64::210:6b89, 2a02:26f0:64::210:6bc2",,,,,
,0-journalarchives.jisc.ac.uk.pugwash.lib.kinepolis.fr,"2.16.238.148, 2.16.238.141",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,0-journalarchives.okta.com.employee-specialsurvey.kinepolis.ch,"2.16.238.24, 2.16.238.23",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:3::210:ee8d, 2a02:26f0:480:3::210:ee94",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a1-67.akam.net, a13-66.akam.net, a4-67.akam.net, a5-66.akam.net, a24-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,0-login.4-okta.com.employee-specialsurvey.kinepolis.ch,"23.55.163.8, 23.55.163.5",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net, a13-66.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,0-login.incites.4-okta.com.wncln.kinepolis.fr,"23.55.163.5, 23.55.163.8",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a13-66.akam.net, a5-66.akam.net, a6-66.akam.net, a1-67.akam.net, a24-67.akam.net","MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all",,
,0-login.incites.thomsonreuters.com.com-okta.kinepolis.fr,"95.101.54.114, 95.101.54.211",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:e::210:f105, 2a02:26f0:480:e::210:f113",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a24-67.akam.net, a13-66.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,0-login.incites.thomsonreuters.com.wncln.kinepolis.fr,"2.16.202.59, 95.101.54.232",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:780::5f65:3672, 2a02:26f0:780::5f65:36d3",kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a1-67.akam.net, a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a5-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
,0-login.incitgithub-okta.thomsonreuters.com.wncln.kinepolis.fr,"185.225.250.26, 185.225.250.74, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a, 2600:1401:2::43, 2600:1480:9000::43, 2600:1401:1::42, 2600:1480:9800::43",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a24-67.akam.net, a5-66.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-login.okta.com.employee-specialsurvey.kinepolis.ch,,kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,0-ulrichsweb-15-okta.serialssolutions.com.iii-server.kinepolis.fr,"23.55.161.155, 23.55.161.167",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net","v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-ulrichsweb.15-okta.com.libraries.kinepolis.fr,"104.81.60.72, 104.81.60.75",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa4a, 2a02:26f0:a600::b9e1:fa1a",kinepolis-fr.mail.protection.outlook.com,,"google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, v=spf1 include:spf.kinepolis.com -all, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
,0-ulrichsweb.17-secure.okta.com.employee-specialsurvey.kinepolis.ch,"95.101.74.200, 95.101.74.196",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net, a5-66.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, MS=ms57753331",,
,0-ulrichsweb.okta.com.employee-specialsurvey.kinepolis.ch,"95.101.74.196, 95.101.74.200",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-ch.mail.protection.outlook.com,"a24-67.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net, a5-66.akam.net, a13-66.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
,0-ulrichsweb.serialssolutions.analytics-okta-comcom.iii-server.kinepolis.fr,"184.87.173.202, 184.87.173.194, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a6-66.akam.net, a1-67.akam.net, a24-67.akam.net, a13-66.akam.net, a4-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
