input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,tls_subject_org_,final_url
autlan.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.gstatic.com/,autlan.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aadf2c538b790a91a7957dfa386f3338,ad9b1e02a15ded37329f3647f86ba24422d08318f0e9ceee7e39ebd6e7424a90,True,ctls,autlan.my.automationanywhere.digital,443,https://autlan.my.automationanywhere.digital:443,https,text/html,GET,54.237.152.180,/,-1005691603,35.171.205.241,React,99,False,,,,,
bacrpad.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://pendo-static-5673999629942784.storage.googleapis.com/,bacrpad.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-13T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,690415f055bd7972186f9c994426bd35,4b4d276cf23e667e961a291f9204bd1f8df6e785bc6eb72a0033c0604db8eaf1,True,ctls,bacrpad.my.automationanywhere.digital,443,https://bacrpad.my.automationanywhere.digital:443,https,text/html,GET,52.41.214.102,/,-1005691603,34.210.153.248,React,99,False,,,,,
bacrpap.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://cdnjs.cloudflare.com/,bacrpap.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-13T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,690415f055bd7972186f9c994426bd35,4b4d276cf23e667e961a291f9204bd1f8df6e785bc6eb72a0033c0604db8eaf1,True,ctls,bacrpap.my.automationanywhere.digital,443,https://bacrpap.my.automationanywhere.digital:443,https,text/html,GET,44.239.212.56,/,-1005691603,52.33.173.148,React,99,False,,,,,
beacon.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://data.pendo.io/,beacon.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aadf2c538b790a91a7957dfa386f3338,ad9b1e02a15ded37329f3647f86ba24422d08318f0e9ceee7e39ebd6e7424a90,True,ctls,beacon.my.automationanywhere.digital,443,https://beacon.my.automationanywhere.digital:443,https,text/html,GET,44.196.202.16,/,-1005691603,52.3.159.62,React,99,False,,,,,
biomerieux.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,biomerieux.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-02-05T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aea75b9569dbcbe15d1650660936300,91530a21f577c58b05094d0e04951e731616d45e006c62c3efb338bdc0521d73,True,ctls,biomerieux.my.automationanywhere.digital,443,https://biomerieux.my.automationanywhere.digital:443,https,text/html,GET,43.205.176.94,/,-1005691603,13.235.162.6,React,99,False,,,,,
bkr.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://data.pendo.io/,bkr.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2023-10-11T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,58ad9cc4d7f869ed125b3d65c1046e71,9f13cc85b5a3680a9218d881338a89959e0f90f04ca5cd9d4ab9dead75eaa495,True,ctls,bkr.my.automationanywhere.digital,443,https://bkr.my.automationanywhere.digital:443,https,text/html,GET,52.68.199.23,/,-1005691603,3.115.144.58,React,99,False,,,,,
bridgeport.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://cdnjs.cloudflare.com/,bridgeport.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aadf2c538b790a91a7957dfa386f3338,ad9b1e02a15ded37329f3647f86ba24422d08318f0e9ceee7e39ebd6e7424a90,True,ctls,bridgeport.my.automationanywhere.digital,443,https://bridgeport.my.automationanywhere.digital:443,https,text/html,GET,54.92.205.31,/,-1005691603,52.1.223.78,React,99,False,,,,,
cargill.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://pendo-static-5673999629942784.storage.googleapis.com/,cargill.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-13T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,690415f055bd7972186f9c994426bd35,4b4d276cf23e667e961a291f9204bd1f8df6e785bc6eb72a0033c0604db8eaf1,True,ctls,cargill.my.automationanywhere.digital,443,https://cargill.my.automationanywhere.digital:443,https,text/html,GET,52.24.59.183,/,-1005691603,44.232.36.212,React,99,False,,,,,
ccdigitalops-1.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.gstatic.com/,ccdigitalops-1.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2023-10-20T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a00f8f21cb487e497852a5519ce18d16,bef86efbf4283358337201fe33a4d83bcac374a663b3a7d51128eedbbec3b82a,True,ctls,ccdigitalops-1.my.automationanywhere.digital,80,http://ccdigitalops-1.my.automationanywhere.digital:80,http,text/html,GET,52.67.181.49,/,-1005691603,54.232.220.100,React,99,False,,,,,https://ccdigitalops-1.my.automationanywhere.digital:443/
centria.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,centria.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2023-10-20T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a00f8f21cb487e497852a5519ce18d16,bef86efbf4283358337201fe33a4d83bcac374a663b3a7d51128eedbbec3b82a,True,ctls,centria.my.automationanywhere.digital,80,http://centria.my.automationanywhere.digital:80,http,text/html,GET,18.229.197.36,/,-1005691603,54.232.32.204,React,99,False,,,,,https://centria.my.automationanywhere.digital:443/
chs.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,chs.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-13T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,690415f055bd7972186f9c994426bd35,4b4d276cf23e667e961a291f9204bd1f8df6e785bc6eb72a0033c0604db8eaf1,True,ctls,chs.my.automationanywhere.digital,443,https://chs.my.automationanywhere.digital:443,https,text/html,GET,44.229.237.60,/,-1005691603,52.34.16.222,React,99,False,,,,,
cimbth-uat.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://cdnjs.cloudflare.com/,cimbth-uat.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-05T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,27e13d8dd64dd5ecc84aec6269c97a5f,e1c740bfa9b7e218283c722758d29df4387631abc5dd3a68ba233fd6ad80be4c,True,ctls,cimbth-uat.my.automationanywhere.digital,443,https://cimbth-uat.my.automationanywhere.digital:443,https,text/html,GET,18.139.136.214,/,-1005691603,54.169.208.38,React,99,False,,,,,
claranet.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.gstatic.com/,claranet.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-16T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d498e0c47f02a67e5c4255137c6e6fd6,63f893b27b2c078ca8934a37678e4973fb771e35d16a6c2c1252790413cdc770,True,ctls,claranet.my.automationanywhere.digital,443,https://claranet.my.automationanywhere.digital:443,https,text/html,GET,54.171.242.73,/,-1005691603,52.211.96.191,React,99,False,,,,,
cnadev.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,cnadev.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aadf2c538b790a91a7957dfa386f3338,ad9b1e02a15ded37329f3647f86ba24422d08318f0e9ceee7e39ebd6e7424a90,True,ctls,cnadev.my.automationanywhere.digital,443,https://cnadev.my.automationanywhere.digital:443,https,text/html,GET,44.215.168.211,/,-1005691603,23.22.41.19,React,99,False,,,,,
cps-prod.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,cps-prod.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-16T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d498e0c47f02a67e5c4255137c6e6fd6,63f893b27b2c078ca8934a37678e4973fb771e35d16a6c2c1252790413cdc770,True,ctls,cps-prod.my.automationanywhere.digital,443,https://cps-prod.my.automationanywhere.digital:443,https,text/html,GET,52.213.43.39,/,-1005691603,34.240.164.225,React,99,False,,,,,
cps-uat.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,cps-uat.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-16T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d498e0c47f02a67e5c4255137c6e6fd6,63f893b27b2c078ca8934a37678e4973fb771e35d16a6c2c1252790413cdc770,True,ctls,cps-uat.my.automationanywhere.digital,443,https://cps-uat.my.automationanywhere.digital:443,https,text/html,GET,52.214.156.3,/,-1005691603,54.77.135.237,React,99,False,,,,,
crcdev.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,crcdev.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2023-10-20T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a00f8f21cb487e497852a5519ce18d16,bef86efbf4283358337201fe33a4d83bcac374a663b3a7d51128eedbbec3b82a,True,ctls,crcdev.my.automationanywhere.digital,443,https://crcdev.my.automationanywhere.digital:443,https,text/html,GET,54.207.127.147,/,-1005691603,54.207.103.162,React,99,False,,,,,
csn.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://app.pendo.io/,csn.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-13T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,690415f055bd7972186f9c994426bd35,4b4d276cf23e667e961a291f9204bd1f8df6e785bc6eb72a0033c0604db8eaf1,True,ctls,csn.my.automationanywhere.digital,443,https://csn.my.automationanywhere.digital:443,https,text/html,GET,34.213.207.35,/,-1005691603,52.43.147.14,React,99,False,,,,,
cu1.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.googleapis.com/,cu1.my.automationanywhere.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-19T05:47:28Z,2024-02-20T05:47:28Z,CN=*.my.automationanywhere.digital,*.my.automationanywhere.digital,my.automationanywhere.digital,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",2ba9e1fae9ee42f6301adc4526fa0868,8f863fdf796c4316f9dbbae51687fc80ffe586bcf303506cb72f952a6d085444,True,ctls,cu1.my.automationanywhere.digital,443,https://cu1.my.automationanywhere.digital:443,https,text/html,GET,34.160.193.71,/,-1005691603,34.160.193.71,React,99,False,google,True,,,
dev1.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://*.googleapis.com/,dev1.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-18T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c3c1640e40459ba0ea2c61215d5c961,02e5afb9682bf96a0a81bd2e22f18f9e22cd0382e1cad9dc9639bfe216db2f8a,True,ctls,dev1.my.automationanywhere.digital,443,https://dev1.my.automationanywhere.digital:443,https,text/html,GET,13.244.38.250,/,-1005691603,13.245.223.251,React,99,False,,,,,
dgt.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://*.amazonaws.com/,dgt.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2023-10-20T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a00f8f21cb487e497852a5519ce18d16,bef86efbf4283358337201fe33a4d83bcac374a663b3a7d51128eedbbec3b82a,True,ctls,dgt.my.automationanywhere.digital,443,https://dgt.my.automationanywhere.digital:443,https,text/html,GET,18.229.48.239,/,-1005691603,15.229.62.41,React,99,False,,,,,
discover.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://fonts.gstatic.com/,discover.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-16T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d498e0c47f02a67e5c4255137c6e6fd6,63f893b27b2c078ca8934a37678e4973fb771e35d16a6c2c1252790413cdc770,True,ctls,discover.my.automationanywhere.digital,443,https://discover.my.automationanywhere.digital:443,https,text/html,GET,34.253.118.73,/,-1005691603,54.171.81.109,React,99,False,,,,,
eastwestbank-1.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://cdn.pendo.io/,eastwestbank-1.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-24T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aadf2c538b790a91a7957dfa386f3338,ad9b1e02a15ded37329f3647f86ba24422d08318f0e9ceee7e39ebd6e7424a90,True,ctls,eastwestbank-1.my.automationanywhere.digital,443,https://eastwestbank-1.my.automationanywhere.digital:443,https,text/html,GET,3.229.24.222,/,-1005691603,23.21.28.213,React,99,False,,,,,
ecu.my.automationanywhere.digital,Control Room | Automation Anywhere,200,5109,https://*.amazonaws.com/,ecu.my.automationanywhere.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-30T00:00:00Z,2024-04-27T23:59:59Z,CN=my.automationanywhere.digital,my.automationanywhere.digital,*.my.automationanywhere.digital,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6d009f8005e32f21b19b11cd3614eab9,ea4dee447eacd89b7c3bf15bfacf70cb27f3a4fa74c080c7a029e664f5623c51,True,ctls,ecu.my.automationanywhere.digital,443,https://ecu.my.automationanywhere.digital:443,https,text/html,GET,52.65.188.205,/,-1005691603,52.62.255.201,React,99,False,,,,,
