input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,tls_wildcard_certificate,final_url,tls_self_signed,tls_expired
a.ase-sc.azure.vgz.nl,Not Found,404,315,,a.ase-sc.azure.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,a.ase-sc.azure.vgz.nl,443,https://a.ase-sc.azure.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
aadds.vgz.nl,VGZ Zorgverzekering - Voorop in gezondheid en zorg. Voor iedereen.,200,141308,inloggen.cooperatievgz.nl,www.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-24T11:50:31Z,2023-06-24T11:54:00Z,"CN=www.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",www.vgz.nl,VGZ Zorgverzekeraar N.V.,inloggen.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,33b0f87d95d722c7733e262747b9dbae,c092a33cfe2a72e63f3a99ea7f8f2c9510cecd23f0236592e8fcbca27ceb57eb,ctls,www.vgz.nl,80,http://aadds.vgz.nl:80,http,,text/html,GET,195.42.135.39,/,-1785683782,195.42.135.39,Sitecore,2242,False,,,,,https://www.vgz.nl/,,
acc.api.cuco.vgz.nl,Blocked,404,7887,,acc.api.cuco.vgz.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T07:21:49Z,2024-01-12T07:16:00Z,"CN=acc.cuco.vgz.nl, O=VGZ Zorgkantoor B.V., L=Arnhem, ST=Gelderland, C=NL",acc.cuco.vgz.nl,VGZ Zorgkantoor B.V.,tst.api.cuco.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,59883871239a6b4a8bac334092e337c0,936a2c8332d7b5322561581f36a078325ae5ee72f720b21788e5cfc722bd1eae,ctls,acc.api.cuco.vgz.nl,443,https://acc.api.cuco.vgz.nl:443,https,,text/html,GET,20.79.79.86,/,-1481089320,20.79.79.86,,2,False,,,,,,,
acc.cdn.vgz.nl,,400,351,,acc.cdn.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-07T11:44:06Z,2023-06-22T00:00:00Z,"CN=tst.api.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",tst.api.vgz.nl,VGZ Zorgverzekeraar N.V.,acc.cdn.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,b2c87671f85f56ce54815657aa001a06,3ee33d3345c69a9c29b15e8aeabbec93914736daaf031e4aab5c0af3e6050a5a,ctls,acc.cdn.vgz.nl,443,https://acc.cdn.vgz.nl:443,https,,application/xml,GET,13.107.246.45,/,-2019880225,2620:1ec:46::45,Azure Front Door,3,False,,,,,,,
acc.collectief.vgz.nl,,404,11203,,acc.collectief.vgz.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-22T09:35:04Z,2023-12-22T09:30:00Z,"CN=acc.collectief.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",acc.collectief.vgz.nl,VGZ Zorgverzekeraar N.V.,acc.collectief.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,7047f7db0aa901ad214ee0047b73da6d,5a7359e6aba134727f929a044aed1dcb9c577b82994ece6747ee3623cd13ee35,ctls,acc.collectief.vgz.nl,443,https://acc.collectief.vgz.nl:443,https,,text/html,GET,141.193.178.82,/,1302469519,141.193.178.82,,262,False,,,,,,,
acc.cuco.vgz.nl,Blocked,404,7887,,acc.cuco.vgz.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T07:21:49Z,2024-01-12T07:16:00Z,"CN=acc.cuco.vgz.nl, O=VGZ Zorgkantoor B.V., L=Arnhem, ST=Gelderland, C=NL",acc.cuco.vgz.nl,VGZ Zorgkantoor B.V.,tst.api.cuco.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,59883871239a6b4a8bac334092e337c0,936a2c8332d7b5322561581f36a078325ae5ee72f720b21788e5cfc722bd1eae,ctls,acc.cuco.vgz.nl,443,https://acc.cuco.vgz.nl:443,https,,text/html,GET,20.71.74.115,/,-1881394365,20.71.74.115,,2,False,,,,,,,
acc.igs-za-api.vgz.nl,Not Found,404,315,,acc.igs-za-api.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,acc.igs-za-api.vgz.nl,443,https://acc.igs-za-api.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
acc.milo.vgz.nl,Azure Static Web Apps - 403: Forbidden,403,2531,,acc.milo.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-04T00:00:00Z,2023-09-04T23:59:59Z,CN=acc.milo.vgz.nl,acc.milo.vgz.nl,,acc.milo.vgz.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",d727075bd31be52f45c3a4ca4286694b,4066aff43c05804ef7773af3250ec1b6c8c646f85037788592922cade2dabf4d,ctls,acc.milo.vgz.nl,443,https://acc.milo.vgz.nl:443,https,,text/html,GET,40.118.40.109,/,1873035450,40.118.40.109,Bootstrap:4.1.1,54,False,,azure,True,,,,
acc.xconnect.vgz.nl,VGZ Zorgverzekering - Voorop in gezondheid en zorg. Voor iedereen.,200,141307,inloggen.cooperatievgz.nl,www.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-24T11:50:31Z,2023-06-24T11:54:00Z,"CN=www.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",www.vgz.nl,VGZ Zorgverzekeraar N.V.,inloggen.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,33b0f87d95d722c7733e262747b9dbae,c092a33cfe2a72e63f3a99ea7f8f2c9510cecd23f0236592e8fcbca27ceb57eb,ctls,www.vgz.nl,80,http://acc.xconnect.vgz.nl:80,http,,text/html,GET,195.42.135.39,/,-1785683782,195.42.135.39,Sitecore,2242,False,,,,,https://www.vgz.nl/,,
acc.zorginkoop.vgz.nl,Blocked,404,7887,,acc.zorginkoop.vgz.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-13T10:11:53Z,2024-02-10T23:45:00Z,"CN=acc.zorginkoop.vgz.nl, O=Coöperatie VGZ U.A., L=Arnhem, ST=Gelderland, C=NL",acc.zorginkoop.vgz.nl,Coöperatie VGZ U.A.,acc.zorginkoop.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,8d428972e74cab444e1b97ccc18a3983,ee31411382bf7bb409df5b72fb0e97a37c8ad4ed34c465e4005504ba3c77765a,ctls,acc.zorginkoop.vgz.nl,443,https://acc.zorginkoop.vgz.nl:443,https,,text/html,GET,20.93.190.143,/,199017003,20.93.190.143,,2,False,,,,,,,
accb2b.vgz.nl,Not Found,404,315,,accb2b.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,accb2b.vgz.nl,443,https://accb2b.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
accessdaws.otp2.vgz.nl,Not Found,404,315,,accessdaws.otp2.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,accessdaws.otp2.vgz.nl,443,https://accessdaws.otp2.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
accmftdr.vgz.nl,Not Found,404,315,,accmftdr.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,accmftdr.vgz.nl,443,https://accmftdr.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
accp.mx.vgz.nl,Mendix,200,1491,https://fonts.gstatic.com,accp.mx.vgz.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-27T14:19:53Z,2023-12-27T14:14:00Z,"CN=accp1.mx.vgz.nl, O=Coöperatie VGZ U.A., L=Arnhem, ST=Gelderland, C=NL",accp1.mx.vgz.nl,Coöperatie VGZ U.A.,mxapp-accp.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,4ce2aed5f8eb29e2e68e067dd786a3ec,40824571fc54faabf740e65725bcfeaa73e01e823d835e0532803cd647d801ad,ctls,accp.mx.vgz.nl,443,https://accp.mx.vgz.nl:443,https,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa00:63e4:ad8e:c1c7:8675,Nginx,37,False,,,,,,,
advertising-and-media-credit-reports.vgz.nl,VGZ Zorgverzekering - Voorop in gezondheid en zorg. Voor iedereen.,200,141307,inloggen.cooperatievgz.nl,www.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-24T11:50:31Z,2023-06-24T11:54:00Z,"CN=www.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",www.vgz.nl,VGZ Zorgverzekeraar N.V.,inloggen.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,33b0f87d95d722c7733e262747b9dbae,c092a33cfe2a72e63f3a99ea7f8f2c9510cecd23f0236592e8fcbca27ceb57eb,ctls,www.vgz.nl,80,http://advertising-and-media-credit-reports.vgz.nl:80,http,,text/html,GET,195.42.135.39,/,-1785683782,195.42.135.39,Sitecore,2242,False,,,,,https://www.vgz.nl/,,
afa9-10-85.vgz.nl,Not Found,404,315,,afa9-10-85.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,afa9-10-85.vgz.nl,443,https://afa9-10-85.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
agent.athena.at.vgz.nl,Home Page - Athena,200,8094,,agent.athena.at.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-09T00:00:00Z,2024-04-09T23:59:59Z,"CN=agent.athena.at.vgz.nl, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",agent.athena.at.vgz.nl,Microsoft Corporation,agent.athena.at.vgz.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fe5c4e95ad07dc94e2c7fcfd48edf6a8,a33c9cd4861194be1f1ef95f6fe3d40e6c1084476e3d0d4ddb62ec39cb95b5ee,ctls,agent.athena.at.vgz.nl,443,https://agent.athena.at.vgz.nl:443,https,,text/html,GET,13.107.246.45,/,-108635095,2620:1ec:46::45,Azure Front Door,47,False,,,,,,,
agent.athena.otp.vgz.nl,Not Found,404,315,,agent.athena.otp.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,agent.athena.otp.vgz.nl,443,https://agent.athena.otp.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
agent.athena.otp2.vgz.nl,Not Found,404,315,,agent.athena.otp2.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,agent.athena.otp2.vgz.nl,443,https://agent.athena.otp2.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
