new,host,status_code,a,soa,cdn,cdn-name,mx,txt,cname,aaaa,has_internal_ips,internal_ips,ns,caa,ptr
[x],shopservices.euro1.music.pvw.nokia.com,NOERROR,,,,,,,shopservices.pvw.musicstore.glb.nokia.com,,,,,,
[x],si.a1.odc.nokia.com,NOERROR,147.243.7.83,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],siagp02.nokia.com,NOERROR,147.243.194.10,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sibm.euro1.music.pvw.nokia.com,NOERROR,,,,,,,sibm.pvw.musicstore.glb.nokia.com,,,,,,
[x],sibp.euro1.music.nokia.com,NOERROR,,,,,,,sibp.musicstore.glb.nokia.com,,,,,,
[x],sibp.euro1.music.pvw.nokia.com,NOERROR,,,,,,,sibp.pvw.musicstore.glb.nokia.com,,,,,,
[x],signing.extrafed.ext.net.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],signup.nokia.com,NOERROR,147.243.45.47,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sigtmp01.nokia.com,NOERROR,147.243.206.14,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],siibp-ibrtr01.nokia.com,NOERROR,"147.243.216.37, 165.21.45.70","ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],singapore-ca.net.nokia.com,NOERROR,119.73.243.171,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sinlacap.net.nokia.com,NOERROR,87.254.206.5,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sinwar.net.nokia.com,NOERROR,87.254.206.7,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sip.fit.nokia.com,NOERROR,54.144.128.85,,,,,,,,,,,,
[x],sip.itsd.nokia.com,NOERROR,192.8.214.59,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sip1.ext.nokia.com,NOERROR,192.100.112.166,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
