input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,tls_expired,final_url
app-integration.qa.redislabs.com,Redis Cloud Console,200,1865,,app-integration.qa.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,app-integration.qa.redislabs.com,443,https://app-integration.qa.redislabs.com:443,https,text/html,GET,54.210.22.28,/,864611937,34.224.45.91,Ubuntu,52,False,True,,nginx/1.14.0 (Ubuntu),,,,,,
app-k8s-staging.qa.redislabs.com,Redis Cloud Console,200,6865,,app-k8s-staging.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,app-k8s-staging.qa.redislabs.com,443,https://app-k8s-staging.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,864611937,45.60.123.1,Imperva,1,False,True,incapsula,,True,,,,,
app-qa.qa.redislabs.com,Redis Cloud Console,200,1805,,app-qa.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,app-qa.qa.redislabs.com,443,https://app-qa.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,864611937,45.60.123.1,Imperva,33,False,True,incapsula,,True,,,,,
app-sm.dev-vitaly.sm-test.qa.redislabs.com,Redis Cloud Console,200,6569,,app-sm.dev-vitaly.sm-test.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T08:30:18Z,2024-05-01T08:30:18Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,702a99e458663066f0430580d7dcafd8,875b890ce10286e3d5cd37a88e58d05b34076635d9501e99a7cfe13a55244aba,ctls,app-sm.dev-vitaly.sm-test.qa.redislabs.com,443,https://app-sm.dev-vitaly.sm-test.qa.redislabs.com:443,https,text/html,GET,34.23.17.204,/,864611937,34.23.17.204,HSTS,1,False,,google,,True,True,True,Acme Co,,
app-sm.k8s-aa.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1865,,app-sm.k8s-aa.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T16:10:37Z,2023-07-24T16:10:36Z,CN=webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2dc38e0671d25c9aca4876ff8a95addf,a1806ecad7a897e9622c5a3455be5d3f4160d551c34ccd04dbf27cb856ef99fb,ctls,app-sm.k8s-aa.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-aa.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,HSTS,52,False,,google,,True,,,,,
app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1865,,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-15T13:53:54Z,2023-07-14T13:53:53Z,CN=app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf57a4c95d8304c365bdf02eb08c8540,6c8e49c40d97122ecc01e10740ae6e7a7c3d6fbecb8d6d58945989a05bd7000f,ctls,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,HSTS,52,False,,google,,True,,,,,
app-sm.k8s-billing.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1865,,app-sm.k8s-billing.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T05:34:22Z,2023-08-01T05:34:21Z,CN=webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8958d4ffdf5d42e234af2a9481c11734,d6d0d2898f9db1dae8287b932bac656fc71d168d26591e9737dcf384e8524bc3,ctls,app-sm.k8s-billing.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-billing.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,HSTS,52,False,,google,,True,,,,,
app-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,,404,60,,app-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-18T07:39:46Z,2024-05-17T07:39:46Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,d740d1cf39bfd479d879eadf8ed7acca,e3c2048a037df62c837069c790ea545335ab7184fee429845321bfd12e07ddbe,ctls,app-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,HSTS,1,False,,google,,True,True,True,Acme Co,,
app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1865,,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-08T06:37:45Z,2023-07-07T06:37:44Z,CN=app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,webapi-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e20d6fea8f02738528c98961753d249,6482c03fb5c67000fd86ec8d61a5be7ce09bdef66cce17e1257ea8b3edca416a,ctls,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,HSTS,52,False,,google,,True,,,,,
app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,,404,60,,app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-18T07:39:46Z,2024-05-17T07:39:46Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,d740d1cf39bfd479d879eadf8ed7acca,e3c2048a037df62c837069c790ea545335ab7184fee429845321bfd12e07ddbe,ctls,app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,HSTS,1,False,,google,,True,True,True,Acme Co,,
