input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched
mt5-de.binary.com,Terminal: Deriv Limited,200,2987,mt5-de.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5-de.binary.com,,443,https://mt5-de.binary.com:443,https,,text/html,GET,3.33.131.212,/,-933281129,15.197.155.152,HSTS,1,False,,https://mt5-de.binary.com/terminal,True
mt5-demo-sg.binary.com,Terminal: Deriv Limited,200,3212,mt5-demo-sg.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5-demo-sg.binary.com,,443,https://mt5-demo-sg.binary.com:443,https,,text/html,GET,52.223.50.140,/,-933281129,35.71.178.220,HSTS,1,False,,https://mt5-demo-sg.binary.com/terminal,True
mt5-real-de.binary.com,Terminal: Deriv Limited,200,2987,mt5-real-de.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5-real-de.binary.com,,443,https://mt5-real-de.binary.com:443,https,,text/html,GET,15.197.155.152,/,-933281129,3.33.131.212,HSTS,1,False,,https://mt5-real-de.binary.com/terminal,True
mt5-real-sg.binary.com,Terminal: Deriv Limited,200,2987,mt5-real-sg.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5-real-sg.binary.com,,443,https://mt5-real-sg.binary.com:443,https,,text/html,GET,3.33.131.212,/,-933281129,15.197.155.152,HSTS,1,False,,https://mt5-real-sg.binary.com/terminal,True
mt5.binary.com,Terminal: Deriv Limited,200,2987,mt5.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T11:57:00Z,2026-06-26T11:57:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",*.mt5.deriv.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",8389679f77ad52ee59d2ff0e01af41d9,c266bae84ad119981689186e51bb4e9f5926be28b525b53da2a572f11c884c86,True,ctls,mt5.binary.com,,443,https://mt5.binary.com:443,https,,text/html,GET,15.197.155.152,/,-933281129,3.33.131.212,HSTS,1,False,,https://mt5.binary.com/terminal,True
mta-sts.binary.com,,200,54,mta-sts.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T04:59:04Z,2023-10-01T04:59:03Z,CN=mta-sts.binary.com,mta-sts.binary.com,,mta-sts.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,691488ed3d712da19760796b5c0b20a9,5ec2b3d7c7e8dbd52a75405f007e8772bd63f3d2fa9523b14095e2074caa8260,,ctls,mta-sts.binary.com,cloudflare,443,https://mta-sts.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1177259316,2606:4700:10::6814:1732,HTTP/3,2,False,True,,
offers.binary.com,"Online trading platform | Forex, commodities, synthetic indices, stocks, and stock indices | Deriv",200,254112,eu.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T01:27:45Z,2023-08-23T01:27:44Z,CN=deriv.com,deriv.com,,*.deriv.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,4183ea6325e1e32f2bc56437f471edf0,ff2c5fdd2cc01f493e0c09db1d749f3f4b35d493fbbec2c7f851a80f63143297,True,ctls,eu.deriv.com,cloudflare,443,https://offers.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-817258732,2606:4700:10::6814:1732,webpack,184,False,True,https://eu.deriv.com/,
onfido.binary.com,Not Found,200,80,onfido.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,onfido.binary.com,cloudflare,443,https://onfido.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1456402987,2606:4700:10::6814:1732,HTTP/3,9,False,True,,
record.binary.com,400 Bad Request,400,157,record.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-06-10T23:59:59Z,"CN=record.binary.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",record.binary.com,"Cloudflare, Inc.",record.binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7ddb00ec036a78fac4532a874ac82745,71f3693c258e119884c82e2674ebbc58a165e69a15a4bc79d0626dc715931eb8,,ctls,record.binary.com,cloudflare,443,https://record.binary.com:443,https,cloudflare,text/html,GET,104.18.192.136,/,1423742825,104.18.189.136,Cloudflare,8,False,True,,
secure-dfadmin.binary.com,,403,16,secure-dfadmin.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,secure-dfadmin.binary.com,cloudflare,443,https://secure-dfadmin.binary.com:443,https,cloudflare,text/plain,GET,104.20.23.50,/,1253481126,2606:4700:10::6814:1732,HTTP/3,1,False,True,,
spamcheck.binary.com,,403,16,spamcheck.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",binary.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3b0340fbe160ffe884356797fe821685,b16a4261dd13d104ba6b11c760e969d6e5dee68d3450c54f6295bd0212d867bb,True,ctls,spamcheck.binary.com,cloudflare,443,https://spamcheck.binary.com:443,https,cloudflare,text/plain,GET,104.20.22.50,/,1253481126,2606:4700:10::6814:1632,HTTP/3,1,False,True,,
staging-charts.binary.com,,403,16,staging-charts.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-05T11:29:08Z,2023-09-03T11:29:07Z,CN=staging-charts.binary.com,staging-charts.binary.com,,staging-charts.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,46db1f17914109abffbd338584c98940,eed3ff28b373cc0f7577b93d5ae2ce378ef764f4cb5d5845495eeea309bc8b94,,ctls,staging-charts.binary.com,cloudflare,443,https://staging-charts.binary.com:443,https,cloudflare,text/plain,GET,104.20.22.50,/,1253481126,2606:4700:10::6814:1732,HTTP/3,1,False,True,,
staging-liveapi.binary.com,,403,16,staging-liveapi.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T06:32:13Z,2023-10-19T06:32:12Z,CN=staging-liveapi.binary.com,staging-liveapi.binary.com,,staging-liveapi.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91178cab3c1c194ecf43f8499913968e,2a88fb7c426a09a147f01d436bdeb7ff1d8e22bde1778d5c9623054710e037a4,,ctls,staging-liveapi.binary.com,cloudflare,443,https://staging-liveapi.binary.com:443,https,cloudflare,text/plain,GET,104.20.23.50,/,1253481126,2606:4700:10::6814:1632,HTTP/3,1,False,True,,
staging-webtrader.binary.com,,403,16,staging-webtrader.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T03:58:19Z,2023-08-27T03:58:18Z,CN=staging-webtrader.binary.com,staging-webtrader.binary.com,,staging-webtrader.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa9eb356e55aebb49ef1e77138882f73,c4933e3cc7200de19137dc134766acaa0578d2e625fca7aef9447707739870ef,,ctls,staging-webtrader.binary.com,cloudflare,443,https://staging-webtrader.binary.com:443,https,cloudflare,text/plain,GET,104.20.23.50,/,1253481126,2606:4700:10::6814:1732,HTTP/3,1,False,True,,
staging.binary.com,,403,16,staging.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T11:58:58Z,2023-09-02T11:58:57Z,CN=staging.binary.com,staging.binary.com,,staging.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,244597f2ce32f6cec10e62b479720f60,16d2cd7ad9177b50f84155e07c8dea1c623b5e424a07080f056add046da6119e,,ctls,staging.binary.com,cloudflare,443,https://staging.binary.com:443,https,cloudflare,text/plain,GET,104.20.22.50,/,1253481126,2606:4700:10::6814:1632,HTTP/3,1,False,True,,
style.binary.com,Binary Style Guide,200,51048,style.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T04:42:16Z,2023-08-27T04:42:15Z,CN=style.binary.com,style.binary.com,,style.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ea249b65de01c75a6e6c3a92242a3436,ee192dc22bfc6bb1454c4eea7426cef394475c5115f83a2c63cf76a81a271e48,,ctls,style.binary.com,cloudflare,443,https://style.binary.com:443,https,cloudflare,text/html,GET,104.20.23.50,/,998449883,2606:4700:10::6814:1632,HTTP/3,1571,False,True,,
tradingview.binary.com,TradingView Implementation for Binary.com,200,938,tradingview.deriv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T09:00:28Z,2023-10-16T09:00:27Z,CN=tradingview.deriv.com,tradingview.deriv.com,,tradingview.deriv.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,946d8e9acdfbd715cb8b3a1cc7746c51,b39a9340541f8c25a56598692e08708ab9fc58665273eb62a18d2265a79d8dd4,,ctls,tradingview.deriv.com,cloudflare,443,https://tradingview.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,1254034660,2606:4700:10::6814:1732,HTTP/3,12,False,True,https://tradingview.deriv.com/,
webtrader.binary.com,Binary.com : Webtrader,200,10495,webtrader.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T02:08:14Z,2023-08-27T02:08:13Z,CN=webtrader.binary.com,webtrader.binary.com,,webtrader.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd019b51041d1ae0b2e29764a4758528,70d436172a20b4f35f4f40c1825193b76630e3425aca7ba8c74f94317997de53,,ctls,webtrader.binary.com,cloudflare,443,https://webtrader.binary.com:443,https,cloudflare,text/html,GET,104.20.23.50,/,-2049161112,2606:4700:10::6814:1732,HTTP/3,21,False,True,,
www.binary.com,Binary.com,200,4398,www.binary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T09:27:16Z,2023-09-02T09:27:15Z,CN=www.binary.com,www.binary.com,,www.binary.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a64d806447134f342b457b9cc4ea66f4,b032a813bcfefd4f9650d62559c7821239335a7eb47b218b5c003e46bf096589,,ctls,www.binary.com,cloudflare,443,https://www.binary.com:443,https,cloudflare,text/html,GET,104.20.22.50,/,-1719609912,2606:4700:10::6814:1732,HTTP/3,94,False,True,,
