input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,csp_domains_,final_url
cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44514,www.jsdelivr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-28T09:01:27Z,2023-08-26T09:01:26Z,CN=www.jsdelivr.com,www.jsdelivr.com,www.jsdelivr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4adafedd29a123e433475c0491a55fc6,9adb2ae78579d5e63d05d18879be86883edded049afe0b990dc7f15a31efb293,ctls,www.jsdelivr.com,fastly,443,https://cdn.jsdelivr.net:443,https,text/html,GET,151.101.129.229,/,-2029005286,2a04:4e42::485,55,False,True,,,cloudflare,HTTP/3,,https://www.jsdelivr.com
cdnjs.cloudflare.com,cdnjs.cloudflare.com,200,8867,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8789a4791c80fe9fc769847a7ba6e4b5,9454c62828b954228efbbb6b7e3865ae64ba54e5a4ccdd89936d068e2ac94dd3,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443,https,text/html,GET,104.17.25.14,/,2023033722,2606:4700::6811:190e,169,False,True,"Cloudflare, Inc.",True,cloudflare,HTTP/3,,
connect.facebook.net,Facebook - log in or sign up,200,59130,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-21T00:00:00Z,2023-06-19T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,b64826f108a6a1a9a074dcf35cb66f5e,7a1259e551742057976d51853f5557f12870ec5b6ad6bd070aeb9203a1196b22,ctls,m.facebook.com,,443,https://connect.facebook.net:443,https,text/html,GET,157.240.251.9,/,142313513,2a03:2880:f084:d:face:b00c:0:3,19,False,,"Meta Platforms, Inc.",True,,HTTP/3,www.instagram.com,https://m.facebook.com/?wtsid=rdr_0oJkWF92kl2OJzRdJ
cse.google.com,Programmable Search Engine by Google,200,25914,programmablesearchengine.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,445215b2dc12d0ce2131cae978248fc8,e85d3546a46216866031dae34478188a6c9627ed4593b8de4d4ed0e522d9382e,ctls,programmablesearchengine.google.com,,443,https://cse.google.com:443,https,text/html,GET,172.217.18.14,/,302920777,2a00:1450:4001:80b::200e,766,False,,,True,sffe,HTTP/3,https://csp.withgoogle.com/csp/prose-team,https://programmablesearchengine.google.com/about/
docs.google.com,Sign in - Google Accounts,200,581612,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:58:14Z,2023-08-11T12:58:13Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ff369160c1b08ab5af498e4f4e98fe26,79f39595064b99baceea57233f375b453f38650bebb325df53e61121c0d8971c,ctls,accounts.google.com,,443,https://docs.google.com:443,https,text/html,GET,142.250.185.110,/,-1752499564,2a00:1450:4001:810::200e,46,False,,,True,ESF,HTTP/3,,https://accounts.google.com/v3/signin/identifier?dsh=S-166814471%3A1686536408592148&continue=https%3A%2F%2Fdocs.google.com%2F&emr=1&ffgf=1&followup=https%3A%2F%2Fdocs.google.com%2F&ifkv=Af_xneHSRVkR6vx6aobKHOwrpimOyoZYTL7tUJzT2uHBJN6DsoB2s7s6EErAcPyAP-q3CsGhSftXBA&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
docs.sidefx.com,Documentation  | SideFX,200,46015,www.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,ctls,www.sidefx.com,,443,https://docs.sidefx.com:443,https,text/html,GET,206.223.178.168,/,-1758919653,206.223.178.168,1161,False,,Side Effects Software Inc.,True,nginx,Python,cdnjs.cloudflare.com,https://www.sidefx.com/docs/
download.sidefx.com,"Houdini - 3D modeling, animation, VFX, look development, lighting and rendering | SideFX",200,63467,www.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T14:43:50Z,2024-03-22T14:43:50Z,"CN=sidefx.com, O=Side Effects Software Inc., L=Toronto, ST=Ontario, C=CA",sidefx.com,www.sidefx.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e78093b0e2a22bfa3f145309dc6fda3c,93d3dbb5f14da322f5405ddb221f6f3a9b7954757f927eaed312cd8a1b82b794,ctls,www.sidefx.com,,443,https://download.sidefx.com:443,https,text/html,GET,206.223.178.168,/,1494302000,206.223.178.168,1546,False,,Side Effects Software Inc.,True,nginx,Python,www.googleapis.com,https://www.sidefx.com/
drive.sidefx.com,Sign in - Google Accounts,200,1459,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:58:13Z,2023-08-11T12:58:12Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a9b90802fa5b6e6c4195301909ae98ad,de323320be6ab0baf76489cc96737ba3816b45e3b0fedd1fd52322421615e027,ctls,www.google.com,,80,http://drive.sidefx.com:80,http,text/html,GET,142.250.186.51,/,1384641958,2a00:1450:4001:80b::2013,32,False,,,,GSE,OpenGSE,url=https://www.google.com/accounts/AccountChooser?hd=sidefx.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fsidefx.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fsidefx.com%2F&osid=1&service=wise&faa=1,https://www.google.com/a/sidefx.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/sidefx.com/&followup=https://drive.google.com/a/sidefx.com/&faa=1
email.mg.sidefx.com,,404,19,email.mg.sidefx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-15T12:35:34Z,2023-08-13T12:35:33Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d521a95085a59a97913c11bc27ceecb7,f34f45dc01014dac33aa79d159daa5448bc85b3632d23b8e9182639d28097120,ctls,email.mg.sidefx.com,google,443,https://email.mg.sidefx.com:443,https,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,2,False,True,,,,,,
fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,b5a3f1a6025d2831a2025cd1229f5eb1,f6b217e7058f30b38cd19c0de67bd0f1d0b366b2c020708621bee2781b99d2ff,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,text/html,GET,172.217.18.10,/,-606046040,2a00:1450:4001:80b::200a,1,False,,,True,ESF,HTTP/3,,
