input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,csp_domains_,final_url,tls_mismatched,tls_subject_org_
developer.lemlist.com,lemlist Developer Documentation,200,89989,developer.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T10:50:54Z,2023-10-03T10:50:53Z,CN=developer.lemlist.com,developer.lemlist.com,developer.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2b9a4c82b58c97b73fa7ecc43037485c,7983861ae0dfa48de64a3aea08e158f5b74c31d1ca769682145be6a56deffe9f,ctls,developer.lemlist.com,443,https://developer.lemlist.com:443,https,text/html,GET,185.199.111.153,/,1181440715,2606:50c0:8003::153,Varnish,1750,False,,,GitHub.com,,,,,
enter.staging.lemlist.com,,401,,enter.staging.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-07T11:39:16Z,2023-10-05T11:39:15Z,CN=enter.staging.lemlist.com,enter.staging.lemlist.com,enter.staging.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,227d91d2ab8be0aff162265fff1d45c2,0e9ab1695d853d38244c1b5eab00f16a70f3327b6cb97b7a78b1bfdfd1f5f4cd,ctls,enter.staging.lemlist.com,443,https://enter.staging.lemlist.com:443,https,,GET,141.94.218.125,/,-1840324437,2001:41d0:306:a7d::,HTTP/3,1,False,,,Caddy,,,,,
fr.lemlist.com,Your Go-To Cold Email Software & Outreach Automation Tool,200,109616,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T06:11:39Z,2023-08-11T06:11:38Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8cc64186a5b72318616976b15f7bab9d,379540edcb814e18237a0cf226f19c8ab5f15967e9f6f1af61cbbfe500177621,ctls,www.lemlist.com,443,https://fr.lemlist.com:443,https,text/html,GET,172.67.184.223,/,794944525,2606:4700:3036::6815:3871,Webflow,444,False,,cloudflare,,True,,https://www.lemlist.com/,,
help.lemlist.com,lemlist Help Center,200,92568,help.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,help.lemlist.com,443,https://help.lemlist.com:443,https,text/html,GET,172.67.184.223,/,-1840324437,2606:4700:3036::ac43:b8df,HTTP/3,26,False,True,cloudflare,cloudflare,True,https://app.eu.intercom.com,https://help.lemlist.com/en/,,
https://app.lemcal.com,lemcal,200,5308,app.lemcal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T08:54:48Z,2023-08-26T08:54:47Z,CN=lemcal.com,lemcal.com,*.lemcal.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,85fe388e68bc2b879a6550b0b07f0c16,13a4b2cc668ed1e7bbab464ca37070c9a708b12ee399c625903aa1d47ce07695,ctls,app.lemcal.com,443,https://app.lemcal.com:443,https,text/html,GET,172.67.172.131,/,-1840324437,2606:4700:3037::6815:1e52,Node.js,57,False,True,cloudflare,cloudflare,True,https://youtube.com,,,
https://app.lemgod.com,lemgod,200,5343,app.lemgod.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-26T01:40:12Z,2023-09-24T01:40:11Z,CN=app.lemgod.com,app.lemgod.com,app.lemgod.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0264865a180180fe9a3b43e28c35436,ff3acc174405b8fb4c79fd2ceec59a3e11378f846e39b1e715edaed83117b76d,ctls,app.lemgod.com,443,https://app.lemgod.com:443,https,text/html,GET,141.95.154.213,/,-1840324437,2001:41d0:306:10d5::,Node.js,57,False,,,Caddy,,https://*.driftt.com,,,
https://app.lemlist.com,lemlist,200,5309,app.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,app.lemlist.com,443,https://app.lemlist.com:443,https,text/html,GET,172.67.184.223,/,-1840324437,2606:4700:3036::6815:3871,Node.js,57,False,True,cloudflare,cloudflare,True,https://*.vimeo.com,,,
https://app.lemwarm.com,lemwarm,200,5309,app.lemwarm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T23:05:50Z,2023-08-29T23:05:49Z,CN=lemwarm.com,lemwarm.com,*.lemwarm.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,95a963c60c64424923d40edd6561d3cf,3b791c6d1b4758fb539ecbe4f869e583f06bf858e36587d555c5bb7e030fe67c,ctls,app.lemwarm.com,443,https://app.lemwarm.com:443,https,text/html,GET,188.114.97.3,/,-1840324437,2a06:98c1:3121::3,Node.js,57,False,True,cloudflare,cloudflare,True,https://*,,,
https://auth.lempire.com,lempire,200,5309,auth.lempire.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:41:44Z,2023-09-10T00:41:43Z,CN=auth.lempire.com,auth.lempire.com,auth.lempire.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,886523285c5662c41ed9498070166513,46cd12d0fa94876448a476107fc5d99fc07f5c003dafe76cff3b25252e365731,ctls,auth.lempire.com,443,https://auth.lempire.com:443,https,text/html,GET,147.135.229.201,/,-1840324437,147.135.229.201,Node.js,57,False,,,,,https://*.youtube.com,,,
https://calendly.com,Free Online Appointment Scheduling Software | Calendly,200,546948,calendly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=calendly.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",calendly.com,*.calendly.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6320e783275ce464631c9541b5a333d8,2d23a13235215c49a03fe38bb20f458487ebaa68a2e5eade5b3a9a0d24b55d5c,ctls,calendly.com,443,https://calendly.com:443,https,text/html,GET,172.66.43.26,/,-1159815694,2606:4700:3108::ac42:2b1a,webpack,999,False,True,cloudflare,cloudflare,True,,,,"Cloudflare, Inc."
https://cdn.matomo.cloud,,403,243,cdn.matomo.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-12-25T23:59:59Z,CN=cdn.matomo.cloud,cdn.matomo.cloud,cdn.innocraft.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f5bc9bee779365916882fb14d1442c93,2639dc983df094a6b8cdc3e33d453c1875a7e1cde7b05cf4d228fba80bcfc7d9,ctls,cdn.matomo.cloud,443,https://cdn.matomo.cloud:443,https,application/xml,GET,18.66.112.26,/,673623117,2600:9000:223f:200:c:7d55:b3c0:93a1,Amazon Web Services,2,False,,cloudfront,AmazonS3,True,,,,
https://intercom-sheets.com,Making Internet Business Personal | Intercom,200,937955,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,443,https://intercom-sheets.com:443,https,text/html,GET,54.82.208.139,/,-1840324437,107.23.65.63,Nginx,12,False,True,,nginx,,*.optimizely.com,https://www.intercom.com/,,
https://js.stripe.com,,404,56,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2023-08-13T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,4847f7c9065466a22f3357a84129e1f5,622f5ea9749dbd139aed865260e6acab8fbf2cc55fc04ec68bbb59c3b6d5fd8f,ctls,js.stripe.com,443,https://js.stripe.com:443,https,text/html,GET,146.75.116.176,/,-2142583789,146.75.116.176,Varnish,1,False,,fastly,Varnish,True,,,,"Stripe, Inc"
https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js,,200,367107,unpkg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,unpkg.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d2180f42b32f1bf55d39848509cb9549,f094d5991fd0980a4c88c972189e635efa57e3e063571796693a930c4d4e34e2,ctls,unpkg.com,443,https://unpkg.com:443/@lottiefiles/lottie-player@latest/dist/lottie-player.js,https,application/javascript,GET,104.16.126.175,/@lottiefiles/lottie-player@latest/dist/lottie-player.js,-1600385492,2606:4700::6810:7daf,HSTS,78,False,True,cloudflare,cloudflare,True,,https://unpkg.com/@lottiefiles/lottie-player@2.0.2/dist/lottie-player.js,,"Cloudflare, Inc."
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,text/html,GET,142.250.186.104,/,302920777,2a00:1450:4001:827::2008,HTTP/3,12,False,True,,Google Tag Manager,,,,True,
https://youtu.be,YouTube,200,286883,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,m.youtube.com,443,https://youtu.be:443,https,text/html,GET,142.250.186.174,/,1179099333,2a00:1450:4001:806::200e,HTTP/3,13,False,True,,ESF,,,https://m.youtube.com/?feature=youtu.be,True,
https://youtube.com,YouTube,200,283701,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,m.youtube.com,443,https://youtube.com:443,https,text/html,GET,172.217.18.110,/,1179099333,2a00:1450:4001:811::200e,HTTP/3,13,False,True,,ESF,,,https://m.youtube.com/,True,
https://zapier.com,Zapier | Automation that moves you forward,200,287078,zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,ctls,zapier.com,443,https://zapier.com:443,https,text/html,GET,18.66.122.35,/,-225847232,18.66.122.117,Vercel,330,False,True,cloudfront,Vercel,True,,,,
img.lemlist.com,lemlist,200,5316,img.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,img.lemlist.com,443,https://img.lemlist.com:443,https,text/html,GET,104.21.56.113,/,-1840324437,2606:4700:3036::ac43:b8df,Node.js,57,False,True,cloudflare,cloudflare,True,https://zapier.com,,,
lemlist.com,Your Go-To Cold Email Software & Outreach Automation Tool,200,109616,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T06:11:39Z,2023-08-11T06:11:38Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8cc64186a5b72318616976b15f7bab9d,379540edcb814e18237a0cf226f19c8ab5f15967e9f6f1af61cbbfe500177621,ctls,www.lemlist.com,443,https://lemlist.com:443,https,text/html,GET,99.83.190.102,/,-2121649096,75.2.70.75,Webflow,444,False,,,,,,https://www.lemlist.com/,,
links.emails.lemlist.com,Crisp - Email Domain,200,2710,go.crisp.chat,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-05-06T23:59:59Z,"CN=crisp.chat, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",crisp.chat,*.mail.support.crisp.chat,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",665fcae2d46e17f6be20ec8e31fa753e,a3a0b00de6c0a406f5edba9b741c8984c154d80ed221bc72cba9dc3e76b457dd,ctls,go.crisp.chat,443,https://links.emails.lemlist.com:443,https,text/html,GET,172.65.225.161,/,1494302000,2606:4700:90:0:c84b:ae46:715d:e545,HTTP/3,1,False,True,cloudflare,cloudflare,True,,https://go.crisp.chat/notice/domain-email/,,"Cloudflare, Inc."
lp.lemlist.com,lemlist ads,200,56065,lp.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T11:28:56Z,2023-08-31T11:28:55Z,CN=lp.lemlist.com,lp.lemlist.com,lp.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3827693aa15b2f69881d54c4241e3306,2a8afaed44b670639beac02d62db607884c1bc388edc964cad9d754c6dbd317a,ctls,lp.lemlist.com,443,https://lp.lemlist.com:443,https,text/html,GET,52.17.119.105,/,1602764457,63.35.51.142,Webflow,62,False,,,,,,,,
old-blog.lemlist.com,Domain error,200,1283,error.ghost.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-18T08:27:32Z,2023-09-16T08:27:31Z,CN=error.ghost.org,error.ghost.org,error.ghost.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e4c2e42d1ee4fb5acc42456568bbbcd5,cb782c301b1d53163ab37a5ee8dba132a5c90e0abf1933912d37b5879d96c9e5,ctls,error.ghost.org,443,https://old-blog.lemlist.com:443,https,text/html,GET,151.101.3.7,/,-12239749,2a04:4e42:600::775,Varnish,26,False,,fastly,GitHub.com,True,,https://error.ghost.org/,,
pages.lemlist.com,Custom domain check,200,390,pages.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T20:41:34Z,2023-09-02T20:41:33Z,CN=pages.lemlist.com,pages.lemlist.com,pages.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,99669bb366616c646e0dab924bc35359,e34ace13ba2530d8b80690b88e7e133cdfe6da9dc2e86f45eb3d04f7a617b466,ctls,pages.lemlist.com,443,https://pages.lemlist.com:443,https,text/html,GET,51.91.17.130,/,-1840324437,2001:41d0:303:af82::,HTTP/3,21,False,,,,,,,,
staging.lemlist.com,lemlist,200,4833,staging.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,staging.lemlist.com,443,https://staging.lemlist.com:443,https,text/html,GET,104.21.56.113,/,-1840324437,2606:4700:3036::ac43:b8df,Node.js,57,False,True,cloudflare,cloudflare,True,https://*.linkedin.com,,,
staging1.lemlist.com,lemlist,200,4930,staging1.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T04:39:21Z,2023-10-06T04:39:20Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,697a15015ce7a49d838e8e76bf16e358,4c3f65376c56aebbe3a50187f0bc6b5f90276987ecbf4ca8235c0c7488c38500,ctls,staging1.lemlist.com,443,https://staging1.lemlist.com:443,https,text/html,GET,172.67.184.223,/,-1840324437,2606:4700:3036::6815:3871,Node.js,70,False,True,cloudflare,cloudflare,True,https://*.google.com,,,
status.lemlist.com,System Status,200,2532,status.lemlist.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-27T17:17:20Z,2023-09-25T17:17:19Z,CN=status.lemlist.com,status.lemlist.com,status.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,de728d6d00813018161b7b57d9384096,3d2abad0ccc7385ae6248b51766fa14cd9ef1ab49c0f9610cd96246720562bfe,ctls,status.lemlist.com,443,https://status.lemlist.com:443,https,text/html,GET,157.230.18.40,/,-1234591541,157.230.18.40,OpenResty:1.15.8.2,1,False,,,openresty/1.15.8.2,,,,,
update.lemlist.com,lemlist 4.0 coming soon!,200,36796,update.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T15:14:22Z,2023-08-04T15:14:21Z,CN=update.lemlist.com,update.lemlist.com,update.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3c8bc550f02f2e863227d6de03b0887d,fb9a3b56a0c3c047b2564e8695875ea7e46047637c5556746b75dd198d92dda5,ctls,update.lemlist.com,443,https://update.lemlist.com:443,https,text/html,GET,63.35.51.142,/,1602764457,34.249.200.254,Webflow,43,False,,,,,,,,
www.lemlist.com,Your Go-To Cold Email Software & Outreach Automation Tool,200,109616,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T06:11:39Z,2023-08-11T06:11:38Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8cc64186a5b72318616976b15f7bab9d,379540edcb814e18237a0cf226f19c8ab5f15967e9f6f1af61cbbfe500177621,ctls,www.lemlist.com,443,https://www.lemlist.com:443,https,text/html,GET,63.35.51.142,/,-2121649096,34.249.200.254,Webflow,444,False,,,,,,,,
