input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_expired,final_url,csp_domains_
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,True,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.185.136,/,302920777,2a00:1450:4001:803::2008,12,False,,HTTP/3,,,,
*.pinimg.com,Pinterest,200,261242,www.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,www.pinterest.com,443,https://pinimg.com:443,https,,text/html,GET,151.101.0.84,/,1528355650,151.101.192.84,39,False,fastly,React,True,,https://www.pinterest.com/,https://*.daily.co
*.pinterest.com,Pinterest,200,260277,www.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,www.pinterest.com,443,https://pinterest.com:443,https,,text/html,GET,151.101.192.84,/,1528355650,151.101.0.84,39,False,fastly,React,True,,https://www.pinterest.com/,js-sandbox.dlocal.com
*.tvpixel.com,Squarespace - Domain Not Claimed,404,3054,tvpixel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-01T00:00:00Z,2024-02-29T23:59:59Z,"CN=*.squarespace.com, O=Squarespace\, Inc., L=New York, ST=New York, C=US",*.squarespace.com,"Squarespace, Inc.",engage.squarespace-mail.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1857981f6632b5aae8f5a82f72249b2e,b71e1567892a49c81404008fbfe4bab7f7c23428d3c2bdb2367541bd7d93b5cf,True,ctls,tvpixel.com,443,https://tvpixel.com:443,https,Squarespace,text/html,GET,198.49.23.144,/,-342703433,198.185.159.144,51,False,,Squarespace Commerce,,,,
*.youtube.com,YouTube,200,283088,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,m.youtube.com,443,https://youtube.com:443,https,ESF,text/html,GET,142.250.185.174,/,1179099333,2a00:1450:4001:82b::200e,13,False,,HTTP/3,,,https://m.youtube.com/,
2-01-37d2-0018.cdx.cedexis.net,Invalid URL,400,209,2-01-37d2-0018.cdx.cedexis.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,2-01-37d2-0018.cdx.cedexis.net,443,https://2-01-37d2-0018.cdx.cedexis.net:443,https,AkamaiGHost,text/html,GET,2.19.224.184,/,828973785,2.19.224.184,8,False,,,,,,
271-dco-vc3-nsabb.testing.pinterest.com,,404,,271-dco-vc3-nsabb.testing.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,271-dco-vc3-nsabb.testing.pinterest.com,443,https://271-dco-vc3-nsabb.testing.pinterest.com:443,https,,,GET,151.101.0.84,/,-1840324437,151.101.192.84,1,False,fastly,HTTP/3,True,,,
about.pinterest.com,All about Pinterest | Pinterest help,200,50598,help.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,help.pinterest.com,443,https://about.pinterest.com:443,https,,text/html,GET,151.101.0.84,/,-1360894794,151.101.192.84,644,False,fastly,Platform.sh,True,,https://help.pinterest.com/en/guide/all-about-pinterest,https://*.pinterest.com
accounts-oauth.pinterest.com,Pinterest,200,260487,accounts-oauth.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,accounts-oauth.pinterest.com,443,https://accounts-oauth.pinterest.com:443,https,,text/html,GET,104.75.88.209,/,1528355650,104.75.88.209,39,False,,React,,,,www.gstatic.com/recaptcha/
accounts.google.com,Sign in - Google Accounts,200,584197,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,True,ctls,accounts.google.com,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.186.77,/,708578229,2a00:1450:4001:82a::200d,76,False,,HTTP/3,,,https://accounts.google.com/v3/signin/identifier?dsh=S1275245333%3A1689562350766227&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=AeDOFXhrRkt25__WWA1W7TNHJ90HWTNUa54SAJP3HuU0aRxsYv2S2sLJ3Hsw1LE4TN2GoEtU1qngTQ&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,
adminapp.pinterest.com,,404,,adminapp.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,adminapp.pinterest.com,443,https://adminapp.pinterest.com:443,https,,,GET,72.246.168.198,/,-1840324437,72.246.168.198,1,False,,HSTS,,,,
ads-dev.pinterest.com,Fastly error: unknown domain ads-dev.pinterest.com,500,270,ads-dev.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,ads-dev.pinterest.com,443,https://ads-dev.pinterest.com:443,https,Varnish,text/html,GET,151.101.0.84,/,-200812726,151.101.192.84,8,False,fastly,Varnish,True,,,
ads-latest.pinterest.com,,404,,ads-latest.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,ads-latest.pinterest.com,443,https://ads-latest.pinterest.com:443,https,,,GET,151.101.0.84,/,-1840324437,151.101.192.84,1,False,fastly,HTTP/3,True,,,
ads-staging.pinterest.com,,404,,ads-staging.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,ads-staging.pinterest.com,443,https://ads-staging.pinterest.com:443,https,,,GET,104.75.88.209,/,-1840324437,104.75.88.209,1,False,,HSTS,,,,
ads-test.pinterest.com,,404,,ads-test.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,ads-test.pinterest.com,443,https://ads-test.pinterest.com:443,https,,,GET,104.75.88.209,/,-1840324437,104.75.88.209,1,False,,HSTS,,,,
ads.pinterest.com,Pinterest Ads,200,97445,ads.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,ads.pinterest.com,443,https://ads.pinterest.com:443,https,,text/html,GET,184.30.16.191,/,1156437203,184.30.16.191,1,False,,React,,,,bid.g.doubleclick.net
advertising-delivery-metric-reports.s3.amazonaws.com,,403,243,advertising-delivery-metric-reports.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,True,ctls,advertising-delivery-metric-reports.s3.amazonaws.com,443,https://advertising-delivery-metric-reports.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.217.103.116,/,-1232548143,54.231.170.225,2,False,,Amazon Web Services,,,,
advertising-delivery-metric-reports.s3.us-east-1.amazonaws.com,,403,243,advertising-delivery-metric-reports.s3.us-east-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,advertising-delivery-metric-reports.s3.us-east-1.amazonaws.com,443,https://advertising-delivery-metric-reports.s3.us-east-1.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.217.92.16,/,-971631230,52.217.106.40,2,False,,Amazon Web Services,,,,
af01p-ir-app05.testing.pinterest.com,,404,,af01p-ir-app05.testing.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,af01p-ir-app05.testing.pinterest.com,443,https://af01p-ir-app05.testing.pinterest.com:443,https,,,GET,2.19.224.184,/,-1840324437,2.19.224.184,1,False,,HSTS,,,,
alpha-help.pinterest.com,,403,,alpha-help.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,alpha-help.pinterest.com,443,https://alpha-help.pinterest.com:443,https,,,GET,151.101.0.84,/,-1840324437,151.101.192.84,1,False,fastly,,True,,,
amp.pinterest.com,Pinterest,200,260208,amp.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,amp.pinterest.com,443,https://amp.pinterest.com:443,https,,text/html,GET,104.75.88.209,/,1528355650,104.75.88.209,39,False,,React,,,,px.ads.linkedin.com
analytics-staging.pinterest.com,,404,,analytics-staging.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,analytics-staging.pinterest.com,443,https://analytics-staging.pinterest.com:443,https,,,GET,146.75.116.84,/,-1840324437,146.75.116.84,1,False,fastly,HTTP/3,True,,,
anket.pinterest.com,Pinterest,200,260878,www.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,www.pinterest.com,443,https://anket.pinterest.com:443,https,,text/html,GET,151.101.0.84,/,529025371,151.101.192.84,39,False,fastly,React,True,,https://www.pinterest.com/,pinterest-uk.admo.tv
api-canary.pinterest.com,,404,97,api-canary.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,api-canary.pinterest.com,443,https://api-canary.pinterest.com:443,https,,application/json,GET,151.101.0.84,/,-1840324437,151.101.192.84,1,False,fastly,HTTP/3,True,,,
api-latest.pinterest.com,,404,97,api-latest.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,"Pinterest, Inc.",*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,api-latest.pinterest.com,443,https://api-latest.pinterest.com:443,https,,application/json,GET,151.101.0.84,/,-1141253314,151.101.192.84,1,False,fastly,HTTP/3,True,,,
