input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_mismatched,tls_wildcard_certificate,csp_domains_,final_url,webserver,favicon,tls_subject_org_
auth.oda.com,Page not found!,404,887,auth.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2024-12-22T22:19:26Z,2025-03-22T22:19:25Z,CN=auth.oda.com,auth.oda.com,auth.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,45cb2293bb48814ed76ec9ddb479c19f,efe5d3af58d7152205c53ea48bbc98acef873ebf724097e6a1b95f0e27b64665,ctls,auth.oda.com,google,443,https://auth.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,,,,,,,
bounce.oda.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://bounce.oda.com,http,text/html,GET,18.66.147.79,/,/favicon.ico,18.66.147.18,Amazon Web Services,20,False,True,error,0,,,,,CloudFront,,
brand-dna.oda.com,Login - Mathem,200,14749,brand.oda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2025-01-20T00:00:00Z,2026-02-19T23:59:59Z,CN=brand.oda.com,brand.oda.com,brand.oda.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,f8e2bcba49f56747877bf26512a0a9a5,4da25f031c19386503f6791b403fb974734e7e84f4fe5a51246439b3a5a43b23,ctls,brand.oda.com,,443,https://brand-dna.oda.com,https,text/html,GET,3.127.177.184,/,/s3/frontify-enterprise-files-eu/eyJwYXRoIjoib2RhXC9maWxlXC9YVVNEUTJVajlWY2d5WHVHZDZuZi5wbmcifQ:oda:uqbNkaU8_3_kE9IOq4DoV1hyO1YSMzZiCrF-8xZHq8Q,3.123.184.42,PHP,134,False,,error,0,,,,https://brand.oda.com/auth/?referer=%2F,frontify,-1769280936,
brand.oda.com,Login - Mathem,200,14749,brand.oda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2025-01-20T00:00:00Z,2026-02-19T23:59:59Z,CN=brand.oda.com,brand.oda.com,brand.oda.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,f8e2bcba49f56747877bf26512a0a9a5,4da25f031c19386503f6791b403fb974734e7e84f4fe5a51246439b3a5a43b23,ctls,brand.oda.com,,443,https://brand.oda.com,https,text/html,GET,18.158.155.151,/,/s3/frontify-enterprise-files-eu/eyJwYXRoIjoib2RhXC9maWxlXC9YVVNEUTJVajlWY2d5WHVHZDZuZi5wbmcifQ:oda:uqbNkaU8_3_kE9IOq4DoV1hyO1YSMzZiCrF-8xZHq8Q,3.123.184.42,PHP,134,False,,error,0,,,,https://brand.oda.com/auth/?referer=%2F,frontify,-1769280936,
camino-no.oda.com,Authentication - Login portal,200,2430,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://camino-no.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,*.ingest.sentry.io,https://login.prod.nube.tech/authentication/?rd=https://camino-no.oda.com%2F,,,
camino-se.oda.com,Authentication - Login portal,200,2430,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://camino-se.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,cdn.jsdelivr.net,https://login.prod.nube.tech/authentication/?rd=https://camino-se.oda.com%2F,,,
camino.oda.com,Page not found!,404,887,camino.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-05T19:39:32Z,2025-04-05T19:39:31Z,CN=prod.nube.tech,prod.nube.tech,prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,382886d565dfa6dbf65b7e25f5581942,0ebd7019185bab08757d7bb7aabda45b9f01ce1b7d78c23cd0e582dcb2238a02,ctls,camino.oda.com,google,443,https://camino.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,49,False,True,nonerror,0,True,True,,,,,
careers.oda.com,Welcome to Oda  - Oda,200,64574,careers.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2024-12-20T10:57:26Z,2025-03-20T10:57:25Z,CN=careers.oda.com,careers.oda.com,careers.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,17b23a2a25d266d266766e74f1b3e7b2,b6d137dae5abb2d9e3c68e4b0a33ac3f975d7369ddee68f48d27932e5472968d,ctls,careers.oda.com,,443,https://careers.oda.com,https,text/html,GET,206.189.107.139,/,/favicon.ico,188.166.51.8,Varnish,707,False,,other,0,,,app.teamtailor.com,,,2024943077,
cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,46813,www.jsdelivr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2025-01-08T01:15:52Z,2025-04-08T01:15:51Z,CN=www.jsdelivr.com,www.jsdelivr.com,www.jsdelivr.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,48acc52b7781a2b27c69c1bd46746683,79bd0b342d86f79b49f314c1e07576d798f070038c5f2df3ff1a63908e38e4ea,ctls,www.jsdelivr.com,fastly,443,https://cdn.jsdelivr.net,https,text/html,GET,151.101.129.229,/,/favicon.ico,2a04:4e42::485,Render,55,False,True,other,0,,,,https://www.jsdelivr.com,cloudflare,-2029005286,
comida-no.oda.com,Authentication - Login portal,200,2430,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://comida-no.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,cdn.jsdelivr.net,https://login.prod.nube.tech/authentication/?rd=https://comida-no.oda.com%2F,,,
core.looker.oda.com,Log in,200,644700,core.looker.oda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2024-12-30T05:15:59Z,2025-03-30T06:10:14Z,CN=7854b5a8-a35e-444c-9424-a15a04f63a01.looker.app,7854b5a8-a35e-444c-9424-a15a04f63a01.looker.app,7854b5a8-a35e-444c-9424-a15a04f63a01.looker.app,"CN=WR3, O=Google Trust Services, C=US",WR3,Google Trust Services,69d43285cb8c4cdc69ace160a5cfefca,c908eec1ddb4198a8cffd99a12cbbcec9c13fd9c28800b8f4cdcb03d4ed7957f,ctls,core.looker.oda.com,google,443,https://core.looker.oda.com,https,text/html,GET,34.95.87.92,/,/images/favicon.ico,34.95.87.92,Zipkin,409,False,True,nonerror,0,True,,https://csp.withgoogle.com/csp/looker/v1,https://core.looker.oda.com/login,istio-envoy,-1205838683,
data-university.oda.com,Quip,200,24974,oda.quip.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2024-12-01T00:00:00Z,2025-12-30T23:59:59Z,CN=quip.com,quip.com,*.quip.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,2548c15cfa1f49f0e89375ca2359d8ec,4bac9d5c97b6d8b943e81bef28c0ecf392c7ddf4dea57b71b701de5e1b646b46,ctls,oda.quip.com,google,443,https://data-university.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,Nginx,129,False,True,nonerror,0,,True,https://ssl.google-analytics.com,https://oda.quip.com/account/login?next=https%3A%2F%2Foda.quip.com%2FKaNCO9Fum2rk%2FData-University-Documentation&permalink=XAdAOAvQtDJ&secret_path=KaNCO9Fum2rk,nginx,,
django-ninja.dev,Django Ninja,200,43968,django-ninja.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,,2025-01-02T11:29:08Z,2025-04-02T12:27:04Z,CN=django-ninja.dev,django-ninja.dev,*.django-ninja.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,5eac64378a18589f9f219f7b2384607e,0bb40a4a4be4891354810bd5b7634b4fcf7f07c9e36ad5279aec31ceaa215f32,ctls,django-ninja.dev,cloudflare,443,https://django-ninja.dev,https,text/html,GET,104.21.75.106,/,/img/favicon.png,2606:4700:3031::6815:4b6a,Python,1806,False,True,other,0,,True,,,cloudflare,1285820488,
fabrica.oda.com,,200,4838,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://fabrica.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,HSTS,18,False,True,nonerror,0,,,https:,https://login.prod.nube.tech/saml2/login/?rd=https://fabrica.oda.com%2Fdocs%2F,,,
hamon.oda.com,Authentication - Login portal,200,2426,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://hamon.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,cdn.jsdelivr.net,https://login.prod.nube.tech/authentication/?rd=https://hamon.oda.com%2F,,,
handbook.oda.com,Employee Handbook,200,178585,sites.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2025-01-27T08:35:36Z,2025-04-21T08:35:35Z,CN=*.google.com,*.google.com,*.developers.google.cn,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,2d4be8c378e3011e2e4d07392b9dc2d9,e5f128dd590140b99c51dd70fc6eab89dce8b60d54f1a0c273694c890035982b,ctls,sites.google.com,google,443,https://handbook.oda.com,https,text/html,GET,34.91.83.136,/,/atari/images/public/favicon.ico,34.91.83.136,HTTP/3,27,False,True,other,0,,True,https://google-admin.corp.google.com/,https://sites.google.com/oda.com/oda-employee-handbook,ESF,875286557,
hjelp.oda.com,Oda Norway,200,39225,hjelp.oda.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2024-12-21T02:05:17Z,2025-03-21T02:05:16Z,CN=hjelp.oda.com,hjelp.oda.com,hjelp.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,e47caa95922850efdebdcb509f752588,b50db6514b94665052ddff0ad53e0926524490189d005a67284df53d537896b8,ctls,hjelp.oda.com,,443,https://hjelp.oda.com,https,text/html,GET,54.157.241.171,/,/static/img/favicon.1419f8a63b49.png,34.224.144.42,OpenResty,169,False,,other,0,,,,https://hjelp.oda.com/nn,openresty,-1845882108,
id.oda.com,Oda Group Services AS - Sign In,200,33688,oda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,oda.okta.com,google,443,https://id.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,Nginx,220,False,True,nonerror,0,,True,http://localhost:65151,https://oda.okta.com/app/google/exk4fu3rvoDbRD3XN417/sso/saml?SAMLRequest=fVLLTsMwELwj8Q%2BW70maIgSymqACQlTiEbWBAzfX2SYutjd4nRb%2BnjQFARJws8bjeax3cvZqDduAJ40u42k84gycwkq7OuMP5VV0ys%2Fyw4MJSWtaMe1C4%2Bbw0gEF1r90JIaLjHfeCZSkSThpgURQYjG9vRHjeCRajwEVGs5mlxmXa2fbJbaNMrZdP9eyMqY1qwbX1jTrZ%2B0aW1uEJWePn7HGu1gzog5mjoJ0oYdG4%2BNoNI7SozI9FemJSNMnzooPp3Pt9g3%2Bi7Xck0hcl2URFfeLchDY6Ar8Xc%2FOeI1YG4gV2p19IYn0podX0hBwNiUCH%2FqAF%2Bios%2BAX4DdawcP8JuNNCC2JJNlut%2FGXTCITrOT%2BpIjnw1jF0Mx%2Fm%2Bf%2FueWnL89%2FU54k30Tzj4%2Fb9ZldFmi0emNTY3B74UGGvkzwXd%2FlCr2V4W%2FfNE4HRFfRaqCKzlELSq80VJwl%2Bd7154b0e%2FMO&RelayState=https%3A%2F%2Faccounts.google.com%2FCheckCookie%3Fcontinue%3Dhttps%253A%252F%252Faccounts.google.com%252Fo%252Foauth2%252Fv2%252Fauth%253Fresponse_type%253Dcode%2526client_id%253D51988899082-uu4kutopptcmk76ljkarou248cuu13hr.apps.googleusercontent.com%2526redirect_uri%253Dhttps%25253A%25252F%25252Fauth.oda.com%25252Fsignin%25252Fcallback%2526scope%253Dopenid%252Bemail%252Bprofile%2526state%253DeyJyYW5kb20iOjUwNSwidXJsIjoiaHR0cHM6Ly9pZC5vZGEuY29tLyJ9.A4TqfcXyGYnprrRYqSpB2cKL7RM%2526hd%253Doda.com%2526access_type%253Doffline%2526prompt%253Dconsent%2526nonce%253DVIzgU7ka3WqJ9kzjJyzz%2526authuser%253Dunknown%26client_id%3D51988899082-uu4kutopptcmk76ljkarou248cuu13hr.apps.googleusercontent.com%26redirect_uri%3Dhttps%253A%252F%252Fauth.oda.com%252Fsignin%252Fcallback%26scope%3Dopenid%2Bemail%2Bprofile,nginx,,"Okta, Inc."
interno.oda.com,Oda Group Services AS - Sign In,200,33666,oda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,oda.okta.com,google,443,https://interno.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,Nginx,220,False,True,nonerror,0,,True,pendo-static-5391521872216064.storage.googleapis.com,https://oda.okta.com/app/google/exk4fu3rvoDbRD3XN417/sso/saml?SAMLRequest=fVJNT%2BMwEL0j7X%2BwfE%2FSFKFFVhNUQIhKLEQ07IGb40xTs%2FbY63Fa%2BPekaRGstPRmPT%2B%2Fj%2FHMLl6tYRsIpB0WPE8nnAEq12rsCv5U3yTn%2FKL8cTIjaY0X8z6u8RH%2B9kCRDS%2BRxHhR8D6gcJI0CZQWSEQllvNfd2KaToQPLjrlDGeL64IDNp0H2fgVojed%2FYOqa1rvX1RjEayEdfvSOLXm7PdHrOku1oKohwVSlBgHaDI9SybTJD%2Bt83OR%2FxR5%2FsxZdXC61LhvcCxWsyeRuK3rKqkelvUosNEthPuBXfDOuc5Aqpzd2VeSSG8GeCUNAWdzIghxCHjlkHoLYQlhoxU8Pd4VfB2jJ5Fl2%2B02%2FZTJZOZauT8p4uU4VjE2C1%2FmeTy3%2FPDl5f%2BUZ9kX0fLwcbs%2Bi%2BvKGa3e2NwYt70KIONQJoZ%2B6HLjgpXxe988zUdEt8lqpIoeyYPSKw0tZ1m5d%2F13Q4a9eQc%3D&RelayState=https%3A%2F%2Faccounts.google.com%2FCheckCookie%3Fcontinue%3Dhttps%253A%252F%252Faccounts.google.com%252Fo%252Foauth2%252Fv2%252Fauth%253Fresponse_type%253Dcode%2526client_id%253D51988899082-uu4kutopptcmk76ljkarou248cuu13hr.apps.googleusercontent.com%2526redirect_uri%253Dhttps%25253A%25252F%25252Fauth.oda.com%25252Fsignin%25252Fcallback%2526scope%253Dopenid%252Bemail%252Bprofile%2526state%253DeyJyYW5kb20iOjEzNiwidXJsIjoiaHR0cHM6Ly9pbnRlcm5vLm9kYS5jb20vIn0._4wMMN0Kg6oNEqTRYhpY5N_ZKLM%2526hd%253Doda.com%2526access_type%253Doffline%2526prompt%253Dconsent%2526nonce%253D3ZCP3PRAz3dXLM7lh56U%2526authuser%253Dunknown%26client_id%3D51988899082-uu4kutopptcmk76ljkarou248cuu13hr.apps.googleusercontent.com%26redirect_uri%3Dhttps%253A%252F%252Fauth.oda.com%252Fsignin%252Fcallback%26scope%3Dopenid%2Bemail%2Bprofile,nginx,,"Okta, Inc."
jobs.oda.com,Welcome to Oda  - Oda,200,64574,careers.oda.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2024-12-20T10:57:26Z,2025-03-20T10:57:25Z,CN=careers.oda.com,careers.oda.com,careers.oda.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,17b23a2a25d266d266766e74f1b3e7b2,b6d137dae5abb2d9e3c68e4b0a33ac3f975d7369ddee68f48d27932e5472968d,ctls,careers.oda.com,google,443,https://jobs.oda.com,https,text/html,GET,34.91.83.136,/,/favicon.ico,34.91.83.136,Varnish,707,False,True,other,0,,,app.teamtailor.com,https://careers.oda.com/,,2024943077,
kolibri.oda.com,Sign in — Supernova.io,200,3330,auth.supernova.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2024-12-28T00:00:00Z,2026-01-25T23:59:59Z,CN=supernova.io,supernova.io,*.supernova.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,882a1d2a3827ef716cb7f33e467e4950,b080eda299f151c3bfd70a2a76dd50840d150c982fca440e954910c30ba68ded,ctls,auth.supernova.io,,443,https://kolibri.oda.com,https,text/html,GET,34.246.128.183,/,/general/images/png/favicon_32.png,34.246.128.183,HSTS,75,False,,nonerror,0,,True,https://*.analytics.google.com,https://auth.supernova.io/login?response_type=code&redirect_uri=https%3A%2F%2Fdefault.supernova-docs.io%2Fauth%2Fcallback&state=db86fc97-a62d-458c-b8f4-85ce493fae36&code_challenge_method=S256&code_challenge=dDsLxzhQ2E4Jidg6U8iMcFoRL1jovqd0pjX3NXF8lCI&email_hint=&email_readonly=false,,724967506,
lama.oda.com,Authentication - Login portal,200,2404,login.prod.nube.tech,443,True,tls13,TLS_AES_256_GCM_SHA384,,2025-01-01T06:16:46Z,2025-04-01T06:16:45Z,CN=login.prod.nube.tech,login.prod.nube.tech,login.prod.nube.tech,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,4fd85cb025a9ed624df143989d51beb3,011ee73be35627ce0260a589fda5a831d1d35b6137fa10960163f094fc546db1,ctls,login.prod.nube.tech,google,443,https://lama.oda.com,https,text/html,GET,34.91.83.136,/,/static/icon-16x16.png,34.91.83.136,HSTS,50,False,True,other,0,,,cdn.jsdelivr.net,https://login.prod.nube.tech/authentication/?rd=https://lama.oda.com%2F,,,
