input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_expired,csp_domains_,tls_mismatched,tls_subject_org_,final_url
api-auth-loanplatform-staging.mab.co.id,403,403,134,api-auth-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-auth-loanplatform-staging.mab.co.id,google,443,https://api-auth-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-auth-loanplatform.findaya.co.id,403,403,134,api-auth-loanplatform.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T06:26:48Z,2023-08-03T07:17:20Z,CN=api-ams-loanplatform.findaya.co.id,api-ams-loanplatform.findaya.co.id,api-dcs-loanplatform.findaya.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,2be2876affce5f8e926c0860b4c24f78,b1f2050276503acd363edbbe38e72feff6365f31cf1c1c7f7f75ad5a385c58c6,,ctls,api-auth-loanplatform.findaya.co.id,google,443,https://api-auth-loanplatform.findaya.co.id:443,https,text/html,GET,35.219.92.155,/,1723221432,35.219.92.155,HTTP/3,1,False,True,,,,,,
api-auth-loanplatform.mab.co.id,403,403,134,api-auth-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-auth-loanplatform.mab.co.id,google,443,https://api-auth-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-bcn-loanplatform-staging.mab.co.id,403,403,134,api-bcn-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-bcn-loanplatform-staging.mab.co.id,google,443,https://api-bcn-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-bcn-loanplatform.mab.co.id,403,403,134,api-bcn-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-bcn-loanplatform.mab.co.id,google,443,https://api-bcn-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-boss-loanplatform-staging.mab.co.id,403,403,134,api-boss-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-boss-loanplatform-staging.mab.co.id,google,443,https://api-boss-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-boss-loanplatform.mab.co.id,403,403,134,api-boss-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-boss-loanplatform.mab.co.id,google,443,https://api-boss-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-cpe-loanplatform-staging.mab.co.id,403,403,134,api-cpe-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-cpe-loanplatform-staging.mab.co.id,google,443,https://api-cpe-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-cpe-loanplatform.mab.co.id,403,403,134,api-cpe-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-cpe-loanplatform.mab.co.id,google,443,https://api-cpe-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-crs-loanplatform-staging.mab.co.id,403,403,134,api-crs-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-crs-loanplatform-staging.mab.co.id,google,443,https://api-crs-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-crs-loanplatform.mab.co.id,403,403,134,api-crs-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-crs-loanplatform.mab.co.id,google,443,https://api-crs-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-dcs-loanplatform-staging.mab.co.id,403,403,134,api-dcs-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-dcs-loanplatform-staging.mab.co.id,google,443,https://api-dcs-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-dcs-loanplatform.mab.co.id,403,403,134,api-dcs-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-dcs-loanplatform.mab.co.id,google,443,https://api-dcs-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-foa-loanplatform-staging.mab.co.id,403,403,134,api-foa-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-foa-loanplatform-staging.mab.co.id,google,443,https://api-foa-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-gocollect-staging.mab.co.id,403,403,134,api-gocollect-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-gocollect-staging.mab.co.id,google,443,https://api-gocollect-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-gocollect.mab.co.id,403,403,134,api-gocollect.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-gocollect.mab.co.id,google,443,https://api-gocollect.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-kafka-proxy-loanplatform-staging.mab.co.id,403,403,134,api-kafka-proxy-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T06:05:32Z,2023-06-24T06:56:45Z,CN=api-kafka-proxy-loanplatform-staging.mab.co.id,api-kafka-proxy-loanplatform-staging.mab.co.id,api-timer-loanplatform-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,611c6329d680c5dd182bba1574c18591,9773a15c89393865375593656d719888e374228071a5aad94b587498ae170c76,,ctls,api-kafka-proxy-loanplatform-staging.mab.co.id,google,443,https://api-kafka-proxy-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-lender-loanplatform-staging.mab.co.id,403,403,134,api-lender-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-lender-loanplatform-staging.mab.co.id,google,443,https://api-lender-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-loanplatform-staging.findaya.co.id,403,403,134,api-loanplatform-staging.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T09:08:20Z,2023-06-25T09:08:19Z,CN=*.findaya.co.id,*.findaya.co.id,*.findaya.co.id,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c4249b47a60b41860009c316f170fe80,126c0eecc13f2095e8b0be6fbf1d83c9dc711568d2939a7e103c0fe573da2d6f,True,ctls,api-loanplatform-staging.findaya.co.id,google,443,https://api-loanplatform-staging.findaya.co.id:443,https,text/html,GET,35.219.58.136,/,1723221432,34.102.196.85,HTTP/3,1,False,True,,,,,,
api-los-loanplatform-staging.mab.co.id,403,403,134,api-los-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-los-loanplatform-staging.mab.co.id,google,443,https://api-los-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-los-loanplatform.mab.co.id,403,403,134,api-los-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-los-loanplatform.mab.co.id,google,443,https://api-los-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-lss-loanplatform-staging.mab.co.id,403,403,134,api-lss-loanplatform-staging.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T19:25:15Z,2023-07-19T20:16:05Z,CN=api-gocollect-staging.mab.co.id,api-gocollect-staging.mab.co.id,portal-gocollect-staging.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,5e8a59b1c3c5e06175a3cc8f73ffd358,c8e69bd3f7a7a0b4452198d4b55c21b45a093da8e7f6a5e10cf8cd6dd3b6e6ef,,ctls,api-lss-loanplatform-staging.mab.co.id,google,443,https://api-lss-loanplatform-staging.mab.co.id:443,https,text/html,GET,35.219.45.95,/,1723221432,35.219.45.95,HTTP/3,1,False,True,,,,,,
api-lss-loanplatform.mab.co.id,403,403,134,api-lss-loanplatform.mab.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T06:42:44Z,2023-07-11T07:32:53Z,CN=api-auditservice-loanplatform.mab.co.id,api-auditservice-loanplatform.mab.co.id,portal-lender-experience.mab.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9ba480ba29d614d40a6165ded91430a1,19b5e0e71e6308e8440c9e66d160796b9f91a9c9e1753e29308224085206c3cd,,ctls,api-lss-loanplatform.mab.co.id,google,443,https://api-lss-loanplatform.mab.co.id:443,https,text/html,GET,35.219.2.102,/,1723221432,35.219.2.102,HTTP/3,1,False,True,,,,,,
api-merchants-staging.findaya.co.id,403,403,134,api-merchants-staging.findaya.co.id,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T21:52:58Z,2023-08-12T22:45:52Z,CN=api-merchants-staging.findaya.co.id,api-merchants-staging.findaya.co.id,api-merchants-staging.findaya.co.id,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,1de8d306875c5c3e2b99b174cb65ac12,b90cc89cfb37ea95572e73c61c490ac9ac01b879b5b77ad01ca7853ad6302909,,ctls,api-merchants-staging.findaya.co.id,google,443,https://api-merchants-staging.findaya.co.id:443,https,text/html,GET,35.241.12.116,/,1723221432,35.241.12.116,HTTP/3,1,False,True,,,,,,
