new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,caa,has_internal_ips,internal_ips,txt,mx
[x],artifactory-dev.trellix.com,"10.40.42.54, 10.40.42.95",a2bc65f51b4b149d1a44db6f7b727c00-dde010a12b0b47aa.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1283.awsdns-32.org, ns-1870.awsdns-41.co.uk, ns-424.awsdns-53.com, ns-748.awsdns-29.net",,,True,"10.40.42.54, 10.40.42.95",,
[x],artifactory-stage.trellix.com,"10.40.42.125, 10.40.42.6",ae23505db2e7147728cbc24637fe0999-3c7bbb50f4efdbba.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.40.42.125, 10.40.42.6",,
[x],artifactory.trellix.com,"10.40.6.239, 10.40.7.138",a58c1baa2ae1444888d111050d0bc10c-f8f12d94fa8939af.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.40.6.239, 10.40.7.138",,
[x],atlas.trellix.com,52.39.221.61,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,,,
[x],auth.ui.trellix.com,"18.66.122.56, 18.66.122.93, 18.66.122.70, 18.66.122.112",,"ns-1072.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1677.awsdns-17.co.uk, ns-691.awsdns-22.net, ns-469.awsdns-58.com, ns-1072.awsdns-06.org",,,,,,
[x],autodiscover.trellix.com,"52.98.243.40, 52.98.171.232, 52.98.243.24, 52.97.135.104","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"2603:1026:c0d:c2d::8, 2603:1026:c0d:82c::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:828::8",,,,,
[x],awseastvpn1.trellix.com,103.245.47.150,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],awswestvpn1.trellix.com,35.81.178.15,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],b2b-download.trellix.com,"2.23.209.49, 2.23.209.22","b2b-download.trellix.com.edgekey.net, e102576.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2a02:26f0:480:25::1726:6215, 2a02:26f0:480:25::1726:6207",,,,,
[x],b2bintegration.qa.trellix.com,136.179.57.121,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],b2bintegration.trellix.com,136.179.57.114,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],banvpn1.trellix.com,103.245.47.188,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],banvpn2.trellix.com,103.245.47.189,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bps-rdp.manage.trellix.com,"54.218.132.160, 44.239.4.96",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bps-scsp.manage.trellix.com,"54.69.130.184, 52.33.251.125",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bps.provisioning.staging.insights.trellix.com,"52.13.168.74, 52.27.203.71, 44.239.208.107",d-zikywz5wg9.execute-api.us-west-2.amazonaws.com,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bpsapis.beta.manage.trellix.com,"34.209.35.127, 52.33.2.139",,"ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bpsapis.manage.trellix.com,"52.33.251.125, 54.69.130.184",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ca.etp.trellix.com,"172.64.153.45, 104.18.34.211",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700:4400::6812:22d3, 2606:4700:4400::ac40:992d",,,,,
[x],careers.skyhighsecurity.com,104.196.41.249,skyhigh1.wpengine.com,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],careers.trellix.com,34.72.200.244,trellix.wpengine.com,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],cdn-usw001.manage.trellix.com,"18.66.97.89, 18.66.97.85, 18.66.97.8, 18.66.97.90",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cdn-usw002.manage.trellix.com,"18.66.147.49, 18.66.147.67, 18.66.147.97, 18.66.147.37",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cdn2.manage.trellix.com,"23.207.202.72, 23.207.202.59","cdn2.manage.trellix.com.edgesuite.net, a1903.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,"2600:1408:7400::17c7:3f0a, 2600:1408:7400::17c7:3f49",,,,,
[x],chatrecord-uat.trellix.com,161.69.38.116,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cloud-ivx.trellix.com,,,"ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-327.awsdns-40.com, ns-568.awsdns-07.net, ns-1249.awsdns-28.org, ns-1589.awsdns-06.co.uk",,,,,,
[x],cloud.manage.trellix.com,"13.32.121.42, 13.32.121.61, 13.32.121.3, 13.32.121.127",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],cloudintegration.trellix.com,3.15.18.208,,"ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1559.awsdns-02.co.uk, ns-880.awsdns-46.net, ns-90.awsdns-11.com, ns-1144.awsdns-15.org",,,,,,
[x],cms.manage.trellix.com,"108.138.7.124, 108.138.7.111, 108.138.7.33, 108.138.7.91",d2uvnflv2h9txu.cloudfront.net,"ns-1015.awsdns-62.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1015.awsdns-62.net, ns-1514.awsdns-61.org, ns-1627.awsdns-11.co.uk, ns-193.awsdns-24.com","2600:9000:2490:9800:8:324a:3480:93a1, 2600:9000:2490:d000:8:324a:3480:93a1, 2600:9000:2490:ae00:8:324a:3480:93a1, 2600:9000:2490:da00:8:324a:3480:93a1, 2600:9000:2490:400:8:324a:3480:93a1, 2600:9000:2490:5800:8:324a:3480:93a1, 2600:9000:2490:1000:8:324a:3480:93a1, 2600:9000:2490:9e00:8:324a:3480:93a1",,,,,
[x],communitym.trellix.com,"18.66.122.54, 18.66.122.17, 18.66.122.123, 18.66.122.124","nysyc36988.lithium.com, d2q2sw86dyqcoi.cloudfront.net","ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-13.awsdns-01.com, ns-1490.awsdns-58.org, ns-1596.awsdns-07.co.uk, ns-648.awsdns-17.net","2600:9000:2250:e200:0:9c36:2c80:93a1, 2600:9000:2250:3600:0:9c36:2c80:93a1, 2600:9000:2250:c400:0:9c36:2c80:93a1, 2600:9000:2250:9a00:0:9c36:2c80:93a1, 2600:9000:2250:ba00:0:9c36:2c80:93a1, 2600:9000:2250:f200:0:9c36:2c80:93a1, 2600:9000:2250:7800:0:9c36:2c80:93a1, 2600:9000:2250:600:0:9c36:2c80:93a1",,,,,
[x],communitymsso-dr.trellix.com,136.179.56.142,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],confluence-stage.trellix.com,"35.84.88.139, 54.189.205.217",pes-nlb-conf-stage-00-9e49dc26a864b411.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],confluence.trellix.com,,pes-nlb-conf-prod-00-3ab2a4aa32e9c9df.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],content.manage.trellix.com,"54.69.130.184, 52.33.251.125",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-102.awsdns-12.com, ns-1156.awsdns-16.org, ns-1550.awsdns-01.co.uk, ns-847.awsdns-41.net",,,,,,
[x],content.myaccounts-pendo.trellix.com,"18.65.39.31, 18.65.39.97, 18.65.39.109, 18.65.39.113","6309879993991168-content.customer.pendo.io, d3nzay5ze15z4t.cloudfront.net","ns-1223.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1223.awsdns-24.org, ns-1630.awsdns-11.co.uk, ns-33.awsdns-04.com, ns-929.awsdns-52.net","2600:9000:2511:9e00:1d:d2:8740:93a1, 2600:9000:2511:5a00:1d:d2:8740:93a1, 2600:9000:2511:d400:1d:d2:8740:93a1, 2600:9000:2511:2400:1d:d2:8740:93a1, 2600:9000:2511:4000:1d:d2:8740:93a1, 2600:9000:2511:5c00:1d:d2:8740:93a1, 2600:9000:2511:8600:1d:d2:8740:93a1, 2600:9000:2511:a200:1d:d2:8740:93a1",,,,,
[x],content.pendo.trellix.com,"52.222.214.63, 52.222.214.59, 52.222.214.83, 52.222.214.112","6158786297200640-content.customer.pendo.io, di4hx6bssteez.cloudfront.net","ns-810.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1283.awsdns-32.org, ns-1798.awsdns-32.co.uk, ns-258.awsdns-32.com, ns-810.awsdns-37.net","2600:9000:223d:ca00:7:ef2a:8ec0:93a1, 2600:9000:223d:c400:7:ef2a:8ec0:93a1, 2600:9000:223d:5200:7:ef2a:8ec0:93a1, 2600:9000:223d:2400:7:ef2a:8ec0:93a1, 2600:9000:223d:aa00:7:ef2a:8ec0:93a1, 2600:9000:223d:9400:7:ef2a:8ec0:93a1, 2600:9000:223d:ae00:7:ef2a:8ec0:93a1, 2600:9000:223d:2e00:7:ef2a:8ec0:93a1",,,,,
[x],content.trellix.com,"52.33.251.125, 54.69.130.184","content.mcafee.com, bprd-bps-pub-alb-408221643.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],crmintm.trellix.com,161.69.25.197,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,,,
[x],crmintqa.trellix.com,34.98.124.189,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,,,
[x],cs-notices.trellix.com,"52.54.96.194, 3.92.120.28, 34.237.219.119, 3.215.172.219, 18.208.125.13","go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cxp.skyhighsecurity.com,"23.213.161.210, 23.213.161.213","mcafeeenterprise-primary.vanitydomains.qualtrics.com, cxp.trellix.com.edgekey.net, e98925.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cxp.trellix.com,"23.213.161.213, 23.213.161.210","mcafeeenterprise-primary.vanitydomains.qualtrics.com, cxp.trellix.com.edgekey.net, e98925.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],daas.trellix.com,"18.66.122.15, 18.66.122.127, 18.66.122.44, 18.66.122.5",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-113.awsdns-14.com, ns-1503.awsdns-59.org, ns-1626.awsdns-11.co.uk, ns-565.awsdns-06.net",,,,,,
[x],dashboard.cloudsupport-dev.gtiservice.trellix.com,"13.224.189.42, 13.224.189.125, 13.224.189.119, 13.224.189.87",,"ns-1995.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dashboard.csupp.gtiservice.trellix.com,"52.84.45.44, 52.84.45.65, 52.84.45.23, 52.84.45.46",,"ns-1294.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],data.myaccounts-pendo.trellix.com,142.250.186.51,"35am8b5fq0q3kg3ob3hoi7o3i51d4r62-data.customer.pendo.io, ghs.googlehosted.com","ns1.google.com, dns-admin.google.com",NOERROR,,,,2a00:1450:4001:803::2013,,,,,
[x],demo.xconsole.trellix.com,"52.222.236.23, 52.222.236.123, 52.222.236.118, 52.222.236.71",,"ns-1872.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-563.awsdns-06.net, ns-1872.awsdns-42.co.uk, ns-1321.awsdns-37.org, ns-33.awsdns-04.com",,,,,,
[x],dev.design.trellix.com,"18.66.122.11, 18.66.122.52, 18.66.122.55, 18.66.122.114",,"ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],dev.insights.trellix.com,"13.225.78.26, 13.225.78.35, 13.225.78.79, 13.225.78.19",d3u3sq6f2kyxt2.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,True,cloudfront,,"2600:9000:21f3:ac00:4:bc0a:e980:93a1, 2600:9000:21f3:b200:4:bc0a:e980:93a1, 2600:9000:21f3:b800:4:bc0a:e980:93a1, 2600:9000:21f3:dc00:4:bc0a:e980:93a1, 2600:9000:21f3:3e00:4:bc0a:e980:93a1, 2600:9000:21f3:8400:4:bc0a:e980:93a1, 2600:9000:21f3:8a00:4:bc0a:e980:93a1, 2600:9000:21f3:9c00:4:bc0a:e980:93a1",,,,,
[x],dev.manage.trellix.com,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1348.awsdns-40.org, ns-1642.awsdns-13.co.uk, ns-64.awsdns-08.com, ns-785.awsdns-34.net",,,,,,
[x],dev.xconsole.trellix.com,"13.225.78.86, 13.225.78.21, 13.225.78.73, 13.225.78.122",,"ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1493.awsdns-58.org, ns-172.awsdns-21.com, ns-1866.awsdns-41.co.uk, ns-754.awsdns-30.net",,,,,,
[x],dev.xdr.trellix.com,"34.215.207.148, 54.188.149.252, 52.32.41.82",,"ns-607.awsdns-11.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1884.awsdns-43.co.uk, ns-338.awsdns-42.com, ns-1492.awsdns-58.org, ns-607.awsdns-11.net",,,,,,
[x],downloadcenter.trellix.com,"80.239.137.160, 62.115.252.75","downloadcenter.trellix.com.edgekey.net, e102576.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2001:2030:22::3e73:fd7a, 2001:2030:22::3e73:fd60",,,,,
[x],dxl-usw003.manage.trellix.com,"54.203.4.239, 44.241.66.31",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dxlweb-usw003.manage.trellix.com,,,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],email.skyhighsecurity.com,"104.17.70.206, 104.17.73.206, 104.17.71.206, 104.17.72.206, 104.17.74.206",mkto-ab560119.com,"ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,"ns-1035.awsdns-01.org, ns-1947.awsdns-51.co.uk, ns-264.awsdns-33.com, ns-693.awsdns-22.net, ns1.marketo.com, ns2.mktdns.com",,,,,,
[x],email.trellix.com,"104.17.74.206, 104.17.70.206, 104.17.73.206, 104.17.71.206, 104.17.72.206",mkto-ab560119.com,"ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,"ns2.mktdns.com, ns1.marketo.com",,,,,,
[x],emeavpn.trellix.com,161.69.153.188,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],epo.staging.insights.trellix.com,,in-s-epo-server-tx-1407654887.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],etp-eu-restapi.etp.trellix.com,"188.114.99.229, 188.114.98.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,,,
[x],etp-us-restapi.etp.trellix.com,"188.114.98.229, 188.114.99.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,,,
[x],eu.etp.trellix.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700:4400::ac40:992d, 2606:4700:4400::6812:22d3",,,,,
[x],eu.xdr.trellix.com,"3.74.211.166, 3.67.32.116, 18.157.242.86",,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1158.awsdns-16.org, ns-2028.awsdns-61.co.uk, ns-66.awsdns-08.com, ns-849.awsdns-42.net",,,,,,
[x],events.trellix.com,"151.101.2.133, 151.101.66.133, 151.101.130.133, 151.101.194.133",d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],experience.trellix.com,"23.2.13.75, 23.2.13.41","v3gateway.folloze.com, custom-hostname.edgesuite.net, a1210.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,"2a02:26f0:3500:12::1730:17a1, 2a02:26f0:3500:12::1730:1798",,,,,
[x],fileshare-uat-dnv.trellix.com,161.69.38.115,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,,,
[x],fireside.trellix.com,199.16.198.110,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ftp-uat.trellix.com,161.69.38.120,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ftp.trellix.com,161.69.38.144,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fusionpubsecureconnect-qa.trellix.com,136.179.56.33,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fusionwebsecureconnect-qa.trellix.com,136.179.57.105,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gamma.xconsole.trellix.com,"108.138.51.2, 108.138.51.91, 108.138.51.96, 108.138.51.127, 205.251.192.97",,"ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1049.awsdns-03.org, ns-960.awsdns-56.net, ns-97.awsdns-12.com, ns-1551.awsdns-01.co.uk",,,,,,
[x],gcpapi.manage.trellix.com,"13.32.121.19, 13.32.121.65, 13.32.121.63, 13.32.121.107",,"ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],github.trellix.com,"35.165.201.209, 44.238.155.124",pes-nlb-github-prod-10-e9a58b0dce37f2bf.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],go.trellix.com,"67.199.248.12, 67.199.248.13",cname.bitly.com,"ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,";, letsencrypt.org",,,,
[x],happrd2.xdr.trellix.com,"34.215.81.5, 35.83.61.195, 54.214.141.107",,"ns-1416.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],hapqa2.qa.xdr.trellix.com,"54.70.136.233, 34.218.166.167, 44.236.129.205",,"ns-1965.awsdns-53.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],hapstg2.staging.xdr.trellix.com,"52.33.70.151, 35.83.91.247, 34.214.18.203",,"ns-733.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],hax.trellix.com,"165.227.251.182, 165.227.251.183",trellixhax.ctfd.io,"terry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],healthwatch.trellix.com,"35.81.176.231, 35.82.209.91",,"ns-50.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1275.awsdns-31.org, ns-1724.awsdns-23.co.uk, ns-50.awsdns-06.com, ns-954.awsdns-55.net",,,,,v=spf1 include:amazonses.com ~all,feedback-smtp.us-west-2.amazonses.com
[x],hii-device-api.mobile.security.trellix.com,"52.222.19.211, 15.205.224.58","hii-trellix-elb.zimperium.com, hii-zimperium-250562375.us-gov-west-1.elb.amazonaws.com","ns-523.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],hoot.trellix.com,136.179.57.107,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],insights.trellix.com,"13.225.78.34, 13.225.78.22, 13.225.78.26, 13.225.78.57",d2uagsawcp5wrs.cloudfront.net,"ns-1179.awsdns-19.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1179.awsdns-19.org, ns-239.awsdns-29.com, ns-1887.awsdns-43.co.uk, ns-514.awsdns-00.net","2600:9000:21f3:2200:1b:f447:8a00:93a1, 2600:9000:21f3:800:1b:f447:8a00:93a1, 2600:9000:21f3:1400:1b:f447:8a00:93a1, 2600:9000:21f3:5e00:1b:f447:8a00:93a1, 2600:9000:21f3:5800:1b:f447:8a00:93a1, 2600:9000:21f3:1c00:1b:f447:8a00:93a1, 2600:9000:21f3:d400:1b:f447:8a00:93a1, 2600:9000:21f3:4000:1b:f447:8a00:93a1",,,,,
[x],internal.insights.trellix.com,"52.89.186.45, 35.83.13.227",insights-internal-elb-tx-477621318.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],jira-dev.trellix.com,"44.227.39.243, 34.216.252.85",pes-nlb-jira-dev-00-4d6f4bf7b59b51b6.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1283.awsdns-32.org, ns-1870.awsdns-41.co.uk, ns-424.awsdns-53.com, ns-748.awsdns-29.net",,,,,,
[x],jira.trellix.com,"52.89.28.207, 52.35.95.235",pes-nlb-jira-prod-00-22f5e64de79de38a.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kbim-uat.trellix.com,,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kbim-uat2.trellix.com,161.69.38.114,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kbim.trellix.com,161.69.38.128,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kbm-uat.trellix.com,161.69.38.35,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,,,
[x],kbm-uat2.trellix.com,161.69.38.113,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kbm.trellix.com,,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kcm-uat.trellix.com,161.69.38.112,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],kcm-uat2.trellix.com,161.69.38.67,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
